symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PH,2016-01-04 05:00:00+00:00,95.2,96.8128,94.29,96.66,1527770.0,14433.0,95.812455
PH,2016-01-05 05:00:00+00:00,97.27,97.29,94.65,95.06,1409999.0,12517.0,95.46445
PH,2016-01-06 05:00:00+00:00,93.71,94.62,92.98,93.8,1416931.0,12749.0,93.853151
PH,2016-01-07 05:00:00+00:00,92.21,93.47,91.61,92.21,1280303.0,11800.0,92.275494
PH,2016-01-08 05:00:00+00:00,92.92,93.44,90.33,90.55,1690729.0,13901.0,91.757066
PH,2016-01-11 05:00:00+00:00,91.03,91.27,89.43,90.37,1412181.0,13484.0,90.201845
PH,2016-01-12 05:00:00+00:00,91.31,91.6057,88.86,90.51,1296819.0,12578.0,89.938075
PH,2016-01-13 05:00:00+00:00,90.98,91.6,89.51,89.72,1485844.0,14374.0,90.233305
PH,2016-01-14 05:00:00+00:00,89.89,92.43,88.3301,90.65,2173694.0,16495.0,90.907581
PH,2016-01-15 05:00:00+00:00,87.99,89.11,87.39,87.99,2700781.0,20484.0,88.179029
PH,2016-01-19 05:00:00+00:00,89.44,89.5,87.15,87.87,1355563.0,12321.0,88.11109
PH,2016-01-20 05:00:00+00:00,86.41,87.69,83.32,86.51,2660001.0,24345.0,84.972053
PH,2016-01-21 05:00:00+00:00,86.66,89.61,85.9,87.95,1324925.0,14143.0,88.160163
PH,2016-01-22 05:00:00+00:00,89.63,91.54,88.69,89.82,1613806.0,13333.0,89.689178
PH,2016-01-25 05:00:00+00:00,88.85,89.93,87.82,88.12,2032931.0,17517.0,88.661632
PH,2016-01-26 05:00:00+00:00,93.39,94.8,88.08,91.77,5378108.0,42826.0,91.717087
PH,2016-01-27 05:00:00+00:00,91.5,93.395,90.23,91.69,1699149.0,17657.0,91.80382
PH,2016-01-28 05:00:00+00:00,92.67,94.54,92.64,94.08,1986296.0,19012.0,93.727328
PH,2016-01-29 05:00:00+00:00,94.57,97.16,94.37,97.16,2502697.0,18762.0,96.521755
PH,2016-02-01 05:00:00+00:00,96.05,96.96,95.02,96.37,1813522.0,17127.0,96.136562
PH,2016-02-02 05:00:00+00:00,95.39,95.85,94.16,95.33,2113136.0,18935.0,95.096381
PH,2016-02-03 05:00:00+00:00,96.42,97.9,93.46,97.73,2955934.0,26609.0,96.42933
PH,2016-02-04 05:00:00+00:00,97.69,102.77,97.57,101.13,3010408.0,28495.0,101.027807
PH,2016-02-05 05:00:00+00:00,100.92,102.49,99.9,101.51,2366361.0,23619.0,101.604994
PH,2016-02-08 05:00:00+00:00,100.09,101.39,99.11,101.09,1984617.0,18969.0,100.283583
PH,2016-02-09 05:00:00+00:00,99.89,100.8,98.83,99.73,1661823.0,17181.0,99.807651
PH,2016-02-10 05:00:00+00:00,99.62,99.62,95.68,96.07,2438435.0,24272.0,96.948105
PH,2016-02-11 05:00:00+00:00,94.54,97.28,94.44,96.89,2217944.0,18051.0,96.179636
PH,2016-02-12 05:00:00+00:00,97.89,98.94,96.85,97.25,3276450.0,17495.0,97.717355
PH,2016-02-16 05:00:00+00:00,98.97,99.87,97.61,99.65,1251908.0,11616.0,99.304431
PH,2016-02-17 05:00:00+00:00,100.48,102.62,100.39,101.03,1227248.0,12726.0,101.287799
PH,2016-02-18 05:00:00+00:00,100.91,102.23,100.22,100.76,1327775.0,12809.0,101.104303
PH,2016-02-19 05:00:00+00:00,100.18,100.54,98.46,99.89,1476259.0,13506.0,99.588208
PH,2016-02-22 05:00:00+00:00,101.3,102.87,100.71,102.77,1394007.0,12934.0,102.171509
PH,2016-02-23 05:00:00+00:00,102.2,103.63,100.71,100.77,1091530.0,10664.0,101.464556
PH,2016-02-24 05:00:00+00:00,99.48,101.3,98.47,101.17,1040419.0,10798.0,100.215117
PH,2016-02-25 05:00:00+00:00,101.26,101.95,100.01,101.63,687281.0,7395.0,101.141893
PH,2016-02-26 05:00:00+00:00,102.37,103.09,101.25,102.21,1033491.0,11018.0,102.427249
PH,2016-02-29 05:00:00+00:00,102.46,102.72,101.1475,101.2,1546840.0,12840.0,101.558728
PH,2016-03-01 05:00:00+00:00,103.18,105.41,102.09,104.57,1851893.0,17196.0,104.235058
PH,2016-03-02 05:00:00+00:00,104.16,105.93,103.83,105.76,2029723.0,18085.0,105.44805
PH,2016-03-03 05:00:00+00:00,105.41,107.11,105.41,106.68,1513878.0,14970.0,106.555566
PH,2016-03-04 05:00:00+00:00,106.41,107.67,105.345,106.36,1320008.0,12723.0,106.740731
PH,2016-03-07 05:00:00+00:00,106.0,109.07,106.0,108.36,1159439.0,11530.0,108.206108
PH,2016-03-08 05:00:00+00:00,107.09,107.895,105.77,106.52,1162170.0,11050.0,106.614667
PH,2016-03-09 05:00:00+00:00,106.95,107.7396,106.12,107.23,756967.0,8356.0,107.112394
PH,2016-03-10 05:00:00+00:00,106.75,107.81,105.18,106.67,1192006.0,11593.0,106.273965
PH,2016-03-11 05:00:00+00:00,108.02,108.95,107.905,108.4,841828.0,7161.0,108.411122
PH,2016-03-14 04:00:00+00:00,108.07,108.88,107.77,108.46,697411.0,7356.0,108.453823
PH,2016-03-15 04:00:00+00:00,107.24,108.53,106.37,108.23,1015505.0,9403.0,108.085777
PH,2016-03-16 04:00:00+00:00,108.07,110.54,107.925,109.94,1222707.0,13944.0,109.277113
PH,2016-03-17 04:00:00+00:00,110.1,112.91,109.795,112.52,1526201.0,12882.0,112.033717
PH,2016-03-18 04:00:00+00:00,112.92,113.51,111.81,112.38,1498325.0,10506.0,112.544837
PH,2016-03-21 04:00:00+00:00,112.38,113.16,111.73,112.32,1028459.0,10463.0,112.257582
PH,2016-03-22 04:00:00+00:00,111.6,112.78,111.35,112.08,1107361.0,9691.0,112.266826
PH,2016-03-23 04:00:00+00:00,111.43,111.82,110.49,110.62,1042992.0,8963.0,110.982637
PH,2016-03-24 04:00:00+00:00,109.57,110.97,109.02,110.95,1229264.0,10716.0,110.069087
PH,2016-03-28 04:00:00+00:00,109.24,110.79,108.94,110.3,1427327.0,10188.0,110.243692
PH,2016-03-29 04:00:00+00:00,109.67,111.27,109.3901,111.11,751313.0,7624.0,110.517491
PH,2016-03-30 04:00:00+00:00,111.82,112.295,110.3,110.99,1028560.0,9026.0,111.050069
PH,2016-03-31 04:00:00+00:00,111.22,111.66,110.43,111.08,1215334.0,9409.0,111.155587
PH,2016-04-01 04:00:00+00:00,109.59,112.05,108.77,111.82,982387.0,9009.0,111.195676
PH,2016-04-04 04:00:00+00:00,111.89,111.89,109.61,109.78,1078757.0,11417.0,110.310254
PH,2016-04-05 04:00:00+00:00,108.695,109.7,108.01,108.85,1245342.0,11654.0,108.925082
PH,2016-04-06 04:00:00+00:00,108.63,109.6,107.39,109.49,834896.0,9295.0,108.926021
PH,2016-04-07 04:00:00+00:00,108.97,109.79,108.22,109.03,1061668.0,9687.0,109.175298
