symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PKG,2016-01-04 05:00:00+00:00,62.01,62.55,61.45,62.35,851685.0,8032.0,62.075362
PKG,2016-01-05 05:00:00+00:00,62.66,62.67,61.8,62.29,770207.0,7328.0,62.190991
PKG,2016-01-06 05:00:00+00:00,61.34,61.8,60.4,60.93,888057.0,7382.0,61.072282
PKG,2016-01-07 05:00:00+00:00,59.76,60.54,59.06,59.49,1202177.0,8814.0,59.569442
PKG,2016-01-08 05:00:00+00:00,60.31,60.97,58.22,58.24,1722253.0,13388.0,59.021536
PKG,2016-01-11 05:00:00+00:00,58.55,60.08,58.43,59.5,1658912.0,13408.0,59.450106
PKG,2016-01-12 05:00:00+00:00,60.23,60.87,58.41,59.5,1004670.0,9108.0,59.270572
PKG,2016-01-13 05:00:00+00:00,60.13,60.13,57.61,57.65,1023872.0,10586.0,58.604195
PKG,2016-01-14 05:00:00+00:00,57.98,58.57,56.84,58.16,730083.0,7656.0,57.889297
PKG,2016-01-15 05:00:00+00:00,56.48,59.08,56.41,58.46,1525712.0,15624.0,58.084276
PKG,2016-01-19 05:00:00+00:00,59.13,59.2456,56.57,57.34,851525.0,9064.0,57.692104
PKG,2016-01-20 05:00:00+00:00,56.62,57.62,54.0,56.98,1151663.0,11630.0,55.904597
PKG,2016-01-21 05:00:00+00:00,56.9,57.76,55.83,55.95,1379750.0,11575.0,56.475577
PKG,2016-01-22 05:00:00+00:00,57.08,58.145,56.55,57.66,1761225.0,14796.0,57.30096
PKG,2016-01-25 05:00:00+00:00,53.37,53.82,49.9,50.19,3856506.0,31180.0,51.358679
PKG,2016-01-26 05:00:00+00:00,49.87,52.25,48.73,49.7,4072863.0,31894.0,50.061925
PKG,2016-01-27 05:00:00+00:00,49.47,51.14,49.27,49.8,2650082.0,23862.0,50.201476
PKG,2016-01-28 05:00:00+00:00,50.39,50.54,48.53,48.88,1349015.0,9793.0,48.9961
PKG,2016-01-29 05:00:00+00:00,49.01,50.83,48.29,50.83,1861986.0,13063.0,49.887148
PKG,2016-02-01 05:00:00+00:00,50.13,51.22,48.93,51.01,1677666.0,13729.0,50.420504
PKG,2016-02-02 05:00:00+00:00,50.28,50.31,49.2201,49.91,1373023.0,11906.0,49.857097
PKG,2016-02-03 05:00:00+00:00,50.51,50.89,48.19,49.42,1342467.0,11051.0,49.268851
PKG,2016-02-04 05:00:00+00:00,49.29,50.55,48.93,50.44,1806543.0,13821.0,49.863142
PKG,2016-02-05 05:00:00+00:00,50.44,51.17,50.0,50.64,1307081.0,10369.0,50.53785
PKG,2016-02-08 05:00:00+00:00,50.01,50.06,48.895,49.73,1823316.0,11332.0,49.64058
PKG,2016-02-09 05:00:00+00:00,49.11,50.08,48.62,49.84,1793169.0,11937.0,49.664892
PKG,2016-02-10 05:00:00+00:00,49.5,50.205,48.36,48.82,1400971.0,12225.0,49.265732
PKG,2016-02-11 05:00:00+00:00,47.96,48.42,45.84,46.07,2337817.0,17961.0,46.561967
PKG,2016-02-12 05:00:00+00:00,46.86,47.43,46.36,46.6,2297579.0,17564.0,46.853131
PKG,2016-02-16 05:00:00+00:00,47.14,47.77,46.72,47.39,1745316.0,12670.0,47.26629
PKG,2016-02-17 05:00:00+00:00,47.83,48.52,47.695,47.96,924540.0,7952.0,48.063579
PKG,2016-02-18 05:00:00+00:00,48.24,48.41,46.775,47.16,1711503.0,14733.0,47.20655
PKG,2016-02-19 05:00:00+00:00,47.04,47.04,44.32,45.15,2856025.0,19381.0,45.098343
PKG,2016-02-22 05:00:00+00:00,45.91,46.04,45.23,45.72,1729195.0,13317.0,45.614086
PKG,2016-02-23 05:00:00+00:00,45.53,45.9,44.92,45.82,1826730.0,12740.0,45.551563
PKG,2016-02-24 05:00:00+00:00,45.38,47.4,45.04,47.29,2301097.0,16483.0,46.583826
PKG,2016-02-25 05:00:00+00:00,47.32,47.8,46.75,47.46,1296034.0,10326.0,47.241027
PKG,2016-02-26 05:00:00+00:00,47.89,48.8,47.71,48.33,2010146.0,13249.0,48.334667
PKG,2016-02-29 05:00:00+00:00,48.42,49.0186,47.81,48.5,1557115.0,13559.0,48.513205
PKG,2016-03-01 05:00:00+00:00,49.02,50.48,48.7301,50.48,1825171.0,15372.0,49.973722
PKG,2016-03-02 05:00:00+00:00,50.12,51.55,50.03,50.72,1472759.0,13386.0,50.838903
PKG,2016-03-03 05:00:00+00:00,50.7,52.52,50.5101,52.44,1391101.0,12601.0,51.95712
PKG,2016-03-04 05:00:00+00:00,52.16,53.31,52.15,52.69,1500920.0,13938.0,52.694974
PKG,2016-03-07 05:00:00+00:00,52.48,53.52,52.27,53.43,1380046.0,11179.0,53.167053
PKG,2016-03-08 05:00:00+00:00,52.99,53.04,51.75,52.62,1523674.0,11751.0,52.312142
PKG,2016-03-09 05:00:00+00:00,52.73,55.11,52.51,55.01,2855841.0,21502.0,54.471227
PKG,2016-03-10 05:00:00+00:00,55.17,55.37,53.39,54.36,1322518.0,11681.0,54.238519
PKG,2016-03-11 05:00:00+00:00,54.26,55.94,53.87,55.42,1448533.0,13631.0,55.458288
PKG,2016-03-14 04:00:00+00:00,55.15,55.96,55.09,55.11,1646027.0,15557.0,55.39718
PKG,2016-03-15 04:00:00+00:00,54.99,55.36,53.7,54.29,1751803.0,16750.0,54.219957
PKG,2016-03-16 04:00:00+00:00,54.29,56.16,54.24,55.9,1308384.0,12845.0,55.42982
PKG,2016-03-17 04:00:00+00:00,55.99,57.58,55.8824,57.29,994700.0,10133.0,56.972861
PKG,2016-03-18 04:00:00+00:00,57.28,57.83,56.45,57.2,8935593.0,14341.0,57.182557
PKG,2016-03-21 04:00:00+00:00,57.01,58.5,57.01,58.26,1183205.0,10897.0,58.113549
PKG,2016-03-22 04:00:00+00:00,57.82,59.01,57.71,58.98,1192236.0,11818.0,58.698777
PKG,2016-03-23 04:00:00+00:00,58.82,59.46,58.3333,58.39,1359371.0,13068.0,58.835878
PKG,2016-03-24 04:00:00+00:00,57.86,58.83,57.27,58.71,993430.0,10482.0,58.392383
PKG,2016-03-28 04:00:00+00:00,58.9,59.29,58.19,58.94,802320.0,8166.0,58.911809
PKG,2016-03-29 04:00:00+00:00,58.62,60.39,58.4511,60.19,1352340.0,12498.0,59.881355
PKG,2016-03-30 04:00:00+00:00,60.26,60.49,59.1,59.44,1154530.0,10675.0,59.5277
PKG,2016-03-31 04:00:00+00:00,59.44,61.0,59.05,60.4,1337903.0,12881.0,60.317934
PKG,2016-04-01 04:00:00+00:00,60.01,60.74,59.38,60.73,1063861.0,9881.0,60.190922
PKG,2016-04-04 04:00:00+00:00,60.68,60.94,60.34,60.45,768914.0,8667.0,60.534191
PKG,2016-04-05 04:00:00+00:00,59.94,60.07,58.44,58.89,1120037.0,12431.0,58.9828
PKG,2016-04-06 04:00:00+00:00,58.88,59.92,58.49,59.83,961409.0,8977.0,59.436226
PKG,2016-04-07 04:00:00+00:00,59.2,59.7,58.65,58.99,1081184.0,9731.0,58.983908
PKG,2016-04-08 04:00:00+00:00,59.56,60.65,59.49,60.18,719811.0,7364.0,60.224529
PKG,2016-04-11 04:00:00+00:00,60.12,60.7,59.665,60.06,730509.0,7486.0,60.238366
PKG,2016-04-12 04:00:00+00:00,59.96,60.94,59.49,60.68,776555.0,8536.0,60.454766
PKG,2016-04-13 04:00:00+00:00,61.2,61.84,60.65,61.77,807081.0,7286.0,61.490955
PKG,2016-04-14 04:00:00+00:00,61.74,61.76,60.6,61.19,641884.0,6112.0,61.119658
PKG,2016-04-15 04:00:00+00:00,60.98,62.34,60.3775,62.27,1047137.0,9834.0,61.943238
PKG,2016-04-18 04:00:00+00:00,61.91,62.85,61.8,62.58,708010.0,6616.0,62.479962
PKG,2016-04-19 04:00:00+00:00,62.85,63.53,62.29,63.09,782696.0,6556.0,62.972624
PKG,2016-04-20 04:00:00+00:00,62.92,63.47,62.65,62.7,1039370.0,9550.0,62.913722
PKG,2016-04-21 04:00:00+00:00,64.5,67.0,63.745,63.85,1695859.0,15736.0,64.500203
PKG,2016-04-22 04:00:00+00:00,64.25,65.88,64.05,65.68,1030407.0,9207.0,65.364365
PKG,2016-04-25 04:00:00+00:00,66.13,66.665,64.69,65.11,831273.0,6565.0,65.15309
PKG,2016-04-26 04:00:00+00:00,65.45,66.52,65.23,65.93,685233.0,6862.0,65.925778
PKG,2016-04-27 04:00:00+00:00,66.14,66.925,65.6,66.16,679535.0,6419.0,66.185256
PKG,2016-04-28 04:00:00+00:00,65.52,66.78,65.1,65.85,692274.0,7048.0,66.05243
PKG,2016-04-29 04:00:00+00:00,65.79,66.4,64.7,64.88,1250036.0,12891.0,65.091082
PKG,2016-05-02 04:00:00+00:00,65.26,66.13,64.78,66.12,980932.0,8251.0,65.817295
PKG,2016-05-03 04:00:00+00:00,65.45,65.71,64.71,65.38,765333.0,7406.0,65.161829
PKG,2016-05-04 04:00:00+00:00,65.05,65.77,64.13,64.75,840353.0,7557.0,64.777598
PKG,2016-05-05 04:00:00+00:00,64.88,65.34,64.37,64.95,546472.0,6155.0,64.995483
PKG,2016-05-06 04:00:00+00:00,64.82,65.61,64.7734,65.28,515648.0,4818.0,65.25264
PKG,2016-05-09 04:00:00+00:00,65.05,66.11,65.04,65.6,649815.0,6702.0,65.553724
PKG,2016-05-10 04:00:00+00:00,65.76,66.81,65.74,66.75,810330.0,6561.0,66.588731
PKG,2016-05-11 04:00:00+00:00,66.68,67.05,66.0601,66.16,503398.0,4778.0,66.273
PKG,2016-05-12 04:00:00+00:00,66.63,67.18,65.9,66.33,568163.0,5148.0,66.327519
PKG,2016-05-13 04:00:00+00:00,65.96,66.38,65.06,65.32,418064.0,4201.0,65.515512
PKG,2016-05-16 04:00:00+00:00,65.32,66.74,65.18,66.45,640885.0,5546.0,66.30066
PKG,2016-05-17 04:00:00+00:00,65.97,65.97,64.23,65.08,1509147.0,12650.0,64.956358
PKG,2016-05-18 04:00:00+00:00,64.83,65.49,64.2,64.39,1289658.0,10888.0,64.826021
PKG,2016-05-19 04:00:00+00:00,64.0,64.87,63.1201,64.13,801225.0,7471.0,63.793854
PKG,2016-05-20 04:00:00+00:00,64.19,65.2089,63.9,65.13,862702.0,8068.0,64.854071
PKG,2016-05-23 04:00:00+00:00,65.26,66.12,64.93,65.35,788829.0,6241.0,65.497452
PKG,2016-05-24 04:00:00+00:00,65.76,66.23,65.483,65.81,645723.0,5950.0,65.886001
PKG,2016-05-25 04:00:00+00:00,66.31,67.86,66.09,67.61,753718.0,7428.0,67.455398
PKG,2016-05-26 04:00:00+00:00,67.9,67.99,67.11,67.54,713868.0,6965.0,67.490633
PKG,2016-05-27 04:00:00+00:00,67.4,68.41,67.4,68.33,687273.0,5882.0,68.220831
PKG,2016-05-31 04:00:00+00:00,68.37,68.985,67.8,68.23,1285047.0,8927.0,68.20397
PKG,2016-06-01 04:00:00+00:00,67.77,68.96,67.345,68.96,692650.0,6743.0,68.571343
PKG,2016-06-02 04:00:00+00:00,68.85,69.635,68.4921,69.48,1093201.0,8091.0,69.186571
PKG,2016-06-03 04:00:00+00:00,69.55,69.68,68.69,69.26,1397196.0,8806.0,69.136912
PKG,2016-06-06 04:00:00+00:00,69.49,69.948,69.09,69.75,1055885.0,7140.0,69.550497
PKG,2016-06-07 04:00:00+00:00,70.0,71.295,69.77,71.08,1292807.0,10504.0,70.841199
PKG,2016-06-08 04:00:00+00:00,70.82,71.31,70.66,70.81,1106431.0,8973.0,70.898484
PKG,2016-06-09 04:00:00+00:00,70.48,70.61,69.545,69.64,906457.0,7801.0,69.804496
PKG,2016-06-10 04:00:00+00:00,69.07,69.16,68.36,69.11,1484850.0,9784.0,68.748874
PKG,2016-06-13 04:00:00+00:00,68.38,68.55,65.92,66.02,1578005.0,13245.0,66.697297
PKG,2016-06-14 04:00:00+00:00,65.9,65.99,64.83,65.69,1085758.0,9780.0,65.419406
PKG,2016-06-15 04:00:00+00:00,66.1,66.15,65.25,65.42,1501652.0,12114.0,65.63508
PKG,2016-06-16 04:00:00+00:00,64.66,65.59,64.66,65.55,787647.0,7777.0,65.204929
PKG,2016-06-17 04:00:00+00:00,65.44,65.83,64.89,65.75,1610582.0,8164.0,65.595376
PKG,2016-06-20 04:00:00+00:00,66.52,67.9,66.52,67.57,1099132.0,9382.0,67.627933
PKG,2016-06-21 04:00:00+00:00,67.74,68.03,67.36,67.75,1463585.0,8708.0,67.759117
PKG,2016-06-22 04:00:00+00:00,67.87,68.94,67.6833,68.22,1547842.0,9577.0,68.399888
PKG,2016-06-23 04:00:00+00:00,68.61,69.22,68.57,69.05,1208582.0,9762.0,68.89414
PKG,2016-06-24 04:00:00+00:00,66.26,67.63,65.74,66.03,1166063.0,8722.0,66.242396
PKG,2016-06-27 04:00:00+00:00,65.3,65.61,62.54,62.89,1282693.0,13150.0,63.411645
PKG,2016-06-28 04:00:00+00:00,63.38,64.04,62.41,63.67,2276600.0,16857.0,63.308104
PKG,2016-06-29 04:00:00+00:00,64.6,66.01,64.42,65.86,1141515.0,10010.0,65.604382
PKG,2016-06-30 04:00:00+00:00,66.09,66.93,65.69,66.93,1391147.0,9026.0,66.638901
PKG,2016-07-01 04:00:00+00:00,66.56,67.16,66.34,67.13,900541.0,7893.0,66.761541
PKG,2016-07-05 04:00:00+00:00,66.8,67.03,65.25,65.44,1131264.0,8570.0,65.576565
PKG,2016-07-06 04:00:00+00:00,65.44,68.48,65.12,68.48,1890040.0,11684.0,67.590467
PKG,2016-07-07 04:00:00+00:00,68.73,69.98,68.4,68.71,868493.0,8459.0,68.919844
PKG,2016-07-08 04:00:00+00:00,69.25,70.2,68.95,70.14,614058.0,5691.0,69.80278
PKG,2016-07-11 04:00:00+00:00,70.43,70.83,69.6,69.74,712839.0,7096.0,69.865402
PKG,2016-07-12 04:00:00+00:00,70.3,71.09,70.02,70.64,856700.0,8182.0,70.65872
PKG,2016-07-13 04:00:00+00:00,71.15,71.15,70.3,70.98,519664.0,4819.0,70.803836
PKG,2016-07-14 04:00:00+00:00,71.61,72.0,71.36,71.83,854733.0,6869.0,71.72817
PKG,2016-07-15 04:00:00+00:00,72.33,75.08,72.33,74.03,1451558.0,12404.0,74.094981
PKG,2016-07-18 04:00:00+00:00,73.41,73.75,72.65,73.67,872672.0,7429.0,73.392981
PKG,2016-07-19 04:00:00+00:00,73.52,73.79,72.8,73.17,754552.0,7947.0,73.156254
PKG,2016-07-20 04:00:00+00:00,73.41,74.25,73.1,73.78,865680.0,6621.0,73.865354
PKG,2016-07-21 04:00:00+00:00,75.25,76.0,73.75,73.81,1770228.0,13319.0,74.710298
PKG,2016-07-22 04:00:00+00:00,73.82,74.53,73.405,74.34,783568.0,7157.0,74.167384
PKG,2016-07-25 04:00:00+00:00,74.04,74.59,73.6,74.03,470778.0,4819.0,74.008542
PKG,2016-07-26 04:00:00+00:00,74.26,75.5,73.99,75.3,1052253.0,8937.0,75.073346
PKG,2016-07-27 04:00:00+00:00,75.5,75.85,74.48,75.08,680428.0,6628.0,75.081188
PKG,2016-07-28 04:00:00+00:00,75.11,75.46,74.23,74.92,543049.0,5450.0,74.835736
PKG,2016-07-29 04:00:00+00:00,74.67,75.0,74.08,74.69,792473.0,5481.0,74.639317
PKG,2016-08-01 04:00:00+00:00,74.76,74.98,73.7,74.43,820859.0,7067.0,74.185346
PKG,2016-08-02 04:00:00+00:00,74.43,74.43,73.44,73.82,704798.0,6787.0,73.8288
PKG,2016-08-03 04:00:00+00:00,73.68,74.46,73.34,74.04,565401.0,5754.0,74.051767
PKG,2016-08-04 04:00:00+00:00,74.32,75.44,74.21,74.25,749160.0,7950.0,74.620906
PKG,2016-08-05 04:00:00+00:00,74.93,75.59,74.57,74.63,562004.0,5033.0,74.90771
PKG,2016-08-08 04:00:00+00:00,74.38,75.13,74.11,74.62,779807.0,6004.0,74.676419
PKG,2016-08-09 04:00:00+00:00,74.81,75.65,74.801,75.5,691547.0,6162.0,75.389418
PKG,2016-08-10 04:00:00+00:00,75.69,77.29,75.5399,76.33,859629.0,7231.0,76.518947
PKG,2016-08-11 04:00:00+00:00,76.75,77.4,76.22,76.96,632453.0,5155.0,76.846841
PKG,2016-08-12 04:00:00+00:00,76.88,76.99,76.02,76.16,880753.0,6854.0,76.301488
PKG,2016-08-15 04:00:00+00:00,76.27,76.89,75.94,75.97,798464.0,7034.0,76.352766
PKG,2016-08-16 04:00:00+00:00,76.27,77.4,76.2,76.86,795557.0,6592.0,76.880911
PKG,2016-08-17 04:00:00+00:00,77.19,77.4,76.6,77.27,511488.0,4523.0,77.107536
PKG,2016-08-18 04:00:00+00:00,77.32,77.7,76.8501,77.64,681353.0,5695.0,77.426475
PKG,2016-08-19 04:00:00+00:00,77.15,77.97,76.61,77.79,591964.0,6063.0,77.614231
PKG,2016-08-22 04:00:00+00:00,76.81,77.19,74.95,76.51,1016476.0,8520.0,75.965033
PKG,2016-08-23 04:00:00+00:00,77.0,77.73,76.79,77.09,484799.0,4420.0,77.271023
PKG,2016-08-24 04:00:00+00:00,77.09,77.48,75.88,76.01,603490.0,6364.0,76.294563
PKG,2016-08-25 04:00:00+00:00,76.02,79.16,75.7,78.69,1887669.0,14105.0,77.967516
PKG,2016-08-26 04:00:00+00:00,78.78,80.25,77.73,79.36,1507139.0,12954.0,79.603225
PKG,2016-08-29 04:00:00+00:00,79.4,79.92,78.78,78.91,675929.0,6766.0,79.243576
PKG,2016-08-30 04:00:00+00:00,79.0,79.65,78.34,79.42,648427.0,5740.0,79.317345
PKG,2016-08-31 04:00:00+00:00,79.42,79.43,77.77,78.63,1002587.0,8340.0,78.461027
PKG,2016-09-01 04:00:00+00:00,78.78,79.42,78.345,78.94,972117.0,11112.0,78.860344
