symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PNR,2016-01-04 05:00:00+00:00,48.63,49.35,48.18,49.28,1940585.0,14336.0,48.887866
PNR,2016-01-05 05:00:00+00:00,49.54,49.56,48.2302,48.86,838544.0,8497.0,48.685806
PNR,2016-01-06 05:00:00+00:00,47.87,48.53,47.19,47.74,1213137.0,9918.0,47.73943
PNR,2016-01-07 05:00:00+00:00,46.67,47.26,46.27,46.48,1863542.0,12644.0,46.624573
PNR,2016-01-08 05:00:00+00:00,46.77,46.99,45.58,45.64,2815630.0,10723.0,45.83406
PNR,2016-01-11 05:00:00+00:00,46.17,46.28,44.83,45.5,2034567.0,16126.0,45.363278
PNR,2016-01-12 05:00:00+00:00,46.14,46.26,45.08,46.12,1809154.0,12040.0,45.867187
PNR,2016-01-13 05:00:00+00:00,46.35,47.0,44.97,45.07,1741708.0,13747.0,45.551219
PNR,2016-01-14 05:00:00+00:00,45.3,46.0,44.5,45.51,1810729.0,15088.0,45.482538
PNR,2016-01-15 05:00:00+00:00,44.27,45.05,43.99,44.62,2247261.0,17207.0,44.524546
PNR,2016-01-19 05:00:00+00:00,45.33,45.76,43.5437,44.08,1149804.0,10752.0,44.243524
PNR,2016-01-20 05:00:00+00:00,43.26,43.52,42.0,42.99,2360960.0,18967.0,42.821904
PNR,2016-01-21 05:00:00+00:00,43.22,43.69,42.52,43.38,2645855.0,19334.0,43.220112
PNR,2016-01-22 05:00:00+00:00,44.26,45.27,43.36,44.1,2191898.0,12590.0,44.083488
PNR,2016-01-25 05:00:00+00:00,44.16,44.4,43.51,43.58,2313264.0,13886.0,43.759194
PNR,2016-01-26 05:00:00+00:00,44.1,45.54,43.785,45.31,1717043.0,15091.0,45.062938
PNR,2016-01-27 05:00:00+00:00,44.69,46.27,44.65,45.12,1718718.0,12863.0,45.220993
PNR,2016-01-28 05:00:00+00:00,46.1,46.32,44.66,45.47,1797111.0,11856.0,45.379569
PNR,2016-01-29 05:00:00+00:00,45.71,47.13,45.47,47.12,2889396.0,13565.0,46.881189
PNR,2016-02-01 05:00:00+00:00,46.57,46.95,45.95,46.63,1643563.0,13888.0,46.502566
PNR,2016-02-02 05:00:00+00:00,45.47,46.24,44.03,44.6,2743939.0,20706.0,44.895835
PNR,2016-02-03 05:00:00+00:00,45.23,45.54,43.705,45.45,2074953.0,18893.0,44.962592
PNR,2016-02-04 05:00:00+00:00,45.52,48.1,45.52,46.81,3108518.0,19055.0,46.969546
PNR,2016-02-05 05:00:00+00:00,46.56,46.98,45.77,46.25,1984219.0,17140.0,46.275303
PNR,2016-02-08 05:00:00+00:00,45.73,46.05,44.78,45.63,3009386.0,18411.0,45.392529
