symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PPG,2016-01-04 05:00:00+00:00,97.27,97.99,96.06,97.96,1760379.0,17459.0,97.318731
PPG,2016-01-05 05:00:00+00:00,98.63,99.32,97.465,98.31,1462256.0,14602.0,98.248449
PPG,2016-01-06 05:00:00+00:00,96.4,97.2,95.93,96.47,2100456.0,15361.0,96.467356
PPG,2016-01-07 05:00:00+00:00,95.0,97.14,94.68,95.25,2694157.0,23717.0,95.970529
PPG,2016-01-08 05:00:00+00:00,95.68,96.64,94.17,94.49,2104631.0,16146.0,95.256373
PPG,2016-01-11 05:00:00+00:00,95.11,95.72,93.73,94.45,2403431.0,20177.0,94.465004
PPG,2016-01-12 05:00:00+00:00,95.33,95.56,93.79,95.12,1370148.0,14001.0,94.712797
PPG,2016-01-13 05:00:00+00:00,95.99,96.24,93.01,93.05,2300331.0,19969.0,94.278209
PPG,2016-01-14 05:00:00+00:00,93.78,94.12,91.6,93.57,2930408.0,18513.0,93.389705
PPG,2016-01-15 05:00:00+00:00,91.64,92.35,90.34,91.9,2337259.0,19779.0,91.659279
PPG,2016-01-19 05:00:00+00:00,92.8,93.25,89.9,91.6,3762353.0,25282.0,91.660276
PPG,2016-01-20 05:00:00+00:00,90.45,94.69,90.02,93.52,5293424.0,42609.0,92.222417
PPG,2016-01-21 05:00:00+00:00,92.72,94.67,90.61,91.92,4648695.0,38298.0,92.200954
PPG,2016-01-22 05:00:00+00:00,92.79,94.81,92.33,93.16,1949754.0,19437.0,93.230217
PPG,2016-01-25 05:00:00+00:00,92.81,93.32,90.93,91.11,1701515.0,18088.0,91.78337
PPG,2016-01-26 05:00:00+00:00,91.48,93.29,91.11,92.58,1304553.0,14455.0,92.635956
PPG,2016-01-27 05:00:00+00:00,92.02,94.24,91.9,92.8,1960541.0,18855.0,93.259221
PPG,2016-01-28 05:00:00+00:00,93.29,94.04,91.976,92.09,2440247.0,23314.0,92.78582
PPG,2016-01-29 05:00:00+00:00,92.72,95.14,92.28,95.12,2828750.0,20694.0,94.361639
PPG,2016-02-01 05:00:00+00:00,93.71,95.9,93.25,95.59,1899677.0,15873.0,94.966734
PPG,2016-02-02 05:00:00+00:00,94.97,94.97,92.66,93.04,1709520.0,15091.0,93.194311
PPG,2016-02-03 05:00:00+00:00,94.31,95.15,91.87,95.11,2184270.0,17897.0,94.337148
PPG,2016-02-04 05:00:00+00:00,95.33,96.315,94.6,95.7,1556920.0,17399.0,95.409843
PPG,2016-02-05 05:00:00+00:00,95.16,95.83,92.71,92.87,1628056.0,17080.0,93.471995
PPG,2016-02-08 05:00:00+00:00,92.21,92.28,88.86,89.65,2221819.0,19163.0,89.821812
PPG,2016-02-09 05:00:00+00:00,88.62,91.68,88.37,90.99,1631744.0,16754.0,90.584517
PPG,2016-02-10 05:00:00+00:00,91.67,93.21,91.04,91.34,1315421.0,14951.0,91.840926
PPG,2016-02-11 05:00:00+00:00,89.35,90.73,88.4652,89.27,2096302.0,13863.0,89.372921
PPG,2016-02-12 05:00:00+00:00,90.06,92.135,89.62,91.78,1530308.0,14498.0,91.451517
PPG,2016-02-16 05:00:00+00:00,93.06,93.77,91.775,93.62,1402745.0,10514.0,93.346028
