symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PPL,2016-01-04 05:00:00+00:00,33.92,33.93,33.37,33.68,5607682.0,33719.0,33.599742
PPL,2016-01-05 05:00:00+00:00,33.7,34.1,33.23,34.04,5769692.0,29090.0,33.870081
PPL,2016-01-06 05:00:00+00:00,33.77,34.13,33.64,33.93,4346186.0,27463.0,33.944334
PPL,2016-01-07 05:00:00+00:00,33.67,33.83,33.42,33.54,4147674.0,27766.0,33.589449
PPL,2016-01-08 05:00:00+00:00,33.57,33.82,33.325,33.39,6200659.0,35837.0,33.531993
PPL,2016-01-11 05:00:00+00:00,33.59,34.01,33.45,33.89,6176761.0,30836.0,33.794529
PPL,2016-01-12 05:00:00+00:00,33.99,33.99,33.26,33.55,6572168.0,35237.0,33.479803
PPL,2016-01-13 05:00:00+00:00,33.62,33.845,33.4,33.5,5193393.0,33495.0,33.59988
PPL,2016-01-14 05:00:00+00:00,33.55,34.41,33.23,34.16,6806699.0,41727.0,34.00449
PPL,2016-01-15 05:00:00+00:00,33.61,33.99,32.97,33.29,6928262.0,41501.0,33.352576
PPL,2016-01-19 05:00:00+00:00,33.55,33.76,33.26,33.63,6978864.0,38723.0,33.531504
PPL,2016-01-20 05:00:00+00:00,33.4,33.55,32.18,32.8,8862510.0,53267.0,32.710462
PPL,2016-01-21 05:00:00+00:00,32.9,33.31,32.62,33.23,5380815.0,33958.0,33.030557
PPL,2016-01-22 05:00:00+00:00,33.46,34.1,33.24,34.01,5340334.0,30087.0,33.790284
PPL,2016-01-25 05:00:00+00:00,33.99,34.17,33.71,33.76,4561019.0,27396.0,33.921479
PPL,2016-01-26 05:00:00+00:00,33.95,34.29,33.66,33.83,4337204.0,28227.0,33.893227
PPL,2016-01-27 05:00:00+00:00,33.71,34.11,33.54,33.84,4194135.0,25686.0,33.863912
PPL,2016-01-28 05:00:00+00:00,33.84,34.5525,33.6,34.32,4282963.0,25253.0,34.27728
PPL,2016-01-29 05:00:00+00:00,34.69,35.15,34.5,35.06,6135746.0,33819.0,34.952888
PPL,2016-02-01 05:00:00+00:00,35.15,36.1,35.08,35.92,10846035.0,53150.0,35.847175
PPL,2016-02-02 05:00:00+00:00,35.57,36.57,35.52,36.37,8705616.0,50640.0,36.213884
PPL,2016-02-03 05:00:00+00:00,36.41,37.05,36.36,36.69,8111651.0,61964.0,36.725297
PPL,2016-02-04 05:00:00+00:00,36.37,37.23,35.9,36.66,8650486.0,55707.0,36.661043
PPL,2016-02-05 05:00:00+00:00,36.32,36.55,35.85,36.16,8132127.0,49709.0,36.261507
PPL,2016-02-08 05:00:00+00:00,35.78,36.41,35.62,35.99,6292982.0,39738.0,35.890391
PPL,2016-02-09 05:00:00+00:00,35.86,36.55,35.75,36.13,5348509.0,39134.0,36.254672
PPL,2016-02-10 05:00:00+00:00,36.02,36.47,35.61,36.27,4686691.0,32595.0,36.138599
PPL,2016-02-11 05:00:00+00:00,36.1,36.35,35.81,35.9,4878544.0,33188.0,35.965471
PPL,2016-02-12 05:00:00+00:00,35.95,36.047,35.53,35.74,5297810.0,28979.0,35.723983
PPL,2016-02-16 05:00:00+00:00,35.91,36.25,35.6,36.03,5338282.0,25972.0,35.979437
PPL,2016-02-17 05:00:00+00:00,36.1,36.2,35.79,35.99,3771127.0,26617.0,35.99381
PPL,2016-02-18 05:00:00+00:00,36.06,36.65,35.93,36.52,3971228.0,27823.0,36.447519
PPL,2016-02-19 05:00:00+00:00,36.51,36.53,36.06,36.26,7514762.0,23094.0,36.274172
PPL,2016-02-22 05:00:00+00:00,36.28,36.35,35.5,36.0,7531577.0,35898.0,36.018241
PPL,2016-02-23 05:00:00+00:00,36.01,36.36,35.9,36.07,3163198.0,23213.0,36.109477
PPL,2016-02-24 05:00:00+00:00,36.0,36.17,35.42,35.93,7116335.0,40082.0,35.754932
PPL,2016-02-25 05:00:00+00:00,36.07,36.37,35.755,36.35,6136023.0,34184.0,36.073547
PPL,2016-02-26 05:00:00+00:00,36.17,36.3,34.75,34.82,9685622.0,48087.0,35.043322
PPL,2016-02-29 05:00:00+00:00,34.82,35.59,34.6442,34.99,7532362.0,39569.0,35.128517
PPL,2016-03-01 05:00:00+00:00,35.22,35.32,34.61,34.83,6811579.0,36637.0,34.86858
PPL,2016-03-02 05:00:00+00:00,34.68,34.935,34.0,34.92,5789660.0,34058.0,34.587311
PPL,2016-03-03 05:00:00+00:00,35.05,35.27,34.57,35.26,4610531.0,28296.0,35.015498
PPL,2016-03-04 05:00:00+00:00,35.01,35.91,34.82,35.67,4794122.0,30977.0,35.542025
PPL,2016-03-07 05:00:00+00:00,35.67,36.18,35.51,36.06,6053649.0,33393.0,36.018211
PPL,2016-03-08 05:00:00+00:00,35.68,36.07,35.51,35.96,4295715.0,26827.0,35.888647
PPL,2016-03-09 05:00:00+00:00,36.0,36.6,36.0,36.46,4613701.0,31133.0,36.416875
PPL,2016-03-10 05:00:00+00:00,36.45,36.59,36.14,36.55,5093485.0,27519.0,36.453955
PPL,2016-03-11 05:00:00+00:00,36.59,36.77,36.39,36.56,3748074.0,23329.0,36.568061
PPL,2016-03-14 04:00:00+00:00,36.45,36.67,36.185,36.36,3033679.0,19333.0,36.379317
PPL,2016-03-15 04:00:00+00:00,36.21,36.63,36.19,36.51,2763380.0,20257.0,36.491498
PPL,2016-03-16 04:00:00+00:00,36.51,36.98,36.135,36.93,3624803.0,27445.0,36.672409
PPL,2016-03-17 04:00:00+00:00,36.9,37.68,36.78,37.57,5574854.0,33859.0,37.46247
PPL,2016-03-18 04:00:00+00:00,37.44,37.67,37.03,37.06,10671929.0,28470.0,37.268216
PPL,2016-03-21 04:00:00+00:00,37.17,37.43,36.8,37.19,4067271.0,20711.0,37.187685
PPL,2016-03-22 04:00:00+00:00,37.25,37.36,36.955,37.01,5508180.0,25355.0,37.09121
PPL,2016-03-23 04:00:00+00:00,37.0,37.245,36.725,37.06,4938294.0,29853.0,37.043031
PPL,2016-03-24 04:00:00+00:00,37.06,37.305,36.88,37.19,2776370.0,17891.0,37.154184
PPL,2016-03-28 04:00:00+00:00,37.26,37.44,36.955,37.17,1842402.0,13005.0,37.152704
PPL,2016-03-29 04:00:00+00:00,37.28,37.61,37.11,37.6,3366582.0,21373.0,37.448484
PPL,2016-03-30 04:00:00+00:00,37.75,37.85,37.46,37.7,2293453.0,17877.0,37.709974
PPL,2016-03-31 04:00:00+00:00,37.66,38.09,37.57,38.07,5349841.0,27578.0,37.952604
PPL,2016-04-01 04:00:00+00:00,38.07,38.23,37.63,38.19,3918602.0,26839.0,37.993892
PPL,2016-04-04 04:00:00+00:00,38.24,38.3,37.78,38.03,2538900.0,19048.0,37.957755
PPL,2016-04-05 04:00:00+00:00,37.92,37.99,37.2,37.33,4506956.0,26033.0,37.37014
PPL,2016-04-06 04:00:00+00:00,37.28,37.61,36.92,37.56,4065137.0,25803.0,37.347862
PPL,2016-04-07 04:00:00+00:00,37.53,37.71,37.245,37.36,3487499.0,19434.0,37.404933
PPL,2016-04-08 04:00:00+00:00,37.54,37.73,37.29,37.4,2825526.0,20499.0,37.482731
PPL,2016-04-11 04:00:00+00:00,37.34,37.68,37.17,37.19,2461554.0,14458.0,37.287876
PPL,2016-04-12 04:00:00+00:00,37.22,37.54,37.1,37.46,2368908.0,15836.0,37.394389
PPL,2016-04-13 04:00:00+00:00,37.47,37.47,36.85,37.11,3748922.0,20650.0,37.04087
PPL,2016-04-14 04:00:00+00:00,36.98,37.25,36.95,37.05,1885562.0,13227.0,37.06762
PPL,2016-04-15 04:00:00+00:00,37.08,37.59,36.9801,37.54,3542481.0,19539.0,37.400018
PPL,2016-04-18 04:00:00+00:00,37.64,37.79,37.34,37.73,2793696.0,17209.0,37.647256
PPL,2016-04-19 04:00:00+00:00,37.8,37.92,37.49,37.8,3452960.0,20423.0,37.688684
PPL,2016-04-20 04:00:00+00:00,37.77,37.85,37.01,37.05,4553504.0,28341.0,37.350373
PPL,2016-04-21 04:00:00+00:00,37.03,37.05,36.14,36.27,6845567.0,37095.0,36.388201
PPL,2016-04-22 04:00:00+00:00,36.27,36.58,36.27,36.51,3259099.0,18085.0,36.4588
PPL,2016-04-25 04:00:00+00:00,36.5,36.62,36.35,36.55,3616763.0,20631.0,36.502442
PPL,2016-04-26 04:00:00+00:00,36.57,36.65,36.28,36.46,6309921.0,32044.0,36.447442
PPL,2016-04-27 04:00:00+00:00,36.62,37.15,36.46,36.86,5731839.0,32470.0,36.849338
PPL,2016-04-28 04:00:00+00:00,36.5,37.29,36.42,37.27,4295134.0,27651.0,37.105762
PPL,2016-04-29 04:00:00+00:00,37.29,37.75,36.978,37.64,5986411.0,36992.0,37.488084
PPL,2016-05-02 04:00:00+00:00,37.65,38.58,37.64,38.35,6473339.0,40303.0,38.266066
PPL,2016-05-03 04:00:00+00:00,38.27,38.46,37.9,38.08,4936061.0,30792.0,38.098769
PPL,2016-05-04 04:00:00+00:00,38.01,38.605,37.849,38.37,4001069.0,26064.0,38.347361
PPL,2016-05-05 04:00:00+00:00,38.28,38.78,38.17,38.32,4869043.0,30614.0,38.379158
PPL,2016-05-06 04:00:00+00:00,38.31,38.35,37.87,38.3,3262017.0,22273.0,38.168489
PPL,2016-05-09 04:00:00+00:00,38.36,38.58,38.28,38.44,3359015.0,23443.0,38.452565
PPL,2016-05-10 04:00:00+00:00,38.66,38.71,38.33,38.47,4295977.0,25296.0,38.534853
PPL,2016-05-11 04:00:00+00:00,38.57,38.75,38.32,38.71,4207901.0,20624.0,38.636536
PPL,2016-05-12 04:00:00+00:00,38.65,39.08,38.51,38.91,3205868.0,23272.0,38.923086
PPL,2016-05-13 04:00:00+00:00,38.81,38.99,38.61,38.89,4753640.0,22331.0,38.85832
PPL,2016-05-16 04:00:00+00:00,38.74,38.86,38.53,38.81,5285458.0,30080.0,38.705522
PPL,2016-05-17 04:00:00+00:00,38.74,38.78,38.07,38.3,4218898.0,25971.0,38.297091
PPL,2016-05-18 04:00:00+00:00,38.1,38.2,37.21,37.48,7221210.0,43690.0,37.645319
PPL,2016-05-19 04:00:00+00:00,37.28,37.93,37.1,37.9,3985391.0,27058.0,37.698554
PPL,2016-05-20 04:00:00+00:00,38.04,38.0842,37.76,37.96,4568857.0,25013.0,37.936446
PPL,2016-05-23 04:00:00+00:00,37.99,38.05,37.43,37.45,4667962.0,25274.0,37.625841
PPL,2016-05-24 04:00:00+00:00,37.63,38.15,37.51,38.06,4804345.0,31706.0,37.921977
PPL,2016-05-25 04:00:00+00:00,37.83,38.105,37.66,38.0,2958352.0,20841.0,37.944212
PPL,2016-05-26 04:00:00+00:00,38.04,38.58,37.92,38.55,3736222.0,21028.0,38.443616
PPL,2016-05-27 04:00:00+00:00,38.61,38.695,38.33,38.68,3325871.0,21664.0,38.58458
PPL,2016-05-31 04:00:00+00:00,38.56,38.82,38.3,38.54,5939852.0,25714.0,38.543209
PPL,2016-06-01 04:00:00+00:00,38.445,38.75,38.4403,38.64,4844170.0,25568.0,38.595101
PPL,2016-06-02 04:00:00+00:00,38.54,38.6064,38.22,38.57,3049296.0,18984.0,38.492818
