symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PRU,2016-01-04 05:00:00+00:00,79.55,79.88,78.37,79.84,3330425.0,25235.0,79.342096
PRU,2016-01-05 05:00:00+00:00,79.85,80.34,78.83,79.57,2258639.0,21074.0,79.468935
PRU,2016-01-06 05:00:00+00:00,78.07,78.29,76.37,76.92,3352187.0,27472.0,77.118652
PRU,2016-01-07 05:00:00+00:00,75.05,75.96,73.49,73.79,4244083.0,33448.0,74.501143
PRU,2016-01-08 05:00:00+00:00,74.9,75.42,72.855,73.05,4102094.0,25207.0,73.80088
PRU,2016-01-11 05:00:00+00:00,73.42,73.828,71.74,72.89,2941660.0,26887.0,72.673254
PRU,2016-01-12 05:00:00+00:00,74.02,74.17,71.95,73.12,2926333.0,24412.0,72.94215
PRU,2016-01-13 05:00:00+00:00,74.9,75.67,71.18,71.82,5318932.0,41324.0,73.20389
PRU,2016-01-14 05:00:00+00:00,72.16,73.06,70.27,72.07,4457675.0,36598.0,72.002722
PRU,2016-01-15 05:00:00+00:00,69.18,70.48,68.64,70.17,5093890.0,35004.0,69.775054
PRU,2016-01-19 05:00:00+00:00,71.24,71.55,68.8466,69.29,3668878.0,28332.0,69.771537
PRU,2016-01-20 05:00:00+00:00,67.14,68.22,65.07,67.36,5349163.0,42654.0,66.663937
PRU,2016-01-21 05:00:00+00:00,67.75,69.35,67.6,68.13,3767227.0,29713.0,68.449521
PRU,2016-01-22 05:00:00+00:00,69.43,70.3,69.0,69.87,3733806.0,25972.0,69.670226
PRU,2016-01-25 05:00:00+00:00,69.52,70.12,67.78,67.88,2803889.0,22840.0,68.651445
PRU,2016-01-26 05:00:00+00:00,68.2,69.75,68.12,69.11,2606726.0,19760.0,69.161441
PRU,2016-01-27 05:00:00+00:00,69.09,70.37,67.91,68.51,2922401.0,23247.0,69.110434
PRU,2016-01-28 05:00:00+00:00,69.46,69.53,67.9156,68.84,2533360.0,21878.0,68.747605
PRU,2016-01-29 05:00:00+00:00,69.05,70.08,68.36,70.08,4767378.0,30000.0,69.614599
PRU,2016-02-01 05:00:00+00:00,69.34,69.95,68.34,69.57,3348362.0,25063.0,69.25737
PRU,2016-02-02 05:00:00+00:00,68.15,68.15,66.77,67.23,4043529.0,29273.0,67.222816
PRU,2016-02-03 05:00:00+00:00,67.8,67.85,65.09,66.79,4142264.0,34557.0,66.261037
PRU,2016-02-04 05:00:00+00:00,66.42,67.77,66.03,66.98,3468129.0,25924.0,66.819022
PRU,2016-02-05 05:00:00+00:00,67.02,67.81,65.0,65.35,4790249.0,32412.0,65.862617
PRU,2016-02-08 05:00:00+00:00,64.81,64.97,62.52,63.33,3805091.0,33064.0,63.415545
PRU,2016-02-09 05:00:00+00:00,62.15,64.13,61.385,63.59,4634036.0,32406.0,62.790038
PRU,2016-02-10 05:00:00+00:00,64.63,65.47,63.77,64.06,5325485.0,41129.0,64.45767
PRU,2016-02-11 05:00:00+00:00,60.69,60.84,57.19,58.0,9217457.0,63176.0,58.302237
PRU,2016-02-12 05:00:00+00:00,58.63,62.48,58.54,61.64,6799535.0,47363.0,61.445091
PRU,2016-02-16 05:00:00+00:00,62.66,63.8633,61.74,63.44,4327709.0,29077.0,63.207315
PRU,2016-02-17 05:00:00+00:00,64.88,67.19,64.85,66.6,6037529.0,41522.0,66.146889
PRU,2016-02-18 05:00:00+00:00,66.64,66.92,65.52,66.14,3836823.0,26278.0,66.040694
PRU,2016-02-19 05:00:00+00:00,64.98,65.44,63.965,65.36,3224287.0,27056.0,64.812242
PRU,2016-02-22 05:00:00+00:00,66.19,66.83,65.68,66.08,2801084.0,19756.0,66.059281
PRU,2016-02-23 05:00:00+00:00,65.85,66.088,64.03,64.59,3743412.0,24636.0,64.678115
PRU,2016-02-24 05:00:00+00:00,63.63,64.85,62.62,64.71,3952315.0,27323.0,63.751169
PRU,2016-02-25 05:00:00+00:00,64.95,66.1,64.64,66.07,2067677.0,17420.0,65.533303
PRU,2016-02-26 05:00:00+00:00,66.88,68.27,66.56,66.99,3316790.0,24466.0,67.331483
PRU,2016-02-29 05:00:00+00:00,66.65,67.11,65.99,66.09,3316783.0,21804.0,66.342872
PRU,2016-03-01 05:00:00+00:00,67.2,70.345,67.04,70.31,4935778.0,31474.0,69.56138
PRU,2016-03-02 05:00:00+00:00,70.23,71.2,69.91,70.76,3350885.0,25930.0,70.500462
PRU,2016-03-03 05:00:00+00:00,70.39,71.97,70.37,71.87,2793593.0,23878.0,71.612858
PRU,2016-03-04 05:00:00+00:00,72.24,72.65,70.8,71.47,2683692.0,21732.0,71.636342
PRU,2016-03-07 05:00:00+00:00,70.8,72.17,70.68,72.13,2256179.0,19224.0,71.802075
PRU,2016-03-08 05:00:00+00:00,70.98,71.49,69.44,70.31,3371574.0,21552.0,70.442198
PRU,2016-03-09 05:00:00+00:00,70.97,71.27,69.91,70.41,2426694.0,19077.0,70.421284
PRU,2016-03-10 05:00:00+00:00,71.04,72.05,69.33,70.56,3363012.0,24806.0,70.411034
PRU,2016-03-11 05:00:00+00:00,71.61,73.7,71.61,73.55,3281655.0,23595.0,73.166335
PRU,2016-03-14 04:00:00+00:00,73.16,73.62,72.74,73.0,3002732.0,24787.0,73.188087
PRU,2016-03-15 04:00:00+00:00,72.2,72.42,71.36,72.42,2496509.0,19869.0,72.038118
PRU,2016-03-16 04:00:00+00:00,72.36,73.36,71.76,72.56,2364615.0,22640.0,72.670813
PRU,2016-03-17 04:00:00+00:00,72.57,73.91,71.44,73.36,2658967.0,20976.0,73.065148
PRU,2016-03-18 04:00:00+00:00,73.96,75.4178,73.84,74.94,4889522.0,23214.0,74.560586
PRU,2016-03-21 04:00:00+00:00,74.95,75.57,74.05,74.55,2342352.0,17925.0,74.721501
PRU,2016-03-22 04:00:00+00:00,73.31,74.4,73.0,74.12,3017304.0,18614.0,73.983096
PRU,2016-03-23 04:00:00+00:00,73.83,74.0,72.59,72.83,2205637.0,19443.0,73.026029
PRU,2016-03-24 04:00:00+00:00,70.0,70.78,69.35,70.76,6633518.0,40929.0,70.151862
PRU,2016-03-28 04:00:00+00:00,71.13,72.33,71.03,72.01,3318992.0,21672.0,71.864094
PRU,2016-03-29 04:00:00+00:00,71.5,71.67,70.33,71.52,2721535.0,21709.0,71.142012
PRU,2016-03-30 04:00:00+00:00,72.26,74.73,71.86,72.95,4368864.0,32301.0,73.241686
PRU,2016-03-31 04:00:00+00:00,72.85,73.4,71.87,72.22,2826262.0,21135.0,72.489822
PRU,2016-04-01 04:00:00+00:00,71.52,73.33,70.81,73.25,2721824.0,23329.0,72.744615
PRU,2016-04-04 04:00:00+00:00,73.05,73.28,72.11,72.28,2014642.0,17804.0,72.487273
PRU,2016-04-05 04:00:00+00:00,71.41,71.82,70.87,71.2,2292524.0,21727.0,71.325906
PRU,2016-04-06 04:00:00+00:00,71.33,72.2801,71.06,71.84,2602328.0,21666.0,71.716448
PRU,2016-04-07 04:00:00+00:00,70.98,71.47,69.32,70.01,3171728.0,24389.0,70.207659
PRU,2016-04-08 04:00:00+00:00,71.0,71.32,69.7704,70.17,3740035.0,29101.0,70.384368
PRU,2016-04-11 04:00:00+00:00,70.89,72.28,70.84,71.54,2325236.0,19220.0,71.714343
PRU,2016-04-12 04:00:00+00:00,71.98,73.53,71.74,73.27,2627016.0,22105.0,73.007419
PRU,2016-04-13 04:00:00+00:00,74.2,75.83,74.2,75.77,2735944.0,24320.0,75.466934
PRU,2016-04-14 04:00:00+00:00,75.57,76.59,75.23,76.29,1997537.0,17268.0,76.16643
PRU,2016-04-15 04:00:00+00:00,76.21,76.34,75.56,76.01,2155507.0,15495.0,75.983922
PRU,2016-04-18 04:00:00+00:00,75.68,76.65,75.36,76.65,1965502.0,15913.0,76.347148
PRU,2016-04-19 04:00:00+00:00,76.99,77.95,76.81,77.5,2015925.0,19391.0,77.463454
PRU,2016-04-20 04:00:00+00:00,77.94,79.1,77.53,78.89,2251261.0,18915.0,78.534332
PRU,2016-04-21 04:00:00+00:00,78.91,79.45,78.46,78.59,1888769.0,17872.0,78.774327
PRU,2016-04-22 04:00:00+00:00,78.81,79.97,78.76,79.58,1847136.0,15715.0,79.505356
PRU,2016-04-25 04:00:00+00:00,78.94,79.3597,78.01,78.85,1919227.0,14512.0,78.599175
PRU,2016-04-26 04:00:00+00:00,79.19,79.74,78.77,79.71,2149935.0,17526.0,79.418396
PRU,2016-04-27 04:00:00+00:00,79.67,80.45,79.2,79.65,2856796.0,21255.0,79.744654
PRU,2016-04-28 04:00:00+00:00,78.74,79.12,77.66,77.94,2890604.0,20663.0,78.387143
PRU,2016-04-29 04:00:00+00:00,77.79,78.13,76.87,77.64,2833679.0,21801.0,77.439138
PRU,2016-05-02 04:00:00+00:00,78.38,78.8,77.34,78.67,1653586.0,14795.0,78.428089
PRU,2016-05-03 04:00:00+00:00,77.35,77.52,75.96,77.47,2476838.0,22904.0,76.995805
PRU,2016-05-04 04:00:00+00:00,76.84,77.08,75.78,76.27,4300983.0,32305.0,76.24146
PRU,2016-05-05 04:00:00+00:00,74.93,76.83,74.93,75.83,2777391.0,23136.0,75.813785
PRU,2016-05-06 04:00:00+00:00,75.34,76.36,75.01,76.05,2288799.0,19340.0,75.849029
PRU,2016-05-09 04:00:00+00:00,76.03,76.31,75.33,75.63,1730772.0,14168.0,75.734175
PRU,2016-05-10 04:00:00+00:00,76.17,77.47,75.91,77.16,2432980.0,19792.0,77.066597
