symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PTC,2016-01-04 05:00:00+00:00,34.2,34.2,33.14,33.73,625086.0,5057.0,33.731146
PTC,2016-01-05 05:00:00+00:00,33.74,33.99,33.56,33.66,418583.0,3662.0,33.679773
PTC,2016-01-06 05:00:00+00:00,33.25,33.84,32.77,33.07,773350.0,5393.0,33.262183
PTC,2016-01-07 05:00:00+00:00,32.56,32.88,31.54,31.77,974434.0,8708.0,32.006997
PTC,2016-01-08 05:00:00+00:00,31.94,32.18,31.3,31.36,963334.0,8126.0,31.590158
PTC,2016-01-11 05:00:00+00:00,31.43,31.6,30.75,31.07,1072364.0,9118.0,31.125333
PTC,2016-01-12 05:00:00+00:00,31.26,31.55,30.69,31.14,626856.0,6256.0,31.059118
PTC,2016-01-13 05:00:00+00:00,31.02,31.76,29.91,30.06,1314694.0,11706.0,30.660676
PTC,2016-01-14 05:00:00+00:00,30.42,31.43,29.96,31.34,1174892.0,11570.0,30.848803
PTC,2016-01-15 05:00:00+00:00,30.4,30.8,30.1,30.68,913300.0,7990.0,30.480353
PTC,2016-01-19 05:00:00+00:00,30.83,31.06,29.61,30.1,1278931.0,9425.0,30.386877
PTC,2016-01-20 05:00:00+00:00,29.59,29.99,28.75,29.61,1561008.0,14215.0,29.407418
PTC,2016-01-21 05:00:00+00:00,31.33,32.9,29.84,31.14,2583442.0,21489.0,31.440461
PTC,2016-01-22 05:00:00+00:00,31.69,32.035,31.11,31.45,1167745.0,9718.0,31.395989
PTC,2016-01-25 05:00:00+00:00,31.26,31.43,29.92,29.94,988138.0,7809.0,30.348306
PTC,2016-01-26 05:00:00+00:00,30.03,30.305,29.7,30.26,946649.0,8900.0,30.124301
PTC,2016-01-27 05:00:00+00:00,30.06,30.18,29.35,29.55,968601.0,9241.0,29.711437
PTC,2016-01-28 05:00:00+00:00,29.83,30.0,28.795,28.94,860884.0,7148.0,29.102616
PTC,2016-01-29 05:00:00+00:00,28.98,29.735,28.89,29.61,1136432.0,8551.0,29.511104
PTC,2016-02-01 05:00:00+00:00,30.05,30.5,29.59,30.38,1161597.0,10567.0,30.154735
PTC,2016-02-02 05:00:00+00:00,30.04,30.25,29.28,29.42,912863.0,8337.0,29.696048
PTC,2016-02-03 05:00:00+00:00,29.54,29.82,28.79,29.57,715869.0,6171.0,29.348954
PTC,2016-02-04 05:00:00+00:00,29.45,30.05,29.28,29.59,733349.0,7398.0,29.633869
PTC,2016-02-05 05:00:00+00:00,29.24,29.51,27.82,28.11,1224087.0,9753.0,28.270375
PTC,2016-02-08 05:00:00+00:00,27.5,28.31,27.06,27.71,1256358.0,10337.0,27.540972
PTC,2016-02-09 05:00:00+00:00,27.36,28.38,27.31,27.78,861405.0,6813.0,27.837425
PTC,2016-02-10 05:00:00+00:00,28.0,29.48,27.74,27.78,917490.0,8771.0,28.022455
PTC,2016-02-11 05:00:00+00:00,27.49,28.33,27.44,28.04,1000959.0,8677.0,27.908027
PTC,2016-02-12 05:00:00+00:00,28.27,28.67,28.175,28.63,635796.0,5964.0,28.500152
PTC,2016-02-16 05:00:00+00:00,28.94,29.13,28.58,28.66,753880.0,5810.0,28.804403
PTC,2016-02-17 05:00:00+00:00,28.8,29.71,28.71,29.68,855192.0,6388.0,29.406457
PTC,2016-02-18 05:00:00+00:00,29.81,29.98,29.34,29.46,704615.0,5979.0,29.460067
PTC,2016-02-19 05:00:00+00:00,29.26,30.11,29.18,30.1,679240.0,6078.0,29.83699
PTC,2016-02-22 05:00:00+00:00,30.31,30.58,30.08,30.57,465932.0,4398.0,30.42974
PTC,2016-02-23 05:00:00+00:00,30.51,30.51,29.95,30.02,583612.0,4867.0,30.08127
PTC,2016-02-24 05:00:00+00:00,29.72,30.51,29.52,30.44,800455.0,6481.0,30.128866
PTC,2016-02-25 05:00:00+00:00,30.79,31.28,30.54,30.8,767818.0,6362.0,30.784024
PTC,2016-02-26 05:00:00+00:00,30.89,31.36,30.76,31.23,584735.0,4881.0,31.153989
PTC,2016-02-29 05:00:00+00:00,31.19,31.47,30.535,30.91,721601.0,4618.0,31.088755
PTC,2016-03-01 05:00:00+00:00,31.17,32.0,31.0,31.99,503387.0,4226.0,31.739004
PTC,2016-03-02 05:00:00+00:00,31.87,32.16,31.615,32.12,312678.0,2749.0,31.96081
PTC,2016-03-03 05:00:00+00:00,32.01,32.22,31.59,32.22,453985.0,3245.0,32.041789
PTC,2016-03-04 05:00:00+00:00,32.25,32.48,31.87,32.18,792198.0,4404.0,32.212136
PTC,2016-03-07 05:00:00+00:00,32.02,32.14,30.15,31.88,822387.0,5807.0,31.823102
PTC,2016-03-08 05:00:00+00:00,31.71,31.89,31.29,31.51,332573.0,3212.0,31.52874
PTC,2016-03-09 05:00:00+00:00,31.62,31.77,31.07,31.55,407620.0,3227.0,31.578928
PTC,2016-03-10 05:00:00+00:00,31.78,31.99,30.81,31.21,437476.0,3575.0,31.21615
PTC,2016-03-11 05:00:00+00:00,31.42,31.67,31.34,31.51,343556.0,2750.0,31.521953
PTC,2016-03-14 04:00:00+00:00,31.44,31.83,31.33,31.69,296555.0,3289.0,31.62353
PTC,2016-03-15 04:00:00+00:00,31.56,31.88,31.46,31.57,517093.0,4600.0,31.632912
PTC,2016-03-16 04:00:00+00:00,31.53,31.855,31.35,31.84,315166.0,2907.0,31.710631
PTC,2016-03-17 04:00:00+00:00,31.85,32.425,31.58,32.32,389403.0,3423.0,32.188122
PTC,2016-03-18 04:00:00+00:00,32.08,32.9995,30.76,32.84,1145878.0,5204.0,32.596421
PTC,2016-03-21 04:00:00+00:00,32.63,32.69,32.01,32.28,429852.0,3698.0,32.341488
PTC,2016-03-22 04:00:00+00:00,32.18,32.675,32.15,32.42,339154.0,4758.0,32.445872
PTC,2016-03-23 04:00:00+00:00,32.41,32.53,31.58,31.59,449375.0,3655.0,31.769624
PTC,2016-03-24 04:00:00+00:00,31.37,32.12,31.17,32.1,318610.0,3421.0,31.852887
PTC,2016-03-28 04:00:00+00:00,32.24,32.69,31.73,32.03,478348.0,3056.0,32.078778
PTC,2016-03-29 04:00:00+00:00,31.88,32.92,31.87,32.89,607570.0,4509.0,32.6902
PTC,2016-03-30 04:00:00+00:00,33.1,33.26,32.4,32.93,366066.0,3270.0,32.92623
PTC,2016-03-31 04:00:00+00:00,32.83,33.27,32.75,33.16,583427.0,3926.0,33.11893
PTC,2016-04-01 04:00:00+00:00,32.85,33.1,32.58,33.0,555381.0,4680.0,32.898872
PTC,2016-04-04 04:00:00+00:00,33.0,33.05,32.59,32.63,395521.0,3586.0,32.84096
PTC,2016-04-05 04:00:00+00:00,32.42,32.51,32.01,32.1,227193.0,1997.0,32.172753
PTC,2016-04-06 04:00:00+00:00,31.64,32.66,31.61,32.65,356903.0,3308.0,32.426639
PTC,2016-04-07 04:00:00+00:00,32.45,32.61,32.01,32.2,353825.0,3503.0,32.22523
PTC,2016-04-08 04:00:00+00:00,32.49,32.715,31.58,31.96,424639.0,3482.0,31.981493
PTC,2016-04-11 04:00:00+00:00,31.96,32.74,31.96,32.38,679292.0,5581.0,32.409389
PTC,2016-04-12 04:00:00+00:00,32.36,32.54,31.99,32.29,414920.0,4434.0,32.267433
PTC,2016-04-13 04:00:00+00:00,32.43,33.0,32.43,32.96,439547.0,4246.0,32.846403
PTC,2016-04-14 04:00:00+00:00,32.9,32.99,32.57,32.74,483156.0,3855.0,32.749589
PTC,2016-04-15 04:00:00+00:00,32.7,33.29,32.65,33.29,1198932.0,5551.0,32.949494
PTC,2016-04-18 04:00:00+00:00,33.13,33.49,33.02,33.38,286191.0,3088.0,33.344234
PTC,2016-04-19 04:00:00+00:00,33.4,33.72,33.06,33.68,544593.0,4919.0,33.507424
PTC,2016-04-20 04:00:00+00:00,33.76,34.7,33.395,34.21,1307478.0,9254.0,34.16182
PTC,2016-04-21 04:00:00+00:00,37.39,38.5,36.0,37.55,3151134.0,23716.0,36.878821
PTC,2016-04-22 04:00:00+00:00,37.41,37.6556,36.54,37.02,1998646.0,15099.0,37.024359
PTC,2016-04-25 04:00:00+00:00,37.08,37.36,36.4,36.85,824840.0,7239.0,36.813772
PTC,2016-04-26 04:00:00+00:00,36.79,37.19,36.62,37.04,532107.0,5168.0,36.941464
PTC,2016-04-27 04:00:00+00:00,36.92,37.28,36.37,36.96,712421.0,6857.0,36.862838
