symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RMD,2016-01-04 05:00:00+00:00,52.97,52.97,51.7,52.21,1444652.0,8912.0,52.12514
RMD,2016-01-05 05:00:00+00:00,52.56,53.02,52.35,52.44,706527.0,5774.0,52.568811
RMD,2016-01-06 05:00:00+00:00,51.67,51.89,51.09,51.4,1625287.0,8790.0,51.430776
RMD,2016-01-07 05:00:00+00:00,50.81,52.02,50.771,51.86,1476433.0,9681.0,51.525573
RMD,2016-01-08 05:00:00+00:00,52.14,52.6,51.92,52.12,1287387.0,9215.0,52.263817
RMD,2016-01-11 05:00:00+00:00,52.16,52.66,51.95,52.32,1392366.0,12283.0,52.33203
RMD,2016-01-12 05:00:00+00:00,52.67,53.27,52.4,53.13,1061416.0,9287.0,52.803719
RMD,2016-01-13 05:00:00+00:00,53.63,53.85,53.03,53.12,1354530.0,11863.0,53.270307
RMD,2016-01-14 05:00:00+00:00,53.2,54.27,52.8,54.17,1252443.0,12421.0,53.862805
RMD,2016-01-15 05:00:00+00:00,53.19,53.34,52.38,53.29,1544148.0,13331.0,53.034321
RMD,2016-01-19 05:00:00+00:00,52.66,53.85,52.6,53.66,2043615.0,17298.0,53.278607
RMD,2016-01-20 05:00:00+00:00,53.0,54.11,52.37,53.76,2677392.0,23992.0,53.121773
RMD,2016-01-21 05:00:00+00:00,53.54,55.14,53.28,54.04,1931622.0,16379.0,54.174246
RMD,2016-01-22 05:00:00+00:00,57.62,60.0,57.38,57.57,4168311.0,31102.0,58.351245
RMD,2016-01-25 05:00:00+00:00,57.79,59.65,57.7,58.66,1936868.0,16798.0,58.656001
RMD,2016-01-26 05:00:00+00:00,58.45,59.08,58.29,59.02,1336294.0,10580.0,58.820868
RMD,2016-01-27 05:00:00+00:00,58.68,59.34,57.36,57.57,1171327.0,9868.0,58.014765
RMD,2016-01-28 05:00:00+00:00,57.95,58.02,55.98,56.25,1540098.0,12384.0,56.319868
RMD,2016-01-29 05:00:00+00:00,56.7,57.19,56.38,56.7,1917392.0,13569.0,56.635726
RMD,2016-02-01 05:00:00+00:00,56.77,57.52,56.3,57.23,1106465.0,9029.0,57.169201
RMD,2016-02-02 05:00:00+00:00,57.0,57.29,56.66,57.05,823979.0,7606.0,56.99181
RMD,2016-02-03 05:00:00+00:00,57.54,57.85,57.01,57.58,1981901.0,13466.0,57.444783
RMD,2016-02-04 05:00:00+00:00,57.28,58.0,56.92,57.82,1798625.0,13427.0,57.740587
RMD,2016-02-05 05:00:00+00:00,58.12,58.58,57.31,57.42,1101081.0,10805.0,57.824829
RMD,2016-02-08 05:00:00+00:00,56.89,57.21,56.41,57.04,950523.0,8779.0,56.849319
RMD,2016-02-09 05:00:00+00:00,55.99,57.63,55.8301,57.18,1475684.0,12497.0,57.102454
RMD,2016-02-10 05:00:00+00:00,57.56,58.93,57.19,57.74,1921742.0,15545.0,58.376912
