symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SLB,2016-01-04 05:00:00+00:00,69.45,70.02,67.96,69.18,9883336.0,68738.0,68.938605
SLB,2016-01-05 05:00:00+00:00,69.31,69.84,68.09,69.5,7087556.0,51727.0,69.012032
SLB,2016-01-06 05:00:00+00:00,67.92,69.4,67.47,67.7,12693683.0,80431.0,68.364135
SLB,2016-01-07 05:00:00+00:00,66.23,67.76,65.8,66.19,12905582.0,81052.0,66.562831
SLB,2016-01-08 05:00:00+00:00,66.36,66.81,64.89,65.08,10279667.0,71396.0,65.513497
SLB,2016-01-11 05:00:00+00:00,65.19,65.47,63.79,64.83,9237992.0,70100.0,64.696814
SLB,2016-01-12 05:00:00+00:00,65.95,66.11,63.19,64.74,10899382.0,81286.0,64.394551
SLB,2016-01-13 05:00:00+00:00,65.6,66.35,63.51,63.95,13436083.0,95273.0,64.700108
SLB,2016-01-14 05:00:00+00:00,64.01,65.345,61.75,64.68,15252744.0,99579.0,64.180936
SLB,2016-01-15 05:00:00+00:00,62.06,63.83,61.71,63.01,16284230.0,97005.0,62.635657
SLB,2016-01-19 05:00:00+00:00,63.12,64.3,62.05,62.82,12096309.0,86383.0,63.244194
SLB,2016-01-20 05:00:00+00:00,61.4,62.27,59.6,61.06,16865869.0,127541.0,60.60878
SLB,2016-01-21 05:00:00+00:00,61.21,63.47,60.37,61.45,13933642.0,102208.0,62.015117
SLB,2016-01-22 05:00:00+00:00,64.52,66.25,62.97,65.2,20338159.0,139784.0,64.585346
SLB,2016-01-25 05:00:00+00:00,64.11,66.13,63.23,63.3,15000115.0,104705.0,64.084552
SLB,2016-01-26 05:00:00+00:00,64.39,65.7699,63.42,65.33,14460849.0,103427.0,65.021919
SLB,2016-01-27 05:00:00+00:00,65.34,67.13,64.575,65.55,13109750.0,103501.0,65.952315
SLB,2016-01-28 05:00:00+00:00,68.33,69.6,67.24,69.51,17607603.0,111035.0,68.72958
SLB,2016-01-29 05:00:00+00:00,69.98,72.5,69.57,72.27,19625602.0,124819.0,71.383845
SLB,2016-02-01 05:00:00+00:00,71.12,71.665,70.04,71.46,12573409.0,88297.0,70.949367
SLB,2016-02-02 05:00:00+00:00,69.32,69.98,68.37,68.84,13984076.0,93154.0,69.174032
SLB,2016-02-03 05:00:00+00:00,70.03,70.86,67.64,70.83,14416715.0,91956.0,69.877064
