symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SO,2016-01-04 05:00:00+00:00,46.41,47.07,46.25,47.03,7471568.0,42602.0,46.732403
SO,2016-01-05 05:00:00+00:00,46.95,47.38,46.59,47.36,6106475.0,40450.0,47.190649
SO,2016-01-06 05:00:00+00:00,47.06,47.495,46.82,47.37,6113209.0,41311.0,47.223641
SO,2016-01-07 05:00:00+00:00,47.0,47.45,46.79,46.97,6675735.0,38432.0,47.052295
SO,2016-01-08 05:00:00+00:00,47.0,47.29,46.56,46.62,5557091.0,38679.0,46.891762
SO,2016-01-11 05:00:00+00:00,46.8,47.01,46.63,46.84,6143132.0,45969.0,46.821621
SO,2016-01-12 05:00:00+00:00,46.9,46.92,46.0,46.45,6330652.0,40975.0,46.421299
SO,2016-01-13 05:00:00+00:00,46.55,47.03,46.44,46.8,6164944.0,43689.0,46.726486
SO,2016-01-14 05:00:00+00:00,46.8,47.55,46.44,47.14,6490743.0,39042.0,47.131367
SO,2016-01-15 05:00:00+00:00,46.69,47.24,46.54,47.17,7516098.0,45669.0,46.972178
SO,2016-01-19 05:00:00+00:00,47.22,48.04,47.18,47.94,7952574.0,50002.0,47.819435
SO,2016-01-20 05:00:00+00:00,47.7,47.99,46.66,47.16,8358113.0,55675.0,47.211067
SO,2016-01-21 05:00:00+00:00,47.28,47.55,46.34,46.81,6235152.0,39440.0,46.794552
SO,2016-01-22 05:00:00+00:00,46.79,47.38,46.56,47.35,6430021.0,40147.0,47.014495
SO,2016-01-25 05:00:00+00:00,47.42,47.52,47.09,47.39,4474283.0,29691.0,47.347635
SO,2016-01-26 05:00:00+00:00,47.52,48.08,47.385,47.58,4234895.0,23534.0,47.664192
SO,2016-01-27 05:00:00+00:00,47.42,47.89,47.24,47.64,3578756.0,25092.0,47.624431
SO,2016-01-28 05:00:00+00:00,47.61,48.56,47.25,48.28,4326382.0,25695.0,48.174129
SO,2016-01-29 05:00:00+00:00,48.58,49.0,48.48,48.92,8299086.0,40878.0,48.876689
SO,2016-02-01 05:00:00+00:00,48.94,49.99,48.79,49.9,10495963.0,62612.0,49.718157
SO,2016-02-02 05:00:00+00:00,49.55,49.79,49.42,49.63,6502863.0,45450.0,49.596769
SO,2016-02-03 05:00:00+00:00,49.41,50.24,48.31,48.51,15734659.0,92491.0,49.107724
SO,2016-02-04 05:00:00+00:00,48.5,48.69,47.45,48.42,9528822.0,60613.0,48.196332
SO,2016-02-05 05:00:00+00:00,48.02,48.5,47.26,48.22,9053428.0,55618.0,47.985112
SO,2016-02-08 05:00:00+00:00,48.18,48.85,48.04,48.82,7417784.0,50201.0,48.539811
SO,2016-02-09 05:00:00+00:00,48.58,49.32,48.28,49.2,7408378.0,44743.0,48.977174
SO,2016-02-10 05:00:00+00:00,48.9,49.35,48.27,49.21,6352721.0,41796.0,48.903581
SO,2016-02-11 05:00:00+00:00,48.19,48.76,48.02,48.05,6379073.0,41838.0,48.230732
