symbol,timestamp,open,high,low,close,volume,trade_count,vwap
STT,2016-01-04 05:00:00+00:00,64.71,65.18,64.14,65.14,2839054.0,21064.0,64.772963
STT,2016-01-05 05:00:00+00:00,64.97,65.65,64.74,65.24,1635900.0,12860.0,65.106375
STT,2016-01-06 05:00:00+00:00,64.02,64.07,62.83,63.07,2483850.0,20858.0,63.286669
STT,2016-01-07 05:00:00+00:00,62.03,62.14,60.0,60.22,3387729.0,26926.0,60.771862
STT,2016-01-08 05:00:00+00:00,60.84,60.84,58.53,58.65,2138225.0,15745.0,59.376184
STT,2016-01-11 05:00:00+00:00,58.98,59.44,57.455,58.44,3355471.0,24498.0,58.209831
STT,2016-01-12 05:00:00+00:00,58.96,59.49,58.15,59.35,2789405.0,22265.0,58.96038
STT,2016-01-13 05:00:00+00:00,59.77,59.96,56.72,56.81,2437693.0,21092.0,57.629134
STT,2016-01-14 05:00:00+00:00,57.42,58.24,56.14,57.44,3863267.0,28760.0,57.559833
STT,2016-01-15 05:00:00+00:00,55.49,55.92,53.77,54.97,4715080.0,33550.0,54.941662
STT,2016-01-19 05:00:00+00:00,55.84,55.93,54.76,55.54,5189840.0,36832.0,55.284606
STT,2016-01-20 05:00:00+00:00,54.1,55.7913,53.21,55.13,6408317.0,43513.0,54.390657
STT,2016-01-21 05:00:00+00:00,55.2,55.96,54.24,54.43,2998881.0,21159.0,54.93157
STT,2016-01-22 05:00:00+00:00,55.51,56.35,55.14,55.83,2993314.0,20733.0,55.766265
STT,2016-01-25 05:00:00+00:00,55.41,55.59,54.19,54.22,3759839.0,29988.0,54.594136
STT,2016-01-26 05:00:00+00:00,54.59,56.08,54.49,55.93,3448725.0,29077.0,55.727242
STT,2016-01-27 05:00:00+00:00,53.75,54.49,51.77,51.91,6484076.0,40393.0,52.904362
STT,2016-01-28 05:00:00+00:00,52.1,52.66,50.73,51.98,4738729.0,36889.0,51.635694
STT,2016-01-29 05:00:00+00:00,52.44,55.83,52.41,55.73,6414302.0,41650.0,54.585898
STT,2016-02-01 05:00:00+00:00,55.15,55.34,54.295,54.79,3748602.0,27553.0,54.689378
STT,2016-02-02 05:00:00+00:00,53.49,53.5,52.19,52.97,5163877.0,36878.0,52.77938
STT,2016-02-03 05:00:00+00:00,53.73,53.91,51.7,53.78,5369439.0,41670.0,52.996788
STT,2016-02-04 05:00:00+00:00,53.68,56.16,53.39,55.11,4029396.0,33397.0,55.191499
STT,2016-02-05 05:00:00+00:00,54.94,55.98,53.99,54.42,3379990.0,27430.0,54.574437
STT,2016-02-08 05:00:00+00:00,53.53,53.9,52.46,53.57,4167914.0,32283.0,53.147303
STT,2016-02-09 05:00:00+00:00,52.16,53.95,52.16,53.4,4362092.0,31952.0,53.314346
STT,2016-02-10 05:00:00+00:00,53.87,55.065,53.7,53.73,2715410.0,23804.0,54.158313
STT,2016-02-11 05:00:00+00:00,51.44,53.07,51.44,52.38,3894316.0,32107.0,52.220038
STT,2016-02-12 05:00:00+00:00,53.52,54.9,52.87,54.68,2718391.0,22523.0,54.350902
STT,2016-02-16 05:00:00+00:00,55.21,57.27,55.02,56.64,3516774.0,24678.0,56.493748
STT,2016-02-17 05:00:00+00:00,57.2,58.04,56.41,56.58,3191555.0,23145.0,56.93862
STT,2016-02-18 05:00:00+00:00,56.68,56.88,55.145,55.58,3412576.0,23778.0,55.593529
STT,2016-02-19 05:00:00+00:00,55.19,56.91,54.75,56.19,4949701.0,33164.0,56.13074
STT,2016-02-22 05:00:00+00:00,56.64,57.65,55.92,56.82,4010806.0,25584.0,56.648033
STT,2016-02-23 05:00:00+00:00,56.3,56.77,55.3,55.63,3251425.0,24726.0,55.757517
STT,2016-02-24 05:00:00+00:00,54.16,54.36,52.67,54.18,4994644.0,37692.0,53.583283
STT,2016-02-25 05:00:00+00:00,54.28,54.74,53.62,54.74,4142230.0,32307.0,54.21037
STT,2016-02-26 05:00:00+00:00,55.35,56.09,54.72,55.41,2876738.0,19751.0,55.545635
STT,2016-02-29 05:00:00+00:00,55.49,55.64,54.31,54.78,3927282.0,25669.0,54.998042
STT,2016-03-01 05:00:00+00:00,55.42,57.28,55.4,57.14,2811396.0,23401.0,56.755039
STT,2016-03-02 05:00:00+00:00,57.17,57.86,56.88,57.69,2731445.0,21839.0,57.587665
STT,2016-03-03 05:00:00+00:00,57.71,58.19,57.05,58.05,2408841.0,20013.0,57.800116
STT,2016-03-04 05:00:00+00:00,58.45,59.74,58.095,58.67,3549331.0,26126.0,58.733923
STT,2016-03-07 05:00:00+00:00,57.94,58.82,57.79,58.5,2675990.0,20784.0,58.538796
STT,2016-03-08 05:00:00+00:00,57.81,58.08,57.07,57.28,3589474.0,25747.0,57.462505
STT,2016-03-09 05:00:00+00:00,57.8,57.99,56.88,56.99,3949969.0,23501.0,57.176475
STT,2016-03-10 05:00:00+00:00,57.5,57.5,56.02,56.57,4710069.0,29697.0,56.611108
STT,2016-03-11 05:00:00+00:00,57.3,57.99,56.79,57.95,3708179.0,27342.0,57.57169
STT,2016-03-14 04:00:00+00:00,57.79,58.14,57.3,57.76,3149661.0,19619.0,57.798773
STT,2016-03-15 04:00:00+00:00,57.3,57.37,56.615,56.75,3678905.0,24731.0,56.828577
STT,2016-03-16 04:00:00+00:00,56.54,57.405,56.11,56.85,5484048.0,39770.0,56.862169
STT,2016-03-17 04:00:00+00:00,56.66,57.75,56.35,57.4,6029108.0,37006.0,57.122363
STT,2016-03-18 04:00:00+00:00,57.76,59.2,57.61,59.05,7427850.0,30625.0,58.741705
STT,2016-03-21 04:00:00+00:00,58.99,60.27,58.61,59.94,4706494.0,34880.0,59.847489
STT,2016-03-22 04:00:00+00:00,59.32,59.8,58.93,59.36,3292663.0,22335.0,59.376033
STT,2016-03-23 04:00:00+00:00,59.26,60.054,58.93,59.64,5852433.0,36618.0,59.711095
STT,2016-03-24 04:00:00+00:00,58.74,59.0,58.04,58.75,3317249.0,21145.0,58.660645
STT,2016-03-28 04:00:00+00:00,58.29,59.13,57.93,58.41,3718257.0,22742.0,58.558666
STT,2016-03-29 04:00:00+00:00,57.84,58.65,57.0,58.49,2288816.0,15670.0,58.162316
STT,2016-03-30 04:00:00+00:00,58.55,59.9,58.01,58.52,3689455.0,24284.0,58.650717
STT,2016-03-31 04:00:00+00:00,58.4,59.21,58.25,58.52,2807282.0,18406.0,58.671963
STT,2016-04-01 04:00:00+00:00,58.06,59.15,57.71,58.95,2216352.0,17529.0,58.793746
STT,2016-04-04 04:00:00+00:00,58.97,59.39,58.51,58.8,1777382.0,14391.0,58.929165
STT,2016-04-05 04:00:00+00:00,58.01,58.24,56.56,57.61,4292001.0,30282.0,57.368683
STT,2016-04-06 04:00:00+00:00,57.46,58.33,57.36,58.2,1806239.0,14350.0,58.019099
STT,2016-04-07 04:00:00+00:00,57.57,57.87,55.88,56.18,2658895.0,17386.0,56.470268
STT,2016-04-08 04:00:00+00:00,56.9,57.17,56.06,56.27,1945211.0,15418.0,56.496888
STT,2016-04-11 04:00:00+00:00,56.75,57.18,56.36,56.57,1745604.0,14724.0,56.7508
STT,2016-04-12 04:00:00+00:00,56.85,57.78,56.51,57.49,1799195.0,16558.0,57.390285
STT,2016-04-13 04:00:00+00:00,58.0,59.77,57.94,59.74,2612994.0,20811.0,59.201005
STT,2016-04-14 04:00:00+00:00,59.73,60.75,59.29,60.08,2538620.0,20802.0,60.170997
STT,2016-04-15 04:00:00+00:00,60.05,60.35,59.18,59.57,3011047.0,17339.0,59.609248
STT,2016-04-18 04:00:00+00:00,59.37,59.94,59.2,59.89,1867467.0,15830.0,59.681069
STT,2016-04-19 04:00:00+00:00,60.0,60.77,59.83,60.26,2487688.0,18592.0,60.276825
STT,2016-04-20 04:00:00+00:00,60.56,61.81,60.1801,61.75,2551554.0,21143.0,61.135689
STT,2016-04-21 04:00:00+00:00,61.75,62.32,61.0,61.19,1808941.0,15920.0,61.338991
STT,2016-04-22 04:00:00+00:00,61.33,62.08,61.23,61.89,1497320.0,12105.0,61.783956
STT,2016-04-25 04:00:00+00:00,61.44,61.92,60.89,61.41,1654747.0,12739.0,61.251821
STT,2016-04-26 04:00:00+00:00,61.64,62.64,61.39,62.48,3163596.0,23891.0,62.247534
STT,2016-04-27 04:00:00+00:00,63.08,64.69,62.26,63.93,3544622.0,25917.0,63.531856
STT,2016-04-28 04:00:00+00:00,63.31,63.89,62.635,62.81,2561866.0,20495.0,63.148248
STT,2016-04-29 04:00:00+00:00,62.35,62.76,61.7,62.3,2615394.0,18495.0,62.125829
STT,2016-05-02 04:00:00+00:00,62.35,63.0,61.7,62.91,1914545.0,14796.0,62.75043
STT,2016-05-03 04:00:00+00:00,61.91,61.93,60.18,61.06,2988172.0,25192.0,60.764767
STT,2016-05-04 04:00:00+00:00,60.41,60.88,59.49,60.02,3312581.0,25677.0,59.963947
STT,2016-05-05 04:00:00+00:00,60.11,60.36,59.54,59.74,1681462.0,14587.0,59.794574
STT,2016-05-06 04:00:00+00:00,59.38,59.82,58.855,59.76,2049663.0,15259.0,59.473521
STT,2016-05-09 04:00:00+00:00,59.78,60.51,59.46,59.8,1565267.0,13481.0,59.859531
STT,2016-05-10 04:00:00+00:00,60.11,61.19,60.02,61.11,2260062.0,14264.0,60.959137
STT,2016-05-11 04:00:00+00:00,60.9,61.25,60.34,60.38,1700468.0,13845.0,60.732838
STT,2016-05-12 04:00:00+00:00,60.73,61.19,59.61,60.03,1650735.0,13770.0,60.027325
