symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SWK,2016-01-04 05:00:00+00:00,104.94,105.0,103.66,104.87,1444176.0,13922.0,104.486917
SWK,2016-01-05 05:00:00+00:00,105.42,105.6,102.44,102.71,3021350.0,18830.0,102.998969
SWK,2016-01-06 05:00:00+00:00,101.33,102.83,100.82,101.29,1481828.0,13286.0,101.65701
SWK,2016-01-07 05:00:00+00:00,99.12,100.37,98.28,98.41,1549681.0,15559.0,99.090091
SWK,2016-01-08 05:00:00+00:00,98.49,98.93,96.28,96.44,2125126.0,15739.0,97.2634
SWK,2016-01-11 05:00:00+00:00,97.05,97.06,95.33,96.29,1000306.0,10854.0,96.142433
SWK,2016-01-12 05:00:00+00:00,97.22,98.37,96.49,97.91,1622772.0,14067.0,97.450672
SWK,2016-01-13 05:00:00+00:00,98.39,99.17,96.11,96.23,1249356.0,12171.0,97.541189
SWK,2016-01-14 05:00:00+00:00,96.63,98.38,95.29,97.82,1395055.0,13722.0,97.43234
SWK,2016-01-15 05:00:00+00:00,95.29,96.2,94.86,95.7,1734985.0,14995.0,95.598123
SWK,2016-01-19 05:00:00+00:00,96.89,96.96,94.95,95.67,1224908.0,11543.0,95.884032
SWK,2016-01-20 05:00:00+00:00,94.3,94.97,90.4,93.67,2160120.0,19989.0,92.993927
SWK,2016-01-21 05:00:00+00:00,93.8,94.95,92.48,92.85,1988754.0,16798.0,93.464621
SWK,2016-01-22 05:00:00+00:00,94.46,95.43,92.63,93.99,1875194.0,15034.0,93.786382
SWK,2016-01-25 05:00:00+00:00,93.44,94.63,92.91,93.61,1817962.0,16861.0,93.839879
SWK,2016-01-26 05:00:00+00:00,94.36,96.57,94.24,96.22,1246115.0,11157.0,96.007463
SWK,2016-01-27 05:00:00+00:00,96.11,98.55,95.66,96.12,2274282.0,16016.0,96.55263
SWK,2016-01-28 05:00:00+00:00,90.34,93.55,89.01,91.82,5175669.0,36675.0,90.956636
SWK,2016-01-29 05:00:00+00:00,91.95,94.34,91.95,94.34,3120770.0,20059.0,94.009328
SWK,2016-02-01 05:00:00+00:00,93.52,94.7,92.01,94.23,2482871.0,19387.0,93.566804
SWK,2016-02-02 05:00:00+00:00,94.22,94.85,92.6,92.96,2064375.0,17320.0,93.450613
SWK,2016-02-03 05:00:00+00:00,94.42,95.66,92.39,95.51,2009510.0,18067.0,94.540525
SWK,2016-02-04 05:00:00+00:00,95.11,98.25,95.0,96.11,2128303.0,23040.0,96.730408
SWK,2016-02-05 05:00:00+00:00,95.62,96.14,93.171,93.25,2023876.0,18955.0,94.317712
SWK,2016-02-08 05:00:00+00:00,92.01,92.24,89.39,90.42,2183465.0,20771.0,90.404221
SWK,2016-02-09 05:00:00+00:00,89.57,91.45,89.57,90.63,1435257.0,13494.0,90.624754
SWK,2016-02-10 05:00:00+00:00,90.94,92.13,90.66,91.27,1985030.0,15009.0,91.409802
SWK,2016-02-11 05:00:00+00:00,89.76,90.99,88.72,90.14,2143432.0,16160.0,89.947556
SWK,2016-02-12 05:00:00+00:00,91.5,92.38,90.94,91.76,1465268.0,14110.0,91.661343
SWK,2016-02-16 05:00:00+00:00,93.27,93.93,92.68,92.97,1950769.0,14462.0,93.06421
SWK,2016-02-17 05:00:00+00:00,93.75,94.01,92.24,93.06,1369487.0,13753.0,93.057625
SWK,2016-02-18 05:00:00+00:00,92.89,93.3428,92.0,92.61,1379582.0,13147.0,92.678303
SWK,2016-02-19 05:00:00+00:00,92.47,92.59,91.57,92.0,1781671.0,14584.0,92.032104
SWK,2016-02-22 05:00:00+00:00,93.24,94.17,93.15,94.11,993350.0,8806.0,93.89567
SWK,2016-02-23 05:00:00+00:00,94.08,95.0,92.997,93.6,949095.0,8531.0,93.681184
SWK,2016-02-24 05:00:00+00:00,92.67,93.9,92.66,93.72,1247329.0,10211.0,93.379161
SWK,2016-02-25 05:00:00+00:00,94.05,95.08,93.5,95.07,878845.0,8732.0,94.588122
SWK,2016-02-26 05:00:00+00:00,95.26,96.12,95.08,95.59,936328.0,9868.0,95.697719
SWK,2016-02-29 05:00:00+00:00,95.15,95.48,94.01,94.01,2283389.0,10570.0,94.226481
SWK,2016-03-01 05:00:00+00:00,94.89,97.01,94.66,96.78,898971.0,9417.0,96.271486
