symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UDR,2016-01-04 05:00:00+00:00,37.52,37.57,36.66,36.97,1860206.0,12517.0,36.951232
UDR,2016-01-05 05:00:00+00:00,36.97,37.63,36.95,37.44,1109831.0,9400.0,37.441398
UDR,2016-01-06 05:00:00+00:00,37.1,37.47,36.92,37.17,1294305.0,11375.0,37.10977
UDR,2016-01-07 05:00:00+00:00,36.25,36.75,36.25,36.47,2050842.0,13711.0,36.540376
UDR,2016-01-08 05:00:00+00:00,36.67,36.75,35.91,35.99,2449726.0,16196.0,36.286758
UDR,2016-01-11 05:00:00+00:00,36.23,36.75,36.06,36.4,1699030.0,13897.0,36.473523
UDR,2016-01-12 05:00:00+00:00,36.44,36.53,35.75,36.02,2075321.0,16295.0,35.976013
UDR,2016-01-13 05:00:00+00:00,36.09,36.55,35.84,35.99,2105231.0,16260.0,36.18029
UDR,2016-01-14 05:00:00+00:00,36.06,36.29,35.44,35.44,1885147.0,13794.0,35.696484
UDR,2016-01-15 05:00:00+00:00,34.63,35.86,34.63,35.78,2035862.0,13784.0,35.522652
UDR,2016-01-19 05:00:00+00:00,35.84,36.25,35.55,35.85,2130460.0,16294.0,35.806472
UDR,2016-01-20 05:00:00+00:00,35.59,36.31,34.19,34.86,2615126.0,18507.0,34.746724
UDR,2016-01-21 05:00:00+00:00,34.98,35.27,34.5,34.77,1640002.0,13169.0,34.834157
UDR,2016-01-22 05:00:00+00:00,35.22,35.845,34.96,35.71,1426799.0,11182.0,35.566574
UDR,2016-01-25 05:00:00+00:00,35.74,36.08,35.27,35.41,1939731.0,13534.0,35.528668
UDR,2016-01-26 05:00:00+00:00,35.47,36.55,35.435,36.55,1878059.0,13799.0,36.281346
UDR,2016-01-27 05:00:00+00:00,36.51,36.51,35.25,35.56,1975943.0,14692.0,35.743087
UDR,2016-01-28 05:00:00+00:00,35.68,35.91,34.91,35.04,1943872.0,13853.0,35.379561
UDR,2016-01-29 05:00:00+00:00,35.36,35.68,34.75,35.59,3540114.0,19807.0,35.367108
UDR,2016-02-01 05:00:00+00:00,35.34,36.61,35.21,36.15,2667947.0,19078.0,36.198935
UDR,2016-02-02 05:00:00+00:00,36.28,36.45,35.34,35.48,2913202.0,16319.0,35.564953
UDR,2016-02-03 05:00:00+00:00,35.86,36.82,35.6,36.36,2830747.0,20553.0,36.233749
UDR,2016-02-04 05:00:00+00:00,36.16,37.186,35.82,36.77,2878806.0,22660.0,36.807349
UDR,2016-02-05 05:00:00+00:00,36.77,36.82,34.96,35.02,2224725.0,15882.0,35.51341
UDR,2016-02-08 05:00:00+00:00,35.81,35.81,33.56,33.9,2300341.0,16518.0,33.956957
UDR,2016-02-09 05:00:00+00:00,33.59,34.19,33.35,33.42,2244642.0,17432.0,33.525673
UDR,2016-02-10 05:00:00+00:00,33.54,34.3,33.54,33.92,1603303.0,11219.0,34.005683
UDR,2016-02-11 05:00:00+00:00,33.32,33.52,32.9,33.15,1495644.0,11706.0,33.196194
UDR,2016-02-12 05:00:00+00:00,33.41,33.51,32.91,33.39,2082161.0,13974.0,33.240717
UDR,2016-02-16 05:00:00+00:00,33.82,33.9,33.32,33.86,2275475.0,8649.0,33.683779
UDR,2016-02-17 05:00:00+00:00,34.03,34.34,33.63,33.65,2163026.0,17090.0,33.847237
UDR,2016-02-18 05:00:00+00:00,33.73,34.14,33.56,33.9,1592315.0,11160.0,33.874596
UDR,2016-02-19 05:00:00+00:00,33.68,34.4,33.5,34.16,2153710.0,15271.0,34.148383
UDR,2016-02-22 05:00:00+00:00,34.4,34.825,34.24,34.4,981442.0,9508.0,34.403373
UDR,2016-02-23 05:00:00+00:00,34.21,34.82,33.82,34.24,795049.0,6647.0,34.363407
