symbol,timestamp,open,high,low,close,volume,trade_count,vwap
URI,2016-01-04 05:00:00+00:00,71.11,71.51,68.73,70.76,2331586.0,22606.0,70.092466
URI,2016-01-05 05:00:00+00:00,70.85,71.3,69.39,70.05,1686168.0,14500.0,70.010368
URI,2016-01-06 05:00:00+00:00,68.75,69.14,66.01,66.7,2816566.0,22265.0,67.082232
URI,2016-01-07 05:00:00+00:00,64.89,64.96,61.71,62.36,3493291.0,31245.0,63.114635
URI,2016-01-08 05:00:00+00:00,63.16,63.78,61.51,61.81,2143487.0,16942.0,62.25855
URI,2016-01-11 05:00:00+00:00,62.17,62.3599,59.765,60.96,1732243.0,15741.0,60.992452
URI,2016-01-12 05:00:00+00:00,61.99,63.85,59.66,61.28,2360134.0,20237.0,61.030063
URI,2016-01-13 05:00:00+00:00,62.0,63.52,56.6001,57.74,2869320.0,26984.0,58.957202
URI,2016-01-14 05:00:00+00:00,58.23,58.32,54.67,57.14,3665977.0,32053.0,56.640593
URI,2016-01-15 05:00:00+00:00,55.56,56.0,53.6101,54.9,3306615.0,29849.0,54.876982
URI,2016-01-19 05:00:00+00:00,56.02,56.69,52.97,54.0,2520504.0,23400.0,54.436426
URI,2016-01-20 05:00:00+00:00,52.06,55.01,50.25,54.41,2935085.0,28553.0,52.590973
URI,2016-01-21 05:00:00+00:00,54.4,56.93,53.7,55.31,2878156.0,25137.0,55.30868
URI,2016-01-22 05:00:00+00:00,57.14,59.65,55.87,57.74,2675133.0,24009.0,57.52958
URI,2016-01-25 05:00:00+00:00,56.68,57.12,54.51,54.64,3088782.0,25876.0,55.345559
URI,2016-01-26 05:00:00+00:00,55.25,56.93,54.71,56.89,2638014.0,22737.0,56.288099
URI,2016-01-27 05:00:00+00:00,56.4,57.9,54.73,55.84,3463438.0,32412.0,56.287005
URI,2016-01-28 05:00:00+00:00,49.99,50.2,44.6,45.58,11286728.0,80199.0,47.083252
URI,2016-01-29 05:00:00+00:00,45.01,48.395,44.59,47.91,4888193.0,35150.0,47.194461
URI,2016-02-01 05:00:00+00:00,47.38,49.46,46.65,48.83,3379821.0,31178.0,48.651589
URI,2016-02-02 05:00:00+00:00,47.71,47.73,44.61,45.76,4284626.0,33857.0,45.800248
URI,2016-02-03 05:00:00+00:00,46.48,48.46,44.88,48.43,4271437.0,38385.0,47.417223
URI,2016-02-04 05:00:00+00:00,48.09,51.08,47.98,48.68,2900137.0,25869.0,49.21163
URI,2016-02-05 05:00:00+00:00,47.76,50.06,47.51,48.2,2669598.0,20786.0,48.629709
URI,2016-02-08 05:00:00+00:00,47.14,47.76,45.17,46.61,2494143.0,21911.0,46.556239
URI,2016-02-09 05:00:00+00:00,45.51,46.09,43.61,44.78,2871402.0,24229.0,44.786203
URI,2016-02-10 05:00:00+00:00,45.16,46.72,44.64,45.5,2034747.0,18667.0,45.710844
URI,2016-02-11 05:00:00+00:00,44.21,44.83,41.9,43.34,2813623.0,24097.0,43.180374
