symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VLTO,2023-10-02 04:00:00+00:00,83.11,89.0,81.53,85.12,23045074.0,69956.0,85.312369
VLTO,2023-10-03 04:00:00+00:00,82.65,83.25,76.0115,77.05,12671218.0,75307.0,78.232072
VLTO,2023-10-04 04:00:00+00:00,76.67,80.62,76.35,77.8,8358286.0,53768.0,78.122197
VLTO,2023-10-05 04:00:00+00:00,76.3,76.99,72.65,74.45,15351916.0,85004.0,74.109868
VLTO,2023-10-06 04:00:00+00:00,73.04,78.47,73.04,77.98,7781111.0,63548.0,76.069336
VLTO,2023-10-09 04:00:00+00:00,76.75,78.0,73.734,74.61,7000973.0,64052.0,75.80358
VLTO,2023-10-10 04:00:00+00:00,73.96,75.51,72.5,75.0,5385624.0,45596.0,74.53065
VLTO,2023-10-11 04:00:00+00:00,74.44,76.56,73.61,74.47,4602585.0,36826.0,74.774104
VLTO,2023-10-12 04:00:00+00:00,73.75,75.3,72.75,74.23,4668757.0,36194.0,73.984449
VLTO,2023-10-13 04:00:00+00:00,73.63,73.99,70.47,71.85,5286582.0,42348.0,71.761424
VLTO,2023-10-16 04:00:00+00:00,71.62,74.84,71.62,74.21,4555029.0,38677.0,73.878897
VLTO,2023-10-17 04:00:00+00:00,73.13,75.125,73.01,74.48,2584906.0,24864.0,74.093667
VLTO,2023-10-18 04:00:00+00:00,73.5,73.9305,72.2709,72.45,2959766.0,30068.0,72.971176
VLTO,2023-10-19 04:00:00+00:00,71.82,72.74,69.95,70.29,2867355.0,23802.0,71.09742
VLTO,2023-10-20 04:00:00+00:00,70.4,70.78,68.9,69.93,3151456.0,26462.0,69.703851
VLTO,2023-10-23 04:00:00+00:00,69.3,72.47,67.65,71.9,4089800.0,35687.0,70.795283
VLTO,2023-10-24 04:00:00+00:00,72.29,73.71,71.79,72.01,3432182.0,29986.0,72.343952
VLTO,2023-10-25 04:00:00+00:00,71.3,72.335,69.78,70.79,3298234.0,32119.0,70.85955
VLTO,2023-10-26 04:00:00+00:00,66.33,72.23,65.51,70.0,3536598.0,28079.0,70.333879
VLTO,2023-10-27 04:00:00+00:00,68.64,69.44,67.75,67.99,3411996.0,31423.0,68.287163
VLTO,2023-10-30 04:00:00+00:00,68.48,69.33,67.42,68.36,3393797.0,34164.0,68.229485
VLTO,2023-10-31 04:00:00+00:00,68.92,69.73,67.65,69.0,3370678.0,28874.0,68.632703
VLTO,2023-11-01 04:00:00+00:00,68.16,69.19,67.47,67.51,2503527.0,27037.0,68.106418
VLTO,2023-11-02 04:00:00+00:00,68.0,70.54,66.69,70.28,2848740.0,35244.0,69.332829
VLTO,2023-11-03 04:00:00+00:00,70.47,71.09,69.06,70.8,2225964.0,29070.0,70.583866
VLTO,2023-11-06 05:00:00+00:00,70.05,70.07,68.08,68.26,2854957.0,25777.0,68.938347
VLTO,2023-11-07 05:00:00+00:00,67.75,70.25,67.36,70.07,2133633.0,22301.0,69.488033
VLTO,2023-11-08 05:00:00+00:00,69.8,70.32,69.55,69.8,2053773.0,21272.0,69.856158
VLTO,2023-11-09 05:00:00+00:00,69.09,70.32,69.09,69.63,2020509.0,18106.0,69.782787
VLTO,2023-11-10 05:00:00+00:00,69.31,70.78,69.14,70.55,1645265.0,17159.0,70.293207
VLTO,2023-11-13 05:00:00+00:00,70.28,73.2,70.18,72.98,2964323.0,33691.0,72.674269
VLTO,2023-11-14 05:00:00+00:00,73.85,74.1,73.01,73.63,2814594.0,30356.0,73.569935
VLTO,2023-11-15 05:00:00+00:00,73.47,74.64,73.01,73.91,3437210.0,34309.0,73.983802
VLTO,2023-11-16 05:00:00+00:00,72.74,73.06,70.58,70.88,2446603.0,25835.0,71.108944
VLTO,2023-11-17 05:00:00+00:00,70.9,71.37,70.06,70.99,1500407.0,19272.0,70.899635
VLTO,2023-11-20 05:00:00+00:00,71.0,71.35,70.58,70.76,1814335.0,21985.0,70.854118
VLTO,2023-11-21 05:00:00+00:00,70.8,72.8,70.47,72.31,1767834.0,23261.0,72.106675
VLTO,2023-11-22 05:00:00+00:00,72.8,73.83,72.34,72.94,1906288.0,27665.0,73.052838
VLTO,2023-11-24 05:00:00+00:00,72.66,74.13,72.23,74.01,823414.0,10737.0,73.801975
VLTO,2023-11-27 05:00:00+00:00,73.82,73.99,73.0,73.5,1649888.0,25106.0,73.578369
VLTO,2023-11-28 05:00:00+00:00,72.925,74.539,72.85,73.32,2062140.0,23212.0,73.571168
VLTO,2023-11-29 05:00:00+00:00,73.4,75.25,73.24,74.22,2519236.0,29771.0,74.514581
VLTO,2023-11-30 05:00:00+00:00,74.7,77.62,74.7,77.25,8454137.0,36988.0,77.055869
VLTO,2023-12-01 05:00:00+00:00,77.17,77.17,75.97,76.51,2039378.0,26791.0,76.681003
VLTO,2023-12-04 05:00:00+00:00,75.97,76.92,75.49,75.78,1625807.0,22730.0,75.91396
VLTO,2023-12-05 05:00:00+00:00,75.4,76.14,75.2191,75.55,1411618.0,21531.0,75.698486
VLTO,2023-12-06 05:00:00+00:00,75.55,76.49,75.02,75.83,2001213.0,24459.0,75.623184
VLTO,2023-12-07 05:00:00+00:00,75.8,76.29,74.62,74.63,1295954.0,20541.0,75.192849
VLTO,2023-12-08 05:00:00+00:00,74.6,75.645,74.27,75.43,1131349.0,16244.0,75.224469
VLTO,2023-12-11 05:00:00+00:00,75.0,77.36,74.65,76.82,1649031.0,19574.0,76.493207
VLTO,2023-12-12 05:00:00+00:00,76.37,77.88,75.78,77.45,2329324.0,25549.0,77.161381
VLTO,2023-12-13 05:00:00+00:00,77.17,78.7041,76.3,77.74,3854108.0,28267.0,77.826508
VLTO,2023-12-14 05:00:00+00:00,78.51,79.72,77.63,79.33,3230981.0,35518.0,79.030717
VLTO,2023-12-15 05:00:00+00:00,78.87,79.93,78.03,78.85,6727619.0,29455.0,78.943653
VLTO,2023-12-18 05:00:00+00:00,79.19,80.92,78.43,80.84,1954959.0,25644.0,80.191999
VLTO,2023-12-19 05:00:00+00:00,81.6,83.62,80.99,83.44,2902975.0,33362.0,83.050206
VLTO,2023-12-20 05:00:00+00:00,83.55,83.885,80.62,80.64,1704062.0,24442.0,82.156088
VLTO,2023-12-21 05:00:00+00:00,81.32,81.98,79.8103,81.12,919333.0,15934.0,80.737549
VLTO,2023-12-22 05:00:00+00:00,80.64,81.79,80.03,81.64,712712.0,13145.0,81.484053
VLTO,2023-12-26 05:00:00+00:00,81.7,82.335,81.39,82.13,700231.0,12689.0,81.976713
VLTO,2023-12-27 05:00:00+00:00,82.14,83.5,81.98,83.22,1018083.0,17819.0,83.117951
VLTO,2023-12-28 05:00:00+00:00,83.0,83.44,82.27,83.04,799382.0,15185.0,83.012156
VLTO,2023-12-29 05:00:00+00:00,82.84,83.36,81.86,82.26,675034.0,13532.0,82.339607
VLTO,2024-01-02 05:00:00+00:00,81.1,82.0,79.95,81.02,1129572.0,18634.0,80.866264
VLTO,2024-01-03 05:00:00+00:00,80.6,80.9,77.75,78.05,1198293.0,17598.0,78.407677
VLTO,2024-01-04 05:00:00+00:00,77.45,78.28,76.57,76.61,1388580.0,20771.0,77.050517
