symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VMC,2016-01-04 05:00:00+00:00,93.5,93.5,89.91,92.42,1666671.0,17711.0,91.554338
VMC,2016-01-05 05:00:00+00:00,92.75,93.24,92.005,92.55,779446.0,8188.0,92.635697
VMC,2016-01-06 05:00:00+00:00,91.02,92.52,89.75,90.4,1096292.0,10880.0,90.972819
VMC,2016-01-07 05:00:00+00:00,89.08,90.41,87.751,88.3,1995906.0,17957.0,89.010705
VMC,2016-01-08 05:00:00+00:00,88.45,89.285,85.92,86.25,1372034.0,11428.0,87.153691
VMC,2016-01-11 05:00:00+00:00,86.98,87.53,84.68,85.86,2455945.0,17377.0,85.726573
VMC,2016-01-12 05:00:00+00:00,86.7,88.18,85.66,86.71,2166153.0,16348.0,86.824597
VMC,2016-01-13 05:00:00+00:00,86.89,87.24,82.9,83.55,1695283.0,16855.0,84.581755
VMC,2016-01-14 05:00:00+00:00,83.67,85.868,82.56,85.31,2358965.0,19860.0,85.08109
VMC,2016-01-15 05:00:00+00:00,82.5,84.4,81.88,83.84,1225652.0,12020.0,83.358632
VMC,2016-01-19 05:00:00+00:00,85.1,85.47,81.5,82.52,1379951.0,12806.0,83.214988
VMC,2016-01-20 05:00:00+00:00,80.91,83.15,78.83,81.6,1596625.0,14085.0,80.92994
VMC,2016-01-21 05:00:00+00:00,82.09,83.39,80.3401,82.24,1037219.0,10751.0,82.274831
VMC,2016-01-22 05:00:00+00:00,83.73,88.07,83.71,85.37,1347553.0,11472.0,85.634166
VMC,2016-01-25 05:00:00+00:00,84.65,85.61,82.53,82.89,978860.0,8757.0,83.490177
VMC,2016-01-26 05:00:00+00:00,83.09,84.28,82.64,84.23,812903.0,8015.0,83.70628
VMC,2016-01-27 05:00:00+00:00,84.33,85.67,83.13,83.66,855871.0,9219.0,84.19379
VMC,2016-01-28 05:00:00+00:00,84.66,85.56,82.98,83.24,602722.0,6633.0,83.858237
VMC,2016-01-29 05:00:00+00:00,83.1,88.97,83.09,88.2,2262153.0,14862.0,87.714187
VMC,2016-02-01 05:00:00+00:00,88.06,88.29,86.84,87.07,1991200.0,13416.0,87.449176
VMC,2016-02-02 05:00:00+00:00,86.64,87.84,85.69,86.93,2053322.0,16706.0,86.681229
VMC,2016-02-03 05:00:00+00:00,88.11,88.65,85.2,88.02,2137534.0,18812.0,87.227785
VMC,2016-02-04 05:00:00+00:00,92.26,95.44,91.5,93.77,2839098.0,24150.0,93.563589
