symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WAT,2016-01-04 05:00:00+00:00,132.56,133.02,129.13,130.35,548703.0,5716.0,130.22036
WAT,2016-01-05 05:00:00+00:00,130.47,132.41,129.54,129.81,448737.0,4997.0,130.198721
WAT,2016-01-06 05:00:00+00:00,128.46,130.97,128.46,129.71,479453.0,6133.0,129.891488
WAT,2016-01-07 05:00:00+00:00,127.87,129.77,127.2,128.82,818523.0,9060.0,128.59959
WAT,2016-01-08 05:00:00+00:00,129.59,130.42,126.45,126.72,412383.0,4196.0,127.709926
WAT,2016-01-11 05:00:00+00:00,127.78,127.93,125.28,126.08,749517.0,7089.0,126.425809
WAT,2016-01-12 05:00:00+00:00,127.26,128.36,124.9615,126.82,793532.0,7084.0,126.819774
WAT,2016-01-13 05:00:00+00:00,128.02,128.05,123.59,123.92,346896.0,4276.0,125.082915
WAT,2016-01-14 05:00:00+00:00,124.14,127.77,123.77,127.03,493807.0,5354.0,126.41755
WAT,2016-01-15 05:00:00+00:00,124.83,126.61,124.0,126.24,600562.0,5588.0,125.535519
WAT,2016-01-19 05:00:00+00:00,127.0,127.73,124.27,125.85,662357.0,7447.0,125.851802
WAT,2016-01-20 05:00:00+00:00,124.01,126.37,121.915,125.02,721400.0,8015.0,124.472934
WAT,2016-01-21 05:00:00+00:00,125.4,125.85,123.13,124.56,775302.0,8318.0,124.432187
WAT,2016-01-22 05:00:00+00:00,125.66,127.24,124.7,127.21,530889.0,5136.0,126.407836
WAT,2016-01-25 05:00:00+00:00,127.03,129.98,126.75,127.62,1030969.0,10226.0,128.340613
WAT,2016-01-26 05:00:00+00:00,124.63,125.3,121.08,122.55,2112950.0,16719.0,122.758573
WAT,2016-01-27 05:00:00+00:00,121.7,123.82,120.66,121.25,1060261.0,9100.0,121.88001
WAT,2016-01-28 05:00:00+00:00,120.83,121.0,115.71,117.45,969436.0,9785.0,117.616554
WAT,2016-01-29 05:00:00+00:00,117.89,121.33,117.89,121.21,687251.0,6100.0,120.567498
WAT,2016-02-01 05:00:00+00:00,121.68,121.99,118.95,120.36,873350.0,8284.0,120.118094
WAT,2016-02-02 05:00:00+00:00,119.13,120.19,117.16,118.0,573991.0,5490.0,118.037743
WAT,2016-02-03 05:00:00+00:00,118.45,118.97,115.63,118.84,753647.0,7874.0,117.549145
WAT,2016-02-04 05:00:00+00:00,118.39,119.54,117.25,117.92,530384.0,5887.0,118.182082
WAT,2016-02-05 05:00:00+00:00,117.33,117.33,115.0,115.47,517630.0,5395.0,115.630876
WAT,2016-02-08 05:00:00+00:00,114.34,115.17,112.505,113.62,573551.0,5277.0,113.451446
WAT,2016-02-09 05:00:00+00:00,112.53,117.09,112.0,115.83,622141.0,6746.0,115.651057
WAT,2016-02-10 05:00:00+00:00,116.73,120.18,116.01,117.68,555087.0,5332.0,118.488174
WAT,2016-02-11 05:00:00+00:00,115.19,117.8,115.19,116.46,588704.0,6008.0,116.414315
