symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WDAY,2016-01-04 05:00:00+00:00,77.79,78.65,76.54,77.76,1479238.0,11710.0,77.483853
WDAY,2016-01-05 05:00:00+00:00,78.33,78.51,77.0,77.24,766164.0,6392.0,77.484766
WDAY,2016-01-06 05:00:00+00:00,75.02,75.51,73.71,74.4,2378370.0,16613.0,74.653606
WDAY,2016-01-07 05:00:00+00:00,72.81,73.77,71.03,71.75,1697848.0,14674.0,72.244237
WDAY,2016-01-08 05:00:00+00:00,72.16,72.83,70.7,71.07,1494670.0,10223.0,71.842472
WDAY,2016-01-11 05:00:00+00:00,71.23,71.87,68.65,70.25,1794811.0,12961.0,70.192567
WDAY,2016-01-12 05:00:00+00:00,71.3,73.76,70.38,71.9,2045115.0,14910.0,71.655006
WDAY,2016-01-13 05:00:00+00:00,71.81,72.89,68.9,71.26,2297157.0,15883.0,70.879017
WDAY,2016-01-14 05:00:00+00:00,71.91,72.37,69.54,70.5,6628940.0,27425.0,70.229098
WDAY,2016-01-15 05:00:00+00:00,68.45,69.25,67.47,67.87,3201205.0,24284.0,68.204201
WDAY,2016-01-19 05:00:00+00:00,68.5,68.86,65.11,66.1,3400863.0,28368.0,66.631633
WDAY,2016-01-20 05:00:00+00:00,65.05,68.25,62.82,67.49,2939972.0,23110.0,65.218311
WDAY,2016-01-21 05:00:00+00:00,67.49,69.9,65.76,68.6,2377150.0,18301.0,68.795805
WDAY,2016-01-22 05:00:00+00:00,69.75,70.7,69.0,69.47,1112925.0,9856.0,69.575399
WDAY,2016-01-25 05:00:00+00:00,69.43,69.53,67.21,67.37,1168607.0,10199.0,67.972285
WDAY,2016-01-26 05:00:00+00:00,67.41,67.525,65.24,66.65,1666836.0,12063.0,66.341998
WDAY,2016-01-27 05:00:00+00:00,65.44,66.47,63.7,64.5,1933586.0,15809.0,64.987578
WDAY,2016-01-28 05:00:00+00:00,63.24,63.9,60.17,62.03,4983466.0,30126.0,61.89014
WDAY,2016-01-29 05:00:00+00:00,62.96,64.2,62.05,63.01,2246389.0,14646.0,63.113186
WDAY,2016-02-01 05:00:00+00:00,62.56,65.9,62.5,64.84,2356375.0,17936.0,64.505581
WDAY,2016-02-02 05:00:00+00:00,64.22,64.84,61.69,61.79,2759097.0,19285.0,62.590272
WDAY,2016-02-03 05:00:00+00:00,62.41,63.5,60.574,63.06,1810079.0,16554.0,62.506119
WDAY,2016-02-04 05:00:00+00:00,62.99,65.08,62.36,64.84,1915461.0,15077.0,64.455446
WDAY,2016-02-05 05:00:00+00:00,61.49,61.49,53.13,54.24,8579378.0,57696.0,55.725543
WDAY,2016-02-08 05:00:00+00:00,51.94,52.3,47.6075,48.97,6120093.0,40974.0,49.443647
WDAY,2016-02-09 05:00:00+00:00,48.36,52.21,47.32,48.9,5637989.0,40659.0,49.468216
WDAY,2016-02-10 05:00:00+00:00,49.74,51.93,49.3,49.96,2888889.0,19379.0,50.578144
WDAY,2016-02-11 05:00:00+00:00,49.2,50.625,47.88,50.33,3016903.0,22722.0,49.66472
WDAY,2016-02-12 05:00:00+00:00,50.92,52.42,48.57,49.25,2266003.0,17152.0,49.46267
WDAY,2016-02-16 05:00:00+00:00,49.37,51.63,48.86,50.53,2079514.0,15720.0,50.282587
WDAY,2016-02-17 05:00:00+00:00,50.69,55.88,50.69,54.78,3995233.0,27326.0,54.167172
WDAY,2016-02-18 05:00:00+00:00,54.53,55.64,53.45,54.04,2108762.0,14520.0,54.079218
WDAY,2016-02-19 05:00:00+00:00,54.72,58.19,54.72,57.12,3596079.0,24069.0,56.957776
WDAY,2016-02-22 05:00:00+00:00,57.77,59.24,56.84,57.32,2145298.0,16190.0,57.621631
WDAY,2016-02-23 05:00:00+00:00,57.09,57.6499,56.4,56.53,1797053.0,14566.0,56.827858
WDAY,2016-02-24 05:00:00+00:00,56.08,58.62,54.35,57.56,3756412.0,24743.0,56.354456
WDAY,2016-02-25 05:00:00+00:00,59.04,61.4,57.26,59.38,3624175.0,25915.0,58.817
WDAY,2016-02-26 05:00:00+00:00,60.0,61.18,58.65,59.52,4039976.0,28488.0,59.785853
WDAY,2016-02-29 05:00:00+00:00,59.48,61.74,59.0,60.45,4711926.0,32932.0,60.599476
WDAY,2016-03-01 05:00:00+00:00,65.3,71.9,63.61,71.74,12432780.0,71926.0,66.989123
