symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WEC,2016-01-04 05:00:00+00:00,50.93,51.32,50.53,51.32,2080686.0,19346.0,51.073646
WEC,2016-01-05 05:00:00+00:00,51.31,52.02,50.44,51.87,2554505.0,21872.0,51.533498
WEC,2016-01-06 05:00:00+00:00,51.48,51.97,51.356,51.73,1573998.0,15601.0,51.725287
WEC,2016-01-07 05:00:00+00:00,51.11,51.88,51.11,51.72,2040743.0,18823.0,51.68738
WEC,2016-01-08 05:00:00+00:00,51.79,52.165,51.37,51.47,2150071.0,17361.0,51.70995
WEC,2016-01-11 05:00:00+00:00,51.75,52.19,51.54,51.89,1822309.0,17857.0,51.884129
WEC,2016-01-12 05:00:00+00:00,51.98,52.1201,51.02,51.55,1793529.0,17156.0,51.46183
WEC,2016-01-13 05:00:00+00:00,51.85,52.46,51.67,51.84,2178472.0,20476.0,52.09237
WEC,2016-01-14 05:00:00+00:00,51.8,53.4,51.41,53.0,3649073.0,28118.0,52.73036
WEC,2016-01-15 05:00:00+00:00,52.22,52.92,52.02,52.75,2788839.0,22262.0,52.541334
WEC,2016-01-19 05:00:00+00:00,52.91,54.35,52.65,54.19,3693482.0,30088.0,53.825612
WEC,2016-01-20 05:00:00+00:00,53.82,54.23,52.59,52.94,3624985.0,31122.0,53.213783
WEC,2016-01-21 05:00:00+00:00,53.0,53.57,52.01,52.47,3051672.0,24490.0,52.538763
WEC,2016-01-22 05:00:00+00:00,52.75,53.72,52.395,53.62,2865902.0,22585.0,53.203629
WEC,2016-01-25 05:00:00+00:00,53.3,53.75,53.01,53.21,2239998.0,18593.0,53.306819
WEC,2016-01-26 05:00:00+00:00,53.36,54.25,53.2404,53.86,2501242.0,19911.0,53.873561
WEC,2016-01-27 05:00:00+00:00,53.43,54.2,52.9522,53.58,2326436.0,20485.0,53.608761
WEC,2016-01-28 05:00:00+00:00,53.51,55.215,52.96,54.7,2744239.0,20991.0,54.610455
WEC,2016-01-29 05:00:00+00:00,55.25,55.72,54.92,55.23,3190458.0,23283.0,55.312944
WEC,2016-02-01 05:00:00+00:00,55.19,56.53,54.8466,56.09,2727151.0,24831.0,56.04368
WEC,2016-02-02 05:00:00+00:00,55.86,56.15,55.415,56.13,2173162.0,18734.0,55.85265
WEC,2016-02-03 05:00:00+00:00,56.4,57.0484,56.21,56.65,2845874.0,26331.0,56.613587
WEC,2016-02-04 05:00:00+00:00,56.09,57.1699,56.09,56.4,2747199.0,20939.0,56.519764
WEC,2016-02-05 05:00:00+00:00,56.02,57.11,55.2191,57.05,2848962.0,22864.0,56.685804
WEC,2016-02-08 05:00:00+00:00,57.16,58.15,56.6,57.46,3301722.0,27102.0,57.139472
WEC,2016-02-09 05:00:00+00:00,57.23,57.9,57.06,57.39,3059334.0,22955.0,57.497218
WEC,2016-02-10 05:00:00+00:00,56.63,57.06,55.35,56.44,2468858.0,21970.0,56.138872
WEC,2016-02-11 05:00:00+00:00,56.58,56.8,55.73,55.74,1932270.0,18160.0,55.999334
WEC,2016-02-12 05:00:00+00:00,55.77,56.12,54.93,55.67,1604509.0,14004.0,55.538653
WEC,2016-02-16 05:00:00+00:00,55.99,55.99,54.73,55.73,1878667.0,16109.0,55.494161
WEC,2016-02-17 05:00:00+00:00,55.7,55.79,54.91,55.53,2170329.0,19910.0,55.420887
WEC,2016-02-18 05:00:00+00:00,55.43,56.94,55.34,56.61,1877904.0,16955.0,56.480502
WEC,2016-02-19 05:00:00+00:00,56.63,56.915,55.98,56.53,1517597.0,14106.0,56.565433
WEC,2016-02-22 05:00:00+00:00,56.83,57.15,56.35,57.1,1474068.0,12650.0,56.959963
WEC,2016-02-23 05:00:00+00:00,57.17,57.44,56.77,57.35,1276489.0,10971.0,57.244508
WEC,2016-02-24 05:00:00+00:00,57.23,57.69,56.72,57.39,2014237.0,17361.0,57.253373
WEC,2016-02-25 05:00:00+00:00,57.68,58.09,57.36,57.98,1497420.0,12777.0,57.858446
WEC,2016-02-26 05:00:00+00:00,57.81,57.96,56.14,56.44,1627026.0,16430.0,56.66292
WEC,2016-02-29 05:00:00+00:00,56.43,57.08,56.3,56.35,2278396.0,15580.0,56.506579
WEC,2016-03-01 05:00:00+00:00,56.79,56.98,55.94,56.35,2171401.0,18880.0,56.431608
WEC,2016-03-02 05:00:00+00:00,56.04,56.39,54.85,56.23,2477888.0,22163.0,55.910739
WEC,2016-03-03 05:00:00+00:00,56.28,56.52,55.26,56.47,1815816.0,15219.0,55.974055
WEC,2016-03-04 05:00:00+00:00,56.2,57.14,55.86,57.04,1387261.0,13237.0,56.732803
WEC,2016-03-07 05:00:00+00:00,56.82,57.09,56.55,56.91,2765972.0,15343.0,56.871062
WEC,2016-03-08 05:00:00+00:00,56.99,57.99,56.88,57.77,2562251.0,16923.0,57.658961
WEC,2016-03-09 05:00:00+00:00,57.77,58.55,57.54,58.08,1844426.0,18264.0,58.161206
WEC,2016-03-10 05:00:00+00:00,57.96,58.38,57.4,57.92,1905854.0,16147.0,57.937137
WEC,2016-03-11 05:00:00+00:00,58.34,58.5364,57.91,58.15,2414324.0,15089.0,58.154741
WEC,2016-03-14 04:00:00+00:00,57.95,58.33,57.63,58.05,1802821.0,15233.0,58.068579
WEC,2016-03-15 04:00:00+00:00,57.92,58.46,57.89,58.34,1903332.0,14243.0,58.283067
WEC,2016-03-16 04:00:00+00:00,58.22,58.91,57.59,58.77,1797376.0,17775.0,58.46733
WEC,2016-03-17 04:00:00+00:00,58.92,59.47,58.62,59.2,2113784.0,14986.0,59.140968
WEC,2016-03-18 04:00:00+00:00,59.18,59.44,58.49,58.5,6305383.0,22433.0,58.803324
WEC,2016-03-21 04:00:00+00:00,58.35,58.855,57.8655,58.56,2312398.0,15727.0,58.601686
WEC,2016-03-22 04:00:00+00:00,58.64,58.87,58.16,58.24,1787246.0,15939.0,58.392736
WEC,2016-03-23 04:00:00+00:00,58.29,59.18,57.97,58.83,1904345.0,15490.0,58.791627
WEC,2016-03-24 04:00:00+00:00,58.67,59.22,58.61,58.89,1214425.0,12073.0,58.863124
WEC,2016-03-28 04:00:00+00:00,59.0,59.38,58.575,58.68,1033406.0,9159.0,58.726039
WEC,2016-03-29 04:00:00+00:00,58.84,59.65,58.6648,59.59,1428025.0,12414.0,59.343798
WEC,2016-03-30 04:00:00+00:00,59.61,59.75,59.19,59.61,1036564.0,10321.0,59.548043
WEC,2016-03-31 04:00:00+00:00,59.57,60.16,59.29,60.07,2544584.0,14291.0,59.935811
WEC,2016-04-01 04:00:00+00:00,60.1,60.24,59.27,59.97,2594574.0,21625.0,59.716271
WEC,2016-04-04 04:00:00+00:00,60.0,60.32,59.29,60.11,2158238.0,15665.0,59.909134
WEC,2016-04-05 04:00:00+00:00,60.01,60.1,58.97,58.98,4018005.0,24022.0,59.240993
WEC,2016-04-06 04:00:00+00:00,58.78,59.05,58.41,58.81,1373218.0,13298.0,58.677695
WEC,2016-04-07 04:00:00+00:00,58.56,59.24,58.51,58.91,1617394.0,12411.0,58.868026
WEC,2016-04-08 04:00:00+00:00,58.95,59.48,58.9,58.93,1627694.0,10376.0,59.037477
WEC,2016-04-11 04:00:00+00:00,59.0,59.45,58.7,58.73,2552335.0,12468.0,58.791601
WEC,2016-04-12 04:00:00+00:00,58.82,59.17,58.62,59.13,1333586.0,11328.0,59.012031
WEC,2016-04-13 04:00:00+00:00,59.18,59.18,58.29,58.6,1759235.0,14235.0,58.539696
WEC,2016-04-14 04:00:00+00:00,58.43,58.73,58.16,58.38,1320978.0,11685.0,58.327793
WEC,2016-04-15 04:00:00+00:00,58.43,58.97,58.32,58.79,1342018.0,10958.0,58.721947
WEC,2016-04-18 04:00:00+00:00,58.71,59.14,58.48,59.14,1056150.0,8810.0,58.905594
WEC,2016-04-19 04:00:00+00:00,59.13,59.25,58.71,59.14,1610371.0,14238.0,59.051121
WEC,2016-04-20 04:00:00+00:00,59.01,59.44,57.09,57.12,2182036.0,18122.0,57.748902
WEC,2016-04-21 04:00:00+00:00,56.94,56.97,55.46,55.9,3290070.0,26627.0,56.046659
WEC,2016-04-22 04:00:00+00:00,56.2,56.69,56.09,56.65,2150191.0,16082.0,56.511999
WEC,2016-04-25 04:00:00+00:00,56.58,56.91,56.32,56.82,1868528.0,14922.0,56.745116
WEC,2016-04-26 04:00:00+00:00,56.73,57.01,56.6,56.71,1717233.0,14772.0,56.750586
WEC,2016-04-27 04:00:00+00:00,56.92,58.12,56.83,57.7,2349470.0,18696.0,57.593165
WEC,2016-04-28 04:00:00+00:00,57.34,58.185,57.0,58.08,2135221.0,17848.0,57.935368
WEC,2016-04-29 04:00:00+00:00,57.85,58.31,57.16,58.21,2186540.0,17123.0,57.944058
WEC,2016-05-02 04:00:00+00:00,58.49,58.7,57.95,58.42,2122995.0,19460.0,58.369694
WEC,2016-05-03 04:00:00+00:00,58.83,59.39,58.345,58.95,2705123.0,23086.0,58.852728
WEC,2016-05-04 04:00:00+00:00,58.92,60.505,58.92,60.1,2413709.0,21117.0,60.07456
WEC,2016-05-05 04:00:00+00:00,59.91,60.49,59.66,59.97,1792997.0,17101.0,59.944841
WEC,2016-05-06 04:00:00+00:00,59.85,59.99,58.74,59.25,2593555.0,20217.0,59.149049
WEC,2016-05-09 04:00:00+00:00,59.74,60.17,59.3,60.08,2541113.0,20825.0,59.903606
WEC,2016-05-10 04:00:00+00:00,60.1,60.43,59.79,60.03,2409547.0,21067.0,60.139494
WEC,2016-05-11 04:00:00+00:00,59.75,60.13,59.34,60.06,2114141.0,19270.0,59.784851
WEC,2016-05-12 04:00:00+00:00,59.78,60.38,59.61,60.18,2205666.0,20049.0,60.18298
WEC,2016-05-13 04:00:00+00:00,60.15,60.23,59.51,59.91,1629172.0,14064.0,59.915418
WEC,2016-05-16 04:00:00+00:00,59.83,60.17,59.29,60.15,1623975.0,16047.0,59.987872
WEC,2016-05-17 04:00:00+00:00,60.04,60.16,58.59,58.9,3347748.0,23145.0,59.347321
WEC,2016-05-18 04:00:00+00:00,58.68,59.15,57.66,57.89,2226522.0,19779.0,58.19217
WEC,2016-05-19 04:00:00+00:00,57.65,58.44,57.25,58.42,1644173.0,16552.0,58.118327
WEC,2016-05-20 04:00:00+00:00,58.68,58.68,57.98,58.51,5729995.0,20320.0,58.463309
WEC,2016-05-23 04:00:00+00:00,58.72,58.85,57.96,57.99,1114551.0,9904.0,58.188715
WEC,2016-05-24 04:00:00+00:00,58.14,58.9,57.84,58.87,1675918.0,14427.0,58.662207
WEC,2016-05-25 04:00:00+00:00,58.55,58.83,58.23,58.75,1599080.0,14440.0,58.668323
WEC,2016-05-26 04:00:00+00:00,58.75,59.725,58.705,59.67,2077875.0,17371.0,59.434257
WEC,2016-05-27 04:00:00+00:00,59.82,59.87,59.35,59.73,1196365.0,11592.0,59.645939
WEC,2016-05-31 04:00:00+00:00,59.54,60.33,59.53,60.14,3558232.0,17652.0,60.03434
WEC,2016-06-01 04:00:00+00:00,60.11,60.54,59.97,60.45,2427036.0,19236.0,60.396509
WEC,2016-06-02 04:00:00+00:00,60.36,60.47,59.62,60.18,2236425.0,19395.0,60.071996
WEC,2016-06-03 04:00:00+00:00,60.78,61.81,60.76,61.52,1602429.0,16081.0,61.468063
WEC,2016-06-06 04:00:00+00:00,61.39,61.75,60.95,61.11,1908791.0,17084.0,61.243634
WEC,2016-06-07 04:00:00+00:00,61.18,61.5,60.76,60.9,1980589.0,16286.0,61.040434
WEC,2016-06-08 04:00:00+00:00,60.85,61.71,60.67,61.65,1424727.0,12173.0,61.461671
WEC,2016-06-09 04:00:00+00:00,61.6,62.37,61.351,62.32,1818186.0,15958.0,62.111582
WEC,2016-06-10 04:00:00+00:00,62.19,62.67,62.1,62.53,1997050.0,18213.0,62.441097
WEC,2016-06-13 04:00:00+00:00,62.62,62.88,62.35,62.52,2111300.0,16409.0,62.60588
WEC,2016-06-14 04:00:00+00:00,62.52,63.19,62.11,63.19,2659311.0,20913.0,62.857668
WEC,2016-06-15 04:00:00+00:00,63.23,63.25,62.18,62.56,1644627.0,16482.0,62.564939
WEC,2016-06-16 04:00:00+00:00,62.56,63.26,62.56,63.14,1764802.0,18379.0,63.066903
WEC,2016-06-17 04:00:00+00:00,62.99,63.41,62.54,63.3,3299768.0,19119.0,63.115042
WEC,2016-06-20 04:00:00+00:00,63.3,63.34,62.25,62.94,1757732.0,16524.0,62.873783
WEC,2016-06-21 04:00:00+00:00,63.05,63.36,62.66,62.9,1882912.0,13668.0,63.031362
WEC,2016-06-22 04:00:00+00:00,63.04,63.14,62.71,62.88,1669173.0,15499.0,62.930332
WEC,2016-06-23 04:00:00+00:00,62.95,62.95,62.36,62.78,1345617.0,11581.0,62.619477
