symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WELL,2016-01-04 05:00:00+00:00,67.77,68.46,67.11,68.39,2710208.0,21597.0,67.898108
WELL,2016-01-05 05:00:00+00:00,68.4,70.45,68.15,70.09,4001809.0,25402.0,69.864813
WELL,2016-01-06 05:00:00+00:00,69.5,70.16,69.3,69.94,2738405.0,19729.0,69.871429
WELL,2016-01-07 05:00:00+00:00,69.24,69.87,67.6,67.94,4787862.0,29162.0,68.556348
WELL,2016-01-08 05:00:00+00:00,68.16,68.71,67.95,68.09,2575785.0,16283.0,68.292833
WELL,2016-01-11 05:00:00+00:00,68.41,69.22,68.2,68.55,2768730.0,19810.0,68.75315
WELL,2016-01-12 05:00:00+00:00,68.83,68.96,67.7,68.03,2532626.0,16495.0,68.032403
WELL,2016-01-13 05:00:00+00:00,68.07,68.52,66.25,66.58,3286162.0,25227.0,67.386056
WELL,2016-01-14 05:00:00+00:00,66.38,67.02,65.91,66.39,3466783.0,23009.0,66.444228
WELL,2016-01-15 05:00:00+00:00,65.53,66.53,65.22,66.32,3174319.0,22291.0,66.09238
WELL,2016-01-19 05:00:00+00:00,66.97,68.44,66.63,67.77,2526458.0,21270.0,67.853246
WELL,2016-01-20 05:00:00+00:00,67.26,67.65,63.7,64.51,3370786.0,27412.0,64.78198
WELL,2016-01-21 05:00:00+00:00,65.15,66.49,64.09,65.48,2327182.0,20189.0,65.53015
WELL,2016-01-22 05:00:00+00:00,66.13,68.29,66.0,67.75,2100713.0,16147.0,67.501923
WELL,2016-01-25 05:00:00+00:00,67.68,68.44,66.64,66.75,2004808.0,16243.0,67.102973
WELL,2016-01-26 05:00:00+00:00,67.03,67.92,65.67,66.0,5294638.0,32897.0,66.176109
WELL,2016-01-27 05:00:00+00:00,65.21,65.36,60.73,61.6,6945506.0,48573.0,62.226804
WELL,2016-01-28 05:00:00+00:00,61.4,62.05,60.33,60.43,5205179.0,37070.0,61.075134
WELL,2016-01-29 05:00:00+00:00,61.28,62.23,60.53,62.22,5218570.0,32272.0,61.725046
WELL,2016-02-01 05:00:00+00:00,61.87,63.31,61.55,62.83,2529156.0,21978.0,62.599143
WELL,2016-02-02 05:00:00+00:00,62.83,62.86,61.74,61.81,3380000.0,20949.0,61.977298
