symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WMB,2016-01-04 05:00:00+00:00,25.52,26.59,25.32,26.24,13492625.0,54486.0,26.044425
WMB,2016-01-05 05:00:00+00:00,26.4,26.68,25.91,26.33,15205640.0,57761.0,26.318168
WMB,2016-01-06 05:00:00+00:00,25.54,25.74,22.9,22.9,20681130.0,72747.0,23.526006
WMB,2016-01-07 05:00:00+00:00,22.23,22.8,20.6,20.61,12999055.0,67870.0,21.532142
WMB,2016-01-08 05:00:00+00:00,21.06,21.2276,19.47,20.31,20480387.0,86182.0,20.203068
WMB,2016-01-11 05:00:00+00:00,20.19,20.49,18.31,18.69,18611584.0,90162.0,18.894438
WMB,2016-01-12 05:00:00+00:00,18.93,19.2199,15.19,16.54,50248333.0,194016.0,16.360686
WMB,2016-01-13 05:00:00+00:00,16.48,16.54,12.77,13.61,55153300.0,194196.0,14.226895
WMB,2016-01-14 05:00:00+00:00,13.42,18.44,13.2401,18.29,43590504.0,157950.0,15.719704
WMB,2016-01-15 05:00:00+00:00,15.8,18.0,15.62,16.1,25244429.0,113498.0,16.881779
WMB,2016-01-19 05:00:00+00:00,16.56,17.65,15.41,15.78,25291768.0,95595.0,16.161659
WMB,2016-01-20 05:00:00+00:00,15.185,15.71,14.13,15.49,18163849.0,81873.0,15.127215
WMB,2016-01-21 05:00:00+00:00,15.4,16.79,15.25,16.04,18076939.0,89036.0,16.118925
WMB,2016-01-22 05:00:00+00:00,16.91,19.85,16.87,19.74,31243324.0,154197.0,18.814925
WMB,2016-01-25 05:00:00+00:00,19.18,21.79,18.24,18.31,22329432.0,108642.0,19.637493
WMB,2016-01-26 05:00:00+00:00,18.94,20.66,18.28,20.42,18958407.0,102207.0,19.820508
WMB,2016-01-27 05:00:00+00:00,20.27,20.43,18.25,19.27,24967734.0,115279.0,19.203424
WMB,2016-01-28 05:00:00+00:00,20.41,21.08,19.03,19.29,17716468.0,91802.0,19.738203
WMB,2016-01-29 05:00:00+00:00,19.43,19.84,18.58,19.3,15808009.0,90716.0,19.195946
WMB,2016-02-01 05:00:00+00:00,18.89,19.85,18.11,19.51,14380893.0,77963.0,18.928971
WMB,2016-02-02 05:00:00+00:00,18.85,19.46,18.5,18.69,11123732.0,59066.0,18.818051
WMB,2016-02-03 05:00:00+00:00,19.02,19.23,16.98,18.41,15751720.0,86967.0,18.050441
WMB,2016-02-04 05:00:00+00:00,18.53,19.11,17.8,18.75,12342165.0,72383.0,18.46795
WMB,2016-02-05 05:00:00+00:00,18.51,18.57,16.955,17.12,12026639.0,74560.0,17.451528
WMB,2016-02-08 05:00:00+00:00,14.93,15.0,10.22,11.16,65367766.0,227440.0,11.93003
WMB,2016-02-09 05:00:00+00:00,11.26,12.15,11.0,11.98,28895124.0,110899.0,11.648335
WMB,2016-02-10 05:00:00+00:00,11.56,13.78,11.29,12.85,18773309.0,103713.0,12.898259
WMB,2016-02-11 05:00:00+00:00,12.08,13.98,11.76,13.29,18333622.0,79536.0,13.199059
WMB,2016-02-12 05:00:00+00:00,13.6,14.5,13.0,13.47,8989892.0,48988.0,13.491868
WMB,2016-02-16 05:00:00+00:00,13.89,15.05,13.81,15.01,13252793.0,63456.0,14.678473
WMB,2016-02-17 05:00:00+00:00,15.43,15.995,15.06,15.69,10176227.0,57315.0,15.655809
WMB,2016-02-18 05:00:00+00:00,15.69,16.29,14.81,15.92,12467060.0,61345.0,15.520137
WMB,2016-02-19 05:00:00+00:00,15.59,15.75,15.0,15.51,9156461.0,50647.0,15.412124
WMB,2016-02-22 05:00:00+00:00,15.95,16.3949,15.64,16.15,9459610.0,45741.0,16.082126
WMB,2016-02-23 05:00:00+00:00,16.05,16.1299,15.41,15.6,9284147.0,53216.0,15.681481
WMB,2016-02-24 05:00:00+00:00,15.29,16.7,14.7,16.63,7527912.0,45324.0,15.809443
WMB,2016-02-25 05:00:00+00:00,15.75,16.85,14.92,16.03,19440646.0,102960.0,15.819449
WMB,2016-02-26 05:00:00+00:00,16.37,16.79,15.5,15.64,11107144.0,59782.0,15.959177
WMB,2016-02-29 05:00:00+00:00,15.75,16.55,15.55,15.99,12378639.0,65465.0,16.084179
WMB,2016-03-01 05:00:00+00:00,16.14,16.59,15.78,16.55,6507331.0,39412.0,16.385198
WMB,2016-03-02 05:00:00+00:00,16.422,17.24,16.32,17.13,8342087.0,40778.0,16.897657
WMB,2016-03-03 05:00:00+00:00,17.08,18.15,17.07,18.09,7397548.0,47399.0,17.804475
WMB,2016-03-04 05:00:00+00:00,18.62,19.35,18.5,19.15,17392717.0,88773.0,18.9738
WMB,2016-03-07 05:00:00+00:00,19.32,19.9,18.795,19.06,14364248.0,90054.0,19.258582
WMB,2016-03-08 05:00:00+00:00,18.89,18.95,17.15,17.26,17990257.0,112234.0,17.965416
WMB,2016-03-09 05:00:00+00:00,17.69,18.2,17.3,17.96,13903142.0,64398.0,17.732427
WMB,2016-03-10 05:00:00+00:00,17.25,17.2999,14.84,15.89,37072274.0,143790.0,15.773857
WMB,2016-03-11 05:00:00+00:00,16.41,16.66,15.9201,16.01,13580158.0,48556.0,16.175474
WMB,2016-03-14 04:00:00+00:00,15.92,16.77,15.71,16.5,9678611.0,54502.0,16.257065
WMB,2016-03-15 04:00:00+00:00,16.14,16.18,15.53,16.15,9551962.0,54656.0,15.904064
WMB,2016-03-16 04:00:00+00:00,16.2,17.535,16.2,17.44,10856003.0,58180.0,17.181369
WMB,2016-03-17 04:00:00+00:00,17.781,18.21,17.17,17.76,9806830.0,51857.0,17.730127
WMB,2016-03-18 04:00:00+00:00,18.12,18.38,17.82,18.15,19000619.0,59664.0,18.094784
WMB,2016-03-21 04:00:00+00:00,17.99,18.02,17.21,17.35,6766022.0,41008.0,17.488538
WMB,2016-03-22 04:00:00+00:00,17.17,17.71,16.95,17.63,8248376.0,33128.0,17.497971
WMB,2016-03-23 04:00:00+00:00,17.74,17.88,15.95,16.26,9806090.0,48156.0,16.600481
WMB,2016-03-24 04:00:00+00:00,15.79,15.8,14.85,15.35,18348368.0,74817.0,15.300426
WMB,2016-03-28 04:00:00+00:00,15.77,15.88,15.08,15.14,10190223.0,46984.0,15.324027
WMB,2016-03-29 04:00:00+00:00,14.91,15.79,14.65,15.7,7075950.0,34799.0,15.256625
WMB,2016-03-30 04:00:00+00:00,15.9,16.49,15.65,15.66,8468011.0,37931.0,15.921731
WMB,2016-03-31 04:00:00+00:00,15.69,16.12,15.41,16.07,9155979.0,30643.0,15.913717
WMB,2016-04-01 04:00:00+00:00,15.7,16.32,15.4,15.52,9005026.0,45432.0,15.729394
