symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WSM,2016-01-04 05:00:00+00:00,57.77,58.19,57.3,57.47,1301453.0,11231.0,57.589266
WSM,2016-01-05 05:00:00+00:00,57.73,57.945,57.18,57.49,1353903.0,10967.0,57.496595
WSM,2016-01-06 05:00:00+00:00,56.56,57.33,55.43,55.67,2074569.0,14231.0,55.954232
WSM,2016-01-07 05:00:00+00:00,55.02,57.44,54.91,56.49,2059059.0,17490.0,56.591312
WSM,2016-01-08 05:00:00+00:00,56.04,56.1,54.51,54.67,1947393.0,15294.0,55.000017
WSM,2016-01-11 05:00:00+00:00,54.64,54.64,53.1,53.41,1592505.0,14122.0,53.582159
WSM,2016-01-12 05:00:00+00:00,53.73,54.58,52.92,53.44,1161510.0,8784.0,53.480625
WSM,2016-01-13 05:00:00+00:00,53.49,53.72,51.8001,52.16,1594986.0,14504.0,52.464316
WSM,2016-01-14 05:00:00+00:00,52.05,52.25,50.94,51.61,1388593.0,11188.0,51.600585
WSM,2016-01-15 05:00:00+00:00,50.35,50.73,49.2,50.45,2112525.0,15165.0,50.157586
WSM,2016-01-19 05:00:00+00:00,50.83,50.83,49.42,50.01,1565673.0,11388.0,49.976987
WSM,2016-01-20 05:00:00+00:00,49.41,49.86,47.33,48.99,2768690.0,22678.0,48.603283
WSM,2016-01-21 05:00:00+00:00,48.99,51.68,48.98,50.72,1790849.0,13930.0,50.66095
WSM,2016-01-22 05:00:00+00:00,50.93,52.62,50.6311,52.29,2790917.0,15138.0,52.01983
WSM,2016-01-25 05:00:00+00:00,52.35,53.575,51.14,51.31,1844707.0,13611.0,51.626128
WSM,2016-01-26 05:00:00+00:00,51.44,51.76,51.11,51.59,1155245.0,10002.0,51.505141
WSM,2016-01-27 05:00:00+00:00,51.5,52.09,50.12,50.74,1106154.0,9178.0,50.925255
WSM,2016-01-28 05:00:00+00:00,51.03,51.32,49.05,49.5,1157580.0,10538.0,49.695758
WSM,2016-01-29 05:00:00+00:00,49.68,51.67,49.68,51.66,1452694.0,11124.0,51.079713
WSM,2016-02-01 05:00:00+00:00,51.49,52.14,50.38,51.66,1763811.0,12731.0,51.564545
WSM,2016-02-02 05:00:00+00:00,51.41,51.785,50.58,51.09,960099.0,9401.0,51.013114
WSM,2016-02-03 05:00:00+00:00,51.34,51.87,49.39,50.13,1246482.0,11102.0,50.172359
WSM,2016-02-04 05:00:00+00:00,50.12,51.64,50.03,51.5,1272141.0,11522.0,51.229642
WSM,2016-02-05 05:00:00+00:00,51.5,52.67,50.96,52.17,1382116.0,12922.0,52.077446
WSM,2016-02-08 05:00:00+00:00,51.87,52.62,51.12,52.61,1802158.0,13380.0,52.004599
WSM,2016-02-09 05:00:00+00:00,51.9,52.94,51.57,52.11,1239856.0,10372.0,52.073215
WSM,2016-02-10 05:00:00+00:00,52.5,53.23,51.72,51.75,882011.0,8249.0,52.249381
WSM,2016-02-11 05:00:00+00:00,50.91,51.75,50.286,51.26,915064.0,8236.0,51.205586
WSM,2016-02-12 05:00:00+00:00,51.01,52.25,50.495,52.07,702181.0,7178.0,51.669211
WSM,2016-02-16 05:00:00+00:00,52.68,54.23,52.11,54.17,730015.0,7224.0,53.708974
WSM,2016-02-17 05:00:00+00:00,54.83,58.14,54.79,57.66,1946457.0,16925.0,57.229425
WSM,2016-02-18 05:00:00+00:00,56.95,58.31,56.19,57.91,1511324.0,12771.0,57.634671
WSM,2016-02-19 05:00:00+00:00,57.34,57.68,55.51,56.14,955338.0,8048.0,56.135377
WSM,2016-02-22 05:00:00+00:00,56.7,57.0,55.9832,56.83,697149.0,5662.0,56.656302
WSM,2016-02-23 05:00:00+00:00,56.83,57.27,55.66,56.3,772265.0,7570.0,56.403773
WSM,2016-02-24 05:00:00+00:00,55.95,57.19,55.37,56.81,988692.0,8407.0,56.471484
WSM,2016-02-25 05:00:00+00:00,53.0,54.78,53.0,53.35,3083509.0,23345.0,53.70015
WSM,2016-02-26 05:00:00+00:00,53.82,55.04,53.37,54.97,2365612.0,19426.0,54.096308
WSM,2016-02-29 05:00:00+00:00,55.08,55.08,52.0,52.11,1748017.0,15480.0,52.754712
WSM,2016-03-01 05:00:00+00:00,52.45,54.37,51.825,54.17,1534173.0,13066.0,53.420466
WSM,2016-03-02 05:00:00+00:00,53.96,54.48,53.26,54.36,1376118.0,8824.0,54.055009
WSM,2016-03-03 05:00:00+00:00,54.5,56.15,54.35,55.79,1136160.0,7711.0,55.659197
WSM,2016-03-04 05:00:00+00:00,56.08,56.98,55.61,56.21,724546.0,6504.0,56.347767
WSM,2016-03-07 05:00:00+00:00,56.08,57.76,55.69,57.44,1555881.0,10401.0,57.301894
WSM,2016-03-08 05:00:00+00:00,57.38,58.2,57.185,57.37,1461563.0,10905.0,57.715131
WSM,2016-03-09 05:00:00+00:00,57.52,57.76,56.03,56.75,894168.0,7453.0,56.508586
WSM,2016-03-10 05:00:00+00:00,57.03,58.3,56.5,57.9,1284720.0,12316.0,57.777358
WSM,2016-03-11 05:00:00+00:00,56.8,57.92,55.6,57.87,1623142.0,11892.0,57.19722
WSM,2016-03-14 04:00:00+00:00,57.93,58.16,57.09,57.72,1032034.0,8757.0,57.701874
WSM,2016-03-15 04:00:00+00:00,57.75,59.03,57.41,58.21,2316723.0,16944.0,58.134082
WSM,2016-03-16 04:00:00+00:00,58.0,59.99,57.54,59.46,2424456.0,19139.0,58.940302
