symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XEL,2016-01-04 05:00:00+00:00,35.65,35.87,35.39,35.7,3112910.0,20672.0,35.6061
XEL,2016-01-05 05:00:00+00:00,35.68,36.14,35.19,36.06,2255437.0,17311.0,35.845285
XEL,2016-01-06 05:00:00+00:00,35.85,36.6,35.74,36.44,5415418.0,32791.0,36.303594
XEL,2016-01-07 05:00:00+00:00,36.1,36.66,36.055,36.58,5413773.0,35658.0,36.434044
XEL,2016-01-08 05:00:00+00:00,36.58,36.75,36.08,36.18,3212709.0,22331.0,36.388617
XEL,2016-01-11 05:00:00+00:00,36.23,36.61,36.21,36.47,3996817.0,26920.0,36.444176
XEL,2016-01-12 05:00:00+00:00,36.58,36.7,35.87,36.33,3530571.0,25978.0,36.187098
XEL,2016-01-13 05:00:00+00:00,36.3,36.68,36.05,36.11,5042266.0,35498.0,36.331349
XEL,2016-01-14 05:00:00+00:00,36.17,36.93,36.15,36.71,3970096.0,28510.0,36.665982
XEL,2016-01-15 05:00:00+00:00,36.23,36.73,35.99,36.5,4348130.0,26576.0,36.390287
XEL,2016-01-19 05:00:00+00:00,36.73,37.35,36.5665,37.21,5765972.0,36012.0,37.089622
XEL,2016-01-20 05:00:00+00:00,37.1,37.24,36.11,36.62,5756940.0,38747.0,36.603742
XEL,2016-01-21 05:00:00+00:00,36.65,37.06,35.91,36.13,5599078.0,35635.0,36.308187
XEL,2016-01-22 05:00:00+00:00,36.31,36.67,36.01,36.63,4695789.0,33042.0,36.314372
XEL,2016-01-25 05:00:00+00:00,36.65,36.76,36.295,36.53,2468710.0,18297.0,36.559943
XEL,2016-01-26 05:00:00+00:00,36.65,37.09,36.4,36.77,2920087.0,18826.0,36.818162
XEL,2016-01-27 05:00:00+00:00,36.74,37.17,36.385,36.68,4013363.0,27282.0,36.797972
XEL,2016-01-28 05:00:00+00:00,36.36,37.84,36.1,37.57,3414072.0,22683.0,37.401546
XEL,2016-01-29 05:00:00+00:00,37.54,38.26,37.5,38.22,6060497.0,33474.0,38.073457
XEL,2016-02-01 05:00:00+00:00,38.09,38.74,37.9,38.56,6244093.0,39610.0,38.40749
XEL,2016-02-02 05:00:00+00:00,38.33,38.995,38.29,38.98,5186384.0,33044.0,38.72315
XEL,2016-02-03 05:00:00+00:00,38.88,39.43,36.25,39.25,8481691.0,53899.0,39.089252
XEL,2016-02-04 05:00:00+00:00,39.13,39.5033,38.82,39.07,5702814.0,40616.0,39.189813
XEL,2016-02-05 05:00:00+00:00,38.92,39.63,38.47,39.53,5333620.0,42626.0,39.276258
XEL,2016-02-08 05:00:00+00:00,39.16,40.21,38.865,39.25,7289805.0,52146.0,39.220925
XEL,2016-02-09 05:00:00+00:00,39.24,39.745,39.03,39.62,4377970.0,32679.0,39.547511
