symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XOM,2016-01-04 05:00:00+00:00,77.5,77.94,76.455,77.46,23034280.0,122858.0,77.143813
XOM,2016-01-05 05:00:00+00:00,77.19,78.14,76.9223,78.12,13851750.0,70909.0,77.670848
XOM,2016-01-06 05:00:00+00:00,76.64,77.64,76.59,77.47,21179512.0,106782.0,77.233908
XOM,2016-01-07 05:00:00+00:00,76.06,77.99,75.9,76.23,23405044.0,146762.0,76.663373
XOM,2016-01-08 05:00:00+00:00,76.32,76.65,74.5,74.69,20917249.0,127344.0,75.191601
XOM,2016-01-11 05:00:00+00:00,75.01,75.12,72.56,73.69,22808524.0,153319.0,73.668603
XOM,2016-01-12 05:00:00+00:00,74.11,75.42,73.1518,75.2,23944516.0,141719.0,74.387835
XOM,2016-01-13 05:00:00+00:00,75.84,77.06,74.94,75.65,27950181.0,184100.0,75.95275
XOM,2016-01-14 05:00:00+00:00,76.21,79.92,75.8,79.12,37262288.0,213336.0,78.802338
XOM,2016-01-15 05:00:00+00:00,76.33,78.17,76.3,77.58,33086939.0,181724.0,77.239518
XOM,2016-01-19 05:00:00+00:00,77.93,78.24,75.19,76.4,25626713.0,150213.0,76.743877
XOM,2016-01-20 05:00:00+00:00,75.07,75.72,71.55,73.18,34870299.0,250947.0,73.234545
XOM,2016-01-21 05:00:00+00:00,73.16,74.99,72.61,74.1,23788511.0,154985.0,73.950809
XOM,2016-01-22 05:00:00+00:00,76.42,76.77,74.72,76.57,24149827.0,148331.0,76.001204
XOM,2016-01-25 05:00:00+00:00,75.75,76.34,73.9,73.98,18474893.0,110135.0,75.05495
XOM,2016-01-26 05:00:00+00:00,74.77,76.77,74.25,76.7,20656887.0,111783.0,75.96392
XOM,2016-01-27 05:00:00+00:00,76.0,77.4699,74.72,75.29,19504057.0,132623.0,75.982498
XOM,2016-01-28 05:00:00+00:00,77.38,77.66,75.62,76.99,17441403.0,121347.0,76.718865
XOM,2016-01-29 05:00:00+00:00,76.73,77.85,76.25,77.85,29622827.0,156621.0,77.260154
XOM,2016-02-01 05:00:00+00:00,76.65,76.79,75.4398,76.29,18225003.0,123977.0,76.079906
XOM,2016-02-02 05:00:00+00:00,74.27,75.62,73.55,74.59,22187030.0,144071.0,74.398818
XOM,2016-02-03 05:00:00+00:00,75.53,78.53,74.26,78.48,29021525.0,166413.0,77.104566
XOM,2016-02-04 05:00:00+00:00,78.58,80.0,77.56,79.83,24653551.0,161118.0,79.177755
XOM,2016-02-05 05:00:00+00:00,79.52,80.1,78.57,80.08,28215280.0,176732.0,79.302923
XOM,2016-02-08 05:00:00+00:00,79.3,81.78,78.91,81.16,27846537.0,175368.0,80.565915
XOM,2016-02-09 05:00:00+00:00,79.98,80.67,78.69,80.08,19443636.0,130660.0,79.699842
XOM,2016-02-10 05:00:00+00:00,79.77,81.45,79.28,79.35,17584667.0,112810.0,80.103873
XOM,2016-02-11 05:00:00+00:00,78.34,80.15,77.58,79.6,21145227.0,129191.0,78.770065
XOM,2016-02-12 05:00:00+00:00,80.05,81.07,79.81,81.03,19108386.0,101397.0,80.690434
XOM,2016-02-16 05:00:00+00:00,81.7,81.85,80.28,81.22,18140708.0,100725.0,81.052737
XOM,2016-02-17 05:00:00+00:00,81.65,82.775,81.16,82.0,18220292.0,113916.0,82.021609
XOM,2016-02-18 05:00:00+00:00,82.94,83.06,81.86,82.45,16113868.0,108206.0,82.519182
XOM,2016-02-19 05:00:00+00:00,82.2,82.55,80.91,82.5,16208739.0,88061.0,81.926167
XOM,2016-02-22 05:00:00+00:00,83.19,83.44,82.2,82.39,16045518.0,91572.0,82.628118
XOM,2016-02-23 05:00:00+00:00,81.99,82.37,80.879,81.23,12126407.0,74235.0,81.527741
XOM,2016-02-24 05:00:00+00:00,79.91,81.77,79.67,81.52,14780858.0,88974.0,80.759176
XOM,2016-02-25 05:00:00+00:00,81.56,82.07,80.02,82.01,14845462.0,88585.0,81.171138
XOM,2016-02-26 05:00:00+00:00,82.89,83.08,81.69,81.75,15512797.0,84682.0,82.194678
XOM,2016-02-29 05:00:00+00:00,81.88,82.4,80.05,80.15,22401600.0,94903.0,80.767065
XOM,2016-03-01 05:00:00+00:00,80.55,81.765,80.32,81.28,17452927.0,100406.0,81.166605
XOM,2016-03-02 05:00:00+00:00,80.95,82.72,80.31,82.7,15110840.0,90956.0,81.787905
XOM,2016-03-03 05:00:00+00:00,82.66,82.72,81.54,82.4,14471582.0,85875.0,82.167849
XOM,2016-03-04 05:00:00+00:00,82.66,82.9699,81.7635,82.29,19555767.0,111123.0,82.422572
XOM,2016-03-07 05:00:00+00:00,82.31,84.46,82.21,84.46,20130491.0,103389.0,83.73696
XOM,2016-03-08 05:00:00+00:00,84.0,84.21,82.48,82.63,15670483.0,88995.0,83.060322
XOM,2016-03-09 05:00:00+00:00,83.22,83.85,82.24,82.4,15601763.0,90295.0,82.832168
XOM,2016-03-10 05:00:00+00:00,82.41,82.66,80.93,82.18,16879503.0,115900.0,81.654888
XOM,2016-03-11 05:00:00+00:00,83.24,83.53,82.005,82.19,17465167.0,86363.0,82.408691
XOM,2016-03-14 04:00:00+00:00,81.48,82.64,81.015,82.41,15380095.0,67767.0,82.138458
XOM,2016-03-15 04:00:00+00:00,81.6,82.85,81.52,82.82,10112686.0,64351.0,82.38689
XOM,2016-03-16 04:00:00+00:00,83.02,83.16,81.94,82.87,12244550.0,87897.0,82.590395
XOM,2016-03-17 04:00:00+00:00,83.66,84.675,82.72,84.1,15259867.0,80586.0,83.95605
XOM,2016-03-18 04:00:00+00:00,84.59,84.6,83.2539,84.2,26588298.0,85637.0,84.224527
XOM,2016-03-21 04:00:00+00:00,83.84,84.139,83.5,83.62,9410135.0,59199.0,83.742497
XOM,2016-03-22 04:00:00+00:00,83.08,84.86,83.01,84.12,15366424.0,72361.0,84.104679
XOM,2016-03-23 04:00:00+00:00,83.86,84.2999,83.52,83.75,14500977.0,78029.0,83.880986
XOM,2016-03-24 04:00:00+00:00,82.94,84.025,82.93,83.98,10793527.0,63639.0,83.748743
XOM,2016-03-28 04:00:00+00:00,84.03,84.36,83.7,84.22,8511438.0,48584.0,84.09567
XOM,2016-03-29 04:00:00+00:00,83.67,84.6134,83.16,84.53,10941982.0,67102.0,84.101094
XOM,2016-03-30 04:00:00+00:00,85.03,85.05,84.0,84.52,11684158.0,67560.0,84.479117
XOM,2016-03-31 04:00:00+00:00,84.07,85.1,83.59,83.59,15983061.0,72832.0,84.082439
XOM,2016-04-01 04:00:00+00:00,82.4,83.39,82.39,82.96,14287044.0,75787.0,82.920705
XOM,2016-04-04 04:00:00+00:00,83.06,83.9,82.78,83.16,8896030.0,58798.0,83.267548
XOM,2016-04-05 04:00:00+00:00,82.61,83.13,81.99,82.21,11508272.0,63855.0,82.431915
XOM,2016-04-06 04:00:00+00:00,82.68,83.46,82.3,83.31,10077693.0,65715.0,83.003783
XOM,2016-04-07 04:00:00+00:00,82.76,83.17,82.05,82.37,9171275.0,54164.0,82.412714
XOM,2016-04-08 04:00:00+00:00,83.3,83.45,82.85,83.21,10373277.0,61397.0,83.17741
XOM,2016-04-11 04:00:00+00:00,83.33,84.24,83.28,83.32,11419784.0,56529.0,83.562745
XOM,2016-04-12 04:00:00+00:00,83.69,84.63,83.37,84.35,10908131.0,68657.0,84.211556
XOM,2016-04-13 04:00:00+00:00,84.46,84.91,84.04,84.83,10074859.0,61492.0,84.56411
XOM,2016-04-14 04:00:00+00:00,85.0,85.9,84.76,85.43,11460217.0,62436.0,85.407014
XOM,2016-04-15 04:00:00+00:00,85.3,85.66,84.78,84.97,14149878.0,58204.0,85.061834
XOM,2016-04-18 04:00:00+00:00,83.87,85.86,83.86,85.78,10073545.0,59695.0,85.299727
XOM,2016-04-19 04:00:00+00:00,85.85,86.31,85.22,86.21,11200262.0,64531.0,86.000171
XOM,2016-04-20 04:00:00+00:00,86.23,87.44,85.97,86.8,16161462.0,81191.0,86.904793
XOM,2016-04-21 04:00:00+00:00,86.59,87.84,86.57,86.79,12916607.0,80990.0,87.06602
XOM,2016-04-22 04:00:00+00:00,87.24,87.64,86.82,87.53,10404041.0,58857.0,87.330644
XOM,2016-04-25 04:00:00+00:00,87.09,87.4,86.352,87.33,8901052.0,57541.0,86.945267
XOM,2016-04-26 04:00:00+00:00,87.75,87.94,87.06,87.63,10544653.0,56304.0,87.598209
XOM,2016-04-27 04:00:00+00:00,87.95,88.715,87.33,88.46,11528395.0,65836.0,88.267757
XOM,2016-04-28 04:00:00+00:00,87.86,88.775,87.5,88.03,12161364.0,67177.0,88.09662
XOM,2016-04-29 04:00:00+00:00,88.68,89.78,87.74,88.4,20634343.0,97575.0,88.546118
XOM,2016-05-02 04:00:00+00:00,88.24,89.4765,88.08,89.13,10999176.0,67240.0,88.893288
XOM,2016-05-03 04:00:00+00:00,88.4,88.63,87.355,88.11,11189297.0,68849.0,88.043158
XOM,2016-05-04 04:00:00+00:00,88.3,88.74,87.6,87.94,11658206.0,71030.0,88.035883
XOM,2016-05-05 04:00:00+00:00,88.75,88.97,87.6201,88.04,9360846.0,58276.0,88.256201
XOM,2016-05-06 04:00:00+00:00,87.46,88.6815,87.46,88.51,8762904.0,54660.0,88.386726
XOM,2016-05-09 04:00:00+00:00,88.6,88.76,87.23,88.57,12244055.0,72224.0,88.087475
XOM,2016-05-10 04:00:00+00:00,88.9,90.0,88.82,89.99,13738643.0,74654.0,89.674976
XOM,2016-05-11 04:00:00+00:00,89.16,89.68,88.72,88.81,12591440.0,68751.0,89.055063
XOM,2016-05-12 04:00:00+00:00,89.8,89.93,89.15,89.67,11843094.0,68568.0,89.58612
XOM,2016-05-13 04:00:00+00:00,89.28,89.66,88.51,88.66,10760549.0,62183.0,88.925151
XOM,2016-05-16 04:00:00+00:00,89.2,89.67,89.0,89.57,9742304.0,56329.0,89.447652
XOM,2016-05-17 04:00:00+00:00,89.27,89.91,89.16,89.53,11164825.0,63504.0,89.509703
XOM,2016-05-18 04:00:00+00:00,89.8,90.0,88.65,89.35,10664831.0,65494.0,89.461555
XOM,2016-05-19 04:00:00+00:00,88.61,90.16,88.45,90.11,15797529.0,78005.0,89.594628
XOM,2016-05-20 04:00:00+00:00,90.39,90.4,89.38,89.74,15105426.0,58935.0,89.887023
XOM,2016-05-23 04:00:00+00:00,89.0,89.9,88.8201,89.6,13467135.0,54427.0,89.41317
XOM,2016-05-24 04:00:00+00:00,89.89,90.4,89.55,89.67,11065903.0,56611.0,89.883191
XOM,2016-05-25 04:00:00+00:00,89.85,90.37,89.59,90.26,10687116.0,62006.0,90.120866
XOM,2016-05-26 04:00:00+00:00,90.25,90.46,89.27,89.8,8586414.0,53460.0,89.79426
XOM,2016-05-27 04:00:00+00:00,89.4,90.05,89.32,90.01,8762427.0,44883.0,89.856371
XOM,2016-05-31 04:00:00+00:00,90.0,90.2,88.73,89.02,17033255.0,59790.0,89.190084
XOM,2016-06-01 04:00:00+00:00,88.43,89.45,88.13,89.24,8942204.0,55540.0,88.899386
XOM,2016-06-02 04:00:00+00:00,88.21,88.53,87.61,88.53,10959653.0,61183.0,88.153035
XOM,2016-06-03 04:00:00+00:00,88.44,88.83,88.03,88.37,10664165.0,57482.0,88.342718
XOM,2016-06-06 04:00:00+00:00,88.87,89.5,88.69,89.34,10141582.0,52675.0,89.245783
XOM,2016-06-07 04:00:00+00:00,89.75,90.92,89.71,90.71,14554027.0,70230.0,90.607481
XOM,2016-06-08 04:00:00+00:00,91.03,91.3,90.53,90.79,11313734.0,57493.0,90.868104
XOM,2016-06-09 04:00:00+00:00,90.18,91.03,90.11,90.67,9773279.0,55552.0,90.654906
XOM,2016-06-10 04:00:00+00:00,90.37,90.92,89.7801,89.98,11549640.0,66699.0,90.193844
XOM,2016-06-13 04:00:00+00:00,89.92,91.43,89.7,90.59,12538674.0,70143.0,90.768207
XOM,2016-06-14 04:00:00+00:00,90.45,90.87,89.85,90.43,10905476.0,69056.0,90.309898
XOM,2016-06-15 04:00:00+00:00,90.23,90.9,90.0,90.16,11929888.0,72157.0,90.361487
XOM,2016-06-16 04:00:00+00:00,89.7,91.39,89.11,91.22,13822646.0,86115.0,90.417193
XOM,2016-06-17 04:00:00+00:00,91.49,91.59,90.19,90.72,23697610.0,76135.0,90.909108
XOM,2016-06-20 04:00:00+00:00,91.29,91.59,91.07,91.12,10387503.0,65356.0,91.303945
XOM,2016-06-21 04:00:00+00:00,90.72,91.64,90.25,91.53,9694110.0,51787.0,91.336533
XOM,2016-06-22 04:00:00+00:00,91.84,91.93,91.005,91.17,9791558.0,55876.0,91.323681
XOM,2016-06-23 04:00:00+00:00,91.93,92.07,91.19,91.8,10470175.0,60434.0,91.602342
XOM,2016-06-24 04:00:00+00:00,89.88,90.8,89.15,89.39,22974733.0,126977.0,89.731117
XOM,2016-06-27 04:00:00+00:00,88.9,89.1,88.11,88.86,16168492.0,95500.0,88.588428
XOM,2016-06-28 04:00:00+00:00,89.73,90.93,89.52,90.91,14890651.0,83914.0,90.369882
XOM,2016-06-29 04:00:00+00:00,91.41,92.7,91.12,92.46,15334431.0,90914.0,92.296896
XOM,2016-06-30 04:00:00+00:00,92.33,93.8273,92.3,93.74,16769331.0,76180.0,93.402597
XOM,2016-07-01 04:00:00+00:00,93.36,93.98,93.07,93.84,11280386.0,63232.0,93.546837
XOM,2016-07-05 04:00:00+00:00,93.12,93.6,92.25,93.02,12530519.0,66122.0,92.840051
XOM,2016-07-06 04:00:00+00:00,93.35,94.12,92.44,94.09,14569390.0,81187.0,93.534274
XOM,2016-07-07 04:00:00+00:00,94.34,94.49,92.35,92.96,13448127.0,77633.0,93.140109
XOM,2016-07-08 04:00:00+00:00,93.39,93.78,92.92,93.54,10999974.0,60668.0,93.39412
XOM,2016-07-11 04:00:00+00:00,93.75,94.41,93.65,93.89,9034179.0,53491.0,94.04339
XOM,2016-07-12 04:00:00+00:00,94.67,94.95,94.09,94.95,11192446.0,62415.0,94.71487
XOM,2016-07-13 04:00:00+00:00,94.65,94.915,94.11,94.88,10511277.0,59605.0,94.590058
XOM,2016-07-14 04:00:00+00:00,95.05,95.53,94.62,94.95,10329343.0,52691.0,94.97107
XOM,2016-07-15 04:00:00+00:00,95.44,95.55,94.64,95.12,13283691.0,48001.0,95.117227
XOM,2016-07-18 04:00:00+00:00,94.92,95.15,94.4,94.82,11021517.0,55703.0,94.748752
XOM,2016-07-19 04:00:00+00:00,94.76,94.94,94.2,94.47,6787788.0,38499.0,94.477778
XOM,2016-07-20 04:00:00+00:00,94.25,94.4161,93.8,93.93,8021110.0,45036.0,94.01569
XOM,2016-07-21 04:00:00+00:00,93.89,94.26,93.46,93.85,9046922.0,44034.0,93.814395
XOM,2016-07-22 04:00:00+00:00,94.11,94.294,93.72,94.01,8444297.0,41868.0,93.97637
XOM,2016-07-25 04:00:00+00:00,93.47,93.62,91.76,92.2,12504080.0,61640.0,92.325754
XOM,2016-07-26 04:00:00+00:00,91.63,92.03,91.11,91.53,13164614.0,70031.0,91.543137
XOM,2016-07-27 04:00:00+00:00,91.51,91.805,90.63,90.91,11194320.0,59570.0,91.035153
XOM,2016-07-28 04:00:00+00:00,90.54,90.73,89.61,90.2,13303469.0,72205.0,90.12335
XOM,2016-07-29 04:00:00+00:00,87.61,89.01,86.12,88.95,27350943.0,129662.0,88.218179
XOM,2016-08-01 04:00:00+00:00,88.08,88.15,85.59,85.86,24619522.0,127277.0,86.357122
XOM,2016-08-02 04:00:00+00:00,86.45,87.32,85.58,87.04,20316737.0,104035.0,86.374912
XOM,2016-08-03 04:00:00+00:00,87.01,87.49,86.6,87.49,16899352.0,84655.0,87.172512
XOM,2016-08-04 04:00:00+00:00,87.5,87.65,87.03,87.48,14570247.0,67682.0,87.342516
XOM,2016-08-05 04:00:00+00:00,87.73,87.83,87.15,87.56,11288404.0,59733.0,87.502247
XOM,2016-08-08 04:00:00+00:00,88.05,88.89,88.03,88.59,11357730.0,54794.0,88.518632
XOM,2016-08-09 04:00:00+00:00,88.62,88.76,88.18,88.7,10315782.0,56093.0,88.52157
XOM,2016-08-10 04:00:00+00:00,87.78,87.92,86.01,86.41,13769895.0,72519.0,86.698857
XOM,2016-08-11 04:00:00+00:00,86.69,87.27,86.26,86.72,12932888.0,61871.0,86.813439
XOM,2016-08-12 04:00:00+00:00,86.96,87.98,86.9,87.85,10945353.0,55770.0,87.704775
XOM,2016-08-15 04:00:00+00:00,88.42,88.5,87.64,87.81,7053067.0,43923.0,87.934442
XOM,2016-08-16 04:00:00+00:00,87.83,88.1799,87.37,87.92,7521158.0,46244.0,87.815695
XOM,2016-08-17 04:00:00+00:00,87.92,88.18,87.66,88.11,7987187.0,50893.0,87.974702
XOM,2016-08-18 04:00:00+00:00,88.38,88.94,88.12,88.91,12000166.0,61359.0,88.645609
XOM,2016-08-19 04:00:00+00:00,88.63,88.74,87.79,87.8,10057830.0,49879.0,88.135609
XOM,2016-08-22 04:00:00+00:00,87.31,88.1,86.845,87.99,9324102.0,51760.0,87.767468
XOM,2016-08-23 04:00:00+00:00,87.84,88.02,87.56,87.72,8062016.0,37078.0,87.741121
XOM,2016-08-24 04:00:00+00:00,87.5,88.16,87.35,88.02,9099946.0,51941.0,87.900481
XOM,2016-08-25 04:00:00+00:00,88.02,88.03,87.24,87.46,8257111.0,44573.0,87.467849
XOM,2016-08-26 04:00:00+00:00,87.63,88.11,87.0,87.27,7204431.0,47122.0,87.420204
XOM,2016-08-29 04:00:00+00:00,87.04,87.92,87.04,87.84,8383528.0,38994.0,87.759023
XOM,2016-08-30 04:00:00+00:00,87.87,88.25,87.365,87.52,7470143.0,41377.0,87.648297
XOM,2016-08-31 04:00:00+00:00,87.15,87.21,86.22,87.14,15856109.0,59300.0,86.966142
XOM,2016-09-01 04:00:00+00:00,86.72,86.84,86.09,86.84,9325890.0,62595.0,86.535946
XOM,2016-09-02 04:00:00+00:00,87.42,87.58,86.9307,87.42,8172213.0,43865.0,87.366122
XOM,2016-09-06 04:00:00+00:00,87.84,88.64,87.66,88.57,11562796.0,55636.0,88.327217
XOM,2016-09-07 04:00:00+00:00,88.65,88.67,87.97,88.24,8263335.0,50501.0,88.239328
XOM,2016-09-08 04:00:00+00:00,88.55,89.37,88.04,89.05,10673671.0,63511.0,88.887534
XOM,2016-09-09 04:00:00+00:00,88.66,88.66,86.8,86.84,14996661.0,76259.0,87.384189
XOM,2016-09-12 04:00:00+00:00,86.78,87.71,86.63,87.29,12447993.0,74910.0,87.181884
