symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XYL,2016-01-04 05:00:00+00:00,35.92,36.19,35.6011,36.08,1444704.0,9630.0,35.932033
XYL,2016-01-05 05:00:00+00:00,36.06,36.2,35.51,36.07,1190641.0,7840.0,35.925574
XYL,2016-01-06 05:00:00+00:00,36.43,36.61,35.22,35.62,1961533.0,13220.0,35.640248
XYL,2016-01-07 05:00:00+00:00,35.17,35.27,34.49,34.7,1645744.0,11633.0,34.808812
XYL,2016-01-08 05:00:00+00:00,34.87,35.03,34.28,34.37,1645554.0,12702.0,34.524876
XYL,2016-01-11 05:00:00+00:00,34.51,34.57,33.69,34.08,913028.0,8071.0,34.03755
XYL,2016-01-12 05:00:00+00:00,34.35,34.55,33.86,34.27,825387.0,7172.0,34.170657
XYL,2016-01-13 05:00:00+00:00,34.39,34.51,33.32,33.38,1310868.0,10492.0,33.691981
XYL,2016-01-14 05:00:00+00:00,33.46,33.77,33.11,33.57,1589158.0,12234.0,33.500586
XYL,2016-01-15 05:00:00+00:00,32.73,33.1,32.61,32.98,1440293.0,9680.0,32.895436
XYL,2016-01-19 05:00:00+00:00,33.47,33.53,32.61,32.96,1150103.0,9041.0,33.023331
XYL,2016-01-20 05:00:00+00:00,32.44,33.1,31.67,32.8,1549929.0,12357.0,32.35652
XYL,2016-01-21 05:00:00+00:00,32.97,33.57,32.65,33.23,1515184.0,12441.0,33.185391
XYL,2016-01-22 05:00:00+00:00,33.79,34.12,33.47,34.03,894049.0,7620.0,33.890607
XYL,2016-01-25 05:00:00+00:00,33.91,33.99,33.51,33.74,1189302.0,8529.0,33.733002
XYL,2016-01-26 05:00:00+00:00,33.99,34.67,33.79,34.55,1890292.0,9910.0,34.418242
XYL,2016-01-27 05:00:00+00:00,34.54,35.86,34.38,34.89,2035756.0,14575.0,34.985497
XYL,2016-01-28 05:00:00+00:00,35.23,35.36,34.74,34.95,1597352.0,12823.0,35.005278
XYL,2016-01-29 05:00:00+00:00,35.14,35.95,35.05,35.95,2086676.0,13364.0,35.736073
XYL,2016-02-01 05:00:00+00:00,35.55,35.93,35.11,35.62,1363656.0,10653.0,35.615201
XYL,2016-02-02 05:00:00+00:00,35.08,35.14,34.57,34.86,1309765.0,11480.0,34.787157
XYL,2016-02-03 05:00:00+00:00,34.78,35.85,34.71,35.67,1984263.0,16911.0,35.411644
XYL,2016-02-04 05:00:00+00:00,36.42,38.08,35.47,37.08,4139245.0,28697.0,37.25019
XYL,2016-02-05 05:00:00+00:00,37.06,37.46,36.25,36.66,2508046.0,17786.0,36.723339
XYL,2016-02-08 05:00:00+00:00,36.22,36.49,35.77,36.22,2356778.0,16421.0,36.161924
