date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-28,AJG,133300000,0.76,175956000,1454800000,213200000,3652400000,2392600000,2022900000,369700000,215700000,244800000,20.757462092795926,0.03649655021355821,0.012682676206424113,0.03083982523748406,0.6550761143357792
2015-12-31,2016-02-10,AJG,62300000,0.35,176810000,1334900000,148000000,3638300000,2457000000,1976600000,480400000,298900000,326100000,20.57745602624286,0.01712338179919193,0.005708369220619766,0.02318052646140964,0.6753153945524009
2016-03-31,2016-05-02,AJG,46500000,0.26,177038000,1300400000,165500000,3597100000,2523000000,2097600000,425400000,47500000,109400000,20.318236762728905,0.012927080147896917,0.004340682934114967,0.014876820643869972,0.7013983486697618
2016-06-30,2016-07-29,AJG,150000000,0.85,177415000,1427100000,253300000,3599900000,2730600000,2319500000,411100000,-5600000,35600000,20.290843502522335,0.041667824106225174,0.013176040687613643,0.03150662075701775,0.758521070029723
2016-09-30,2016-10-28,AJG,122800000,0.69,177611000,1482300000,212300000,3686500000,2785700000,2253900000,531800000,207700000,243400000,20.75603425463513,0.03331072833310728,0.010963992035927609,0.028543738189230446,0.7556489895564898
2016-12-31,2017-02-13,AJG,95100000,0.53,178174000,1385000000,186400000,3596600000,2848200000,2302700000,545500000,154700000,233700000,20.18588570723001,0.02644163932603014,0.008277050550062665,0.024163046147769207,0.7919145859978869
2017-03-31,2017-04-28,AJG,228800000,0.31,178890000,1646400000,323300000,3662500000,2944100000,2380100000,564000000,140400000,169700000,20.473475320029067,0.06247098976109215,0.019421761200617966,0.046048307517626855,0.8038498293515358
2017-06-30,2017-07-28,AJG,70000000,0.96,179860000,1489500000,181000000,3844700000,3112800000,2525000000,587800000,-600000,35700000,21.376070276882018,0.018206882201472156,0.005568991853360489,0.019472707504397044,0.8096340416677504
2017-09-30,2017-10-30,AJG,111000000,0.72,180511000,1593700000,208400000,4110000000,3023100000,2458200000,564900000,225500000,253700000,22.7686955365601,0.027007299270072994,0.008664834821707363,0.025322445550692702,0.7355474452554744
2017-12-31,2018-02-12,AJG,105100000,0.58,181038000,1599000000,209900000,4105200000,3133000000,2451800000,681200000,359700000,395100000,22.67590229675538,0.02560167592321933,0.00814892924155256,0.023824730457933124,0.7631784078729417
2018-03-31,2018-05-07,AJG,273700000,1.51,182100000,1834800000,372400000,4514600000,3273100000,2575200000,697900000,-248700000,-217600000,24.791872597473915,0.06062552607096974,0.016971012246163385,0.04555066565609063,0.7250033225534931
2018-06-30,2018-07-27,AJG,114900000,0.63,182612000,1654300000,241700000,4443600000,3487100000,2834900000,652200000,499300000,530900000,24.333559678443915,0.025857412908452605,0.007079264347986815,0.02255645030598661,0.7847466018543523
2018-09-30,2018-10-26,AJG,127600000,0.7,183288000,1777900000,233200000,4544500000,3530500000,2925500000,605000000,163200000,191300000,24.794312775522673,0.028077896358235228,0.007918236144638125,0.026057422751174505,0.7768731433601056
2018-12-31,2019-02-08,AJG,117300000,0.64,183834000,1657400000,189500000,4498900000,3610400000,3003200000,607200000,226900000,260500000,24.472622039448634,0.026073040076463137,0.007181339537161748,0.0314284222639883,0.8025072795572251
2019-03-31,2019-04-29,AJG,334100000,1.81,184521000,1933500000,472500000,4880300000,4515000000,3643500000,871500000,-135500000,-96200000,26.448480118794066,0.06845890621478187,0.01793209313309789,0.0464153519707937,0.925148044177612
2019-06-30,2019-07-26,AJG,110100000,0.59,185769000,1655900000,265400000,4879400000,4705300000,4193000000,512300000,479800000,515800000,26.265953953565987,0.022564249702832315,0.005734285401790597,0.01907620028121331,0.964319383530762
2019-09-30,2019-10-25,AJG,126100000,0.68,186300000,1821900000,280700000,4843300000,4811200000,4232300000,578900000,317100000,349500000,25.997316156736446,0.0260359672124378,0.006576682765023104,0.021238495591733273,0.9933722874899346
2019-12-31,2020-02-07,AJG,98500000,0.53,187355000,1708400000,261700000,5155500000,4947600000,4342800000,604800000,319000000,350100000,27.517280029889783,0.019105809329841916,0.005016603173956444,0.01748403097697182,0.959674134419552
2020-03-31,2020-05-05,AJG,346300000,1.83,188700000,1866700000,578900000,5029500000,5212100000,4859300000,352800000,79100000,108600000,26.65341812400636,0.06885376279948305,0.016619873779185564,0.041037829427276254,1.036305795804752
2020-06-30,2020-07-31,AJG,153700000,0.81,190500000,1583000000,344300000,5488600000,4951900000,4602200000,349700000,664300000,693600000,28.811548556430445,0.028003498159822178,0.007213862631534483,0.020703716716973998,0.902215501220712
2020-09-30,2020-10-30,AJG,176600000,0.92,191900000,1845700000,391500000,5771700000,4876200000,4246300000,629900000,564700000,585400000,30.076602397081814,0.03059757090631876,0.008095384347395587,0.023050289907760303,0.844846405738344
2020-12-31,2021-02-08,AJG,142200000,0.74,192874000,1714000000,315000000,6186200000,4865500000,4200900000,664600000,345100000,364900000,32.07378910584112,0.02298664769971873,0.006367715414170182,0.02000903298102336,0.7865086806116841
2021-03-31,2021-04-30,AJG,382100000,1.96,194600000,2160900000,599800000,6731100000,4832600000,4306300000,526300000,259100000,286300000,34.589414182939365,0.05676635319635721,0.01565053554240308,0.03987068355446526,0.7179510035506826
2021-06-30,2021-07-30,AJG,190200000,0.94,201300000,1932900000,423700000,8312700000,6380900000,3176800000,3204100000,370000000,402000000,41.295081967213115,0.022880652495579055,0.006837496225356974,0.022004209401856226,0.7676085988908538
2021-09-30,2021-10-29,AJG,225100000,1.09,207000000,2133900000,423000000,8420200000,5787900000,3052800000,2735100000,408900000,452900000,40.67729468599034,0.026733331749839672,0.008363117574064305,0.026216005546372784,0.6873827225006532
2021-12-31,2022-02-18,AJG,109400000,0.53,207797000,1962800000,321000000,8508400000,6592900000,6190300000,402600000,537500000,562900000,40.945730689085984,0.012857881622866814,0.0032808517019043337,0.012701773457661145,0.7748695406892012
2022-03-31,2022-05-06,AJG,438700000,2.1,209000000,2433900000,761400000,8989400000,6517600000,5989000000,528600000,396900000,434600000,43.011483253588516,0.04880192226399982,0.010164150921538872,0.03279939280191024,0.7250317040069415
2022-06-30,2022-08-03,AJG,284200000,1.35,210200000,2040200000,557200000,8808700000,6762000000,6238400000,523600000,-129600000,-76200000,41.90627973358706,0.032263557619171955,0.007106705609346243,0.022421448293950333,0.7676501640423672
2022-09-30,2022-11-02,AJG,255800000,1.21,210700000,2045300000,524900000,8573800000,6549500000,5995800000,553700000,592500000,641700000,40.691979117228286,0.02983507896148732,0.006615323343970953,0.021187891988188497,0.7638969884998483
2022-12-31,2023-02-10,AJG,135500000,0.64,211411000,2018200000,340000000,9143600000,6415100000,5676700000,738400000,158000000,200400000,43.250351211620966,0.014819108447438646,0.0035324726787352967,0.013939121827028788,0.7015945579421672
2023-03-31,2023-05-08,AJG,486500000,2.29,212800000,2706100000,833100000,9817800000,7168300000,5618400000,1549900000,398800000,428500000,46.13627819548872,0.049552852981319645,0.01078847927902356,0.03505653483783038,0.7301330236916621
2023-06-30,2023-08-04,AJG,234500000,1.09,214900000,2441900000,550900000,10395700000,7466100000,6513800000,952300000,-46700000,12400000,48.37459283387622,0.022557403541849035,0.004313421085547373,0.017592797354117423,0.7181911751974374
