date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-09,AKAM,88040000,0.49,178546999,551030000,193401000,3085663000,619365000,362894000,256471000,49544000,182608000,17.28207708492485,0.02853195569315249,0.021037997194137174,0.026566502690590073,0.20072347498738521
2015-12-31,2016-02-29,AKAM,88420000,0.5,177787999,579159000,218116000,3120878000,624288000,334815000,289473000,138954000,217791000,17.55392949779473,0.028331770738875408,0.021113081060429688,0.02926352688548673,0.2000360155058929
2016-03-31,2016-05-09,AKAM,74858000,0.42,176402999,567725000,197919000,3113582000,623485000,310573000,312912000,109033000,191373000,17.650391533309477,0.02404240517834443,0.017892551948585862,0.02276516677263826,0.20024685394507033
2016-06-30,2016-08-08,AKAM,73635000,0.42,175498999,572135000,199102000,3150473000,628970000,302326000,326644000,166228000,244369000,17.951515495538523,0.023372680864111515,0.017245853477111623,0.022230913656278724,0.1996430377279856
2016-09-30,2016-11-08,AKAM,76000000,0.44,174428999,584065000,200863000,3168931000,634504000,252701000,381803000,171978000,251848000,18.167455057172003,0.0239828509992802,0.01745667700668522,0.023139576655255244,0.20022651171641162
2016-12-31,2017-02-28,AKAM,91639000,0.53,173336999,616124000,214502000,3224370000,640087000,315918000,324169000,105850000,181788000,18.6017412243303,0.028420745758086077,0.02095493724654974,0.02684746728910856,0.1985153688937684
2017-03-31,2017-05-09,AKAM,74583000,0.43,173157999,600293000,195807000,3258546000,645719000,123400000,522319000,51437000,142618000,18.818339428835742,0.02288842937923847,0.01676024355083545,0.023021772227137763,0.19816169543102966
2017-06-30,2017-08-08,AKAM,56752000,0.33,172673999,605832000,179643000,3287172000,651400000,298899000,352501000,127628000,224633000,19.03686727032945,0.017264688309586478,0.012642349509549816,0.016682714001792755,0.19816425790923017
2017-09-30,2017-11-08,AKAM,63911000,0.37,170975999,624440000,193429000,3272655000,657131000,288979000,368152000,116551000,236291000,19.141019904203045,0.019528792371942657,0.01417367503383133,0.01887499083072526,0.20079446198881337
2017-12-31,2018-03-01,AKAM,19107000,0.11,169428999,663452000,132259000,3310723000,662913000,349531000,313382000,90589000,197441000,19.540474296256686,0.005771246945153672,0.004151129171442699,0.006123910927423921,0.20023209431897504
2018-03-31,2018-05-09,AKAM,53714000,0.32,170115999,668724000,176638000,3386257000,668745000,305042000,363703000,78935000,192010000,19.90557631207868,0.015862351853388565,0.011460443823897395,0.01559408941503077,0.19748796384917033
2018-06-30,2018-08-08,AKAM,43061000,0.25,170249999,662759000,167055000,3445278000,1530007000,552519000,977488000,131047000,219681000,20.236581616661272,0.012498555994610595,0.007683010556846535,0.01269421214408093,0.4440881113222213
2018-09-30,2018-11-08,AKAM,107583000,0.65,165923999,669628000,233169000,3155530000,1545243000,839836000,705407000,223783000,310481000,19.017923983377475,0.034093480334523835,0.020056910222008777,0.030467776127816232,0.4896936489274385
2018-12-31,2019-02-28,AKAM,94015000,0.58,162957999,713363000,243949000,3191860000,1560632000,524177000,1036455000,168821000,286155000,19.58701027005124,0.02945461267098181,0.01721328433822735,0.028562488066617587,0.4889412442901631
