date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,ALB,65392000,0.58,112202000,905093000,155447000,3144489000,3843332000,3608842000,234490000,130875000,183720000,28.02524910429404,0.0207957477351646,0.006758818339599614,0.010753667572962713,1.2222437413519336
2015-12-31,2016-02-29,ALB,174252000,1.55,112207000,930353000,246305000,3254392000,3817157000,3603423000,213734000,-19295000,43786000,29.003466806883704,0.053543641946022486,0.018122906529309264,0.030556912366512864,1.172924773659719
2016-03-31,2016-05-10,ALB,228186000,2.03,112260000,865398000,303396000,3540305000,3590105000,3337723000,252382000,114588000,172708000,31.536655977195796,0.0644537688137039,0.024174888610704052,0.03170752059751885,1.0140665846586665
2016-06-30,2016-08-05,ALB,-314821000,-2.8,112339000,669327000,189149000,3156615000,3513183000,3319522000,193661000,38404000,79793000,28.099012809442847,-0.09973373376227383,-0.03380671387908205,0.014513854450301069,1.1129589766252774
2016-09-30,2016-11-08,ALB,128220000,1.14,112429000,654010000,175893000,3299022000,3449332000,3215733000,233599000,158142000,199934000,29.34315879354971,0.03886606394258662,0.01364486156350405,0.017458778333048867,1.0455619877648588
2016-12-31,2017-02-28,ALB,602090000,5.35,112487000,696655000,138176000,3795062000,2369262000,99506000,2269756000,225615000,280968000,33.737783032706,0.15865089951099612,0.07377462671881745,0.012504632155258762,0.624301263062369
2017-03-31,2017-05-04,ALB,51213000,0.46,111986000,722063000,167040000,3637669000,1712886000,458350000,1254536000,28442000,82585000,32.48324790598825,0.01407852116286556,0.006952178438839346,0.03042300648526824,0.47087461778408096
2017-06-30,2017-08-08,ALB,103333000,0.93,110686000,737258000,185483000,3760830000,1728577000,721632000,1006945000,-180662000,-137040000,33.97746779177132,0.02747611564468482,0.014170756428732957,0.02940721700906463,0.45962646543449187
2017-09-30,2017-11-09,ALB,118670000,1.07,110476000,754866000,195331000,3898819000,1789529000,744190000,1045339000,39545000,129299000,35.29109489843948,0.03043742220400588,0.015773663153137586,0.030414556591932082,0.4589925821126859
2017-12-31,2018-02-28,ALB,-218366000,-1.98,110510000,857789000,211222000,3674549000,1837372000,700069000,1137303000,98951000,229135000,33.25082797936838,-0.0594266126264747,-0.02817345162520585,-0.06623865258883288,0.5000265338685101
2018-03-31,2018-05-10,ALB,131760000,1.19,110681000,821629000,202477000,3800310000,1476068000,783880000,692188000,-10261000,121554000,34.33570350828055,0.034670855798605904,0.017437013157163388,0.03474899370181325,0.3884072615128766
2018-06-30,2018-08-07,ALB,302461000,2.76,109671000,853874000,435601000,3693576000,1615405000,707261000,908144000,-46827000,102303000,33.67869354706349,0.08188839217062273,0.04012290201466817,0.03482405903411421,0.4373552892914617
2018-09-30,2018-11-07,ALB,129745000,1.21,107315000,777748000,217260000,3528844000,1697793000,1056567000,641226000,-37646000,153084000,32.883045240646695,0.0367669979177317,0.01732891957535499,0.028699498865817793,0.4811187459689349
2018-12-31,2019-02-27,ALB,129596000,1.22,106042000,921699000,192466000,3585321000,1705210000,1149890000,555320000,-59092000,169224000,33.81038645065163,0.03614627532653283,0.017093322661987313,0.03841137585418817,0.47560873907803514
2019-03-31,2019-05-08,ALB,133569000,1.26,105799000,832064000,215728000,3672274000,1840887000,1375613000,465274000,-161216000,54916000,34.70991219198669,0.03637228594598333,0.01696962874895408,0.024933655094234484,0.5012934764671699
2019-06-30,2019-08-07,ALB,154198000,1.46,105961000,885052000,231620000,3800801000,1908551000,1510368000,398183000,-55122000,144372000,35.86981059068903,0.0405698693512236,0.01904992751791544,0.0275173572585797,0.5021444164006482
2019-09-30,2019-11-06,ALB,155070000,1.46,105999000,879747000,229318000,3836559000,1946550000,1628727000,317823000,-46480000,146350000,36.19429428579515,0.040419031741724815,0.01904661772380697,0.02703805562542547,0.507368712432156
2019-12-31,2020-02-26,ALB,90391000,0.85,106037000,992564000,157463000,3932250000,3188080000,2574970000,613110000,130396000,373736000,37.08375378405651,0.022987093902981752,0.00916664190548028,0.030370364050484072,0.810752113929684
2020-03-31,2020-05-11,ALB,107204000,1.01,106227000,738845000,186052000,3878004000,3164666000,2611438000,553228000,-59475000,155054000,36.50676381710864,0.02764411795346266,0.010886265315601568,0.01713850356417407,0.8160553728154999
2020-06-30,2020-08-05,ALB,85624000,0.81,106329000,764049000,163768000,4024472000,3560200000,2823504000,736696000,-151599000,52863000,37.84924150513971,0.021275834444866307,0.008419062927933062,0.012758262718848461,0.8846377860250985
2020-09-30,2020-11-04,ALB,98301000,0.92,106386000,746868000,199450000,4124881000,3544320000,2842247000,702073000,51417000,253797000,38.772780253040814,0.02383123294950812,0.009607228628116369,0.015109384149343019,0.8592538790816026
2020-12-31,2021-02-19,ALB,84635000,0.79,106665000,879147000,129349000,4268227000,3688823000,2942099000,746724000,108094000,337200000,40.015253363333805,0.019829076569732585,0.008098309952036878,0.011327471498614948,0.8642518310296055
2021-03-31,2021-05-05,ALB,95677000,0.85,112592000,829291000,229436000,5746384000,2030648000,1460789000,569859000,-21734000,157949000,51.03723177490408,0.0166499489069996,0.009297783485849103,0.01903670414024595,0.3533784028355919
2021-06-30,2021-08-04,ALB,424600000,3.63,116809000,773896000,603770000,6165549000,2044417000,1220845000,823572000,10672000,227904000,52.78316739292349,0.06886653564832589,0.039326008161952766,0.05874751896813132,0.33158717901682394
2021-09-30,2021-11-04,ALB,-392781000,-3.36,116899107,830566000,-449591000,5694116000,2022098000,1427049000,595049000,-151091000,104733000,48.709662084929356,-0.06898015425045784,-0.03626008266923306,-0.05583861969953984,0.3551206192497659
2021-12-31,2022-02-22,ALB,-3824000,-0.03,116999000,894204000,65479000,5625266000,2521236000,2081964000,439272000,-447257000,-146329000,48.07960751801298,-0.0006797900757048645,-0.0003484562495136283,-0.0010239689586082651,0.44819853852244496
2022-03-31,2022-05-04,ALB,253383000,2.16,117066000,1127728000,394049000,5826600000,2489491000,2026166000,463325000,-25522000,206176000,49.77192353031623,0.043487282463186075,0.022195314704953322,0.030571945386143048,0.4272630693715031
2022-06-30,2022-08-03,ALB,406773000,3.47,117116000,1479593000,513856000,6085291000,3457034000,2526438000,930596000,-416774000,-145865000,51.959518767717476,0.06684528315901409,0.03248880527427028,0.040022510070436855,0.5680967434425075
2022-09-30,2022-11-02,ALB,897215000,7.66,117136000,2091805000,976664000,6732636000,3369969000,1987166000,1382803000,581964000,895291000,57.47708646359787,0.1332635538294362,0.06488157574840717,0.07973647335484238,0.5005422838840538
2022-12-31,2023-04-21,ALB,1132445000,9.67,117160000,2620978000,972689000,7982627000,3316369000,1817227000,1499142000,506535000,952247000,68.13440594059406,0.14186369975698476,0.07326648258903264,0.08799668895572361,0.41544832296435746
2023-03-31,2023-05-03,ALB,1238580000,10.57,117232000,2580252000,1271526000,9212735000,3235560000,1648826000,1586734000,305372000,720980000,78.58549713388835,0.13444216076984739,0.07051666790212315,0.08294247585052099,0.351205152433018
2023-06-30,2023-08-02,ALB,650043000,5.54,117332000,2370190000,287037000,9815309000,3515536000,1915798000,1599738000,-429980000,73707000,83.65415231991273,0.06622746161124424,0.03401644654423091,0.012312142484248069,0.3581686526628963
2023-09-30,2023-11-01,ALB,302533000,2.58,117349000,2310596000,-23387000,9897815000,3658322000,2056654000,1601668000,82955000,628853000,84.34511585100853,0.030565634940640938,0.016021147514366358,-0.010194246957851738,0.3696090500782243
2023-12-31,2024-03-28,ALB,-617680000,-5.26,117354000,2356165000,-742422000,9412180000,4280444000,3390544000,889900000,-782307000,-98219000,80.2033164613051,-0.06562560427021158,-0.03380722264317661,-0.07818682912345949,0.4547771079601113
2024-03-31,2024-05-01,ALB,2448000,-0.08,117451000,1360736000,-5854000,11532802000,3524529000,1468716000,2055813000,-481368000,97954000,98.19245472580054,0.00021226411413288808,0.00012862322238687185,-0.009747100763526303,0.3056090792159616
2024-06-30,2024-07-31,ALB,-188198000,-1.96,117528000,1430385000,-320666000,11222559000,3522717000,1692490000,1830227000,-88077000,367194000,95.48838574637533,-0.01676961555737867,-0.010234670101317785,-0.033330751585272794,0.31389605525798525
2024-09-30,2024-11-06,ALB,-1068992000,-9.45,117535000,1354692000,-967584000,10240595000,3569002000,1904483000,1664519000,-59223000,236246000,87.12804696473391,-0.10438768450466013,-0.06124208587636935,-0.10188883757132994,0.3485151009291941
2024-12-31,2025-03-31,ALB,75293000,0.29,117549000,1231713000,284536000,9961517000,3615679000,2423449000,1192230000,-355054000,674000,84.74352823078036,0.007558386940462984,0.004533087965916679,0.008448437430731594,0.362964697043633
2025-03-31,2025-04-30,ALB,41348000,-0.0029,117603000,1076881000,191765000,10028239000,3640481000,2121970000,1518511000,362759000,545383000,85.27196585121128,0.004123156618026355,0.0024323414586683726,0.0019519318770081714,0.3630229594647674
2025-06-30,2025-08-04,ALB,22897000,-0.16,117665000,1329992000,209699000,10240526000,3717532000,1910703000,1806829000,-126831000,-7203000,87.03119874219182,0.0022359203033125445,0.001324143919876599,0.01618483037418486,0.3630215869770752
