date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,ALGN,27616000,0.35,79808000,207636000,42549000,798259000,0,-174040000,174040000,49566000,60057000,10.002242882919006,0.034595287995500205,0.02558074478353258,0.04614256949770304,0.0
2015-12-31,2016-02-25,ALGN,48877000,0.61,79831000,230276000,64202000,847926000,0,-167714000,167714000,62567000,79355000,10.621512946098633,0.05764300186572885,0.042185057736142506,0.07147850596701938,0.0
2016-03-31,2016-05-05,ALGN,40546000,0.51,79831000,238720000,58126000,892030000,0,-154418000,154418000,10473000,30680000,11.173980032819331,0.04545362824120265,0.03357679949650535,0.055412923414193654,0.0
2016-06-30,2016-08-04,ALGN,50148000,0.63,79951000,269362000,70229000,909858000,0,-167706000,167706000,57349000,76167000,11.38019536966392,0.05511629287207454,0.04007758498744878,0.0674416389463174,0.0
2016-09-30,2016-11-08,ALGN,51367000,0.64,79977000,278589000,68980000,972310000,0,-419948000,419948000,42484000,59827000,12.157370243945135,0.05282985878989211,0.03780062153532324,0.09169772071108362,0.0
2016-12-31,2017-02-28,ALGN,47621000,0.6,79904000,293203000,75588000,995389000,0,-389275000,389275000,66772000,80980000,12.457311273528234,0.04784159760656387,0.03410877476719925,0.09050852788135437,0.0
2017-03-31,2017-05-04,ALGN,69420000,0.87,79904000,310341000,69540000,1044875000,0,-261027000,261027000,-11948000,47621000,13.076629455346415,0.06643856920684292,0.047570981290254936,0.0876551916278194,0.0
2017-06-30,2017-08-03,ALGN,69179000,0.86,80188000,356482000,92445000,1078288000,0,-358182000,358182000,91991000,110467000,13.44699955105502,0.06415632929235975,0.0445974598807236,0.0954741587643512,0.0
2017-09-30,2017-11-02,ALGN,82555000,1.03,80163000,385267000,108735000,1181958000,0,-362613000,362613000,70020000,118125000,14.744433217319711,0.06984596745400429,0.048629760553432655,0.09896934361484792,0.0
2017-12-31,2018-02-28,ALGN,10264000,0.13,80080000,421323000,120630000,1150370000,0,-449511000,449511000,92781000,162326000,14.36525974025974,0.008922346723228178,0.005773245977177004,0.011894957236343146,0.0
2018-03-31,2018-05-03,ALGN,95866000,1.2,80036000,436924000,109626000,1127460000,0,-498003000,498003000,19754000,77332000,14.086910890099455,0.08502829368669398,0.0537747983290805,0.15149234011074064,0.0
2018-06-30,2018-08-02,ALGN,106105000,1.32,80216000,490259000,135323000,1218959000,0,-547993000,547993000,82072000,139789000,15.195958412286826,0.08704558561854829,0.05536137377392858,0.1708705170301496,0.0
2018-09-30,2018-11-01,ALGN,100872000,1.26,80111000,505289000,139327000,1192983000,0,-420860000,420860000,42527000,96265000,14.891625369799403,0.08455443204136186,0.05230851403102564,0.1306507580917489,0.0
2018-12-31,2019-02-28,ALGN,97392000,1.22,79891000,534020000,137015000,1252891000,0,-636899000,636899000,187016000,241295000,15.682504912943886,0.0777338172275162,0.04745139730021272,0.15884961133383782,0.0
2019-03-31,2019-05-02,ALGN,71848000,0.9,79860000,548971000,135799000,1255704000,130999000,-457002000,588001000,81946000,117207000,15.72381667918858,0.05721730598930958,0.03215495674512068,0.1310487486869026,0.10432315259010085
2019-06-30,2019-08-01,ALGN,147142000,1.84,79943000,600697000,144662000,1373682000,75284000,-348216000,423500000,132017000,177354000,17.183268078505936,0.10711503826941024,0.062719920614386,0.09463900556485184,0.054804532635646386
2019-09-30,2019-10-31,ALGN,102524000,1.29,79332000,607341000,140066000,1305549000,57071000,-433291000,490362000,207973000,234532000,16.456776584480412,0.07852941559451235,0.043620180566546686,0.11016242208609986,0.043714176947782124
2019-12-31,2020-02-28,ALGN,121262000,1.54,78578000,649787000,172946000,1346169000,59200000,-491225000,550425000,175627000,218177000,17.131627173000076,0.09007932882126984,0.04849118367562388,0.13760560334979588,0.04397664780573613
2020-03-31,2020-05-05,ALGN,1518131000,19.32,78592000,550963000,90656000,2852989000,73970000,-716726000,790696000,-36301000,9784000,36.30126475977199,0.5321194718942134,0.3828984271748671,0.9312545391005079,0.025927194251362345
2020-06-30,2020-07-31,ALGN,-40602000,-0.52,78080769,352314000,-49455000,2845045000,71479000,-332880000,404359000,25483000,59900000,36.43720517148083,-0.014271127521708796,-0.010085306060299708,-0.01605373724901082,0.02512403143008283
2020-09-30,2020-10-30,ALGN,139371000,1.77,78824000,734144000,201555000,3033471000,86192000,-529340000,615532000,189817000,211072000,38.484103826245814,0.04594439834763543,0.031566959775008036,0.05340176645098715,0.028413655512117966
2020-12-31,2021-02-26,ALGN,158988000,2.02,78853000,834520000,237953000,3233865000,86180000,-874663000,960843000,328259000,381418000,41.01131218850266,0.04916346229666359,0.03291893070414766,0.0669640173457781,0.026649226235479835
2021-03-31,2021-05-05,ALGN,200376000,2.54,79000000,894771000,251081000,3393576000,85358000,-1046340000,1131698000,183756000,227187000,42.9566582278481,0.05904567924808521,0.039523592927664344,0.07356290618772209,0.025152818148171722
2021-06-30,2021-08-04,ALGN,199714000,2.53,79008000,1010808000,294794000,3384410000,96731000,-989626000,1086357000,193267000,317504000,42.83629505872823,0.05900998992438859,0.037014453343929686,0.08342643754521667,0.02858134800452664
2021-09-30,2021-11-02,ALGN,180969000,2.29,78904000,1015906000,288774000,3516762000,96522000,-1141300000,1237822000,230670000,355004000,44.57013586129981,0.05145898414507436,0.03202929359415898,0.07594188267646668,0.027446270176941175
2021-12-31,2022-02-25,ALGN,190961000,2.42,78759000,1031099000,250480000,3622714000,125375000,-973995000,1099370000,163753000,272849000,45.99746060767658,0.05271213791649023,0.03213690086518089,0.07238397215335196,0.03460803143720426
2022-03-31,2022-05-05,ALGN,134298000,1.71,78742000,973219000,227708000,3666852000,130226000,-795893000,926119000,-56830000,30498000,46.56793071042138,0.03662487605171957,0.02259610385546085,0.049421818736227925,0.035514386727361784
2022-06-30,2022-08-04,ALGN,112800000,1.44,78395000,969553000,218477000,3599081000,122945000,-754556000,877501000,51025000,127045000,45.90957331462466,0.03134133407944972,0.019414404420976576,0.04298703565087409,0.034160109205655556
2022-09-30,2022-11-04,ALGN,72700000,0.93,78093000,890348000,175845000,3694622000,120867000,-923656000,1044523000,191134000,266482000,47.31053999718284,0.01967724979713757,0.012295355061779508,0.030732033680137424,0.03271430744471288
2022-12-31,2023-02-27,ALGN,41775000,0.54,77541000,901515000,157811000,3601358000,126908000,-815142000,942050000,91503000,144707000,46.44456481087425,0.011599790967740503,0.007023431782428458,0.01613667489921843,0.03523892931499729
2023-03-31,2023-05-05,ALGN,87798000,1.14,77015789,943147000,169336000,3480049000,126778000,-705605000,832383000,135776000,199895000,45.186176045018506,0.025228955109540124,0.014877365690589835,0.031384808434190975,0.03642994681971432
2023-06-30,2023-08-04,ALGN,111814000,1.46,76524000,1002173000,207750000,3638301000,133420000,-818536000,951956000,193232000,251777000,47.5445742512153,0.030732476504830138,0.018197264242296018,0.039732694167718664,0.036670962627885925
2023-09-30,2023-11-03,ALGN,121427000,1.59,76569000,960214000,203376000,3801866000,126800000,-1112213000,1239013000,265568000,287206000,49.65280988389557,0.03193879005730344,0.01921753895790348,0.04632536915104156,0.033352043443929905
2023-12-31,2024-02-28,ALGN,124014000,1.64,75703000,956726000,218593000,3630489000,126619000,-810819000,937438000,13484000,46898000,47.957003024979194,0.034159034774654325,0.020384041294720455,0.04702978313563912,0.03487656896908378
2024-03-31,2024-05-03,ALGN,105028000,1.4,75175000,997431000,187081000,3759860000,126416000,-739389000,865805000,19295000,28664000,50.01476554705687,0.027934018819849676,0.017061760427723394,0.03383879589914306,0.033622528498401534
