date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,ALLE,-27300000,-0.28,95900000,544500000,19600000,14500000,1634900000,1459700000,175200000,83600000,92300000,0.15119916579770595,-1.8827586206896552,-0.01133250311332503,0.0180337092101798,112.75172413793103
2015-12-31,2016-02-26,ALLE,71900000,0.75,96000000,545400000,107800000,25600000,1523100000,1323400000,199700000,123600000,131500000,0.26666666666666666,2.80859375,0.0314619524788868,0.06485014796458238,59.49609375
2016-03-31,2016-04-28,ALLE,57700000,0.6,95900000,502300000,107700000,73700000,1496000000,1370500000,125500000,-8200000,-800000,0.7685088633993743,0.7829036635006784,0.025418502202643172,0.049563218390804596,20.29850746268657
2016-06-30,2016-07-28,ALLE,95000000,0.99,95800000,584900000,150000000,139200000,1485700000,1316600000,169100000,92900000,102000000,1.453027139874739,0.6824712643678161,0.04050309102536773,0.07482016477283188,10.673132183908047
2016-09-30,2016-10-27,ALLE,1600000,0.02,96000000,581100000,53900000,151800000,1473600000,1259100000,214500000,67300000,77200000,1.58125,0.010540184453227932,0.0006936616665221538,0.0024655701933389965,9.707509881422926
2016-12-31,2017-02-17,ALLE,74800000,0.78,95600000,569700000,114600000,113300000,1463800000,1151400000,312400000,183000000,199100000,1.1851464435146444,0.6601941747572816,0.03328290468986384,0.07073183004233846,12.919682259488084
2017-03-31,2017-04-27,ALLE,68400000,0.72,95300000,548800000,114700000,151400000,1451900000,1262300000,189600000,-48700000,-40900000,1.5886673662119621,0.45178335535006603,0.031298618101949296,0.057984395196768714,9.589828269484808
2017-06-30,2017-07-27,ALLE,105500000,1.11,95200000,627000000,155500000,265300000,1441000000,1195500000,245500000,91300000,104900000,2.786764705882353,0.3976630229928383,0.0451897541334704,0.08189083814597231,5.4315868827742175
2017-09-30,2017-10-26,ALLE,89800000,0.95,95000000,609400000,147000000,367200000,1447000000,1112100000,334900000,93700000,106000000,3.865263157894737,0.2445533769063181,0.036693498958035385,0.07058707786501338,3.940631808278867
2017-12-31,2018-02-20,ALLE,9600000,0.1,95100000,623100000,151200000,401600000,1477300000,1011100000,466200000,161600000,177200000,4.22292323869611,0.02390438247011952,0.0037765538945712038,0.014698776553287076,3.678535856573705
2018-03-31,2018-04-26,ALLE,72200000,0.76,95100000,613100000,121600000,456000000,1509400000,1357600000,151800000,-18800000,-10100000,4.794952681388013,0.15833333333333333,0.02747231840493132,0.045894796418296614,3.3100877192982456
