date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-26,2015-11-03,AMD,-197000000,-0.25,785000000,1061000000,-116000000,-336000000,2260000000,1505000000,755000000,-84000000,-59000000,-0.4280254777070064,0.5863095238095238,-0.06100960049550944,-0.13515825491873396,-6.726190476190476
2015-12-26,2016-02-18,AMD,-102000000,-0.13,791000000,958000000,-17000000,-412000000,2262000000,1477000000,785000000,21000000,53000000,-0.5208596713021492,0.24757281553398058,-0.03280797684142811,-0.053092467850581755,-5.490291262135922
2016-03-26,2016-04-28,AMD,-109000000,-0.14,793000000,832000000,-35000000,-503000000,2236000000,1520000000,716000000,-68000000,-42000000,-0.6343001261034048,0.21669980119284293,-0.03656491110365649,-0.06748242834771842,-4.4453280318091455
2016-06-25,2016-07-26,AMD,69000000,0.09,794000000,1027000000,175000000,-413000000,2238000000,1281000000,957000000,-106000000,-85000000,-0.5201511335012594,-0.16707021791767554,0.02080820265379976,0.11662180042889081,-5.418886198547216
2016-09-24,2016-10-26,AMD,-406000000,-0.5,815000000,1307000000,-323000000,385000000,1632000000,374000000,1258000000,20000000,29000000,0.4723926380368098,-1.0545454545454545,-0.1122787610619469,-0.47376403394364197,4.238961038961039
2016-12-31,2017-02-21,AMD,-51000000,-0.0548,931000000,1106000000,24000000,416000000,1435000000,171000000,1264000000,167000000,188000000,0.44683136412459723,-0.12259615384615384,-0.015356820234869015,-0.01897165866501471,3.449519230769231
2017-04-01,2017-05-08,AMD,-73000000,-0.08,939000000,984000000,40000000,409000000,1408000000,686000000,722000000,-322000000,-299000000,0.4355697550585729,-0.1784841075794621,-0.022127917550772962,-0.03340251833402518,3.4425427872860634
2017-07-01,2017-08-03,AMD,-42000000,-0.0444,945000000,1151000000,31000000,417000000,1417000000,657000000,760000000,-94000000,-82000000,0.44126984126984126,-0.10071942446043165,-0.012462908011869436,-0.004010886692450938,3.3980815347721824
2017-09-30,2017-11-02,AMD,61000000,0.0637,957000000,1584000000,152000000,520000000,1426000000,547000000,879000000,32000000,66000000,0.5433646812957158,0.11730769230769231,0.01701059676519799,0.07989973012951525,2.7423076923076923
2017-12-30,2018-02-27,AMD,-19000000,-0.02,965000000,1340000000,123000000,611000000,1395000000,207000000,1188000000,339000000,383000000,0.633160621761658,-0.031096563011456628,-0.005367231638418079,0.07618897389384022,2.283142389525368
2018-03-31,2018-05-03,AMD,81000000,0.0837,968000000,1647000000,165000000,715000000,1388000000,340000000,1048000000,-132000000,-86000000,0.7386363636363636,0.11328671328671329,0.021525378687217645,0.10438255498162842,1.9412587412587412
2018-06-30,2018-08-02,AMD,116000000,0.12,972000000,1756000000,196000000,879000000,1393000000,440000000,953000000,-88000000,-45000000,0.904320987654321,0.13196814562002276,0.02827199610041433,0.11101306255359872,1.5847554038680318
2018-09-29,2018-10-31,AMD,102000000,0.1,987000000,1653000000,185000000,1125000000,1303000000,252000000,1051000000,62000000,95000000,1.1398176291793314,0.09066666666666667,0.023464458247066944,0.0935672514619883,1.1582222222222223
2018-12-29,2019-02-08,AMD,38000000,0.0379,1002000000,1419000000,75000000,1266000000,1250000000,167000000,1083000000,29000000,70000000,1.2634730538922156,0.030015797788309637,0.008340649692712906,0.282856478250756,0.9873617693522907
2019-03-30,2019-05-01,AMD,16000000,0.0153,1044000000,1272000000,86000000,1788000000,1345000000,362000000,983000000,-275000000,-213000000,1.7126436781609196,0.008948545861297539,0.0032447779355100387,0.07689922480620154,0.7522371364653244
2019-06-29,2019-07-31,AMD,35000000,0.0323,1084000000,1531000000,123000000,1901000000,1280000000,312000000,968000000,-28000000,30000000,1.753690036900369,0.01841136244082062,0.006860054880439044,0.02650187467177978,0.6733298264071541
2019-09-28,2019-10-30,AMD,120000000,0.11,1097000000,1801000000,219000000,2176000000,1111000000,-50000000,1161000000,179000000,234000000,1.98359161349134,0.05514705882352941,0.022844089091947458,0.06666617284316412,0.5105698529411765
2019-12-28,2020-02-04,AMD,170000000,0.15,1140000000,2127000000,296000000,2827000000,728000000,-742000000,1470000000,400000000,442000000,2.479824561403509,0.060134418111071807,0.028201725282017254,0.08869392291045211,0.25751680226388396
2020-03-28,2020-04-29,AMD,162000000,0.14,1170000000,1786000000,259000000,3037000000,699000000,-635000000,1334000000,-120000000,-65000000,2.595726495726496,0.05334211392821864,0.02762619372442019,0.07266266206732486,0.23016134343101746
2020-06-27,2020-07-29,AMD,157000000,0.13,1174000000,1932000000,256000000,3305000000,894000000,-885000000,1779000000,152000000,243000000,2.815161839863714,0.04750378214826021,0.02384930882576333,0.07011447050972743,0.27049924357034794
2020-09-26,2020-10-28,AMD,390000000,0.33,1184000000,2801000000,505000000,3867000000,578000000,-722000000,1300000000,265000000,339000000,3.2660472972972974,0.1008533747090768,0.055531824006834686,0.12709109460645898,0.14946987328678563
2020-12-26,2021-01-29,AMD,1781000000,1.48,1205000000,3244000000,656000000,5837000000,572000000,-1023000000,1595000000,480000000,554000000,4.843983402489626,0.3051224944320713,0.19872796250836866,0.3740059162597252,0.09799554565701558
