date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-02,AMP,397000000,2.2,180400000,2886000000,623000000,7629000000,11145000000,7575000000,3570000000,329000000,371000000,42.289356984478935,0.05203827500327697,0.0027330492430761603,0.0314939542697638,1.460872984663783
2015-12-31,2016-02-25,AMP,357000000,2.02,176600000,3103000000,625000000,7191000000,10423000000,7564000000,2859000000,645000000,669000000,40.719139297848244,0.04964539007092199,0.0025454545454545456,0.027526083932297704,1.4494507022667222
2016-03-31,2016-05-05,AMP,364000000,2.11,172600000,2765000000,595000000,7093000000,5556000000,2761000000,2795000000,593000000,621000000,41.095017381228274,0.05131820104328211,0.0025510919234111745,0.03839099635161158,0.7833074862540533
2016-06-30,2016-08-01,AMP,335000000,1.99,168300000,2871000000,525000000,7089000000,5401000000,2351000000,3050000000,716000000,724000000,42.121212121212125,0.04725631259698124,0.0023324954916691615,0.02775156672838627,0.7618846099590916
2016-09-30,2016-11-02,AMP,215000000,1.31,164000000,2998000000,350000000,6796000000,5844000000,2515000000,3329000000,330000000,360000000,41.4390243902439,0.03163625662154208,0.0015376803198375066,0.05037946038559981,0.8599175985874044
2016-12-31,2017-02-23,AMP,400000000,2.49,160400000,3062000000,611000000,6292000000,5436000000,2950000000,2486000000,240000000,266000000,39.22693266832918,0.06357279084551812,0.00283975947237269,0.04819530974156881,0.8639542275905913
2017-03-31,2017-05-03,AMP,403000000,2.56,157500000,2926000000,588000000,6227000000,5452000000,3275000000,2177000000,-27000000,6000000,39.53650793650794,0.06471816283924843,0.002815346783658414,0.04556853001592826,0.8755419945399069
2017-06-30,2017-08-02,AMP,393000000,2.53,155100000,3012000000,621000000,6250000000,5416000000,2853000000,2563000000,691000000,730000000,40.29658284977434,0.06288,0.002701290845854584,0.06027126102378623,0.86656
2017-09-30,2017-11-01,AMP,507000000,3.29,153000000,3014000000,740000000,6305000000,5370000000,2866000000,2504000000,390000000,443000000,41.209150326797385,0.08041237113402062,0.0034379873872652064,0.021479482426489293,0.8517049960348929
2017-12-31,2018-02-23,AMP,181000000,1.2,151000000,3160000000,711000000,5995000000,5297000000,2677000000,2620000000,485000000,522000000,39.70198675496689,0.030191826522101752,0.0012503281247841283,0.07351543612418883,0.8835696413678065
2018-03-31,2018-05-02,AMP,594000000,3.97,149500000,3168000000,803000000,5840000000,5256000000,3055000000,2201000000,-241000000,-208000000,39.063545150501675,0.10171232876712329,0.004146075885752575,0.05952167009268719,0.9
2018-06-30,2018-08-06,AMP,462000000,3.14,147000000,3196000000,679000000,5632000000,4492000000,1910000000,2582000000,733000000,769000000,38.31292517006803,0.08203125,0.003182015414178565,0.07236437401797102,0.7975852272727273
2018-09-30,2018-11-05,AMP,503000000,3.48,144400000,3292000000,683000000,5618000000,4441000000,1963000000,2478000000,500000000,548000000,38.905817174515235,0.08953364186543254,0.003665753264925373,0.07807782290728435,0.7904948380206479
2018-12-31,2019-02-27,AMP,539000000,3.81,141500000,3179000000,762000000,5588000000,4811000000,1714000000,3097000000,1443000000,1488000000,39.49116607773852,0.09645669291338582,0.0037326094333220224,0.06019481692570383,0.8609520400858983
2019-03-31,2019-05-01,AMP,395000000,2.85,138800000,3118000000,569000000,5843000000,5326000000,1979000000,3347000000,141000000,172000000,42.096541786743515,0.06760225911346911,0.002656748140276302,0.06922161186920044,0.9115180557932568
2019-06-30,2019-08-05,AMP,492000000,3.61,136100000,3245000000,691000000,6030000000,5012000000,651000000,4361000000,944000000,980000000,44.305657604702425,0.08159203980099503,0.0032906837532522258,0.08786857087215685,0.8311774461028192
2019-09-30,2019-11-12,AMP,543000000,4.09,132700000,3317000000,734000000,5997000000,4972000000,-420000000,5392000000,1389000000,1422000000,45.19216277317257,0.09054527263631816,0.003576415417446057,0.09079291015332502,0.8290812072703018
2019-12-31,2020-02-26,AMP,463000000,3.59,129000000,3074000000,635000000,5729000000,4926000000,1099000000,3827000000,-276000000,-233000000,44.41085271317829,0.0808168964915343,0.003178155159868755,0.30401825794505427,0.8598359224995636
2020-03-31,2020-05-11,AMP,2036000000,16.11,126400000,3001000000,2444000000,6693000000,3920000000,-4909000000,8829000000,4864000000,4893000000,52.950949367088604,0.30419841625578964,0.01314379414081161,-0.27857998431345804,0.5856865381742119
2020-06-30,2020-08-10,AMP,-539000000,-4.31,125000000,2712000000,-436000000,6500000000,4524000000,-3179000000,7703000000,-223000000,-190000000,52.0,-0.08292307692307692,-0.0033966235419410538,-0.03367895997800558,0.696
2020-09-30,2020-11-09,AMP,-140000000,-1.14,123000000,3003000000,-93000000,6067000000,4934000000,-2734000000,7668000000,891000000,936000000,49.32520325203252,-0.023075655183781112,-0.000843968339130592,0.06372637263726373,0.8132520191198286
2020-12-31,2021-02-24,AMP,177000000,0.0,119800000,3183000000,285000000,5867000000,4944000000,-1901000000,6845000000,-1056000000,-1016000000,48.97328881469115,0.030168740412476563,0.0010679570645058135,0.11957367849847435,0.8426793932162945
2021-03-31,2021-05-10,AMP,437000000,3.65,119800000,3350000000,595000000,5502000000,5705000000,-82000000,5787000000,-1022000000,-1000000000,45.926544240400666,0.07942566339512905,0.0025450923979196635,0.11554370467421733,1.0368956743002544
