date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,AMT,102999000,0.18,423375003,1237910000,682898000,6617891000,17027408000,16740004000,287404000,300259000,507155000,15.631274763758313,0.015563719620042094,0.003825149884197105,0.007450210716358567,2.5729356980947555
2015-12-31,2016-02-26,AMT,232702000,0.49,423736003,1280041000,749604000,6651679000,17119009000,16798323000,320686000,428702000,639437000,15.697696095934525,0.034983949165316004,0.008649258378000341,0.015167932975233795,2.5736372726344734
2016-03-31,2016-04-29,AMT,275159000,0.59,424059003,1289047000,812228000,6933249000,17022095000,16685692000,336403000,409290000,563512000,16.349727162849554,0.03968687696057072,0.010166856245946,0.018055163256174605,2.4551397187667714
2016-06-30,2016-07-28,AMT,187550000,0.38,424909003,1442227000,815059000,6773515000,18717076000,18306538000,410538000,582599000,747804000,15.941095510277997,0.02768872586832686,0.006101131814440493,0.013570599811174195,2.7632737212510787
2016-09-30,2016-10-27,AMT,264509000,0.56,425517003,1514845000,874210000,6707396000,18679136000,18148778000,530358000,511368000,667115000,15.76293297967226,0.039435423225347065,0.008628427754642743,0.017681261066975665,2.7848565971056427
2016-12-31,2017-02-27,AMT,229207000,0.48,426071003,1539549000,868286000,6763895000,18533465000,17746304000,787161000,517842000,725173000,15.875041841324274,0.033886835913331005,0.007422710793528967,0.015528938204571968,2.7400580582637666
2017-03-31,2017-04-27,AMT,316080000,0.68,427279003,1616238000,936300000,6852474000,18890084000,18177306000,712778000,514959000,683097000,16.037469550077564,0.04612640631690102,0.009859817341955079,0.01893500636239309,2.756680871755223
2017-06-30,2017-07-27,AMT,367051000,0.81,427298003,1662434000,993000000,6482709000,19241972000,18471948000,770024000,591987000,795361000,15.17140018087096,0.056620002532891726,0.011421015669509907,0.022008444113339045,2.9681992512698008
2017-09-30,2017-10-31,AMT,317268000,0.7,429281003,1680766000,986500000,6518127000,19268763000,18469296000,799467000,469839000,653294000,15.18382354320021,0.04867471897985418,0.00981666511238508,0.020674839564340363,2.9561809703922615
2017-12-31,2018-02-28,AMT,238500000,0.51,428836003,1704500000,797831000,6241500000,20205100000,19403000000,802100000,545215000,793848000,14.554514910913392,0.03821196827685652,0.00718064207284212,0.01782360340244618,3.2372186173195545
2018-03-31,2018-05-02,AMT,285200000,0.63,435124003,1741800000,895400000,6334200000,21372000000,20246600000,1125400000,593300000,791800000,14.557229562902325,0.04502541757443718,0.008297282436352105,0.019004220777903244,3.374064601686085
2018-06-30,2018-07-31,AMT,306700000,0.69,441497003,1780900000,979300000,5550700000,21113800000,20279300000,834500000,713600000,940000000,12.572452275514088,0.05525429225142775,0.009236366045588558,0.020252072293174796,3.8038085286540437
2018-09-30,2018-10-30,AMT,366900000,0.83,440889003,1785500000,1047300000,5350700000,21264200000,20237700000,1026500000,567800000,753300000,12.136161173428043,0.06857046741547834,0.011092232716191213,0.022635673670083272,3.9740968471414955
2018-12-31,2019-02-27,AMT,277600000,0.63,440838003,2131900000,1173100000,5336100000,21159900000,19951200000,1208700000,960400000,1263200000,12.104446449005442,0.0520230130619741,0.008409470954608245,0.023889163653243208,3.965424186203407
2019-03-31,2019-05-03,AMT,397400000,0.9,441351003,1813400000,1106200000,5347000000,28018800000,27014000000,1004800000,564300000,785100000,12.115073861064728,0.07432204974752198,0.010208904918976129,0.01851376668283392,5.240097250794838
2019-06-30,2019-07-31,AMT,429100000,0.97,442203003,1889600000,1136600000,5477500000,27890400000,26698200000,1192200000,793100000,1036600000,12.386844871788444,0.07833865814696486,0.01098209235604399,0.01944795290134196,5.091811958010041
2019-09-30,2019-10-31,AMT,498600000,1.13,442763003,1953600000,1197800000,5240400000,28406700000,27054100000,1352600000,676900000,937200000,11.835677246050299,0.09514540874742386,0.012684698986445232,0.02145781909443984,5.420712159377147
2019-12-31,2020-02-25,AMT,562700000,1.27,442940003,1923700000,1119600000,5055400000,31060300000,29559100000,1501200000,727000000,993700000,11.413283888924342,0.11130672152549749,0.01314670479608239,0.023497643503793502,6.143984650077146
2020-03-31,2020-04-29,AMT,415000000,0.94,443055003,1993100000,1120800000,3634400000,31192000000,29866000000,1326000000,585600000,800000000,8.203044713163978,0.11418666079683029,0.010174286757981911,0.0184290414224213,8.582434514637905
2020-06-30,2020-07-30,AMT,446100000,1.01,443436003,1913000000,1112100000,3620300000,31796300000,29758200000,2038100000,778300000,988800000,8.164199513587985,0.12322183244482501,0.010745280723770893,0.019213692106607953,8.782780432560838
2020-09-30,2020-10-29,AMT,464400000,1.05,443766003,2012900000,1167000000,3731700000,31694000000,30068000000,1626000000,716400000,960300000,8.409161528311127,0.1244473028378487,0.011200563404739738,0.01890138053405202,8.49318005198703
