date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,AON,295000000,1.05,280900000,2742000000,558000000,5883000000,6280000000,5882000000,398000000,627000000,710000000,20.943396226415093,0.05014448410674826,0.010843196353745498,0.03102229262450257,1.0674825769165392
2015-12-31,2016-02-22,AON,584000000,2.12,275471698,3288000000,907000000,6106000000,5866000000,5482000000,384000000,869000000,934000000,22.16561644746532,0.09564362921716345,0.021499042850831984,0.0558466514628061,0.9606943989518506
2016-03-31,2016-04-29,AON,325000000,1.2,271700000,2276000000,515000000,5281000000,6765000000,6300000000,465000000,221000000,273000000,19.43687891056312,0.06154137473963264,0.012120986088837504,0.031951209237362714,1.2810073849649688
2016-06-30,2016-07-29,AON,300000000,1.01,269306931,2282000000,468000000,5499000000,6330000000,5892000000,438000000,439000000,491000000,20.419080859081195,0.05455537370430987,0.011238901584685124,0.029502805345992672,1.1511183851609383
2016-09-30,2016-10-28,AON,319000000,1.19,267500000,2201000000,460000000,5434000000,6329000000,5846000000,483000000,662000000,711000000,20.314018691588785,0.058704453441295545,0.012632662759385396,0.03088090155844752,1.1647037173352963
2016-12-31,2017-02-23,AON,502000000,1.89,265608466,3323000000,772000000,5475000000,6341000000,5915000000,431000000,782000000,851000000,20.613047778379173,0.09168949771689498,0.018861544241968814,0.05018878344089644,1.1581735159817352
2017-03-31,2017-05-09,AON,291000000,1.1,264800000,2381000000,432000000,5754000000,6412000000,5979000000,433000000,206000000,240000000,21.729607250755286,0.05057351407716371,0.010784967756281965,0.02855194749850848,1.1143552311435523
2017-06-30,2017-08-04,AON,769000000,2.93,262400000,2368000000,399000000,5487000000,6063000000,5379000000,684000000,212000000,260000000,20.910823170731707,0.1401494441406962,0.02828349700246423,-0.002446716501507118,1.1049753963914708
2017-09-30,2017-10-27,AON,185000000,0.72,255600000,2340000000,411000000,5175000000,6112000000,5363000000,749000000,-190000000,-147000000,20.246478873239436,0.035748792270531404,0.007136244406727357,0.025109128866957677,1.1810628019323672
2017-12-31,2018-02-20,AON,-19000000,-0.08,251300000,2909000000,616000000,4583000000,6119000000,5363000000,756000000,323000000,381000000,18.23716673298846,-0.0041457560549858176,-0.0007283042011652867,0.0020081345670561923,1.3351516473925376
2018-03-31,2018-05-04,AON,594000000,2.39,248500000,3090000000,937000000,5301000000,6256000000,5659000000,597000000,95000000,140000000,21.33199195171026,0.11205432937181664,0.021330843537903543,0.060482280462761516,1.1801546877947557
2018-06-30,2018-07-27,AON,48000000,0.2,246000000,2561000000,311000000,4545000000,6610000000,6123000000,487000000,207000000,273000000,18.475609756097562,0.010561056105610561,0.0017636036300841386,0.0011054652651177224,1.4543454345434543
2018-09-30,2018-10-26,AON,147000000,0.6,244000000,2349000000,403000000,4262000000,6563000000,6079000000,484000000,494000000,562000000,17.4672131147541,0.0344908493664946,0.005741738926646356,0.020319975435584704,1.5398873768183952
2018-12-31,2019-02-19,AON,345000000,1.42,242400000,2770000000,642000000,4151000000,6413000000,5757000000,656000000,650000000,711000000,17.124587458745875,0.08311250301132257,0.01305730073423662,0.03342964297666801,1.5449289327872802
2019-03-31,2019-04-26,AON,659000000,2.72,242200000,3143000000,1011000000,4775000000,7685000000,7085000000,600000000,17000000,74000000,19.715111478117258,0.1380104712041885,0.022618843315599792,0.062115369249725605,1.6094240837696334
2019-06-30,2019-07-26,AON,277000000,1.15,240600000,2606000000,557000000,3836000000,8806000000,8225000000,581000000,238000000,287000000,15.943474646716542,0.07221063607924921,0.00929311906599121,0.029137598161725516,2.295620437956204
2019-09-30,2019-10-25,AON,222000000,0.94,236900000,2379000000,508000000,3492000000,8490000000,7888000000,602000000,741000000,802000000,14.740396791895314,0.06357388316151202,0.007881563531792523,0.025630376468411806,2.43127147766323
2019-12-31,2020-02-14,AON,374000000,1.59,234700000,2885000000,666000000,3375000000,8569000000,7779000000,790000000,614000000,672000000,14.38005965061781,0.11081481481481481,0.01271892535283115,0.040460556944073425,2.538962962962963
2020-03-31,2020-05-01,AON,772000000,3.31,233200000,3219000000,1201000000,3169000000,9295000000,8605000000,690000000,279000000,338000000,13.589193825042882,0.24360997159987377,0.02549369262268014,0.07287182411609115,2.933101924897444
2020-06-30,2020-07-31,AON,398000000,1.71,232700000,2497000000,684000000,3601000000,9252000000,8495000000,757000000,851000000,881000000,15.474860335195531,0.11052485420716468,0.012439443663072355,0.040075064804147464,2.5692863093585117
2020-09-30,2020-10-30,AON,275000000,1.18,232600000,2385000000,536000000,3542000000,8929000000,8108000000,821000000,774000000,804000000,15.227858985382632,0.07763975155279502,0.008769412289932714,0.02952601047021648,2.520892151326934
2020-12-31,2021-02-19,AON,524000000,2.29,229200000,2965000000,792000000,3495000000,8925000000,8041000000,884000000,738000000,760000000,15.24869109947644,0.14992846924177397,0.016320936896530244,0.05235340514815685,2.5536480686695278
2021-03-31,2021-04-30,AON,913000000,4.02,227100000,3525000000,1327000000,4260000000,8398000000,7576000000,822000000,532000000,561000000,18.758256274768826,0.21431924882629108,0.028376068376068375,0.08416351664696003,1.9713615023474178
2021-06-30,2021-07-30,AON,379000000,1.67,227000000,2886000000,751000000,4462000000,8409000000,7318000000,1091000000,743000000,784000000,19.65638766519824,0.0849394890183774,0.010960092539039908,0.037727749228017,1.884580905423577
2021-09-30,2021-10-29,AON,-900000000,-3.99,225400000,2702000000,-696000000,2209000000,9485000000,8876000000,609000000,-126000000,-94000000,9.800354924578526,-0.4074241738343142,-0.028287654010560725,-0.07297069772952612,4.293798098687189
2021-12-31,2022-02-18,AON,863000000,3.94,219300000,3080000000,1197000000,1061000000,10423000000,9879000000,544000000,896000000,931000000,4.83812129502964,0.8133836003770029,0.02702956652468053,0.0863461104091817,9.823751178133836
2022-03-31,2022-04-29,AON,1023000000,4.75,215300000,3670000000,1461000000,1177000000,11269000000,10674000000,595000000,440000000,463000000,5.466790524849048,0.8691588785046729,0.030545519691857512,0.0946025625959964,9.574341546304163
2022-06-30,2022-07-29,AON,501000000,2.35,213300000,2983000000,800000000,684000000,11332000000,10592000000,740000000,623000000,668000000,3.2067510548523206,0.7324561403508771,0.014429723502304148,0.05292875528110704,16.567251461988302
2022-09-30,2022-10-28,AON,408000000,1.93,210900000,2696000000,684000000,-783000000,11707000000,11015000000,692000000,988000000,1046000000,-3.712660028449502,-0.5210727969348659,0.01306729013867982,0.049102776372472366,-14.951468710089399
2022-12-31,2023-02-17,AON,657000000,3.17,207500000,3130000000,881000000,-529000000,11677000000,10987000000,690000000,972000000,1042000000,-2.549397590361446,-1.2419659735349717,0.020089285714285716,0.07356364810440634,-22.073724007561438
2023-03-31,2023-04-28,AON,1050000000,5.09,206100000,3871000000,1516000000,-70000000,12239000000,11120000000,1119000000,367000000,443000000,-0.3396409509946628,-15.0,0.03065424926283829,0.10572367844306126,-174.84285714285716
2023-06-30,2023-07-28,AON,560000000,2.74,204700000,3177000000,852000000,65000000,12205000000,11253000000,952000000,619000000,688000000,0.31753786028334147,8.615384615384615,0.015534411495464506,0.06084129914368322,187.76923076923077
2023-09-30,2023-10-27,AON,456000000,2.25,202900000,2953000000,741000000,-586000000,12087000000,11279000000,808000000,985000000,1043000000,-2.8881222276983736,-0.7781569965870307,0.013771442377385841,0.05295403535022912,-20.62627986348123
2023-12-31,2024-04-17,AON,498000000,2.49,200300000,3375000000,800000000,-826000000,12032000000,11254000000,778000000,1212000000,1261000000,-4.123814278582127,-0.6029055690072639,0.01466474277805589,0.05851855840943576,-14.566585956416464
