date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-03,2015-11-03,AVY,81700000,0.89,91328446,1468100000,203800000,1055300000,1053600000,881900000,171700000,81200000,119400000,11.554997880945,0.07741874348526485,0.01922850620160512,0.047281539567216806,0.9983890836728893
2016-01-02,2016-02-24,AVY,57000000,0.63,89967697,1454800000,152200000,965700000,1058900000,900100000,158800000,130500000,183400000,10.733852618234742,0.05902454178316247,0.013789099354089557,0.03531235520941515,1.096510303406855
2016-04-02,2016-05-03,AVY,89600000,1.0,89276441,1485500000,193200000,968300000,1228200000,1058600000,169600000,-33500000,-6300000,10.846086483219016,0.092533305793659,0.021085329693603803,0.049681899903783994,1.2684085510688836
2016-07-02,2016-08-02,AVY,80000000,0.9,88927397,1541500000,203100000,956500000,1161900000,945800000,216100000,182100000,222300000,10.75596534102983,0.0836382645060115,0.018627177051317872,0.04857638013749085,1.2147412441191845
2016-10-01,2016-11-01,AVY,89100000,1.0,89194833,1508700000,188700000,1042400000,1300600000,1111200000,189400000,95600000,149700000,11.686775622978072,0.08547582501918649,0.019367881053821406,0.04609164596489599,1.247697620874904
2016-12-31,2017-02-23,AVY,62000000,0.7,88308860,1550800000,185400000,925500000,1292500000,1097400000,195100000,134500000,219600000,10.480262116394663,0.06699081577525662,0.014102447457010281,0.03416776562359401,1.3965424095083738
2017-04-01,2017-05-02,AVY,112200000,1.26,88714837,1572100000,195400000,1014600000,1583400000,1288500000,294900000,-21900000,15300000,11.436643906588026,0.11058545239503252,0.023542248053882792,0.05405824551858936,1.560615020697812
2017-07-01,2017-08-01,AVY,120900000,1.37,88390029,1626900000,211900000,1069800000,1720300000,1510900000,209400000,118800000,163000000,12.103175121709713,0.11301177790241167,0.023744059075376096,0.051924233566558446,1.6080575808562347
2017-09-30,2017-10-31,AVY,108300000,1.23,88080629,1679500000,207600000,1137900000,1681400000,1449100000,232300000,160800000,214300000,12.918845073188567,0.09517532296335354,0.020538592831405272,0.046654041534438064,1.4776342385095351
2017-12-30,2018-02-21,AVY,-59600000,-0.68,88011541,1735300000,214500000,1046200000,1581700000,1357300000,224400000,166300000,257500000,11.88707740045138,-0.056968074937870386,-0.011602328252447974,-0.026893816511230507,1.5118524182756643
2018-03-31,2018-05-01,AVY,125200000,1.42,88015267,1776400000,216800000,1089700000,1713000000,1525500000,187500000,-26900000,16000000,12.380806616197619,0.11489400752500688,0.023709875958716032,0.05204217421470983,1.5719922914563642
2018-06-30,2018-07-31,AVY,95600000,1.09,87613941,1854200000,199000000,1021900000,1674000000,1458200000,215800000,143000000,193500000,11.663668913147053,0.0935512281045112,0.018516007824756445,0.04260875710440049,1.6381250611605833
2018-09-29,2018-10-30,AVY,149500000,1.72,87013446,1759700000,229400000,1047100000,1867000000,1649400000,217600000,-82600000,-21800000,12.033772343644452,0.1427752841180403,0.02885042166000888,0.06058192127487608,1.7830197688854932
2018-12-29,2019-02-27,AVY,97100000,1.15,84723655,1768700000,149100000,955100000,1966200000,1734200000,232000000,167800000,270200000,11.273120830304123,0.1016647471468956,0.018754225012071465,0.042906846971942074,2.0586326039158203
2019-03-30,2019-04-30,AVY,-146900000,-1.74,84300000,1740100000,-220400000,991900000,2110200000,1884500000,225700000,-11900000,35400000,11.766310794780546,-0.14809960681520315,-0.02743896744307675,-0.04741903398643093,2.1274322008266964
2019-06-29,2019-07-30,AVY,143400000,1.7,84300000,1795700000,253100000,1062500000,2061800000,1814500000,247300000,157900000,203400000,12.60379596678529,0.13496470588235293,0.026606304618067796,0.05511117805600518,1.9405176470588235
2019-09-28,2019-10-29,AVY,144600000,1.73,83584779,1761400000,242900000,1057400000,1997900000,1773700000,224200000,160700000,228200000,12.65062865094134,0.1367505201437488,0.027085245471744058,0.05669044433763756,1.8894458104785323
2019-12-28,2020-02-26,AVY,162500000,1.95,83366840,1772900000,228700000,1204000000,1939500000,1685800000,253700000,182600000,279500000,14.442193083005185,0.13496677740863788,0.02960574260311908,0.06251443691382243,1.6108803986710964
2020-03-28,2020-05-01,AVY,134200000,1.61,83321087,1723000000,247200000,1173400000,2820300000,2078300000,742000000,-35000000,4400000,14.08286956217938,0.11436850178967105,0.021434618026162373,0.04566073556921472,2.4035282086245098
2020-06-27,2020-07-28,AVY,79700000,0.96,83448042,1528500000,173600000,1213900000,2266200000,2003600000,262600000,144100000,179600000,14.546776304230121,0.06565614960046132,0.014101951625174726,0.02997289266180336,1.8668753604086004
2020-09-26,2020-10-27,AVY,150500000,1.8,83451316,1729100000,265400000,1334600000,2144100000,1859400000,284700000,227200000,257800000,15.99255786451588,0.11276787052300315,0.026307509439239266,0.05109411829090114,1.6065487786602728
2021-01-02,2021-02-25,AVY,191500000,2.3,83151174,1990900000,326400000,1499900000,2116800000,1864500000,252300000,196400000,309500000,18.03822998337943,0.12767517834522302,0.03139910475659545,0.060611223678336774,1.4112940862724181
2021-04-03,2021-05-04,AVY,209500000,2.52,83056656,2051300000,339500000,1581900000,2142800000,1814800000,328000000,181800000,209300000,19.046035275005533,0.13243567861432454,0.033396033922081236,0.0657109800099217,1.3545736140084708
2021-07-03,2021-08-03,AVY,183800000,2.21,82951904,2102000000,326500000,1703600000,2053800000,1709000000,344800000,204800000,267500000,20.537201894726852,0.1078891758628786,0.028618139353834178,0.057482330603120114,1.2055646865461376
2021-10-02,2021-11-02,AVY,164100000,1.98,82833721,2071800000,304300000,1799200000,3199000000,2991800000,207200000,235800000,286000000,21.72062269181412,0.09120720320142285,0.020595654956888438,0.037181448310073105,1.7780124499777679
2022-01-01,2022-02-23,AVY,182700000,2.21,82605953,2183200000,336600000,1924400000,3104700000,2942000000,162700000,152300000,284000000,23.296141865223685,0.09493868218665558,0.02291886195995785,0.0406871609403255,1.6133340261899813
2022-04-02,2022-05-03,AVY,198200000,2.41,82400000,2349300000,361300000,1932500000,3268700000,3121600000,147100000,70900000,126200000,23.45266990291262,0.1025614489003881,0.024352484395734016,0.04206562120584237,1.6914359637774903
2022-07-02,2022-08-02,AVY,214500000,2.63,81700000,2347000000,381900000,1936900000,3232000000,3067200000,164800000,206800000,268200000,23.707466340269278,0.11074397232691414,0.026506351638574465,0.0459617209060505,1.6686457741752285
2022-10-01,2022-11-01,AVY,221500000,2.73,81200000,2317100000,365700000,2007300000,3132800000,3004600000,128200000,140400000,220800000,24.720443349753694,0.11034723260100633,0.02754187234994964,0.04763309195673929,1.560703432471479
2022-12-31,2023-02-22,AVY,122900000,1.52,80810016,2025900000,265200000,2032200000,3102100000,2934900000,167200000,244400000,345800000,25.147872758743173,0.060476331069776595,0.015458147286334193,0.028033074652489977,1.5264737722665092
2023-04-01,2023-05-02,AVY,121200000,1.5,80900000,2065000000,267000000,2042900000,3559100000,3207800000,351300000,-67900000,1900000,25.252163164400493,0.05932742669734201,0.014740401104313879,0.0267034423421415,1.7421802339811052
2023-07-01,2023-08-01,AVY,100400000,1.24,80700000,2090500000,246100000,2015200000,3545500000,3328400000,217100000,132500000,189600000,24.971499380421314,0.04982135768161969,0.01214570001088758,0.023063893730674013,1.7593787217149663
2023-09-30,2023-10-31,AVY,138300000,1.72,80600000,2098300000,290700000,2063600000,3313600000,3103700000,209900000,261200000,322600000,25.602977667493796,0.06701880209342896,0.017004586197145,0.03125903477654999,1.6057375460360535
2023-12-30,2024-02-21,AVY,143100000,1.78,80495585,2110500000,308300000,2127900000,3244300000,3029300000,215000000,215100000,311900000,26.434990192319244,0.0672494008177076,0.017430388072791056,0.03183543326389735,1.5246487146952394
2024-03-30,2024-04-30,AVY,172400000,2.14,80500000,2151300000,340300000,2204000000,3240400000,3054700000,185700000,64100000,119800000,27.37888198757764,0.07822141560798548,0.02088380657040411,0.036783835089207934,1.4702359346642468
2024-06-29,2024-07-30,AVY,176800000,2.2,80500000,2235300000,346200000,2287100000,3218800000,3010000000,208800000,144200000,197700000,28.411180124223602,0.07730313497442176,0.021305825359716566,0.037464845586650614,1.407371780857855
2024-09-28,2024-10-29,AVY,181700000,2.26,80440716,2183400000,347400000,2393900000,3158900000,2946200000,212700000,217900000,270100000,29.759804723767004,0.07590124900789506,0.02149812468202416,0.0382912189979273,1.319562220644137
2024-12-28,2025-02-26,AVY,174000000,2.18,79800396,2185700000,348800000,2312300000,3152200000,2823100000,329100000,281700000,351200000,28.976046685282114,0.07524975132984474,0.020703933747412008,0.037980921549170904,1.3632314146088311
2025-03-29,2025-04-29,AVY,166300000,2.1,78965996,2148300000,335800000,2170500000,3459100000,3263200000,195900000,-52300000,-16300000,27.48651457521032,0.07661829071642479,0.019904963673142064,0.03477139201194957,1.5936880903017738
2025-06-28,2025-07-29,AVY,189000000,2.42,78044822,2220500000,370300000,2201600000,3550200000,3334300000,215900000,178800000,208800000,28.209430729433915,0.08584665697674419,0.02205830862958381,0.038683987234506924,1.6125545058139534
