date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-12-21,A,140000000,0.42,331000000,1035000000,219000000,4155000000,1655000000,-348000000,2003000000,210000000,237000000,12.55287009063444,0.03369434416365824,0.018719080090921245,0.04176516942474389,0.3983152827918171
2016-01-31,2016-03-08,A,121000000,0.37,329000000,1028000000,221000000,4045000000,1733000000,-198000000,1931000000,73000000,111000000,12.29483282674772,0.029913473423980222,0.016570802519857573,0.03544009050403277,0.4284301606922126
2016-04-30,2016-06-07,A,91000000,0.28,326000000,1019000000,205000000,4162000000,1889000000,-250000000,2139000000,229000000,254000000,12.766871165644172,0.02186448822681403,0.011910994764397905,0.026840490797546013,0.4538683325324363
2016-07-31,2016-09-07,A,124000000,0.38,325000000,1044000000,211000000,4343000000,1887000000,-312000000,2199000000,170000000,194000000,13.363076923076923,0.02855169237854018,0.016033100594776313,0.03466418836109702,0.43449228643794613
2016-10-31,2016-12-20,A,124000000,0.38,324000000,1111000000,226000000,4241000000,1904000000,-385000000,2289000000,182000000,234000000,13.089506172839506,0.029238387172836597,0.015909674108288425,0.036787942073589625,0.44895071917000706
2017-01-31,2017-03-08,A,168000000,0.52,322000000,1067000000,268000000,4297000000,1992000000,-249000000,2241000000,84000000,116000000,13.34472049689441,0.03909704444961601,0.021341463414634148,0.04580269921563006,0.4635792413311613
2017-04-30,2017-06-06,A,164000000,0.51,321000000,1102000000,265000000,4372000000,2043000000,-346000000,2389000000,214000000,257000000,13.61993769470405,0.03751143641354071,0.020459081836327345,0.04500068923723546,0.467291857273559
2017-07-31,2017-09-06,A,175000000,0.55,321000000,1114000000,263000000,4608000000,2081000000,-482000000,2563000000,185000000,228000000,14.355140186915888,0.03797743055555555,0.021183876044062463,0.046589427841641155,0.4516059027777778
2017-10-31,2017-12-21,A,177000000,0.55,322000000,1189000000,298000000,4826000000,2011000000,-667000000,2678000000,230000000,288000000,14.987577639751553,0.03667633651056776,0.021006408734868264,0.04632452916906932,0.41670120182345627
2018-01-31,2018-03-06,A,-320000000,-0.99,323000000,1211000000,304000000,4522000000,2145000000,-742000000,2887000000,155000000,215000000,14.0,-0.07076514816452897,-0.03679006668199586,-0.09192270136476147,0.47434763379035827
