date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-21,BA,1704000000,2.5,680100000,25849000000,2940000000,6740000000,9016000000,-367000000,9383000000,2298000000,2859000000,9.91030730774886,0.25281899109792283,0.01721246893876644,0.27458118793909086,1.337685459940653
2015-12-31,2016-02-10,BA,1026000000,1.52,675000000,23573000000,1579000000,6335000000,9867000000,-1435000000,11302000000,2496000000,3119000000,9.385185185185184,0.16195737963693765,0.010867723074315735,0.22310560620972686,1.5575374901341752
2016-03-31,2016-04-27,BA,1219000000,1.85,658600000,22632000000,2173000000,4043000000,9964000000,2078000000,7886000000,483000000,1231000000,6.138779228666869,0.3015087806084591,0.01331556468262204,0.20750082976271836,2.464506554538709
2016-06-30,2016-07-27,BA,-234000000,-0.37,635300000,24755000000,41000000,585000000,11015000000,2410000000,8605000000,2563000000,3234000000,0.9208248071777113,-0.4,-0.002611344842593936,-0.06622310670881532,18.82905982905983
2016-09-30,2016-10-26,BA,2276000000,3.64,624600000,23898000000,2758000000,2089000000,10456000000,1470000000,8986000000,2607000000,3202000000,3.344540505923791,1.0895165150789852,0.025587408656548623,0.6638927708097352,5.005265677357587
2016-12-31,2017-02-10,BA,1631000000,2.63,620152091,23286000000,2728000000,817000000,9952000000,1070000000,8801000000,2233000000,2832000000,1.3174187620371984,1.996328029375765,0.01812282631643277,0.8598928553479542,12.181150550795593
2017-03-31,2017-04-26,BA,1449000000,2.57,613600000,20976000000,2517000000,95000000,10799000000,2609000000,8190000000,1628000000,2094000000,0.15482398956975227,15.25263157894737,0.01615870997959252,0.5604436057522404,113.67368421052632
2017-06-30,2017-07-26,BA,1749000000,2.93,601023891,23051000000,3043000000,-2037000000,10775000000,2038000000,8737000000,4380000000,4950000000,-3.3892163531316264,-0.8586156111929307,0.019425563108090096,1822.3390036452004,-5.289641629847815
2017-09-30,2017-10-25,BA,1808000000,3.03,597600000,24223000000,3175000000,1086000000,10768000000,2199000000,8569000000,2997000000,3396000000,1.8172690763052208,1.6648250460405156,0.019866603667849727,0.568980477597625,9.915285451197054
2017-12-31,2018-02-12,BA,3130000000,5.25,596571429,25368000000,3647000000,355000000,11117000000,2218000000,8813000000,2469000000,2904000000,0.5950670493809385,8.816901408450704,0.03389903934671244,1.2147449151843177,31.31549295774648
2018-03-31,2018-04-25,BA,2474000000,4.19,591169451,23382000000,3442000000,1222000000,12452000000,3217000000,9235000000,2722000000,3136000000,2.06708922109035,2.0245499181669393,0.021787950576403137,0.5780567722406056,10.189852700490999
2018-06-30,2018-07-25,BA,2196000000,3.77,581900000,24258000000,3202000000,-1441000000,12118000000,3997000000,8121000000,4268000000,4680000000,-2.4763705103969755,-1.523941707147814,0.019400150183311985,0.8953683430824702,-8.40943789035392
2018-09-30,2018-10-24,BA,2361000000,4.11,574200000,25146000000,2762000000,-1289000000,11876000000,3842000000,8034000000,4102000000,4559000000,-2.2448624172762104,-1.8316524437548487,0.020591493035871586,0.9715745832054765,-9.2133436772692
2018-12-31,2019-02-08,BA,3422000000,6.0,570666667,28341000000,4787000000,339000000,13847000000,6111000000,7637000000,2439000000,2947000000,0.5940420557277791,10.094395280235988,0.029158394328513366,0.5432448207652008,40.84660766961652
2019-03-31,2019-04-24,BA,2147000000,3.79,567018470,22912000000,2977000000,125000000,14744000000,7908000000,6836000000,2287000000,2788000000,0.22045137259814482,17.176,0.0178605595254931,0.28162569221933803,117.952
2019-06-30,2019-07-24,BA,-2942000000,-5.21,564700000,15750000000,-2727000000,-5322000000,19216000000,10049000000,9167000000,-1031000000,-590000000,-9.424473171595537,0.5527996993611425,-0.023300940116108695,-0.5944139142188284,-3.610672679443818
2019-09-30,2019-10-23,BA,1166000000,2.07,564600000,19986000000,1956000000,-4116000000,24652000000,14889000000,9763000000,-2889000000,-2424000000,-7.290116896918172,-0.28328474246841595,0.008793496131163366,0.12700967939531638,-5.989310009718173
