date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-21,BIIB,965600000,4.16,232200000,2777859000,1523700000,10572726000,6534446000,2445443000,4089003000,666251000,895448000,45.532842377260984,0.0913293317163426,0.04658350334189358,0.07974356967886947,0.618047417477763
2015-12-31,2016-02-03,BIIB,831561000,3.77,220400000,2839300000,1309485000,9372800000,6526300000,5218300000,1308000000,854280000,1040395000,42.526315789473685,0.08872065978149539,0.04263365940691522,0.06031959991573271,0.6963020655513827
2016-03-31,2016-04-21,BIIB,970900000,4.44,218900000,2726800000,1540100000,10326800000,6540500000,5409800000,1130700000,836500000,963400000,47.175879396984925,0.0940175078436689,0.0469607781491388,0.06452989851464741,0.6333520548475811
2016-06-30,2016-07-21,BIIB,1049800000,4.79,219100000,2894200000,1646500000,11403800000,6543100000,5181100000,1362000000,859000000,995800000,52.04837973528069,0.09205703362037215,0.048794318329707924,0.06618546308589371,0.5737648853890809
2016-09-30,2016-10-26,BIIB,1032900000,4.72,218900000,2955800000,1623000000,12117500000,6534500000,4449700000,2084800000,705900000,986600000,55.35632708999543,0.08524035485867547,0.04672719623250953,0.06562155453989314,0.5392613988033835
2016-12-31,2017-02-02,BIIB,649200000,3.0,216600000,2872000000,1080400000,12140100000,6517400000,4190900000,2326500000,1393300000,1576600000,56.04847645429363,0.05347567153483085,0.028378094838438943,0.04274007647886706,0.536848955115691
2017-03-31,2017-04-25,BIIB,747600000,3.47,215600000,2810700000,1546700000,11479000000,6514200000,5590200000,924000000,-830000000,235200000,53.242115027829314,0.06512762435752244,0.03527097221632486,0.04592269329339608,0.5674884571826814
2017-06-30,2017-07-25,BIIB,862800000,4.07,211900000,3078400000,1378600000,11585200000,6513900000,5344400000,1169500000,846400000,1169200000,54.672958942897594,0.07447432931671442,0.039652557562387974,0.05382632859876833,0.5622604702551531
2017-09-30,2017-10-24,BIIB,1226100000,5.8,211400000,3077800000,1860900000,12860500000,6511500000,4963400000,1548100000,1349100000,1628300000,60.83491012298959,0.09533843940748804,0.053139573184473765,0.07193452428002513,0.506317794798025
2017-12-31,2018-02-01,BIIB,-297400000,-1.41,211500000,3307000000,1601600000,12612800000,5938200000,4364400000,1573800000,1222700000,1518300000,59.63498817966903,-0.023579221108714955,-0.01257367054784675,-0.01022935269291031,0.4708074337181276
2018-03-31,2018-04-24,BIIB,1172900000,5.55,211400000,3131100000,1709600000,14053700000,5932700000,1824700000,4108000000,1252400000,1457100000,66.47918637653737,0.08345844866476444,0.04495574949885205,0.07608149309728833,0.4221450578851121
2018-06-30,2018-07-24,BIIB,866600000,4.18,207100000,3356500000,1463200000,12260900000,5928400000,4678200000,1250200000,834500000,1099300000,59.202800579430225,0.07067996639724654,0.03617933527881801,0.05919556065592297,0.4835207855867024
