date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-04,BRO,67427000,0.24,280082000,431863000,150085000,2185735000,1159839000,711021000,448818000,59081000,63257000,7.803910997493591,0.030848661891766386,0.013479490591324764,0.02531537519304952,0.5306402651739575
2015-12-31,2016-02-26,BRO,57935000,0.2,276781946,404063000,132151000,2149776000,1144743000,701323000,443420000,115605000,121207000,7.767038389129615,0.026949319370948414,0.011576629655154913,0.022425018728813032,0.5324940831044723
2016-03-31,2016-05-06,BRO,62070000,0.22,273880000,422335000,139374000,2198533000,1138819000,736973000,401846000,28970000,33222000,8.027358697239666,0.028232462282804033,0.012431503557008268,0.023185227107342384,0.5179904054203417
2016-06-30,2016-08-05,BRO,66250000,0.24,271984412,445662000,146550000,2252247000,1125496000,671557000,453939000,200773000,205465000,8.28079441552702,0.029415068595939967,0.012723557710312727,0.02484189840951959,0.49972138935028
2016-09-30,2016-11-09,BRO,71545000,0.26,272922000,461652000,153855000,2324772000,1112185000,623502000,488683000,76257000,80448000,8.518082089388177,0.030775060952213808,0.012956293042391862,0.026317044785476484,0.4784060544431884
2016-12-31,2017-02-24,BRO,57626000,0.21,273094000,433138000,131539000,2360211000,1073872000,558226000,515646000,99919000,104549000,8.642485737511626,0.02441561368877613,0.010898946532256539,0.02179784604026426,0.4549898292991601
2017-03-31,2017-05-05,BRO,70110000,0.25,273488000,444566000,148367000,2415796000,1060044000,513323000,546721000,86989000,90021000,8.833279705142456,0.02902149022516802,0.013489322828682714,0.026023927044743586,0.43879698451359306
2017-06-30,2017-08-04,BRO,66102000,0.24,273384000,464724000,145616000,2458233000,985391000,385095000,600296000,174244000,180060000,8.991868580458256,0.026890046631055722,0.012521668366164937,0.025532408950895532,0.4008533772022424
2017-09-30,2017-11-03,BRO,75913000,0.27,272692000,474609000,160736000,2483647000,980741000,434221000,546520000,39440000,43489000,9.107883619614803,0.030565132645661804,0.010238759625517093,0.027980718924301633,0.3948793850333803
2017-12-31,2018-02-28,BRO,187505000,0.68,270784000,473371000,142201000,2582699000,976141000,402758000,573383000,117110000,128405000,9.537856741904987,0.07260040755813976,0.03262346565058155,0.06833874423642168,0.37795383821343487
2018-03-31,2018-05-10,BRO,90828000,0.33,270172000,500338000,154203000,2770593000,971548000,413300000,558248000,69730000,79481000,10.254922789926416,0.03278287355811554,0.01617571815055984,0.03085666835925304,0.35066428017395557
2018-06-30,2018-08-07,BRO,73922000,0.27,270081000,472068000,137954000,2831482000,866959000,389031000,477928000,188286000,197925000,10.48382522280353,0.026107176383250892,0.012965230374790606,0.02537826212466215,0.3061855946815131
2018-09-30,2018-11-05,BRO,106053000,0.38,271008000,529813000,178359000,2939408000,862361000,439390000,422971000,68642000,78111000,10.846203802101783,0.036079714010440196,0.018276158120743655,0.033362026271504024,0.29337914301110973
2018-12-31,2019-02-26,BRO,73452000,0.26,272677000,507638000,142512000,3000568000,1506990000,1068029000,438961000,199351000,212012000,11.004111091144468,0.024479365240181194,0.010981558660109905,0.020187628747602382,0.5022349101903373
2019-03-31,2019-05-09,BRO,113896000,0.41,272679000,617463000,195945000,3098431000,1654821000,1332344000,322477000,-17830000,5356000,11.362924904374742,0.03675925008496236,0.016733935335393486,0.028336112330087974,0.5340835409921989
2019-06-30,2019-07-30,BRO,92593000,0.33,272563000,572932000,172925000,3180631000,1651332000,1218784000,432548000,288359000,300347000,11.669342500632881,0.029111519066499697,0.012923379085460839,0.024076671020245733,0.5191837720251108
2019-09-30,2019-10-30,BRO,115506000,0.41,272962000,617363000,200239000,3314523000,1745657000,1248147000,497510000,129233000,141417000,12.142800096716758,0.03484845330685592,0.015038543542589548,0.028035418785557157,0.5266691466615256
2019-12-31,2020-02-24,BRO,76519000,0.27,272607000,576979000,150685000,3350279000,1766613000,1224439000,542174000,205310000,231060000,12.289776124604284,0.022839590374413594,0.010038147294813823,0.01932523321523251,0.527303248475724
2020-03-31,2020-04-29,BRO,152400000,0.54,272776000,696503000,252956000,3479841000,1718853000,1333065000,385788000,17359000,33817000,12.757137724726515,0.04379510443149558,0.020099322834822207,0.03402383949309388,0.4939458440773587
2020-06-30,2020-07-29,BRO,96784000,0.34,273100000,598157000,178062000,3583518000,1802626000,1179386000,623240000,363402000,382882000,13.12163310142805,0.027008096512979703,0.011801404160292489,0.02279397789436039,0.5030324948835195
2020-09-30,2020-10-27,BRO,133979000,0.47,275515000,671396000,205468000,3702010000,2281505000,1211315000,1070190000,103007000,122889000,13.436691287225742,0.03619088008946491,0.01523288535945978,0.029544887972013836,0.6162881785840665
2020-12-31,2021-02-23,BRO,97320000,0.34,275914000,640052000,183328000,3754223000,2312383000,1494985000,817398000,167179000,182059000,13.606496951948795,0.025922807462422984,0.010853743024585312,0.020896306091379775,0.6159418340359643
2021-03-31,2021-04-27,BRO,199744000,0.71,275594000,814300000,294300000,3830997000,2246097000,1567353000,678744000,126600000,138000000,13.900872297655246,0.0521389079657332,0.02241596230548729,0.039791988032513215,0.5862956822988898
2021-06-30,2021-07-27,BRO,139290000,0.49,275694000,726100000,242600000,3946002000,2226375000,1376145000,850230000,228200000,241900000,14.312977431500142,0.03529901910845458,0.014884757736649108,0.02870250242957732,0.564210307039885
2021-09-30,2021-10-26,BRO,146354000,0.52,276215000,770100000,252700000,4107619000,2217058000,1273089000,943969000,238400000,247900000,14.871093170175406,0.03562988680303602,0.015199031774922147,0.029631447746083096,0.5397428534632838
2021-12-31,2022-02-23,BRO,99676000,0.36,276571000,737912000,202117000,4196900000,2246300000,1553100000,693200000,304198000,314626000,15.174765250152763,0.023749910648335676,0.010175796802580803,0.020506125187528736,0.5352283828540113
2022-03-31,2022-05-09,BRO,215900000,0.78,278566000,904300000,323900000,4335400000,3725300000,2030800000,1694500000,93600000,103600000,15.563277643359203,0.049799326475065735,0.01915212589484516,0.03717712589424218,0.8592748073995479
2022-06-30,2022-07-26,BRO,142500000,0.51,277200000,839100000,279100000,4283400000,4409700000,2026200000,2383500000,234300000,242600000,15.452380952380953,0.033267964700938506,0.011604329025480663,0.027376602712509367,1.029485922398095
2022-09-30,2022-11-03,BRO,158200000,0.57,277800215,926400000,316200000,4310600000,4299300000,3719800000,579500000,239500000,253600000,15.516906637383272,0.03670022734654108,0.011582700628921609,0.024055115789358237,0.9973785551895328
2022-12-31,2023-02-27,BRO,145200000,0.51,278048000,893200000,291000000,4606600000,4183000000,3533000000,650000000,261400000,281600000,16.567642996892623,0.03151999305344506,0.010391097434429456,0.022190516101339906,0.9080449789432553
2023-03-31,2023-04-28,BRO,236000000,0.83,278000000,1108000000,394000000,4845000000,4117300000,3553800000,563500000,48000000,60000000,17.428057553956833,0.04871001031991744,0.017612071731878596,0.03268522487339461,0.8498039215686275
2023-06-30,2023-07-27,BRO,190400000,0.67,279400000,1036000000,356000000,5072500000,4001500000,3373600000,627900000,315000000,328000000,18.15497494631353,0.037535731887629376,0.013530895782254913,0.026923855365571046,0.7888615081320848
2023-09-30,2023-10-26,BRO,176000000,0.62,280000000,1066000000,341000000,5198700000,3886000000,3130300000,755700000,303000000,316000000,18.566785714285714,0.033854617500528976,0.012586712436530072,0.02526470789603983,0.7474945659491796
2023-12-31,2024-02-22,BRO,268700000,0.94,280400000,972400000,456600000,5578800000,4020000000,3320000000,700000000,274900000,305400000,19.895863052781742,0.04816447981644798,0.018053670532270853,0.03440839330100191,0.7205850720585072
