date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-03,CAH,383000000,1.17,328000000,28055000000,749000000,6505000000,5550000000,2576000000,2974000000,-135000000,-52000000,19.83231707317073,0.05887778631821675,0.012266991224136827,0.04556177501081813,0.8531898539584934
2015-12-31,2016-02-02,CAH,326000000,0.99,329000000,31445000000,734000000,6711000000,5525000000,3201000000,2324000000,1371000000,1463000000,20.398176291793312,0.04857696319475488,0.009729310293371535,0.0357356273669833,0.8232752197884071
2016-03-31,2016-05-03,CAH,386000000,1.18,328000000,30662000000,815000000,6713000000,5546000000,2948000000,2598000000,810000000,919000000,20.466463414634145,0.057500372411738415,0.011334605784759947,0.042826998653030544,0.8261582005064799
2016-06-30,2016-08-12,CAH,333000000,1.03,324000000,31384000000,796000000,6554000000,5539000000,3183000000,2356000000,460000000,641000000,20.228395061728396,0.05080866646322856,0.009759099701072622,0.03703299556103295,0.8451327433628318
2016-09-30,2016-11-02,CAH,309000000,0.97,320000000,32039000000,711000000,6512000000,5532000000,3531000000,2001000000,4000000,104000000,20.35,0.04745085995085995,0.008980991687496366,0.033616582299351654,0.8495085995085995
2016-12-31,2017-02-07,CAH,324000000,1.02,318000000,33150000000,701000000,6323000000,5462000000,3581000000,1881000000,441000000,554000000,19.88364779874214,0.05124149928831251,0.009251591902001656,0.03564566066416828,0.863830460224577
2017-03-31,2017-05-02,CAH,381000000,1.21,316000000,31821000000,796000000,6646000000,5461000000,4093000000,1368000000,-278000000,-198000000,21.031645569620252,0.057327715919349986,0.011148826593316556,0.03847248611311987,0.8216972615106831
2017-06-30,2017-08-10,CAH,274000000,0.87,316000000,32966000000,634000000,6808000000,10395000000,3516000000,6879000000,630000000,724000000,21.544303797468356,0.04024676850763807,0.006830873554048664,0.0318234651826283,1.526880141010576
2017-09-30,2017-11-07,CAH,115000000,0.36,316000000,32641000000,488000000,6678000000,10003000000,8822000000,1181000000,1114000000,1181000000,21.132911392405063,0.017220724767894578,0.002742012398664759,0.010983327292497281,1.4979035639412999
2017-12-31,2018-02-08,CAH,1053000000,3.35,315000000,35186000000,695000000,7599000000,9759000000,8510000000,1249000000,178000000,279000000,24.123809523809523,0.13857086458744572,0.02454259410325137,0.08330707622147465,1.284247927358863
2018-03-31,2018-05-09,CAH,255000000,0.81,313000000,33633000000,807000000,7537000000,9578000000,7403000000,2175000000,676000000,754000000,24.079872204472842,0.033833090088894784,0.006214813190027053,0.02015821908322947,1.2707973994958206
2018-06-30,2018-08-22,CAH,-1166000000,-3.76,309774199,35349000000,-856000000,6059000000,9013000000,7250000000,1763000000,416000000,554000000,19.55940817395189,-0.19244099686416902,-0.029185752546869916,-0.0818528777107522,1.4875391978874402
2018-09-30,2018-11-08,CAH,593000000,1.95,305000000,35213000000,1058000000,5913000000,9001000000,6956000000,2045000000,307000000,365000000,19.386885245901638,0.10028750211398613,0.014820924245832395,0.0509864031190559,1.5222391341112802
2018-12-31,2019-02-07,CAH,280000000,0.94,299000000,37740000000,736000000,6043000000,9049000000,6867000000,2182000000,313000000,371000000,20.210702341137125,0.0463346020188648,0.006920073155059068,0.02583049918448834,1.4974350488168129
2019-03-31,2019-05-09,CAH,296000000,0.99,298000000,35228000000,706000000,6230000000,9080000000,5642000000,3438000000,1404000000,1480000000,20.906040268456376,0.04751203852327448,0.0072533019677032025,0.02998652291105121,1.4574638844301766
2019-06-30,2019-08-20,CAH,194000000,0.65,298000000,37353000000,547000000,6328000000,8031000000,5500000000,2531000000,370000000,506000000,21.23489932885906,0.03065739570164349,0.004735981251373191,0.02108797526450553,1.2691213653603035
2019-09-30,2019-11-07,CAH,-4922000000,-16.65,295615615,37341000000,-5044000000,900000000,7991000000,6779000000,1212000000,-725000000,-653000000,3.0444941144262625,-5.4688888888888885,-0.12562852548559178,-0.6329241016599435,8.87888888888889
2019-12-31,2020-02-06,CAH,220000000,0.75,292000000,39735000000,572000000,999000000,7934000000,6275000000,1659000000,620000000,697000000,3.421232876712329,0.22022022022022023,0.005360362555431022,0.037074157183783166,7.941941941941942
2020-03-31,2020-05-11,CAH,350000000,1.2,292000000,39157000000,762000000,1203000000,7262000000,4933000000,2329000000,1586000000,1676000000,4.11986301369863,0.29093931837073983,0.008505881209293282,0.06438373165023756,6.036575228595178
2020-06-30,2020-08-13,CAH,656000000,2.25,292000000,36689000000,1089000000,1789000000,6775000000,4004000000,2771000000,104000000,240000000,6.126712328767123,0.36668529904974845,0.016091841240249226,0.12023141955755783,3.7870318613750698
2020-09-30,2020-11-05,CAH,-253000000,-0.86,293000000,39065000000,-413000000,1422000000,6740000000,3994000000,2746000000,192000000,270000000,4.853242320819112,-0.1779184247538678,-0.006063220456778585,-0.04354284606695763,4.739803094233474
2020-12-31,2021-02-05,CAH,629000000,2.14,294000000,41541000000,672000000,1971000000,6733000000,2996000000,3737000000,1121000000,1217000000,6.704081632653061,0.3191273465246068,0.014065609696102328,0.14050107760398958,3.4160324708269916
2021-03-31,2021-05-06,CAH,119000000,0.41,292000000,39275000000,684000000,1790000000,6731000000,3232000000,3499000000,177000000,277000000,6.13013698630137,0.0664804469273743,0.0027123125313397458,0.026338655370913434,3.7603351955307263
2021-06-30,2021-08-16,CAH,116000000,0.4,290000000,42586000000,343000000,1791000000,6236000000,2829000000,3407000000,539000000,665000000,6.175862068965517,0.06476828587381352,0.002609497671698198,0.03409545636436393,3.481853713009492
2021-09-30,2021-11-09,CAH,271000000,0.94,287000000,43968000000,577000000,1393000000,5654000000,3191000000,2463000000,-713000000,-646000000,4.853658536585366,0.19454414931801867,0.00630335170841765,0.06576899974933431,4.05886575735822
2021-12-31,2022-02-03,CAH,49000000,0.17,279000000,45457000000,-772000000,998000000,5643000000,2482000000,3161000000,1121000000,1195000000,3.5770609318996414,0.04909819639278557,0.0011217948717948717,0.01354502604812699,5.654308617234469
2022-03-31,2022-05-05,CAH,-1390000000,-5.05,275000000,44836000000,82000000,-697000000,5612000000,3256000000,2356000000,-501000000,-419000000,-2.5345454545454547,1.994261119081779,-0.033008002659637624,-0.3925176063870752,-8.051649928263988
2022-06-30,2022-08-11,CAH,138000000,0.51,273000000,47103000000,185000000,-709000000,5315000000,598000000,4717000000,2828000000,2992000000,-2.597069597069597,-0.19464033850493653,0.003145084096813893,0.2644787644787645,-7.496473906911143
2022-09-30,2022-11-04,CAH,110000000,0.41,271000000,49603000000,306000000,-1781000000,5267000000,1775000000,3492000000,-47000000,23000000,-6.571955719557195,-0.06176305446378439,0.0025353216401226173,-22.704545454545453,-2.957327344188658
2022-12-31,2023-02-02,CAH,-130000000,-0.5,261000000,51469000000,58000000,-2213000000,5262000000,1608000000,3654000000,512000000,597000000,-8.478927203065133,0.0587437867148667,-0.002922530461759813,0.17566507812028714,-2.3777677361048353
2023-03-31,2023-05-04,CAH,345000000,1.35,256000000,50487000000,747000000,-2220000000,4734000000,744000000,3990000000,1252000000,1361000000,-8.671875,-0.1554054054054054,0.007953523756829657,-0.2471953212179181,-2.1324324324324326
2023-06-30,2023-08-15,CAH,-64000000,-0.25,254000000,53453000000,312000000,-2958000000,4701000000,625000000,4076000000,641000000,858000000,-11.645669291338583,0.021636240703177823,-0.001476389305404969,0.03179675018509137,-1.5892494929006085
2023-09-30,2023-11-03,CAH,-12000000,0.02,249000000,54650000000,139000000,-3491000000,4678000000,824000000,3854000000,436000000,528000000,-14.02008032128514,0.0034374104841019765,-0.0002745367192862045,0.003093363329583802,-1.3400171870524205
2023-12-31,2024-02-01,CAH,368000000,1.5,245000000,57442000000,690000000,-3449000000,4723000000,132000000,4591000000,1065000000,1179000000,-14.077551020408164,-0.10669759350536387,0.007901573873274215,-0.11189692775851673,-1.3693824296897652
2024-03-31,2024-05-02,CAH,261000000,1.07,243000000,54868000000,547000000,-3265000000,5854000000,2136000000,3718000000,-139000000,-27000000,-13.436213991769547,-0.07993874425727412,0.005688753269398431,-0.2510631464992567,-1.7929555895865237
2024-06-30,2024-08-14,CAH,236000000,0.96,244000000,59708000000,578000000,-3213000000,5092000000,-41000000,5133000000,1884000000,2077000000,-13.168032786885245,-0.07345160286336756,0.005230380532346358,-0.07118511482371345,-1.5848117024587614
2024-09-30,2024-11-01,CAH,416000000,1.71,243000000,52277000000,755000000,-3277000000,5164000000,2297000000,2867000000,-1737000000,-1647000000,-13.48559670781893,-0.12694537686908758,0.0096611625908637,-0.4506790146742616,-1.5758315532499236
2024-12-31,2025-01-30,CAH,400000000,1.65,242000000,55264000000,738000000,-2991000000,7606000000,3796000000,3810000000,-499000000,-400000000,-12.359504132231406,-0.13373453694416584,0.008510276158461342,0.5322555943163447,-2.542962219993313
