date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2019-03-31,2019-03-31,CARR,400000000,0.46,866200000,4323000000,617000000,14269000000,0,1129000000,-1129000000,-224000000,-183000000,16.473100900484877,0.028032798374097695,inf,0.03629872938378662,0.0
2019-12-31,2019-12-31,CARR,440000000,0.51,866200000,4501000000,736000000,14102000000,682000000,-270000000,952000000,909000000,1013000000,16.280304779496653,0.031201248049921998,0.0196375970722128,0.03621020532588793,0.0483619344773791
2020-03-31,2020-05-11,CARR,96000000,0.11,866200000,3888000000,460000000,2697000000,11955000000,11187000000,768000000,-1000000,47000000,3.1135996305703073,0.035595105672969966,0.004363438025544293,0.009438495231677483,4.432703003337041
2020-06-30,2020-07-31,CARR,261000000,0.3,866200000,3972000000,511000000,4028000000,12717000000,10013000000,2704000000,463000000,509000000,4.6501962595243596,0.06479642502482622,0.010795830575777631,0.022121311397573774,3.157149950347567
2020-09-30,2020-10-29,CARR,741000000,0.86,866400000,5002000000,903000000,5096000000,12650000000,8802000000,3848000000,880000000,937000000,5.881809787626962,0.14540816326530612,0.028801305970149255,0.04379265556601609,2.482339089481947
2020-12-31,2021-02-09,CARR,884000000,1.02,866400000,4594000000,491000000,6252000000,11030000000,7915000000,3115000000,38000000,199000000,7.21606648199446,0.1413947536788228,0.035228948312278324,0.021083057349430914,1.7642354446577095
2021-03-31,2021-04-29,CARR,384000000,0.44,869300000,4699000000,668000000,6489000000,10351000000,7752000000,2599000000,131000000,184000000,7.4646267111469,0.05917706888580675,0.015441531285185781,0.03246532614826342,1.5951610417629836
2021-06-30,2021-07-29,CARR,487000000,0.56,868700000,5440000000,824000000,6756000000,10360000000,7730000000,2630000000,482000000,561000000,7.777138252561299,0.07208407341622261,0.018921439117258528,0.03468446254915119,1.5334517465956188
2021-09-30,2021-10-28,CARR,469000000,0.54,867600000,5341000000,877000000,6900000000,10203000000,7532000000,2671000000,505000000,579000000,7.9529737206085755,0.06797101449275363,0.018186753528773074,0.03438539356984479,1.478695652173913
2021-12-31,2022-02-08,CARR,324000000,0.37,865200000,5133000000,524000000,6767000000,10223000000,7236000000,2987000000,775000000,913000000,7.821312991215904,0.047879414807152354,0.012379642365887207,0.025582525085012648,1.5107137579429584
2022-03-31,2022-04-28,CARR,1379000000,1.62,853300000,4654000000,673000000,7101000000,9052000000,5448000000,3604000000,-258000000,-202000000,8.321809445681472,0.19419800028165046,0.05699995866572976,0.03889388667513395,1.274750035206309
2022-06-30,2022-07-28,CARR,573000000,0.68,845700000,5211000000,828000000,6696000000,9057000000,6040000000,3017000000,-34000000,32000000,7.917701312522171,0.08557347670250896,0.024216042599949285,0.04578539991901383,1.3525985663082438
2022-09-30,2022-10-27,CARR,1312000000,1.56,839600000,5451000000,832000000,7152000000,9403000000,6418000000,2985000000,699000000,790000000,8.518342067651263,0.18344519015659955,0.05175542406311637,0.04874498067465748,1.3147371364653244
2022-12-31,2023-02-07,CARR,270000000,0.32,835600000,5105000000,548000000,7758000000,9371000000,5851000000,3520000000,983000000,1123000000,9.284346577309718,0.03480278422273782,0.01035037951391551,0.02302852711177831,1.2079144109306523
2023-03-31,2023-04-26,CARR,373000000,0.45,835000000,5273000000,676000000,8134000000,9356000000,6009000000,3347000000,50000000,120000000,9.741317365269461,0.045856896975657736,0.014122903335731324,0.029029890730202186,1.150233587410868
2023-06-30,2023-07-27,CARR,199000000,0.39,836000000,5992000000,653000000,7969000000,9274000000,6065000000,3209000000,310000000,384000000,9.532296650717702,0.02497176559166771,0.007571145944300715,0.020300732074508287,1.1637595683272681
2023-09-30,2023-10-26,CARR,357000000,0.32,838700000,4935000000,835000000,8184000000,9250000000,5348000000,3902000000,968000000,1041000000,9.757958745677835,0.0436217008797654,0.013449367088607595,0.03413470499744884,1.130254154447703
2023-12-31,2024-02-06,CARR,420000000,0.5,839600000,5102000000,805000000,8677000000,14626000000,4774000000,9852000000,829000000,1062000000,10.334683182467842,0.04840382620721447,0.012796295167875206,0.039117666734183536,1.6856056240636164
2024-03-31,2024-04-25,CARR,269000000,0.2,899200000,5420000000,915000000,11561000000,17400000000,16087000000,1313000000,-62000000,40000000,12.856983985765124,0.023267883401089873,0.006591521685861308,0.0177256173630085,1.5050601159069286
2024-06-30,2024-08-10,CARR,2337000000,0.46,901200000,5934000000,858000000,13768000000,13823000000,10901000000,2919000000,552000000,660000000,15.277407900577009,0.16974142940151074,0.05781219077775579,0.017286910080360145,1.0039947704822778
2024-09-30,2024-10-25,CARR,447000000,0.63,901200000,5984000000,1048000000,14693000000,12877000000,10652000000,2225000000,-361000000,-269000000,16.303817132711938,0.030422650241611653,0.011119126389890798,0.023257334498210415,0.8764037296671885
2024-12-31,2025-02-11,CARR,2551000000,-0.0539,890100000,5148000000,741000000,14081000000,12710000000,8741000000,3969000000,-85000000,132000000,15.81957083473767,0.18116611036148,0.06820308531401224,-0.0008023700075229318,0.9026347560542575
2025-03-31,2025-05-01,CARR,412000000,0.48,866900000,5218000000,585000000,13859000000,11621000000,9923000000,1698000000,420000000,483000000,15.986849694313069,0.029727974601342088,0.011304085384256592,0.009455872594558726,0.8385164874810592
2025-06-30,2025-07-29,CARR,608000000,0.7112,854900000,6113000000,1244000000,14706000000,11887000000,10090000000,1797000000,568000000,649000000,17.202011931220024,0.041343669250646,0.01579507962486686,0.029926465972185245,0.8083095335237318
