date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,CAT,559000000,0.63,588400000,10962000000,1668000000,15896000000,37543000000,37543000000,0,780000000,1506000000,27.015635622025833,0.035166079516859586,0.007078727095442516,0.012269441169682566,2.3617891293407145
2015-12-31,2016-02-16,CAT,-87000000,-0.15,582300000,11030000000,690000000,14809000000,38013000000,38013000000,0,747000000,1811000000,25.43190795122789,-0.005874805861300561,-0.0011105154323351458,-0.0006255471967823258,2.5668850023634278
2016-03-31,2016-05-02,CAT,271000000,0.46,582800000,9461000000,1234000000,15676000000,38363000000,38363000000,0,-250000000,490000000,26.89773507206589,0.017287573360551162,0.003460737865069534,0.006831045303259815,2.447244194947691
2016-06-30,2016-08-03,CAT,550000000,0.94,584100000,10342000000,1623000000,15232000000,38323000000,38323000000,0,1449000000,2314000000,26.077726416709467,0.03610819327731092,0.0070242656449553,0.012175236226671701,2.515953256302521
2016-09-30,2016-11-02,CAT,283000000,0.48,584700000,9160000000,1270000000,15645000000,37110000000,37110000000,0,576000000,1171000000,26.757311441765008,0.01808884627676574,0.0037040915159289025,0.007204459105403106,2.3720038350910833
2016-12-31,2017-02-15,CAT,-1171000000,-2.0,585785570,9574000000,-449000000,13137000000,36783000000,36783000000,0,917000000,1645000000,22.42629500074575,-0.08913755043008297,-0.0156751981152281,-0.02131213951230655,2.7999543274720256
2017-03-31,2017-05-03,CAT,192000000,0.33,587500000,9822000000,1122000000,13588000000,38282000000,38282000000,0,1033000000,1542000000,23.128510638297872,0.014130114807182808,0.0024758539761956955,0.005425807204902832,2.8173388283779808
2017-06-30,2017-08-02,CAT,802000000,1.36,590200000,11331000000,2000000000,14009000000,37192000000,37192000000,0,1767000000,2382000000,23.73602168756354,0.05724891141409094,0.010215259202649344,0.01724622673351727,2.6548647298165466
2017-09-30,2017-11-01,CAT,1059000000,1.79,592900000,11413000000,2364000000,15627000000,35924000000,35924000000,0,728000000,1241000000,26.35688986338337,0.06776732578229987,0.013480142566191447,0.02206031350359655,2.298841748256223
2017-12-31,2018-02-15,CAT,-1299000000,-2.18,596400000,12896000000,2004000000,13697000000,34878000000,34878000000,0,-158000000,541000000,22.96613011401744,-0.09483828575600496,-0.016878459499493258,-0.030589770938227418,2.5463970212455282
2018-03-31,2018-05-02,CAT,1665000000,2.78,598000000,12859000000,2916000000,15206000000,35315000000,35315000000,0,178000000,935000000,25.42809364548495,0.10949625147967908,0.021342323172763862,0.034477074271782274,2.3224385111140338
2018-06-30,2018-08-07,CAT,1707000000,2.86,596200000,14011000000,2974000000,14879000000,36169000000,36169000000,0,1377000000,2148000000,24.95639047299564,0.11472545197929969,0.021611151202096546,0.03481505994269006,2.4308757308958935
2018-09-30,2018-10-31,CAT,1727000000,2.92,592100000,13510000000,2935000000,15850000000,35773000000,27727000000,8046000000,791000000,1392000000,26.769126836682993,0.1089589905362776,0.022081857586722757,0.04138867531928361,2.256971608832808
2018-12-31,2019-02-14,CAT,1048000000,1.8,581400000,14342000000,2167000000,14039000000,36553000000,28663000000,7890000000,1296000000,2083000000,24.1468868249054,0.07464919153785882,0.01334878803704034,0.026286978814647224,2.6036754754612152
