date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-03,CBOE,67219000,0.81,105900000,187035000,113527000,259817000,1976000000,1854322000,121678000,79017000,88312000,2.4534183191690273,0.25871671214739606,0.16913886854931445,0.03194049589771407,7.605352998456606
2015-12-31,2016-02-19,CBOE,50180000,0.61,105900000,155946000,88119000,259645000,1896000,-100357000,102253000,38732000,51141000,2.451794145420208,0.19326387952781682,0.13040947222886368,0.3165278139041793,0.0073022781104970244
2016-03-31,2016-05-03,CBOE,49200000,0.6,105900000,162330000,91353000,247927000,1881000,-105601000,107482000,88494000,97428000,2.3411425873465532,0.1984455101703324,0.12461059190031153,0.34565832927898166,0.007586910663219416
2016-06-30,2016-08-02,CBOE,50700000,0.62,105900000,163329000,90246000,265763000,1902000,-50291000,52193000,979000,17475000,2.509565627950897,0.19077147684214882,0.12467908047333785,0.21997300900550865,0.007156752444847477
2016-09-30,2016-11-08,CBOE,40300000,0.5,105900000,156207000,75673000,289565000,1922000,-70837000,72759000,48224000,59227000,2.734324834749764,0.13917427865936835,0.09131240625184098,0.18566252916617093,0.006637542520677568
2016-12-31,2017-02-21,CBOE,44971000,0.55,105900000,163241000,85189000,317946000,1843000,-95455000,97298000,47464000,55433000,3.0023229461756373,0.14144225749026565,0.09424622510033218,0.2179102126891029,0.005796581809489661
2017-03-31,2017-05-11,CBOE,15100000,0.16,105900000,356200000,108100000,2745400000,1486700000,1333400000,153300000,-17000000,-9600000,25.924457034938623,0.00550010927369418,0.002825017305569587,0.005274239557225392,0.5415240037881547
2017-06-30,2017-08-04,CBOE,67300000,0.6,112100000,640800000,166300000,2816700000,1411300000,1262700000,148600000,178000000,189800000,25.126672613737735,0.023893208364398056,0.012473126251019349,0.018413012539914,0.5010473248837292
2017-09-30,2017-11-07,CBOE,59700000,0.53,112300000,611400000,169600000,2877900000,1312400000,1187600000,124800000,-100000,6800000,25.626892252894034,0.02074429271343688,0.011419062374476388,0.01634474851084037,0.4560269641057716
2017-12-31,2018-02-22,CBOE,254600000,2.27,112300000,620700000,163000000,3110600000,1237900000,1094400000,143500000,184100000,195500000,27.699020480854852,0.08184916093358195,0.048350646637674,0.06701484098455592,0.39796180801131614
2018-03-31,2018-05-04,CBOE,117300000,1.04,112400000,777700000,220700000,3175200000,1213400000,1047100000,166300000,156200000,163500000,28.249110320284696,0.03694255479969766,0.022014939379152436,0.029655086687814063,0.38214915595867976
2018-06-30,2018-08-03,CBOE,82400000,0.74,112000000,667500000,177900000,3149600000,1214100000,1074100000,140000000,180500000,185800000,28.12142857142857,0.026162052324104648,0.015497752449735749,0.021242125927219736,0.3854775209550419
2018-09-30,2018-11-02,CBOE,85000000,0.76,111400000,575900000,171600000,3151900000,1214700000,1077900000,136800000,-56400000,-41200000,28.293536804308797,0.026967860655477648,0.01660318390467819,0.022090244759300458,0.38538659221422
2018-12-31,2019-02-22,CBOE,137400000,1.23,111300000,747700000,222700000,3241000000,1215400000,940300000,275100000,218100000,226600000,29.11949685534591,0.042394322739895095,0.02582221386957339,0.03465805312698522,0.3750077136686208
2019-03-31,2019-05-03,CBOE,94600000,0.85,111500000,602600000,191400000,3285400000,1266100000,919900000,346200000,112200000,118000000,29.465470852017937,0.028794058562123335,0.01774726099354645,0.024409468832217722,0.38537164424423204
