date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-09-30,CEG,377000000,1.16,326300000,4768000000,1260000000,11599000000,10222000000,9677000000,545000000,-227000000,783000000,35.547042598835425,0.032502801965686695,0.008111189999784848,0.033106710771685394,0.8812828692128631
2015-12-31,2015-12-31,CEG,154000000,0.47,326300000,4294000000,939000000,11635000000,10240000000,9809000000,431000000,-74000000,993000000,35.657370517928285,0.013235926085088097,0.0033097638032194977,0.006053400887460614,0.8801031370863773
2016-03-31,2016-03-31,CEG,310000000,0.95,326300000,4739000000,1231000000,12059000000,10644000000,10267000000,377000000,-343000000,782000000,36.95678823168863,0.02570694087403599,0.00659546402280754,0.01591259992306517,0.8826602537523841
2016-06-30,2016-06-30,CEG,-8000000,-0.0245,326300000,3589000000,797000000,11995000000,10091000000,9718000000,373000000,679000000,1605000000,36.76064970885688,-0.0006669445602334305,-0.00017058660468686695,0.0012895500391470547,0.8412671946644436
2016-09-30,2016-09-30,CEG,236000000,0.72,326300000,5035000000,1180000000,12281000000,9756000000,9381000000,375000000,736000000,1336000000,37.63714373276126,0.019216676166435957,0.004961318533467878,0.01766669494718613,0.7943978503379203
2016-12-31,2016-12-31,CEG,-42000000,-0.13,326300000,4388000000,2165000000,11482000000,9995000000,9705000000,290000000,294000000,721000000,35.188476861783634,-0.0036578993206758405,-0.0008941116362242943,0.0007958068388007223,0.8704929454798815
2017-03-31,2017-03-31,CEG,418000000,1.28,326300000,4878000000,853000000,11803000000,10750000000,10350000000,400000000,-205000000,420000000,36.17223414036163,0.035414725069897485,0.008599230595157275,0.006038205562049924,0.9107853935440142
2017-06-30,2017-06-30,CEG,-235000000,-0.72,326300000,4216000000,852000000,11387000000,10721000000,10456000000,265000000,-10000000,554000000,34.89733374195526,-0.02063756915781154,-0.004882609599002701,0.003235685726930061,0.9415122508123298
2017-09-30,2017-09-30,CEG,304000000,0.93,326300000,4750000000,1292000000,11581000000,9766000000,9406000000,360000000,831000000,1296000000,35.491878639289,0.02624989206458855,0.006367292225201072,0.017613671304051063,0.8432777825749072
2017-12-31,2017-12-31,CEG,2223000000,6.81,326300000,4657000000,1195000000,13669000000,9046000000,8630000000,416000000,424000000,1029000000,41.89089794667484,0.16263077035628062,0.045875724869471904,0.05462750645857768,0.661789450581608
2018-03-31,2018-03-31,CEG,136000000,0.42,326300000,5512000000,1178000000,13626000000,9185000000,8575000000,610000000,227000000,855000000,41.759117376647254,0.009980918831645385,0.002811369509043928,0.020279058808854764,0.6740789666813445
2018-06-30,2018-06-30,CEG,178000000,0.55,326300000,4579000000,1160000000,13616000000,8886000000,8466000000,420000000,538000000,1208000000,41.728470732454795,0.013072855464159813,0.0037341612822018966,0.018241722918675665,0.6526145710928319
2018-09-30,2018-09-30,CEG,234000000,0.72,326300000,5278000000,1194000000,13594000000,8842000000,7655000000,1187000000,986000000,1348000000,41.66104811523138,0.017213476533764895,0.004854066836766445,0.018338864872819414,0.6504340150066206
2018-12-31,2018-12-31,CEG,-177000000,-0.54,326300000,5069000000,792000000,13204000000,8893000000,8143000000,750000000,-132000000,450000000,40.46582899172541,-0.013405028779157831,-0.0037219278324501642,0.002285664459077191,0.6735080278703424
2019-03-31,2019-03-31,CEG,363000000,1.11,326663937,5296000000,1046000000,13351000000,9943000000,9233000000,537000000,71000000,582000000,40.87074968425425,0.027188974608643546,0.007456554784109116,0.011106413986975624,0.7447382218560408
2019-06-30,2019-06-30,CEG,108000000,0.33,326663937,4210000000,905000000,13235000000,9858000000,9110000000,575000000,467000000,846000000,40.51564467613699,0.008160181337363053,0.002231312755671253,0.006113627616425378,0.7448432187381941
2019-09-30,2019-09-30,CEG,257000000,0.79,326663937,4774000000,1335000000,13267000000,9732000000,8543000000,1019000000,653000000,1045000000,40.613604678376234,0.019371372578578426,0.005355951983994665,0.022683045192599335,0.733549408306324
2019-12-31,2019-12-31,CEG,397000000,1.22,326663937,4644000000,852000000,13484000000,9376000000,8916000000,303000000,-163000000,400000000,41.277895943561106,0.02944230198754079,0.008102867639555056,0.006437384439778374,0.6953426283002077
2020-03-31,2020-03-31,CEG,45000000,0.14,326300000,4733000000,1002000000,13054000000,9544000000,8723000000,821000000,62000000,620000000,40.00612932883849,0.003447219243143864,0.0009398103671525834,0.006740786960878856,0.7311168990347786
2020-06-30,2020-06-30,CEG,476000000,1.46,326300000,3880000000,992000000,13064000000,8033000000,7550000000,483000000,289000000,661000000,40.036775973030956,0.03643600734843846,0.010127013169372168,0.01180318101681687,0.6148958971218617
2020-09-30,2020-09-30,CEG,49000000,0.15,326300000,4659000000,1666000000,12711000000,7296000000,6673000000,623000000,-200000000,82000000,38.95494943303708,0.003854928801825191,0.00103436629232458,0.04658964867932315,0.5739910313901345
2020-12-31,2020-12-31,CEG,19000000,0.0582,326300000,4331000000,636000000,12399000000,7212000000,6986000000,226000000,-1314000000,-779000000,37.9987741342323,0.001532381643680942,0.0003950596748035098,-0.0013565962882444698,0.5816598112751028
2021-03-31,2021-03-31,CEG,-793000000,-2.43,326300000,5559000000,233000000,11149000000,7897000000,7176000000,721000000,-1994000000,-1612000000,34.16794361017469,-0.07112745537716388,-0.016756117144909776,-0.0186085135116513,0.7083146470535474
2021-06-30,2021-06-30,CEG,-61000000,-0.19,326300000,4153000000,1038000000,10632000000,6678000000,6136000000,542000000,918000000,1255000000,32.583512105424454,-0.00573739653875094,-0.0013312673228432377,0.010734732824427481,0.6281038374717833
2021-09-30,2021-09-30,CEG,607000000,1.86,326300000,4406000000,2180000000,11634000000,7510000000,5553000000,1957000000,964000000,1331000000,35.654305853509044,0.05217466047790958,0.012643199333472193,0.07061803340753006,0.6455217466047791
2021-12-31,2022-02-25,CEG,42000000,0.13,326000000,5532000000,-71000000,11219000000,8196000000,7692000000,504000000,-2555000000,-2312000000,34.41411042944785,0.003743649166592388,0.0008734350954539783,-0.017013907249748824,0.7305463945093146
2022-03-31,2022-05-12,CEG,106000000,0.32,327000000,5591000000,1039000000,11105000000,5819000000,4214000000,1605000000,941000000,1351000000,33.960244648318046,0.00954524988743809,0.0022627332109465058,0.024357384243799806,0.5239981990094552
2022-06-30,2022-08-04,CEG,-111000000,-0.34,327000000,5465000000,943000000,11000000000,4891000000,4085000000,806000000,-478000000,-88000000,33.63914373088685,-0.010090909090909091,-0.002448547415789822,0.00864136220122378,0.44463636363636366
2022-09-30,2022-11-08,CEG,-188000000,-0.58,327000000,6051000000,570000000,10803000000,5354000000,4162000000,1192000000,-1484000000,-1194000000,33.03669724770642,-0.01740257335925206,-0.004032950060065214,-0.0013468134507944696,0.49560307322040176
2022-12-31,2023-02-16,CEG,34000000,0.1,328000000,7333000000,529000000,11018000000,5768000000,5346000000,422000000,-3021000000,-2422000000,33.59146341463415,0.0030858595026320565,0.0007248076062162911,-0.0010456557755506666,0.5235069885641678
2023-03-31,2023-05-04,CEG,96000000,0.29,328000000,7565000000,647000000,10728000000,6629000000,6392000000,237000000,-1594000000,-934000000,32.707317073170735,0.008948545861297539,0.002079812816846484,0.0010739641410292408,0.6179157345264727
2023-06-30,2023-08-03,CEG,833000000,2.57,324000000,5446000000,1333000000,11256000000,7201000000,6932000000,269000000,-868000000,-192000000,34.74074074074074,0.0740049751243781,0.0178912777336283,0.02793653931248281,0.6397476901208244
2023-09-30,2023-11-06,CEG,731000000,2.27,322000000,6111000000,1706000000,11666000000,8155000000,6266000000,1889000000,-1392000000,-993000000,36.22981366459627,0.06266072346991257,0.01492903094046768,0.04664735929775676,0.6990399451397222
2023-12-31,2024-02-27,CEG,-36000000,-0.11,320000000,5796000000,532000000,10925000000,9261000000,8893000000,368000000,-3869000000,-3182000000,34.140625,-0.0032951945080091534,-0.0007092478033019425,0.0019541463683153057,0.8476887871853547
2024-03-31,2024-05-09,CEG,883000000,2.79,317000000,6161000000,1505000000,11199000000,9983000000,9421000000,562000000,-1461000000,-723000000,35.32807570977918,0.07884632556478258,0.01697619871573038,0.03313840597952036,0.8914188766854183
2024-06-30,2024-08-06,CEG,814000000,2.58,315000000,5475000000,1795000000,11425000000,9124000000,8813000000,311000000,-1159000000,-613000000,36.26984126984127,0.0712472647702407,0.015855083755356447,0.04570271094843635,0.7985995623632385
2024-09-30,2024-11-04,CEG,1200000000,3.83,313000000,6550000000,2128000000,12570000000,8412000000,6619000000,1793000000,-664000000,-112000000,40.159744408945684,0.0954653937947494,0.023150827642088204,0.055583136298484076,0.6692124105011933
2024-12-31,2025-02-18,CEG,852000000,2.71,314000000,5382000000,1538000000,13166000000,8412000000,5390000000,3022000000,-1745000000,-1016000000,41.92993630573248,0.06471213732340877,0.016097948078449154,0.04746619477691172,0.6389184262494304
2025-03-31,2025-05-06,CEG,118000000,0.38,313000000,6788000000,1078000000,12956000000,8358000000,6512000000,1846000000,-699000000,107000000,41.39297124600639,0.009107749305341155,0.0022582867641429993,0.019220537829441966,0.6451065143562829
2025-06-30,2025-08-07,CEG,839000000,2.67,314000000,6101000000,1645000000,13446000000,8311000000,6249000000,2062000000,710000000,1477000000,42.82165605095541,0.06239773910456641,0.015818846864512237,0.0462155092178503,0.6181020377807527
