date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-02,CLX,172000000,1.33,129155000,1390000000,328000000,119000000,2227000000,1844000000,383000000,119000000,147000000,0.9213735434168248,1.4453781512605042,0.042002442002442006,0.0958084410071165,18.714285714285715
2015-12-31,2016-02-04,CLX,149000000,1.15,129543000,1345000000,293000000,198000000,2296000000,1906000000,390000000,-2000000,38000000,1.5284500127370835,0.7525252525252525,0.035688622754491015,0.07863283187303687,11.595959595959595
2016-03-31,2016-05-03,CLX,162000000,1.25,129690000,1426000000,299000000,259000000,2228000000,1814000000,414000000,217000000,262000000,1.9970699360012336,0.6254826254826255,0.037815126050420166,0.08382030567818913,8.602316602316602
2016-06-30,2016-08-16,CLX,165000000,1.28,129502000,1600000000,316000000,297000000,2312000000,1911000000,401000000,272000000,331000000,2.2934008741177743,0.5555555555555556,0.03652058432934927,0.08095561594202899,7.784511784511785
2016-09-30,2016-11-02,CLX,179000000,1.39,129449000,1443000000,327000000,289000000,2407000000,1999000000,408000000,111000000,170000000,2.2325394556929754,0.6193771626297578,0.040080609046126286,0.08475378787878787,8.328719723183392
2016-12-31,2017-02-03,CLX,149000000,1.16,128497000,1406000000,289000000,270000000,2549000000,2135000000,414000000,42000000,100000000,2.1012163708102136,0.5518518518518518,0.032618213660245185,0.06841473801826226,9.440740740740742
2017-03-31,2017-05-03,CLX,172000000,1.34,128752000,1477000000,306000000,404000000,2440000000,2009000000,431000000,168000000,212000000,3.137815334907419,0.42574257425742573,0.037157053359256856,0.07762943972510575,6.03960396039604
2017-06-30,2017-08-15,CLX,201000000,1.55,129113000,1647000000,359000000,542000000,2195000000,1777000000,418000000,316000000,386000000,4.197873180857079,0.37084870848708484,0.043953640935928275,0.09360259024564942,4.049815498154982
2017-09-30,2017-11-01,CLX,192000000,1.49,129019000,1500000000,340000000,592000000,2200000000,1732000000,468000000,209000000,258000000,4.5884714654430745,0.32432432432432434,0.04173913043478261,0.08883460107711955,3.7162162162162162
2017-12-31,2018-02-02,CLX,233000000,1.81,129359000,1416000000,288000000,760000000,2283000000,1794000000,489000000,24000000,64000000,5.875122720491037,0.30657894736842106,0.048970155527532575,0.098463496838336,3.0039473684210525
2018-03-31,2018-05-02,CLX,181000000,1.39,129694000,1517000000,302000000,837000000,2855000000,1681000000,1174000000,215000000,252000000,6.453652443443798,0.2162485065710872,0.033247612049963265,0.07752610953203054,3.4109916367980886
2018-06-30,2018-08-14,CLX,217000000,1.69,129694000,1691000000,375000000,726000000,2483000000,2352000000,131000000,332000000,400000000,5.597791725137632,0.2988980716253444,0.04288537549407115,0.07579936891369066,3.4201101928374658
2018-09-30,2018-10-31,CLX,210000000,1.65,127803000,1563000000,336000000,677000000,2565000000,2403000000,162000000,223000000,259000000,5.297215245338529,0.310192023633678,0.04151838671411625,0.07428765264586161,3.78877400295421
2018-12-31,2019-02-04,CLX,182000000,1.42,128068000,1473000000,292000000,742000000,2520000000,2358000000,162000000,140000000,190000000,5.793797045319674,0.24528301886792453,0.035876207372363494,0.065,3.3962264150943398
2019-03-31,2019-05-01,CLX,187000000,1.46,128404000,1551000000,309000000,781000000,2607000000,2429000000,178000000,105000000,154000000,6.082365035357154,0.23943661971830985,0.03622626888802789,0.06359553478712357,3.3380281690140845
2019-06-30,2019-08-14,CLX,241000000,1.91,126663000,1627000000,345000000,559000000,2683000000,2572000000,111000000,318000000,389000000,4.413285647742435,0.43112701252236135,0.04710711493354183,0.08356230010981655,4.799642218246869
2019-09-30,2019-10-31,CLX,203000000,1.61,125823000,1506000000,327000000,550000000,3083000000,2933000000,150000000,217000000,271000000,4.371219888255724,0.3690909090909091,0.03761348897535668,0.06347886856870692,5.6054545454545455
2019-12-31,2020-02-04,CLX,185000000,1.48,125440000,1449000000,304000000,555000000,3138000000,2970000000,168000000,170000000,227000000,4.424426020408164,0.3333333333333333,0.033888990657629604,0.05806548966349781,5.654054054054054
2020-03-31,2020-05-01,CLX,241000000,1.92,125661000,1783000000,366000000,695000000,3268000000,2772000000,496000000,261000000,308000000,5.530753376146935,0.34676258992805753,0.0411965811965812,0.07466162441645569,4.702158273381295
2020-06-30,2020-08-13,CLX,310000000,2.45,126387000,1983000000,466000000,908000000,3122000000,2251000000,871000000,644000000,740000000,7.184283193682894,0.34140969162995594,0.04989538065346853,0.10434322670609589,3.4383259911894273
2020-09-30,2020-11-02,CLX,415000000,3.28,126346000,1916000000,600000000,1115000000,3113000000,2253000000,860000000,314000000,383000000,8.824972694030677,0.3721973094170404,0.061236535340120996,0.12969696901276156,2.7919282511210763
2020-12-31,2021-02-04,CLX,259000000,2.06,126216000,1842000000,409000000,1184000000,3157000000,2425000000,732000000,164000000,246000000,9.380744121189073,0.21875,0.03778264040846098,0.07754709611513386,2.666385135135135
2021-03-31,2021-04-30,CLX,-61000000,-0.49,124489795,1781000000,17000000,743000000,3162000000,2670000000,492000000,183000000,264000000,5.9683606997665954,-0.08209959623149395,-0.009470579102623815,-0.01054790506885438,4.255720053835801
2021-06-30,2021-08-10,CLX,97000000,0.79,124106000,1802000000,178000000,411000000,3166000000,2847000000,319000000,284000000,383000000,3.311685172352666,0.2360097323600973,0.015314177455004737,0.03798722413677832,7.70316301703163
2021-09-30,2021-11-01,CLX,142000000,1.15,122980000,1806000000,265000000,368000000,3230000000,3020000000,210000000,-11000000,41000000,2.992356480728574,0.3858695652173913,0.02263308893847625,0.047911547911547905,8.777173913043478
2021-12-31,2022-02-03,CLX,69000000,0.56,123064000,1691000000,171000000,313000000,3228000000,3036000000,192000000,124000000,181000000,2.5433920561658976,0.22044728434504793,0.011147011308562197,0.02681590075034435,10.313099041533546
2022-03-31,2022-05-02,CLX,150000000,1.22,123177000,1809000000,278000000,400000000,3243000000,3002000000,241000000,166000000,229000000,3.247359490814032,0.375,0.023726668775703893,0.04937095825984715,8.1075
2022-06-30,2022-08-10,CLX,101000000,0.82,123230000,1801000000,217000000,556000000,3103000000,2920000000,183000000,256000000,335000000,4.51188833887852,0.18165467625899281,0.016401429035401104,0.038500994638763254,5.580935251798561
2022-09-30,2022-11-01,CLX,85000000,0.69,123339000,1740000000,213000000,326000000,3209000000,2931000000,278000000,132000000,178000000,2.6431218025117764,0.2607361963190184,0.01381439947992849,0.031777709548664414,9.843558282208589
2022-12-31,2023-02-02,CLX,99000000,0.8,123546000,1715000000,212000000,321000000,3083000000,2915000000,168000000,167000000,209000000,2.598222524403866,0.308411214953271,0.016377171215880892,0.0370970809166112,9.60436137071651
2023-03-31,2023-05-02,CLX,-209000000,-1.69,123649000,1915000000,-157000000,3000000,3025000000,2783000000,242000000,285000000,341000000,0.024262226140122443,-69.66666666666667,-0.0359229975936748,-0.06766925004028891,1008.3333333333334
2023-06-30,2023-08-10,CLX,176000000,1.42,123823000,2019000000,323000000,220000000,2924000000,2557000000,367000000,346000000,430000000,1.776729686730252,0.8,0.02960470984020185,0.07095353787668142,13.290909090909091
2023-09-30,2023-11-01,CLX,22000000,0.18,123973000,1386000000,114000000,-37000000,3203000000,2685000000,518000000,-4000000,20000000,-0.29845208230824455,-0.5945945945945946,0.003672174929060257,0.016277737264298365,-86.56756756756756
2023-12-31,2024-02-01,CLX,93000000,0.75,124176000,1990000000,222000000,53000000,3129000000,2774000000,355000000,101000000,153000000,0.4268135549542585,1.7547169811320755,0.015741367637102235,0.04045027986433342,59.0377358490566
2024-03-31,2024-04-30,CLX,-51000000,-0.41,124249000,1814000000,42000000,91000000,3020000000,2801000000,219000000,127000000,182000000,0.7324002607666863,-0.5604395604395604,-0.008785529715762274,-0.006586313640255549,33.18681318681319
2024-06-30,2024-08-08,CLX,216000000,1.74,124300000,1903000000,358000000,328000000,2903000000,2701000000,202000000,259000000,340000000,2.6387771520514884,0.6585365853658537,0.03755868544600939,0.078532969176746,8.850609756097562
2024-09-30,2024-10-30,CLX,99000000,0.8,123795000,1762000000,255000000,60000000,2884000000,2606000000,278000000,182000000,221000000,0.48467224039743123,1.65,0.01800982354011279,0.043873256449705654,48.06666666666667
2024-12-31,2025-02-03,CLX,193000000,1.56,123766000,1686000000,315000000,-41000000,3092000000,2802000000,290000000,127000000,180000000,-0.3312703004056041,-4.7073170731707314,0.03460641922180384,0.07678683043048366,-75.41463414634147
2025-03-31,2025-05-05,CLX,186000000,1.51,123367000,1668000000,450000000,27000000,2944000000,2718000000,226000000,233000000,286000000,0.21885917627890766,6.888888888888889,0.03374455732946299,0.0758817033116762,109.03703703703704
2025-06-30,2025-08-08,CLX,332000000,2.7,123173000,1988000000,432000000,321000000,2880000000,2713000000,167000000,219000000,294000000,2.606090620509365,1.0342679127725856,0.05970149253731343,0.1166873000305481,8.97196261682243
