date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,CL,726000000,0.81,900100000,3999000000,1248000000,255000000,6790000000,5345000000,1445000000,706000000,885000000,0.2833018553494056,2.847058823529412,0.0535279805352798,0.1381078691423519,26.627450980392158
2015-12-31,2016-02-18,CL,-458000000,-0.51,896500000,3899000000,80000000,-299000000,6548000000,5578000000,970000000,609000000,841000000,-0.33351924149470163,1.5317725752508362,-0.03830071918381,-0.01747944167507856,-21.899665551839465
2016-03-31,2016-04-28,CL,533000000,0.6,893700000,3762000000,973000000,-370000000,6580000000,5566000000,1014000000,500000000,614000000,-0.4140091753384805,-1.4405405405405405,0.0428181233933162,0.11415630066586473,-17.783783783783782
2016-06-30,2016-07-28,CL,600000000,0.67,893900000,3845000000,1053000000,-281000000,6572000000,5487000000,1085000000,572000000,706000000,-0.3143528358876832,-2.1352313167259784,0.04794246903715541,0.12588471408858198,-23.387900355871885
2016-09-30,2016-10-27,CL,702000000,0.79,891900000,3867000000,1185000000,-133000000,6523000000,5225000000,1298000000,853000000,997000000,-0.14911985648615317,-5.2781954887218046,0.055612770339855816,0.15000585779966025,-49.045112781954884
2016-12-31,2017-02-23,CL,606000000,0.69,887600000,3721000000,1069000000,-243000000,6533000000,5218000000,1315000000,623000000,824000000,-0.2737719693555656,-2.493827160493827,0.049987626825043305,0.12906932951696384,-26.88477366255144
2017-03-31,2017-04-28,CL,570000000,0.64,884700000,3762000000,994000000,-313000000,6473000000,5126000000,1347000000,570000000,691000000,-0.35379224595908215,-1.8210862619808306,0.04579048843187661,0.13033508917987488,-20.680511182108628
2017-06-30,2017-07-21,CL,524000000,0.59,883800000,3826000000,970000000,-242000000,6519000000,5278000000,1241000000,506000000,614000000,-0.2738176057931659,-2.165289256198347,0.04165341812400636,0.11441864654104442,-26.93801652892562
2017-09-30,2017-10-27,CL,607000000,0.69,880700000,3974000000,1055000000,-108000000,6527000000,5147000000,1380000000,837000000,990000000,-0.12262972635403656,-5.62037037037037,0.0475146771037182,0.1328636634252828,-60.43518518518518
2017-12-31,2018-02-15,CL,323000000,0.37,878000000,3892000000,1045000000,-60000000,6577000000,5042000000,1535000000,588000000,759000000,-0.0683371298405467,-5.383333333333334,0.02548122436099716,0.07306929947812124,-109.61666666666666
2018-03-31,2018-04-27,CL,634000000,0.72,875400000,4002000000,1088000000,-249000000,6709000000,5858000000,851000000,498000000,616000000,-0.2844413982179575,-2.5461847389558234,0.0482349360925137,0.1254558420719947,-26.943775100401606
2018-06-30,2018-07-27,CL,637000000,0.73,871700000,3886000000,1052000000,-523000000,6865000000,6032000000,833000000,583000000,681000000,-0.5999770563267179,-1.2179732313575526,0.05035573122529644,0.12735609543106366,-13.126195028680689
2018-09-30,2018-10-26,CL,523000000,0.6,868800000,3845000000,983000000,-430000000,6604000000,5763000000,841000000,792000000,897000000,-0.4949355432780847,-1.216279069767442,0.04160369103492165,0.11000809501813373,-15.35813953488372
2018-12-31,2019-02-21,CL,606000000,0.7,866700000,3811000000,995000000,-102000000,6366000000,5640000000,726000000,747000000,862000000,-0.11768778123918311,-5.9411764705882355,0.04983142833648549,0.12127030551157039,-62.411764705882355
2019-03-31,2019-04-26,CL,560000000,0.65,862000000,3884000000,982000000,-552000000,6661000000,5818000000,843000000,534000000,605000000,-0.6403712296983759,-1.0144927536231885,0.04346813630365598,0.11953741539765088,-12.067028985507246
2019-06-30,2019-07-26,CL,586000000,0.68,859400000,3866000000,989000000,-347000000,6645000000,5782000000,863000000,569000000,644000000,-0.4037700721433558,-1.6887608069164266,0.044559349098927836,0.11895761350590933,-19.14985590778098
