date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,CMS,148000000,0.53,276000000,1486000000,497000000,3902000000,8823000000,8673000000,150000000,-303000000,158000000,14.13768115942029,0.037929267042542285,0.0076084721365412295,0.017099911740320408,2.261148129164531
2015-12-31,2016-02-11,CMS,106000000,0.39,276000000,1509000000,444000000,3938000000,9473000000,9207000000,266000000,-271000000,220000000,14.268115942028986,0.02691721686135094,0.005211406096361848,0.01257553360377002,2.405535804977146
2016-03-31,2016-04-28,CMS,164000000,0.59,276700000,1801000000,582000000,4109000000,9234000000,9057000000,177000000,197000000,632000000,14.850018070112034,0.03991238744220005,0.008184858012676549,0.018004102750016914,2.2472621075687513
2016-06-30,2016-07-28,CMS,124000000,0.45,278200000,1371000000,467000000,4156000000,9514000000,9129000000,385000000,37000000,469000000,14.938892882818116,0.029836381135707413,0.0060597175389727805,0.014962024223054473,2.2892204042348414
2016-09-30,2016-10-27,CMS,186000000,0.67,278200000,1587000000,574000000,4259000000,9912000000,9573000000,339000000,-311000000,140000000,15.309130122214235,0.04367222352664945,0.008924287496401498,0.018711060432356555,2.32730687954919
2016-12-31,2017-02-07,CMS,77000000,0.28,278000000,1640000000,449000000,4253000000,10034000000,9799000000,235000000,-73000000,388000000,15.298561151079136,0.018104867152598167,0.003561187679215614,0.010519682653370431,2.3592758053138962
2017-03-31,2017-05-01,CMS,199000000,0.71,278900000,1829000000,664000000,4370000000,10045000000,9612000000,433000000,267000000,646000000,15.668698458228755,0.04553775743707094,0.009203163298339732,0.01939491210248528,2.2986270022883297
2017-06-30,2017-07-28,CMS,92000000,0.33,279500000,1449000000,447000000,4449000000,10030000000,9612000000,418000000,52000000,473000000,15.917710196779964,0.02067880422566869,0.0042072529382174055,0.011810783626443966,2.2544391998201845
2017-09-30,2017-10-26,CMS,172000000,0.61,280800000,1527000000,533000000,4535000000,10331000000,10189000000,142000000,-406000000,80000000,16.150284900284902,0.03792723263506064,0.007775768535262206,0.017343872523723262,2.2780595369349506
2017-12-31,2018-02-14,CMS,-3000000,-0.0107,280800000,1778000000,561000000,4441000000,10487000000,10305000000,182000000,12000000,506000000,15.815527065527066,-0.0006755235307363207,-0.0001301518438177874,-0.00020283405608239254,2.3614050889439318
2018-03-31,2018-04-26,CMS,241000000,0.86,281500000,1953000000,671000000,4596000000,10368000000,10173000000,195000000,257000000,708000000,16.32682060390764,0.05243690165361184,0.010538744096554137,0.022763849160825227,2.255874673629243
2018-06-30,2018-07-26,CMS,139000000,0.49,282100000,1492000000,481000000,4672000000,10569000000,10092000000,477000000,231000000,708000000,16.561503013115917,0.029751712328767124,0.005962594371997255,0.01591914813264041,2.2622003424657535
2018-09-30,2018-10-25,CMS,169000000,0.6,282500000,1599000000,522000000,4749000000,11194000000,10871000000,323000000,-597000000,149000000,16.81061946902655,0.0355864392503685,0.007067285576882867,0.016925495366438052,2.357127816382396
2018-12-31,2019-02-05,CMS,108000000,0.38,282600000,1829000000,491000000,4755000000,11777000000,11624000000,153000000,-408000000,138000000,16.825902335456476,0.022712933753943218,0.004402951608300379,0.013045644006020098,2.4767613038906413
2019-03-31,2019-04-25,CMS,213000000,0.75,282800000,2059000000,680000000,4858000000,12122000000,11888000000,234000000,109000000,617000000,17.178217821782177,0.0438452037875669,0.00859113459444198,0.01861621440563607,2.4952655413750513
2019-06-30,2019-07-25,CMS,93000000,0.33,282900000,1445000000,461000000,4851000000,12450000000,12138000000,312000000,56000000,568000000,17.147401908801697,0.0191713048855906,0.003677052032263166,0.011891079160612697,2.5664811379097094
2019-09-30,2019-10-24,CMS,207000000,0.73,283000000,1546000000,597000000,4957000000,13243000000,12840000000,403000000,-443000000,210000000,17.51590106007067,0.04175912850514424,0.007958783498019916,0.01784380879138287,2.671575549727658
