date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-27,CNC,93000000,0.39,238243048,5821000000,220000000,2051000000,1281000000,-384000000,1665000000,19000000,62000000,8.608855608663973,0.045343734763529986,0.012701447691887462,0.05919816036792641,0.6245733788395904
2015-12-31,2016-02-22,CNC,111000000,0.47,238972366,6302000000,257000000,2157000000,1221000000,-539000000,1760000000,152000000,201000000,9.026148236737967,0.05146036161335188,0.015124676386428669,0.07273017265441205,0.5660639777468707
2016-03-31,2016-04-26,CNC,-16000000,-0.065,251086152,6953000000,70000000,5297000000,4280000000,844000000,3436000000,150000000,195000000,21.096344652253062,-0.0030205776854823484,-0.0008578168561012224,-0.039895782445855725,0.8080045308665282
2016-06-30,2016-07-26,CNC,170000000,0.5,341118000,10897000000,485000000,5529000000,4494000000,1784000000,2710000000,-469000000,-420000000,16.20846745114594,0.030746970519081207,0.008719737382027082,0.026632285623123853,0.812805208898535
2016-09-30,2016-10-25,CNC,147000000,0.43,341549174,10846000000,453000000,5710000000,4589000000,1607000000,2982000000,363000000,480000000,16.717944104880196,0.02574430823117338,0.007487012325557706,0.024013604915923376,0.803677758318739
2016-12-31,2017-02-21,CNC,265000000,0.77,342287248,11911000000,644000000,5895000000,4655000000,725000000,3930000000,1501000000,1596000000,17.222376920100746,0.04495335029686175,0.013120760508986484,0.04488765105740181,0.7896522476675149
2017-03-31,2017-04-25,CNC,139000000,0.41,344148000,11724000000,367000000,6070000000,4647000000,-192000000,4839000000,1165000000,1248000000,17.63776049839023,0.022899505766062603,0.0065068813781481135,0.02881419921975138,0.7655683690280066
2017-06-30,2017-07-25,CNC,254000000,0.74,344714000,11954000000,570000000,6378000000,4720000000,295000000,4425000000,-404000000,-306000000,18.50229465585964,0.03982439636249608,0.01163003663003663,0.04332558653602118,0.740043900909376
2017-09-30,2017-10-24,CNC,205000000,0.6,345016000,11898000000,482000000,6640000000,4721000000,440000000,4281000000,-23000000,97000000,19.245484267396293,0.030873493975903613,0.009318181818181817,0.034050379536237914,0.7109939759036145
2017-12-31,2018-02-20,CNC,230000000,0.67,345864662,12806000000,331000000,6850000000,4699000000,627000000,4072000000,329000000,450000000,19.805434762803262,0.033576642335766425,0.01052390757263784,0.0415416802002331,0.685985401459854
2018-03-31,2018-04-24,CNC,340000000,0.98,348717949,13194000000,685000000,7503000000,5176000000,-492000000,5668000000,1628000000,1846000000,21.515955864950328,0.045315207250433163,0.013508144616607072,0.05460035927947256,0.6898573903771824
2018-06-30,2018-07-24,CNC,300000000,0.77,391037000,14181000000,665000000,10610000000,6279000000,-428000000,6707000000,-670000000,-526000000,27.132982300907585,0.02827521206409048,0.010437323870159691,0.03432175751533068,0.5918001885014138
