date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,CNP,-391000000,-0.91,429670329,1630000000,-254000000,4058000000,8649000000,8422000000,227000000,-23000000,396000000,9.444450142611545,-0.09635288319369148,-0.017953898429607863,-0.025754845548152636,2.1313454903893545
2015-12-31,2016-02-26,CNP,-509000000,-1.18,430262000,1791000000,-461000000,3461000000,8814000000,8550000000,264000000,-106000000,347000000,8.04393602037828,-0.14706732158335742,-0.023858629417830693,-0.03662728480962541,2.5466628142155447
2016-03-31,2016-05-10,CNP,154000000,0.36,430000000,1984000000,611000000,3506000000,8478000000,8260000000,218000000,302000000,634000000,8.153488372093022,0.04392470051340559,0.00733193677394782,0.01914201937786843,2.4181403308613807
2016-06-30,2016-08-05,CNP,-2000000,-0.01,431000000,1574000000,406000000,3397000000,8560000000,8289000000,271000000,74000000,424000000,7.8816705336426915,-0.0005887547836326171,-9.518370454978108e-05,-0.0025029950367961664,2.5198704739476008
2016-09-30,2016-11-04,CNP,179000000,0.42,431000000,1889000000,706000000,3472000000,8551000000,8281000000,270000000,29000000,394000000,8.055684454756381,0.051555299539170506,0.008409283096871183,0.021079416047953218,2.462845622119816
2016-12-31,2017-02-28,CNP,101000000,0.23,430682000,2081000000,518000000,3460000000,8592000000,8251000000,341000000,109000000,476000000,8.033769695506198,0.029190751445086704,0.004626872509047597,0.01410776615000564,2.483236994219653
2017-03-31,2017-05-05,CNP,192000000,0.45,431000000,2735000000,623000000,3537000000,8679000000,8425000000,254000000,7000000,319000000,8.206496519721577,0.0542832909245123,0.008754730746431991,0.02131163399818489,2.4537743850720948
2017-06-30,2017-08-03,CNP,135000000,0.31,431000000,2143000000,562000000,3563000000,8701000000,8453000000,248000000,24000000,361000000,8.266821345707656,0.037889419028908224,0.00612383760489907,0.01639993436870902,2.4420432220039294
2017-09-30,2017-11-03,CNP,169000000,0.39,431000000,2098000000,634000000,3618000000,8681000000,8480000000,201000000,6000000,351000000,8.394431554524362,0.046710889994472087,0.007634967246442286,0.01909654178763568,2.3993919292426753
2017-12-31,2018-02-22,CNP,1296000000,3.01,431038000,2638000000,670000000,4688000000,8840000000,8580000000,260000000,-42000000,390000000,10.87607125125859,0.2764505119453925,0.05700211118930331,0.13080738977633763,1.8856655290102389
