date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-23,COR,9004000,1.72,212155000,35470378000,577350000,616386000,3493048000,1325606000,2167442000,1085618000,1160114000,2.905356932431477,0.014607729572053875,0.00032199713177943613,0.2597244228115186,5.666981404509512
2015-12-31,2016-02-12,COR,11427000,1.6,206180000,36709046000,-87948000,1300019000,4501729000,3523639000,978090000,660738000,750848000,6.305262392084586,0.00878987153264683,0.0003715396529084171,-0.036689064492974904,3.4628178511237144
2016-03-31,2016-04-29,COR,13345000,2.9,207858000,35698357000,1051043000,2191162000,4488139000,1962852000,2525287000,789836000,879738000,10.541629381597051,0.006090375791475026,0.00041067407941842765,0.2291253271231564,2.0482917283158435
2016-06-30,2016-07-29,COR,14120000,1.62,215688000,36881680000,632795000,1879317000,4407216000,2542014000,1865202000,61206000,191372000,8.713127294981641,0.007513367888440321,0.00044243568616056476,0.12013543193381926,2.345115805369717
2016-09-30,2016-10-28,COR,145685000,0.66,225758313,37560603000,333785000,2129404000,4186703000,1444871000,2741832000,1202101000,1356539000,9.432228526619085,0.06841585720699313,0.004331029228360335,0.048527228803002656,1.96613841243841
2016-12-31,2017-02-10,COR,247246000,1.13,218661000,38169265000,504531000,2116557000,4135333000,2344199000,1791134000,-567637000,-430355000,9.679627368392168,0.11681518617263792,0.007289248424907233,0.06122500632471626,1.953801858395498
2017-03-31,2017-04-28,COR,411473000,1.89,217650000,37147402000,734722000,2529292000,4094061000,1689628000,2404433000,673321000,798739000,11.620914311968757,0.16268307494745565,0.011962463135970557,0.1037622307129072,1.6186588974305853
2017-06-30,2017-07-28,COR,50352000,0.23,218676000,38707144000,269911000,2553514000,3433193000,2121726000,1311467000,-353428000,-244700000,11.677157072563976,0.019718709198383092,0.0014529920202597045,0.013759022590499633,1.3444974259001516
2017-09-30,2017-10-27,COR,-294587000,-1.35,218501000,39120015000,24485000,2064461000,3442055000,1006940000,2435115000,1285485000,1380454000,9.448290854504098,-0.1426943885110932,-0.008341348951353291,-0.06738311556975304,1.6672899124759442
2017-12-31,2018-02-09,COR,861853000,3.95,218323000,40466332000,506107000,2874582000,4286818000,1249071000,3037747000,-63315000,10326000,13.166647581793947,0.2998185475314324,0.023702343494535844,0.23076476017979766,1.4912839501534485
2018-03-31,2018-04-27,COR,287455000,1.31,219200000,41033858000,530703999,3187550000,4530395000,2439036000,2091359000,-182743000,-87568000,14.541742700729927,0.09018054618751078,0.007486639400441695,0.0570846921243961,1.4212780975984691
