date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-08-30,2015-10-14,COST,767000000,1.75,438835000,35778000000,1547000000,10617000000,6135000000,1334000000,4801000000,223000000,1028000000,24.19360351840669,0.07224262974474899,0.023230457037283825,0.0673517207953237,0.5778468493924838
2015-11-22,2015-12-18,COST,480000000,1.1,438342000,27220000000,1066000000,10848000000,6126000000,1072000000,5054000000,96000000,811000000,24.74779966327662,0.04424778761061947,0.01353981552001354,0.04262504624002537,0.5647123893805309
2016-02-14,2016-03-09,COST,546000000,1.24,439648000,28170000000,1157000000,11000000000,4975000000,1342000000,3633000000,167000000,791000000,25.02001601281025,0.04963636363636364,0.016858095590959615,0.0466259753967919,0.45227272727272727
2016-05-08,2016-06-01,COST,545000000,1.24,438815000,26769000000,1156000000,11505000000,5114000000,230000000,4884000000,1398000000,1859000000,26.218338023996445,0.04737070838765754,0.016089510819827,0.04846395832110811,0.44450239026510213
2016-08-28,2016-10-21,COST,779000000,1.78,437809000,36560000000,1628000000,12079000000,5161000000,1782000000,3379000000,-1018000000,-169000000,27.58965667677001,0.06449209371636724,0.023490034074118746,0.05850392804670492,0.42727046940971936
2016-11-20,2016-12-16,COST,545000000,1.24,438007000,28099000000,1172000000,11973000000,5092000000,287000000,4805000000,2126000000,2793000000,27.335179574755653,0.04551908460703249,0.01491842767984233,0.046820948017539596,0.42529023636515495
2017-02-12,2017-03-09,COST,515000000,1.17,439127000,29766000000,1152000000,12440000000,5072000000,328000000,4744000000,-23000000,493000000,28.328934454041768,0.04139871382636656,0.014454111703620544,0.042368746340511354,0.4077170418006431
2017-05-07,2017-06-01,COST,700000000,1.59,438817000,28860000000,1306000000,9898000000,3979000000,-559000000,4538000000,1066000000,1606000000,22.556099695317183,0.07072135785007072,0.019645814038337404,0.07724207415889797,0.40200040412204485
2017-09-03,2017-10-18,COST,919000000,2.1,437798000,42300000000,1913000000,10778000000,6659000000,2113000000,4546000000,1055000000,1834000000,24.618659747189344,0.08526628316941919,0.025284067460863344,0.0749988697447985,0.6178326220077937
2017-11-26,2017-12-21,COST,640000000,1.46,437965000,31809000000,1308000000,11078000000,6478000000,789000000,5689000000,1186000000,2006000000,25.294258673638303,0.0577721610398989,0.016252729950733912,0.05702654203749678,0.5847625925257267
2018-02-18,2018-03-15,COST,701000000,1.6,439022000,32995000000,1367000000,11754000000,6505000000,1724000000,4781000000,-399000000,109000000,26.77314576490472,0.059639271737280924,0.018112291036870527,0.054886153590540616,0.5534286200442402
2018-05-13,2018-06-07,COST,750000000,1.71,438740000,32361000000,1435000000,12143000000,6492000000,615000000,5877000000,1520000000,2105000000,27.676984090805487,0.06176397924730297,0.01893700290367378,0.06179063567737802,0.5346290043646545
2018-09-02,2018-10-26,COST,1043000000,2.38,438332000,44411000000,1928000000,12799000000,6577000000,522000000,6055000000,498000000,1554000000,29.199328362976008,0.08149074146417688,0.025544942444281165,0.08166669075727345,0.5138682709586686
2018-11-25,2018-12-20,COST,767000000,1.75,439157000,35069000000,1280000000,13167000000,6480000000,-298000000,6778000000,1447000000,2177000000,29.982443636330515,0.0582516898306372,0.017505820057515862,0.06270235275002774,0.49213943950786054
2019-02-17,2019-03-13,COST,889000000,2.02,440284000,35396000000,1601000000,13858000000,6492000000,412000000,6080000000,-806000000,-219000000,31.475138774064014,0.06415067109250974,0.020771513353115726,0.06490631876133707,0.46846586809063356
2019-05-12,2019-06-06,COST,906000000,2.06,439859000,34740000000,1494000000,14486000000,6498000000,-515000000,7013000000,1433000000,2105000000,32.933280892285936,0.06254314510561922,0.020707624794295117,0.06760779691656162,0.4485710341018915
2019-09-01,2019-10-11,COST,1097000000,2.49,439719000,47498000000,2010000000,15243000000,6823000000,-1561000000,8384000000,1284000000,2293000000,34.66532035231591,0.07196746047366004,0.024162995594713656,0.08357539484569655,0.44761529882569046
2019-11-24,2019-12-23,COST,844000000,1.91,441818000,37040000000,1465000000,15861000000,9249000000,222000000,9027000000,1387000000,2102000000,35.899397489463986,0.05321228169724482,0.016410336178569344,0.05513553450925121,0.5831284282201626
2020-02-16,2020-03-12,COST,931000000,2.1,442021000,39072000000,1700000000,16614000000,8045000000,259000000,7786000000,74000000,619000000,37.58644951257972,0.056037077163837726,0.019084908367840596,0.05761949755836371,0.4842301673287589
2020-05-10,2020-06-04,COST,838000000,1.9,442322000,37266000000,1582000000,16802000000,11630000000,804000000,10826000000,1200000000,1898000000,37.98590167344152,0.04987501487918105,0.016198871104925384,0.04993216863359234,0.6921795024401857
2020-08-30,2020-10-07,COST,1389000000,3.14,443026000,53383000000,2429000000,18284000000,10167000000,-2110000000,12277000000,3390000000,4242000000,41.270715488481486,0.07596805950557865,0.025001799985600114,0.08936046815123096,0.5560599431196674
2020-11-22,2020-12-16,COST,1166000000,2.63,442952000,43208000000,1863000000,14860000000,10199000000,-3391000000,13590000000,1754000000,2647000000,33.54765301883725,0.0784656796769852,0.01936330272182274,0.10580137025834492,0.6863391655450874
2021-02-14,2021-03-10,COST,951000000,2.15,443134000,44769000000,1775000000,15652000000,10268000000,1631000000,8637000000,-535000000,38000000,35.32114439424644,0.06075900843342704,0.01731672675625478,0.05788616272736114,0.6560184002044467
2021-05-09,2021-06-03,COST,1220000000,2.75,443043000,45277000000,2157000000,16482000000,10228000000,2000000,10226000000,2305000000,3333000000,37.20180659665089,0.07402014318650649,0.021301113943499667,0.07661313449956984,0.6205557577963839
2021-08-29,2021-10-06,COST,1670000000,3.77,443227000,62675000000,2999000000,17564000000,10133000000,-1125000000,11258000000,1846000000,2940000000,39.62754976569568,0.09508084718742883,0.028177093878652897,0.10538655546772402,0.5769186973354589
2021-11-21,2021-12-22,COST,1324000000,2.99,443377000,50363000000,2239000000,18463000000,10115000000,-2636000000,12751000000,2203000000,3258000000,41.64176310453632,0.07171098954666089,0.020639448783301376,0.08693553141216766,0.547852461680117
2022-02-13,2022-03-10,COST,1299000000,2.93,443623000,51904000000,2346000000,19418000000,9246000000,-2573000000,11819000000,-322000000,401000000,43.77140049095741,0.06689669378926769,0.020593550841814894,0.07992789204374932,0.4761561437841178
2022-05-08,2022-06-02,COST,1353000000,3.05,443700000,52596000000,2395000000,19968000000,9036000000,-2157000000,11193000000,373000000,1227000000,45.00338066260987,0.06775841346153846,0.02118962601014847,0.07850673880771515,0.45252403846153844
2022-08-28,2022-10-05,COST,1868000000,4.21,443839000,72091000000,3158000000,20642000000,9039000000,-1164000000,10203000000,1247000000,2506000000,46.50785532591773,0.09049510706326906,0.02911199077393012,0.0982558937718001,0.43789361495979073
2022-11-20,2022-12-29,COST,1364000000,3.07,443837000,54437000000,2251000000,21471000000,9046000000,-1810000000,10856000000,1553000000,2610000000,48.37586771720249,0.0635275487867356,0.020658215578475473,0.0707085667027874,0.42131246798006616
2023-02-12,2023-03-09,COST,1466000000,3.3,443877000,55266000000,2487000000,22794000000,9139000000,-3831000000,12970000000,2302000000,3192000000,51.35206374738948,0.06431517065894533,0.021930349449497368,0.0786339531219181,0.40093884355532156
2023-05-07,2023-06-01,COST,1302000000,2.93,443814000,53648000000,2363000000,23568000000,9004000000,-3489000000,12493000000,721000000,1541000000,53.103327069448014,0.05524439918533605,0.01950503355704698,0.06616198033577644,0.38204344874405977
2023-09-03,2023-10-11,COST,2160000000,4.87,443876000,78939000000,3819000000,25058000000,8884000000,-4816000000,13700000000,2169000000,3725000000,56.45270300714614,0.08620001596296592,0.031307070180015655,0.10872559478837955,0.354537473062495
2023-11-26,2023-12-20,COST,1589000000,3.58,443827000,57799000000,2645000000,26147000000,9347000000,-7664000000,17011000000,3611000000,4651000000,58.912594321661366,0.06077179026274525,0.021553653540957368,0.08752212384378878,0.3574788694687727
2024-02-18,2024-03-13,COST,1743000000,3.93,443892000,58442000000,2792000000,20760000000,9433000000,338000000,9095000000,-300000000,731000000,46.7681327890568,0.08395953757225434,0.02628047585302233,0.08412863350556886,0.454383429672447
2024-05-12,2024-06-06,COST,1681000000,3.79,443892000,58515000000,2841000000,21771000000,9297000000,-1107000000,10404000000,1937000000,2999000000,49.045713822281094,0.07721280602636535,0.024752985525172654,0.08280950296055374,0.427035965274907
2024-09-01,2024-10-09,COST,2354000000,5.3,444013000,79697000000,3868000000,23622000000,8272000000,-1634000000,9906000000,1381000000,2958000000,53.201145011519934,0.09965286597239861,0.03370995689593447,0.10874354209266732,0.35018203369740075
2024-11-24,2024-12-19,COST,1798000000,4.05,444013000,62151000000,2744000000,24451000000,8033000000,-2874000000,10907000000,1996000000,3260000000,55.06820746239412,0.07353482475154391,0.02450058594282288,0.07935451810356191,0.32853462026093
2025-02-16,2025-03-13,COST,1788000000,4.03,443982000,63723000000,1801000000,25577000000,8039000000,-4317000000,12356000000,1611000000,2748000000,57.60819132307166,0.06990655667201001,0.02441822353326778,0.0815667450999889,0.3143058216366267
2025-05-11,2025-06-05,COST,1903000000,4.29,443958000,63205000000,3167000000,27125000000,8180000000,-5656000000,13836000000,2329000000,3460000000,61.09812189441344,0.07015668202764977,0.025211308656368406,0.08984190653839808,0.30156682027649767
