date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-09-30,CPAY,116770000,1.24,94157000,451493000,231046000,2962571000,3088288000,2665898000,422390000,312748000,326040000,31.46416092271419,0.03941508912360244,0.014093919795856023,0.02289965172798387,1.0424351011334412
2015-12-31,2015-12-31,CPAY,52830000,0.56,94139575,430601000,150247000,2830047000,2935000000,2487848000,447152000,217783000,230132000,30.062245341558,0.018667534496776907,0.006695982131880049,0.01184932480566905,1.0370852498209393
2016-03-31,2016-03-31,CPAY,111090000,1.17,94948717,414262000,209431000,2987769000,2775033000,2375715000,399318000,110884000,122623000,31.46718664982066,0.037181589339738114,0.013865746028061005,0.022849484892172516,0.928797708256562
2016-06-30,2016-06-30,CPAY,116253000,1.22,95279000,417905000,226684000,3082705000,2832076000,2338991000,493085000,76401000,89419000,32.35450623957011,0.03771136063943842,0.014059391140671553,0.023542182888825865,0.91869835096125
2016-09-30,2016-09-30,CPAY,129618000,1.36,95307000,484426000,245102000,3178521000,3936120000,3530685000,405435000,175124000,192244000,33.35034152790456,0.04077934360037263,0.013071530267987649,0.02134144667608172,1.2383495342645212
2016-12-31,2016-12-31,CPAY,95424000,1.0,95235000,514953000,236854000,3084038000,3858233000,3383215000,475018000,284492000,301626000,32.38345146217252,0.030941252993640155,0.009912398101453328,0.01686942167262716,1.251032899075822
2017-03-31,2017-03-31,CPAY,123693000,1.31,94422137,520433000,255361000,3341812000,3868337000,3321777000,546560000,58702000,73498000,35.39225128954664,0.03701375182086844,0.012356999842356917,0.02112749827112029,1.157556738679495
2017-06-30,2017-06-30,CPAY,130987000,1.39,94223000,541237000,278949000,3405500000,3838065000,3273487000,564578000,116441000,134245000,36.142979951816436,0.03846336808104537,0.012966813245795688,0.02206867730482784,1.1270195272353545
2017-09-30,2017-09-30,CPAY,202823000,2.18,93001000,577877000,426002000,3430418000,4536483000,3701727000,834756000,206993000,223852000,36.88581843205987,0.05912486466663829,0.017900947671790336,0.030985885707719988,1.3224286369766016
2017-12-31,2017-12-31,CPAY,282697000,3.05,92548839,609991000,304984000,3676522000,4518616000,3605021000,913595000,227829000,248463000,39.72520930273366,0.07689250873515785,0.024976853976799995,0.0211199797026059,1.2290463650156316
2018-03-31,2018-03-31,CPAY,174937000,1.88,93051595,585500000,331886000,3888052000,4489445000,3509872000,979573000,185488000,200702000,41.783829712967304,0.044993482597454976,0.014961515813816847,0.026850109683670968,1.1546772008193307
2018-06-30,2018-06-30,CPAY,176852000,1.91,92592670,584985000,332935000,3439085000,4748001000,3828339000,919662000,54987000,74387000,37.14208694921531,0.05142414334045248,0.015398341490690618,0.02782446684248898,1.3806000724029792
2018-09-30,2018-09-30,CPAY,157694000,1.71,92081000,619586000,340907000,3562248000,4472926000,3548484000,924442000,258593000,280291000,38.68602643324899,0.04426811384271954,0.013771331311365317,0.025544211362532473,1.2556469959418883
2018-12-31,2018-12-31,CPAY,302000000,3.33,90655054,643422000,502500000,3340180000,4819047000,3787902000,1031145000,322927000,348002000,36.84493972062495,0.0904142890502907,0.02695832359218412,0.04644442299073726,1.4427506900825704
2019-03-31,2019-03-31,CPAY,172107000,1.93,89174611,621825000,335741000,3530967000,4515569000,3458104000,1057465000,282988000,297494000,39.59610207887534,0.04874217176201307,0.014946441202562069,0.028820465138464518,1.278847692430997
