date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-11-24,CPRT,52413000,0.055,961240000,288838000,99046000,1016545000,626723000,153807000,472916000,56427000,76594000,1.0575350588822772,0.05155994077979824,0.02824335421960982,0.04724116467581152,0.6165226330364125
2016-01-31,2016-02-25,CPRT,58963000,0.0625,938448000,299706000,108854000,731400000,675672000,534256000,141416000,-51110000,6486000,0.7793718991355941,0.08061662564943943,0.036751634915767245,0.04685812925965668,0.9238063986874487
2016-04-30,2016-05-26,CPRT,74016000,0.085,884352000,347246000,134876000,716527000,700876000,563223000,137653000,58348000,124418000,0.810228280141844,0.10329827068624071,0.04557256631991799,0.06050563313340157,0.9781571385307183
2016-07-31,2016-09-28,CPRT,84122000,0.0963,876624000,332659000,126338000,774456000,640492000,484643000,155849000,94916000,125000000,0.88345288287795,0.1086207608953898,0.050988592694960665,0.06761434157348181,0.8270218062743396
2016-10-31,2016-11-30,CPRT,167280000,0.19,901744000,345991000,123202000,807407000,744181000,575760000,168421000,36084000,74293000,0.8953838339927962,0.20718175591739976,0.094487335036907,0.12364092024170159,0.9216925292943955
2017-01-31,2017-02-28,CPRT,66066000,0.0725,916568000,349532000,121458000,895703000,712077000,537125000,174952000,27032000,81235000,0.9772357315551056,0.07375882407449791,0.03588123445002583,0.05015362478767981,0.7949923133002792
2017-04-30,2017-05-25,CPRT,90546000,0.0975,919680000,373862000,150165000,1006329000,566906000,377285000,189621000,160001000,192299000,1.0942164665970773,0.08997653848791001,0.04997885947123287,0.068287212320717,0.563340617233529
2017-07-31,2017-09-28,CPRT,70335000,0.0775,921144000,378596000,126054000,1098066000,633038000,422938000,210100000,96763000,144231000,1.1920676897423204,0.06405352683718465,0.035477914008618404,0.048790333111888094,0.5765026874523025
2017-10-31,2017-11-28,CPRT,77515000,0.085,922776000,419168000,135625000,1188331000,583854000,359608000,224246000,51999000,93360000,1.287778399091437,0.06523014210687089,0.03757993280553845,0.05256169262199837,0.49132270385944654
2018-01-31,2018-02-27,CPRT,103256000,0.11,925912000,459106000,168067000,1331168000,512497000,317197000,195300000,23612000,93033000,1.4376830627532637,0.07756797038390346,0.04817076043798556,0.06516704700653607,0.38499798673045027
2018-04-30,2018-05-25,CPRT,127348000,0.14,928040000,478198000,192205000,1460131000,400065000,195790000,204275000,113104000,190804000,1.5733492090858152,0.08721683191439672,0.05881600393128927,0.07846825747890165,0.273992539025608
2018-07-31,2018-10-01,CPRT,109748000,0.12,931980000,449223000,165580000,1581099000,399898000,125378000,274520000,49657000,157872000,1.6964945599690981,0.06941247828251108,0.047557349358538246,0.06653677498479096,0.25292407369810493
2018-10-31,2018-11-29,CPRT,114083000,0.12,935552000,461368000,175306000,1671760000,399641000,79332000,320309000,45347000,107683000,1.7869236557668629,0.0682412547255587,0.04789804970047712,0.06718618779939507,0.23905405082069198
2019-01-31,2019-02-28,CPRT,131373000,0.14,923192000,484898000,190598000,1459953000,492862000,384688000,108174000,33130000,107521000,1.5814185998145565,0.08998440360751339,0.057195661117895605,0.0734779143104129,0.3375875798741466
