date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,CPT,37044000,0.41,89164000,212593000,118795000,2892096000,2715207000,2704832000,10375000,24554000,123031000,32.435691534700105,0.01280870344552878,0.006139325091881056,0.01011484136715729,0.9388370925446459
2015-12-31,2016-02-19,CPT,60593000,0.67,89175000,229658000,123650000,2895921000,2724687000,2714070000,10617000,16409000,105585000,32.474583683767875,0.020923568011696453,0.010035921486839499,0.010967997033416357,0.940870624578502
2016-03-31,2016-04-29,CPT,41730000,0.46,89344000,221081000,124060000,2876709000,2765817000,2758882000,6935000,23445000,96510000,32.198121866045845,0.014506159642841873,0.006908419978296337,0.010905283582949857,0.9614517839656357
2016-06-30,2016-07-29,CPT,446302000,4.98,89559000,221478000,158034000,3266929000,2480800000,2139074000,341726000,40143000,125556000,36.47795308120904,0.13661209043722713,0.07199030111264278,0.01756074016157539,0.7593675895619403
2016-09-30,2016-10-28,CPT,290898000,3.24,89669000,220235000,389729000,3112269000,2480626000,2166884000,313742000,31254000,135445000,34.70841650960756,0.09346814173196469,0.04778000482566584,0.06184071932623761,0.7970474274556602
2016-12-31,2017-02-13,CPT,40893000,0.45,89745000,217139000,128469000,3091910000,2480588000,2243224000,237364000,5269000,85552000,34.45217003732798,0.013225805408307487,0.006783671015594829,0.012195274940806194,0.8022833782354596
2017-03-31,2017-05-05,CPT,34861000,0.39,89925000,219521000,123150000,3067025000,2450295000,2204766000,245529000,10202000,72985000,34.10647762023909,0.011366389253429627,0.005873457082367229,0.011124957015951313,0.7989158875457487
2017-06-30,2017-07-28,CPT,39188000,0.43,90105000,223370000,127338000,3045198000,2303900000,2287582000,16318000,45217000,130462000,33.796104544697855,0.012868785543665797,0.006758183009691995,0.011676158893366493,0.7565682100145869
2017-09-30,2017-10-27,CPT,34384000,0.38,91011000,228178000,124211000,3459922000,2204251000,1853977000,350274000,58635000,130424000,38.01652547494259,0.009937796285581004,0.005573769694572529,0.010610521144068814,0.6370811249502156
2017-12-31,2018-02-16,CPT,87989000,0.92,94905000,229827000,178109000,3482593000,2204598000,1836106000,368492000,21516000,100785000,36.695569253463994,0.025265369797734045,0.014252120429923605,0.02061596788929307,0.6330334897014954
2018-03-31,2018-05-04,CPT,39130000,0.41,95067000,230683000,131511000,3459552000,2204940000,2103539000,101401000,15326000,87154000,36.390671841964085,0.011310713063425553,0.006385053133987395,0.010912239686876374,0.6373484196797735
2018-06-30,2018-08-03,CPT,38389000,0.4,95337000,237133000,136428000,3435836000,2205288000,2141217000,64071000,38411000,144129000,36.03885165255882,0.01117311769246262,0.006260533021869546,0.010809375329160755,0.6418490288826358
2018-09-30,2018-10-26,CPT,38582000,0.41,95257000,241770000,138031000,3400876000,2259609000,2251080000,8529000,49873000,144667000,35.70211113094051,0.01134472412401981,0.006224409131241429,0.010801782893728252,0.6644196965722949
2018-12-31,2019-02-15,CPT,39196000,0.41,95262000,244919000,141357000,3364097000,2321603000,2287225000,34378000,40907000,127797000,35.31415464718356,0.011651269270773108,0.006302027176728483,0.011002224990388075,0.6901117892855051
2019-03-31,2019-05-03,CPT,38529000,0.4,96892000,248567000,140633000,3652828000,2124819000,2118727000,6092000,13153000,92651000,37.699995871692195,0.01054771809677324,0.006129925983955819,0.010413967597684533,0.5816915003936676
2019-06-30,2019-07-26,CPT,42282000,0.43,98903000,255761000,147765000,3615623000,2476803000,2327252000,149551000,-1206000,126020000,36.55726317705226,0.011694250202523881,0.006385463819782584,0.010565628613076028,0.6850280020898196
2019-09-30,2019-11-01,CPT,43508000,0.44,98959000,260672000,151628000,3584878000,2477387000,2320148000,157239000,95827000,189764000,36.225891530836,0.01213653574821793,0.006543888785776834,0.011068061586907952,0.6910659163296492
2019-12-31,2020-02-20,CPT,94759000,0.96,99055000,263461000,202313000,3628685000,2524099000,2500915000,23184000,40265000,147162000,36.63303215385392,0.0261138676958733,0.014041482378909459,0.018975735494712685,0.6955960630366097
2020-03-31,2020-05-08,CPT,43185000,0.43,99298000,265879000,156500000,3598553000,2606876000,2584599000,22277000,1030000,110584000,36.239934339060206,0.012000656930716318,0.0064305784914757795,0.010345724112493945,0.7244234001833515
2020-06-30,2020-07-31,CPT,16442000,0.17,99399000,250683000,134190000,3538212000,3224871000,2623287000,601584000,49546000,139590000,35.59605227416775,0.00464697988701638,0.0022456533318764766,0.0065692257626023005,0.9114408633513198
2020-09-30,2020-10-30,CPT,34883000,0.35,99419000,265721000,151675000,3494063000,3225799000,2636185000,589614000,68299000,163110000,35.14482141240608,0.00998350630769966,0.004762364392482828,0.009800561035891914,0.9232229069710535
2020-12-31,2021-02-18,CPT,29136000,0.29,99422000,261554000,146874000,3444905000,3166625000,2746184000,420441000,-26803000,106035000,34.64932308744543,0.008457707832291456,0.004047255767228341,0.008732924648420553,0.9192198333480894
2021-03-31,2021-04-30,CPT,31304000,0.31,99547000,267568000,149610000,3405977000,3167557000,2834155000,333402000,-1869000,88456000,34.214762875827496,0.009190901758878583,0.004406511062096699,0.00895228702929058,0.9299995273015643
2021-06-30,2021-07-30,CPT,30129000,0.3,100701000,276523000,155569000,3718241000,3168492000,2793936000,374556000,57368000,155213000,36.923575734103935,0.008103025059429983,0.0040403013657959235,0.008472696046616783,0.8521480990608193
2021-09-30,2021-10-29,CPT,29453000,0.29,103071000,294130000,167534000,3888685000,3169428000,2741202000,428226000,100825000,192353000,37.728216472140566,0.007574025666774243,0.0038322481607407756,0.008326863256911779,0.815038502732929
2021-12-31,2022-02-17,CPT,212475000,2.04,104611000,305364000,359545000,4197490000,3170367000,2556976000,613391000,-7571000,141445000,40.124747875462425,0.05061953691372701,0.02663667462977561,0.035883424841705105,0.7553006677800305
2022-03-31,2022-04-29,CPT,80624000,0.77,105336000,311359000,221871000,4216429000,3671309000,2541593000,1129716000,31756000,122287000,40.02837586390218,0.019121393956829345,0.009526971856532954,0.01597671814814341,0.8707152426852202
2022-06-30,2022-07-29,CPT,496575000,4.6,108106000,361716000,686528000,5107107000,3736950000,3664855000,72095000,47890000,208347000,47.241660962388764,0.09723215119636225,0.052348109048097745,0.06017542592576175,0.7317156268705551
2022-09-30,2022-10-28,CPT,29804000,0.27,108506000,373772000,220356000,5037993000,3688041000,3626014000,62027000,154352000,245896000,46.43054761948648,0.005915847838613511,0.0031658810563913267,0.006933933466773513,0.7320456777133275
2022-12-31,2023-02-23,CPT,45709000,0.42,108467000,375909000,226163000,4986620000,3680913000,3670226000,10687000,61283000,168182000,45.973614094609424,0.00916632909666267,0.004900227113503686,0.008970949751728581,0.7381579105686817
2023-03-31,2023-04-28,CPT,41917000,0.39,108568000,378163000,220056000,4933290000,3747816000,3727397000,20419000,47803000,139711000,45.439632304178026,0.008496763822925472,0.004509546840945011,0.00873121822122056,0.7596991054651155
2023-06-30,2023-08-04,CPT,91099000,0.84,108663000,385499000,270423000,4921034000,3682430000,3662104000,20326000,122568000,226931000,45.28711704996181,0.018512166345528196,0.00983747683551137,0.014704800801489358,0.7483041165738745
2023-09-30,2023-10-27,CPT,47963000,0.44,108683000,390778000,227936000,4864265000,3653128000,3638528000,14600000,138279000,236328000,44.756447650506516,0.009860276938036887,0.00520518610740679,0.009683194069982389,0.7510133596751
2023-12-31,2024-02-22,CPT,222330000,2.04,108698000,387587000,403996000,4980757000,3715436000,3447389000,268047000,75366000,191980000,45.82197464534766,0.04463779301017898,0.02369311927646736,0.03061261921980398,0.7459580943218069
2024-03-31,2024-05-03,CPT,83889000,0.77,108706000,383141000,264003000,4922387000,3553469000,3460776000,92693000,29796000,135890000,45.28164958695932,0.01704234144938218,0.009214921914441798,0.014070611317005032,0.7218995580802566
2024-06-30,2024-08-02,CPT,42917000,0.4,108406000,387150000,223990000,4855440000,3552810000,3458878000,93932000,120683000,225069000,44.78940280058299,0.008838951773680655,0.004726763612477854,0.00917609351905243,0.7317174138698037
2024-09-30,2024-11-01,CPT,-4204000,-0.04,108426000,387232000,176382000,4742562000,3451798000,3420564000,31234000,165428000,261560000,43.74008079242986,-0.0008864407044125095,-0.00046986866589599565,0.004489930773646066,0.7278340272620579
2024-12-31,2025-02-20,CPT,40691000,0.37,108428000,386319000,221220000,4675198000,3485591000,3464546000,21045000,65235000,152358000,43.11799535175416,0.008703588596675478,0.0045967395017523435,0.009182429515339206,0.7455493863575403
2025-03-31,2025-05-02,CPT,38822000,0.36,108530000,390565000,224368000,4614956000,3735671000,3709489000,26182000,69819000,148216000,42.52239933658896,0.00841221454765766,0.00431684979159652,0.00890148669467723,0.8094705561656492
2025-06-30,2025-08-01,CPT,80670000,0.74,108636000,396509000,271308000,4587485000,3825976000,-33091000,33091000,113843000,230663000,42.22803674656652,0.01758479864239338,0.008845808899166661,0.014014835325581933,0.8340029449687574
