date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-11-20,CRM,-25157000,-0.04,664131000,1711967000,195876000,4749954000,2063857000,840539000,1223318000,37866000,117907000,7.152134142209896,-0.005296261816430222,-0.0023054507317929692,-0.004504420327174797,0.4345004183198406
2016-01-31,2016-03-07,CRM,-25509000,-0.04,643029997,1809398000,147234000,5002869000,2048566000,890203000,1158363000,390945000,459410000,7.780148707432695,-0.0050988742659462,-0.0019986805527261787,0.02148126553697899,0.40947824138509326
2016-04-30,2016-05-20,CRM,38759000,0.06,677514000,1916603000,191938000,5584264000,2065455000,266372000,1799083000,967761000,1051062000,8.242285768264567,0.0069407535173838485,0.0030239668821831793,0.009269122487613229,0.36987058634763686
2016-07-31,2016-09-01,CRM,229622000,0.34,681126000,2036618000,194352000,6132576000,2515011000,1399785000,1115226000,154648000,250678000,9.00358523973538,0.03744299296086995,0.015966691221678354,0.04086432827992985,0.4101067805763842
2016-10-31,2016-11-21,CRM,-37309000,-0.05,690468000,2144775000,178706000,6806037000,2515696000,1369960000,1145736000,13659000,154312000,9.85713602947566,-0.005481750980783678,-0.0025931233196982775,0.0011007455162683206,0.36962714131586416
2017-01-31,2017-03-06,CRM,-51440000,-0.07,700994000,2293988000,181620000,7500127000,2792058000,1185509000,1606549000,562172000,706146000,10.699274173530728,-0.006858550528544383,-0.002925233167071587,0.0002155076150608133,0.37226809626023666
2017-04-30,2017-05-22,CRM,1000000,-0.01,706000000,2387579000,197000000,7934488000,2535496000,510592000,2024904000,1072982000,1229584000,11.238651558073654,0.00012603207667589894,5.8620323783496384e-05,-4.7364856223978975e-05,0.31955382628343504
2017-07-31,2017-08-25,CRM,46000000,0.02,712000000,2561589000,277000000,8468537000,2582091000,632981000,1949110000,202881000,331269000,11.894012640449438,0.005431870935912543,0.0026408244010796837,0.006738802618786595,0.3049040229735077
2017-10-31,2017-11-22,CRM,107000000,0.07,717000000,2679841000,355000000,8840167000,2588232000,516395000,2071837000,14514000,125792000,12.329382147838215,0.012103843739603562,0.006117768997159297,0.01214077247721534,0.2927808942975851
2018-01-31,2018-03-09,CRM,67555000,0.09,724127000,2851003000,297467000,10376000000,2499962000,-43038000,2543000000,913561000,1051320000,14.328978204099558,0.006510697764070933,0.0030729166666666665,0.008135714423073183,0.2409369699306091
2018-04-30,2018-05-31,CRM,344000000,0.47,729000000,3006000000,191000000,11060000000,3988000000,-1934000000,5922000000,1344000000,1466000000,15.171467764060356,0.031103074141048823,0.01498062099899839,0.01870038793115716,0.3605786618444846
2018-07-31,2018-08-31,CRM,299000000,0.4,747000000,3281000000,705000000,13528000000,4398000000,2079000000,2319000000,288000000,458000000,18.109772423025436,0.022102306327616793,0.011578825078418464,0.022392549463735468,0.32510348905972797
2018-10-31,2018-11-28,CRM,105000000,0.14,760000000,3392000000,349000000,14693000000,4391000000,2286000000,2105000000,7000000,143000000,19.332894736842107,0.007146260123868509,0.00394914999247781,0.004444828906296013,0.2988497924181583
2019-01-31,2019-03-08,CRM,362000000,0.47,766000000,3603000000,729000000,15605000000,3579000000,507000000,2669000000,1164000000,1331000000,20.37206266318538,0.023197693047100287,0.01177733676025637,0.0256797104698784,0.2293495674463313
2019-04-30,2019-06-05,CRM,392000000,0.51,771000000,3737000000,586000000,16446000000,6231000000,2121000000,4110000000,1806000000,1965000000,21.330739299610894,0.023835583120515626,0.011823611027327019,0.009198490964762135,0.37887632251003284
2019-07-31,2019-08-23,CRM,91000000,0.12,776000000,3997000000,619000000,17166000000,6020000000,2510000000,3510000000,258000000,436000000,22.121134020618555,0.005301176744727951,0.0027297816174706026,0.006316969044868331,0.3506932308050798
2019-10-31,2019-12-04,CRM,-109000000,-0.12,879000000,4513000000,673000000,33279000000,6094000000,2226000000,3868000000,128000000,298000000,37.86006825938566,-0.0032753388022476637,-0.002182531736814705,-0.0031179587382058867,0.18311848312749782
2020-01-31,2020-03-05,CRM,-248000000,-0.28,889000000,4851000000,597000000,33885000000,5868000000,1723000000,4145000000,1496000000,1632000000,38.11586051743532,-0.007318872657518076,-0.004498784602546892,-0.06268254324870816,0.17317397078353253
2020-04-30,2020-06-01,CRM,99000000,0.11,896000000,4865000000,518000000,34565000000,5837000000,65000000,5772000000,1536000000,1859000000,38.57700892857143,0.0028641689570374656,0.001846222702944632,-0.008515553480256328,0.16887024446694635
2020-07-31,2020-08-28,CRM,2625000000,2.9,904000000,5151000000,827000000,38440000000,5847000000,1795000000,4052000000,315000000,429000000,42.52212389380531,0.0682882414151925,0.04543094496365525,0.01384150594399737,0.15210718002081167
2020-10-31,2020-12-04,CRM,1081000000,1.19,911000000,5419000000,894000000,40310000000,5840000000,2116000000,3724000000,215000000,339000000,44.24807903402854,0.0268171669560903,0.018279897186147188,0.004565954839013812,0.14487720168692633
2021-01-31,2021-03-17,CRM,267000000,0.29,916000000,5817000000,1062000000,41493000000,6281000000,86000000,6195000000,2025000000,2174000000,45.298034934497814,0.0064348203311401925,0.00402708858086605,0.002916121401782291,0.1513749307112043
2021-04-30,2021-06-02,CRM,469000000,0.51,921000000,5963000000,1039000000,42567000000,6132000000,-2412000000,8544000000,3057000000,3228000000,46.21824104234528,0.011017924683440223,0.007228172921322339,0.006845411118010424,0.14405525407005426
2021-07-31,2021-08-27,CRM,535000000,0.57,933000000,6340000000,1051000000,55520000000,15519000000,9220000000,6299000000,173000000,386000000,59.5069667738478,0.009636167146974064,0.006034424417424259,0.0033215372198423044,0.27952089337175795
2021-10-31,2021-12-02,CRM,468000000,0.48,980000000,6863000000,1001000000,57054000000,14001000000,9248000000,4753000000,238000000,404000000,58.21836734693878,0.008202755284467346,0.00535248639004529,0.0008970809458170977,0.24539909559364811
2022-01-31,2022-03-11,CRM,-28000000,-0.0284,985000000,7326000000,755000000,58131000000,13985000000,8521000000,5464000000,1815000000,1982000000,59.01624365482233,-0.0004816707092601194,-0.0002940898444474787,-0.00037531099481479826,0.2405773167500989
2022-04-30,2022-06-01,CRM,28000000,0.0283,991000000,7411000000,926000000,58876000000,13985000000,7126000000,6859000000,3497000000,3676000000,59.41069626639758,0.0004755757863985325,0.000301004063554858,-0.0002925721164144451,0.23753312045655275
2022-07-31,2022-08-25,CRM,68000000,0.0682,997000000,7720000000,1100000000,60098000000,13805000000,6874000000,6931000000,131000000,334000000,60.27883650952859,0.0011314852407734034,0.0007222670688702893,0.0010826657004840484,0.2297081433658358
2022-10-31,2022-12-01,CRM,210000000,0.21,997000000,7837000000,1401000000,59351000000,13998000000,7922000000,6076000000,115000000,313000000,59.52958876629889,0.0035382723121767114,0.002285490400940316,0.0030230318411938162,0.23585112298023622
2023-01-31,2023-03-08,CRM,-98000000,-0.0996,984000000,8384000000,2217000000,58359000000,14088000000,7072000000,7016000000,2570000000,2788000000,59.30792682926829,-0.0016792611251049538,-0.000991411142247266,-0.053783235914030184,0.24140235439263866
2023-04-30,2023-06-01,CRM,199000000,0.2,988000000,8247000000,2377000000,57412000000,13073000000,3918000000,9155000000,4248000000,4491000000,58.10931174089069,0.003466174318957709,0.002127409371291733,0.011177437957584385,0.22770500940569915
2023-07-31,2023-08-31,CRM,1267000000,1.3,975000000,8603000000,2415000000,58082000000,12800000000,6028000000,6772000000,628000000,808000000,59.571282051282054,0.021813987121655592,0.013705149977825131,0.020200022749103732,0.22037808615405804
2023-10-31,2023-11-30,CRM,1224000000,1.26,972000000,8720000000,2418000000,58090000000,12712000000,6259000000,6453000000,1366000000,1532000000,59.76337448559671,0.021070752280943364,0.013447298455318495,0.019903902687349373,0.21883284558443794
2024-01-31,2024-03-06,CRM,1446000000,1.49,970000000,9287000000,2754000000,59646000000,12588000000,4116000000,8472000000,3256000000,3403000000,61.490721649484534,0.02424303390001006,0.014485639582060247,0.02474599453190717,0.21104516648224525
2024-04-30,2024-05-30,CRM,1533000000,1.58,970000000,9133000000,2596000000,59683000000,12516000000,2558000000,9958000000,6084000000,6247000000,61.52886597938144,0.02568570614747918,0.01593886462882096,0.022651218551122017,0.20970795703969305
2024-07-31,2024-08-29,CRM,1429000000,1.48,964000000,9325000000,2789000000,57633000000,11393000000,3711000000,7682000000,755000000,892000000,59.78526970954357,0.024794822410771605,0.01550227815144283,0.023865503450347846,0.19768188364305173
2024-10-31,2024-12-04,CRM,1527000000,1.6,963000000,9444000000,2763000000,58525000000,11424000000,3427000000,7997000000,1779000000,1983000000,60.7736240913811,0.02609141392567279,0.0167076973576235,0.02751384621460623,0.19519863306279367
2025-01-31,2025-03-05,CRM,1708000000,1.78,959000000,9993000000,2995000000,61173000000,11392000000,2544000000,8848000000,3816000000,3970000000,63.78832116788321,0.027920814738528435,0.016594124047878127,0.028558942524680546,0.18622594935674236
2025-04-30,2025-05-29,CRM,1541000000,1.61,969182000,9829000000,2749000000,60666000000,11369000000,441000000,10928000000,6297000000,6476000000,62.595054386069904,0.025401378037121287,0.015627218334854476,0.024349352885729085,0.1874031582764646
2025-07-31,2025-09-04,CRM,1887000000,1.97,956000000,10236000000,3223000000,61328000000,2801000000,-7564000000,10365000000,605000000,740000000,64.15062761506276,0.030768979911296634,0.019339366423088353,0.03509783498251619,0.045672449778241586
