date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,CSGP,-5362000,-0.017,315411764,189078000,22131000,1509958000,370000000,-5509000,375509000,32737000,42760000,4.787259615338888,-0.0035510921495829685,-0.0025646470907852545,-0.0005037911237440295,0.24503992826290533
2015-12-31,2016-02-26,CSGP,22990000,0.072,319990000,193009000,55111000,1543780000,355112000,-66706000,421818000,54421000,61529000,4.824463264477015,0.014892018292761922,0.011055164743112883,0.016665571415234528,0.23002759460544897
2016-03-31,2016-04-28,CSGP,16721000,0.052,320850000,199739000,47906000,1565476000,350923000,-110797000,461720000,44132000,47926000,4.879152251831074,0.010681096356635299,0.007939647096195513,0.012529215018294317,0.224163768719546
2016-06-30,2016-07-28,CSGP,15576000,0.048,321860000,206869000,45718000,1585941000,336722000,-127429000,464151000,30838000,34438000,4.927424967377121,0.009821298522454492,0.007391680278507276,0.011694668797736263,0.2123168516357166
2016-09-30,2016-10-27,CSGP,23201000,0.072,321860000,212711000,58020000,1618698000,337519000,-184580000,522099000,57070000,61368000,5.029199030634437,0.014333124523536817,0.010778193866264173,0.017257220128719494,0.2085126441127375
2016-12-31,2017-02-24,CSGP,29573000,0.092,322130000,218311000,65199000,1654213000,338339000,-228884000,567223000,45138000,52212000,5.1352342222084255,0.01787738338412284,0.013534163545856572,0.02191228968295846,0.20453170178205587
2017-03-31,2017-04-27,CSGP,22130000,0.069,322760000,226553000,55389000,1683762000,304111000,-268361000,572472000,58411000,64557000,5.2167616805056385,0.01314318769517307,0.010081292664982654,0.016821305232126996,0.18061400601747754
2017-06-30,2017-07-27,CSGP,22184000,0.068,324060000,237153000,44348000,1716735000,304826000,-259812000,564638000,24278000,30806000,5.297583780781337,0.012922204067605076,0.009992707269622467,0.016816270537305857,0.1775614757082485
2017-09-30,2017-10-26,CSGP,34177000,0.11,324440000,247533000,73187000,1762427000,305496000,-317499000,622995000,60864000,67944000,5.432212427567501,0.019392008860508833,0.014985994889055318,0.02489689754317629,0.17333824322936497
2017-12-31,2018-02-23,CSGP,44204000,0.12,356750000,253991000,64791000,2651250000,0,-1211463000,1211463000,66651000,71396000,7.431674842326559,0.016672890146157474,0.015383646297244315,0.03116458200099509,0.0
