date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-11-30,2016-01-08,CTAS,345100000,0.78,433204000,1219080000,241586000,1924528000,1300000000,693215000,606785000,62768000,121954000,4.442544390171836,0.17931669479477566,0.07753676199651657,0.047974065970016,0.6754903020376944
2016-02-29,2016-04-08,CTAS,117341000,0.27,431372000,1216083000,235064000,1950106000,1300000000,984884000,315116000,-53568000,32117000,4.520706026353125,0.06017160092835979,0.027732256257666246,0.043605258204038086,0.6666304293202523
2016-05-31,2016-07-29,CTAS,130898000,0.3,424544000,1271405000,245879000,1842659000,1300000000,1160643000,139357000,100808000,168691000,4.340325148865606,0.07103756039505953,0.031892170169864335,0.042599962634486795,0.7055022117494338
2016-08-31,2016-10-11,CTAS,138091000,0.32,417932000,1294130000,247170000,1987402000,1208428000,1109219000,99209000,79008000,157588000,4.755323832585205,0.06948317451627803,0.0331380357534955,0.04787111686828902,0.608044069594375
2016-11-30,2017-01-06,CTAS,140377000,0.33,419828000,1296923000,244369000,2025705000,1110834000,967261000,143573000,67540000,144133000,4.8250831292815155,0.06929784939070595,0.033307478643372794,0.04413398685865897,0.5483690863180967
2017-02-28,2017-04-07,CTAS,118005000,0.28,420372000,1281135000,248714000,2178258000,1144540000,997296000,147244000,118589000,182037000,5.181739031143844,0.0541740234627854,0.027628299926584016,0.04018963164122615,0.5254382171441583
2017-05-31,2017-07-31,CTAS,84237000,0.2,421300000,1530287000,306065000,2302793000,3133524000,2964258000,169266000,225433000,280129000,5.465922145739378,0.036580361326441414,0.011963795447602349,0.020964206125281742,1.3607493161565107
2017-08-31,2017-10-06,CTAS,217211000,0.51,422960000,1611503000,317905000,2565881000,2841122000,2649708000,191414000,191849000,254366000,6.0664861925477584,0.08465357512682778,0.0317022023741587,0.03516434071665816,1.1072695888858446
2017-11-30,2018-01-05,CTAS,137109000,0.32,425360000,1606441000,305832000,2553033000,2834222000,2598220000,236002000,54694000,124643000,6.0020523791611815,0.05370435869806618,0.019646498015919927,0.030512617254682493,1.1101391952238768
2018-02-28,2018-04-06,CTAS,302095000,0.7,426232000,1589138000,266471000,2893997000,2722260000,2569697000,152563000,218281000,281855000,6.789722498545393,0.10438677026963054,0.04360120445810571,0.06217243147681704,0.9406575058647262
2018-05-31,2018-07-27,CTAS,186171000,0.43,427516000,1669550000,340384000,3016526000,2535309000,2396585000,138724000,227637000,303296000,7.055937087734728,0.06171702150089209,0.02623679905160759,0.038572315127803465,0.8404731137739241
2018-08-31,2018-10-05,CTAS,212515000,0.49,427340000,1697975000,351469000,3345968000,2535859000,2417503000,118356000,98457000,162985000,7.829756166050451,0.06351375745374732,0.029162762562980258,0.0405908740337718,0.7578850126480589
2018-11-30,2019-01-08,CTAS,243013000,0.56,425900000,1718268000,433071000,3027244000,2709908000,2621429000,88479000,108496000,181582000,7.1078750880488375,0.0802753263364301,0.03281705282709188,0.0463570642420667,0.8951732995424221
2019-02-28,2019-04-05,CTAS,203334000,0.48,420320000,1682330000,369293000,3179492000,2754458000,2673599000,80859000,255959000,326150000,7.564455652835934,0.06395172562157728,0.027353099874046116,0.03798075919141971,0.8663201542887984
2019-05-31,2019-07-26,CTAS,226119000,0.53,420072000,1793730000,410495000,3002721000,2849771000,2753126000,96645000,328231000,397145000,7.148110323944467,0.07530469863833503,0.029616191478719196,0.042800814819852026,0.9490628666466182
