date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-23,CTRA,-15514000,-0.0375,413846000,305296000,143302000,2121737000,2037000000,2028227000,8773000,-28384000,146363000,5.126875697723308,-0.007311933571408709,-0.002828610352633667,-0.00014992034065965644,0.9600624394069576
2015-12-31,2016-02-22,CTRA,-111124000,-0.27,411747269,280791000,-7794000,2009188000,2016139000,2015625000,514000,20020000,155783000,4.879663209132299,-0.05530791543648479,-0.021118611360651355,-0.023874617439525007,1.0034596065674293
2016-03-31,2016-05-03,CTRA,-51194000,-0.12,426616666,281941000,106298000,2944060000,1603192000,1023876000,579316000,-30147000,62090000,6.9009493407836064,-0.017388911910762687,-0.008977138580477906,-0.00896909773433957,0.5445514018056697
2016-06-30,2016-07-29,CTRA,-62910000,-0.14,449357142,246816000,72140000,2877599000,1539849000,1022359000,517490000,17992000,85154000,6.403812760585877,-0.02186197590421737,-0.011293481519512717,-0.012491887317936583,0.5351159073936292
2016-09-30,2016-10-28,CTRA,-10260000,-0.0221,465149000,303525000,142686000,2863250000,1520190000,1018997000,501193000,19771000,105405000,6.155554456743968,-0.0035833406094473064,-0.0018546902603995973,0.00046187934985790133,0.5309316336331092
2016-12-31,2017-02-27,CTRA,-292760000,-0.63,464556096,354155000,-292157000,2567667000,1520530000,1021988000,498542000,9608000,139728000,5.527140903130028,-0.11401790029626116,-0.057151011533470804,-0.07795063117377166,0.5921834879678712
2017-03-31,2017-04-28,CTRA,105720000,0.23,465348000,484459000,327638000,2707179000,1520870000,983385000,537485000,60994000,269378000,5.817536553289151,0.03905172136751947,0.02015869153845978,0.03216834064790161,0.5617914441564448
2017-06-30,2017-07-28,CTRA,21527000,0.05,464768000,446652000,202077000,2642031000,1521211000,1004677000,516534000,75619000,260568000,5.684623295923988,0.008147898340329845,0.004124373809622798,0.00918072515660908,0.575773334983579
2017-09-30,2017-10-30,CTRA,17587000,0.04,462498000,386252000,191336000,2644594000,1521551000,1011295000,510256000,-4380000,189100000,5.718065807852142,0.0066501701206309926,0.003429089960431028,0.008764196357305227,0.5753438902152844
2017-12-31,2018-03-01,CTRA,-44441000,-0.0961,462371000,429930000,-294718000,2523905000,1521891000,1041844000,480047000,1368000,179113000,5.458614402719894,-0.01760803199803479,-0.009400839033503803,-0.01190938654214048,0.6029906038460243
2018-03-31,2018-04-27,CTRA,117231000,0.26,459715000,467650000,258998000,2406516000,1522231000,557303000,964928000,116503000,272760000,5.234799821628617,0.04871399151304209,0.025830903880022942,0.044611501001514293,0.6325455554835289
2018-06-30,2018-07-27,CTRA,42431000,0.09,451055000,457115000,213966000,2154174000,1522572000,781578000,740994000,42886000,273900000,4.7758566028533105,0.019697108961485934,0.009650625126515053,0.020630287423050134,0.7068008433859103
2018-09-30,2018-10-26,CTRA,122337000,0.28,440772000,548710000,302448000,2094147000,1285848000,969771000,316077000,-18040000,242192000,4.751088998393727,0.05841853508851098,0.02927392706894856,0.04343147089325986,0.6140199326981344
2018-12-31,2019-02-26,CTRA,275044000,0.64,430978000,670241000,511146000,2088159000,1226104000,1223817000,2287000,69084000,316051000,4.845163790263076,0.131716023540353,0.06550493006502527,0.08703836819901976,0.5871698467405978
2019-03-31,2019-04-26,CTRA,262762999,0.62,423116000,633424000,445086000,2320939000,1261357000,946468000,314889000,389637000,585287000,5.485349171385625,0.11321409093474667,0.05863220869936207,0.08329520915608618,0.5434683979199798
2019-06-30,2019-07-26,CTRA,181009000,0.43,422141000,470468000,346812000,2344804000,1259134000,1017740000,241394000,100800000,326650000,5.554551678230733,0.0771957912047233,0.03966252159144419,0.0571523251886851,0.5369890191248394
2019-09-30,2019-10-25,CTRA,90358000,0.22,412456000,418051000,240523000,2213576000,1257396000,1175080000,82316000,71678000,270874000,5.366817308997808,0.040819922153113336,0.020338693104251616,0.029778351258726483,0.5680383235091092
2019-12-31,2020-02-25,CTRA,146940000,0.36,404581000,463526000,330724000,2151487000,1255826000,1055599000,200227000,95308000,262980000,5.317815221179442,0.06829694996995102,0.032746150477631596,0.04905343028983573,0.5837014120931244
2020-03-31,2020-05-01,CTRA,53910000,0.14,398343000,370395000,186470000,2168395000,1255782000,1052940000,202842000,56195000,204897000,5.443537353486819,0.024861706469531612,0.01192125470597666,0.020032748060686775,0.5791297249809191
2020-06-30,2020-07-31,CTRA,30374000,0.08,398576000,288374000,150301000,2165979000,1255342000,1138178000,117164000,-46045000,136436000,5.434293585163181,0.01402321998505064,0.006708231464242569,0.012609630891907904,0.5795725627995469
2020-09-30,2020-10-30,CTRA,-14961000,-0.0375,398580000,333294000,92059000,2118488000,1196333000,1196163000,170000,-18179000,129060000,5.3150885644036325,-0.007062112223434827,-0.003385373944545579,-0.0015586789187729455,0.5647107748545189
2020-12-31,2021-02-26,CTRA,131205999,0.33,398583000,413157000,260952000,2216000000,1168000000,1028000000,140000000,210417000,307842000,5.559695220317977,0.0592084833032491,0.02900221021220159,0.043370513608287684,0.5270758122743683
2021-03-31,2021-04-30,CTRA,126354000,0.32,399000000,472918000,269540000,2305970000,1078730000,905071000,173659000,166910000,290527000,5.7793734335839595,0.05479429480869222,0.027764910834278945,0.04233751428463687,0.46779880050477674
2021-06-30,2021-07-30,CTRA,30464000,0.08,400000000,411788000,145411000,2299895000,1078202000,920055000,158147000,27620000,178942000,5.7497375,0.013245822091878107,0.0066074302791825825,0.01233752831199383,0.46880488022279276
2021-09-30,2021-11-03,CTRA,62714000,0.16,400000000,641678000,193082000,2326112000,977358000,901088000,76270000,61093000,245194000,5.81528,0.02696086860821835,0.013256820295191174,0.02236997809673581,0.420168074452133
2021-12-31,2022-03-01,CTRA,939000000,1.16,810000000,2144359000,1649000000,11738000000,3463000000,2427000000,1036000000,685000000,953000000,14.491358024691358,0.07999659226444028,0.047185929648241205,0.06759958687950215,0.29502470608280795
2022-03-31,2022-05-03,CTRA,608000000,0.75,810000000,2070000000,1159000000,11718000000,3444000000,1997000000,1447000000,1051000000,1322000000,14.466666666666667,0.05188598736985834,0.029910955871500958,0.045527620200800915,0.2939068100358423
2022-06-30,2022-08-03,CTRA,1229000000,1.53,803000000,2638000000,2023000000,12191000000,3420000000,2361000000,1059000000,405000000,879000000,15.181818181818182,0.10081207448117464,0.059524386109362136,0.08557260300245242,0.28053482076942005
2022-09-30,2022-11-04,CTRA,1196000000,1.51,792000000,2676000000,1954000000,12659000000,2686000000,1908000000,778000000,1311000000,1771000000,15.983585858585858,0.09447823682755352,0.05890174833784782,0.08302467646366476,0.21218105695552572
2022-12-31,2023-02-27,CTRA,1032000000,1.32,781000000,2130000000,1738000000,12659000000,2599000000,1926000000,673000000,979000000,1484000000,16.208706786171575,0.08152302709534719,0.051205715986900865,0.07136192420954908,0.20530847618295284
2023-03-31,2023-05-05,CTRA,677000000,0.88,768000000,1639000000,1258000000,12643000000,2578000000,1605000000,973000000,1010000000,1494000000,16.462239583333332,0.053547417543304596,0.03361636625453101,0.048441773897769005,0.20390730048248043
2023-06-30,2023-08-08,CTRA,209000000,0.28,755000000,1197000000,681000000,12659000000,2561000000,1720000000,841000000,49000000,646000000,16.766887417218545,0.016509992890433683,0.010513607324312089,0.01539642431220427,0.20230665929378308
2023-09-30,2023-11-07,CTRA,323000000,0.43,753000000,1353000000,855000000,12789000000,2555000000,1708000000,847000000,210000000,758000000,16.98406374501992,0.025256079443271563,0.016068852295905676,0.023188788418806238,0.19978106185002736
2023-12-31,2024-02-23,CTRA,416000000,0.55,751000000,1495000000,1048000000,13039000000,2526000000,1570000000,956000000,290000000,760000000,17.362183754993342,0.031904287138584245,0.02037717364682831,0.029626631920689286,0.19372651276938416
2024-03-31,2024-05-03,CTRA,352000000,0.47,750000000,1433000000,888000000,13089000000,2988000000,1699000000,1289000000,398000000,856000000,17.452,0.026892810757124304,0.016799503651028492,0.02483800025872917,0.22828329131331654
