date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,CTSH,397200000,0.65,608800000,3187000000,625200000,8827000000,950000000,-526700000,1476700000,752800000,817900000,14.499014454664914,0.04499830066840376,0.032377971241318595,0.04823264392427272,0.10762433442845815
2015-12-31,2016-02-25,CTSH,423400000,0.7,608200000,3232500000,641400000,9278100000,1287500000,-837700000,2125200000,615900000,690000000,15.255014797763893,0.04563434323837855,0.03240620264209285,0.050547859743771115,0.13876763561505048
2016-03-31,2016-05-06,CTSH,441200000,0.73,608000000,3202000000,642000000,9612300000,1020900000,-502900000,1523800000,5100000,68800000,15.80970394736842,0.04589952456748125,0.034642231801443164,0.048836345027329336,0.10620767142099186
2016-06-30,2016-08-05,CTSH,252400000,0.42,606100000,3369900000,684000000,9862900000,908800000,-775700000,1684500000,284700000,359600000,16.272727272727273,0.025590850561193968,0.019208377409608755,0.028005371701240383,0.09214328442952884
2016-09-30,2016-11-07,CTSH,444400000,0.73,606000000,3453200000,715600000,10292300000,896600000,-653700000,1550300000,519800000,594000000,16.983993399339933,0.04317790969948408,0.03239846318720975,0.04643305893391475,0.08711366749900411
2016-12-31,2017-03-01,CTSH,416000000,0.69,607000000,3462000000,669100000,10728000000,878000000,-1156000000,2034000000,511400000,598600000,17.67380560131796,0.03877703206562267,0.029168419576496987,0.043832607008536806,0.08184190902311708
2017-03-31,2017-05-05,CTSH,557000000,0.92,605000000,3546000000,685000000,9983000000,1209000000,-99000000,1308000000,211000000,277000000,16.500826446280993,0.0557948512471201,0.04086873578399002,0.056874692503923796,0.12110587999599319
2017-06-30,2017-08-03,CTSH,470000000,0.8,589000000,3670000000,748000000,10483000000,991000000,-166000000,1157000000,461000000,521000000,17.797962648556876,0.04483449394257369,0.03372076338068589,0.04598632789395074,0.09453400744061814
2017-09-30,2017-11-01,CTSH,495000000,0.84,590000000,3766000000,790000000,10979000000,823000000,-754000000,1577000000,695000000,773000000,18.608474576271185,0.04508607341287913,0.033950617283950615,0.04875350212914589,0.07496128973494853
2017-12-31,2018-02-27,CTSH,-18000000,-0.0306,589000000,3828000000,829000000,10669000000,873000000,-1052000000,1925000000,756000000,836000000,18.113752122241088,-0.0016871309401068515,-0.001182576703238946,-0.001989522702682449,0.0818258505951823
2018-03-31,2018-05-07,CTSH,520000000,0.89,587000000,3912000000,811000000,10988000000,773000000,-667000000,1440000000,292000000,388000000,18.718909710391824,0.04732435384055333,0.03456297773346627,0.0508164254545308,0.07034947215143793
2018-06-30,2018-08-02,CTSH,456000000,0.78,585000000,4006000000,833000000,10648000000,749000000,-152000000,901000000,549000000,640000000,18.2017094017094,0.04282494365138993,0.03079832500337701,0.04383692449986298,0.07034184823441021
2018-09-30,2018-10-30,CTSH,477000000,0.82,579000000,4078000000,883000000,10978000000,724000000,-615000000,1339000000,768000000,862000000,18.96027633851468,0.04345053743851339,0.031229540395443237,0.04644632469746977,0.06595008198214611
2018-12-31,2019-02-19,CTSH,648000000,1.12,578000000,4129000000,817000000,11424000000,745000000,-416000000,1161000000,606000000,702000000,19.764705882352942,0.05672268907563025,0.040721422736127694,0.05935237284206021,0.06521358543417367
2019-03-31,2019-05-03,CTSH,441000000,0.77,573000000,4110000000,713000000,11136000000,1581000000,631000000,950000000,163000000,269000000,19.43455497382199,0.03960129310344827,0.02739811133200795,0.0379276812891126,0.1419719827586207
