date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,CVX,2037000000,1.09,1868444000,32767000000,7157000000,154912000000,35876000000,22943000000,12933000000,-1450000000,5360000000,82.90962961694329,0.013149400950216897,0.0075880334812198965,0.011565601191982234,0.2315895476141293
2015-12-31,2016-02-25,CVX,-588000000,-0.31,1869072000,28014000000,3001000000,152716000000,38549000000,27527000000,11022000000,-2892000000,4557000000,81.70685773474752,-0.0038502841876424214,-0.002222726241778181,-0.004797106108864646,0.25242279787317634
2016-03-31,2016-05-05,CVX,-725000000,-0.39,1858974358,23070000000,2954000000,150307000000,42339000000,33777000000,8562000000,-4425000000,1141000000,80.85480004237907,-0.0048234613158402466,-0.002747856671795999,-0.0038406379696225637,0.2816834877949796
2016-06-30,2016-08-04,CVX,-1470000000,-0.79,1871995000,27844000000,4802000000,147163000000,45085000000,36321000000,8764000000,-1938000000,2531000000,78.6129236456294,-0.009988923846347248,-0.005621887883493066,-0.00766914663122175,0.30636097388609906
2016-09-30,2016-11-03,CVX,1283000000,0.68,1873649000,29159000000,5441000000,146800000000,45585000000,38234000000,7351000000,1246000000,5311000000,78.34978696650226,0.008739782016348775,0.00493721691814533,0.007436904852512032,0.31052452316076296
2016-12-31,2017-02-23,CVX,415000000,0.22,1875694000,30142000000,4790000000,145556000000,46126000000,39138000000,6988000000,-146000000,3863000000,77.60114389660573,0.0028511363324081455,0.001595675143610763,0.0026401355079212104,0.31689521558712797
2017-03-31,2017-05-04,CVX,2682000000,1.43,1879372000,31524000000,7381000000,146592000000,45256000000,38273000000,6983000000,462000000,3777000000,78.00052357915304,0.01829567779960707,0.010350776308223116,0.014837807973629744,0.30872080331805285
2017-06-30,2017-08-03,CVX,1450000000,0.77,1881019000,32877000000,7324000000,146203000000,42864000000,38102000000,4762000000,1747000000,4971000000,77.72542435775503,0.009917717146706976,0.005695230539004474,0.008149701429511982,0.29318139846651575
2017-09-30,2017-11-02,CVX,1952000000,1.03,1882650000,33892000000,7923000000,146713000000,41972000000,35331000000,6641000000,2273000000,5497000000,77.92898308235732,0.013304887774089549,0.007650101896849036,0.011053103873431636,0.2860823512572165
2017-12-31,2018-02-22,CVX,3111000000,1.65,1888199000,36381000000,4758000000,148124000000,38763000000,33950000000,4813000000,2589000000,6230000000,78.44723993604488,0.02100267343577003,0.012257393442235408,0.01912531620339689,0.26169290594366884
2018-03-31,2018-05-03,CVX,3638000000,1.92,1895990000,35968000000,9566000000,150356000000,39745000000,33279000000,6466000000,2046000000,5043000000,79.30210602376594,0.02419590837745085,0.014186443718267678,0.020549905219931348,0.26433930139136447
2018-06-30,2018-08-02,CVX,3409000000,1.79,1900375000,40491000000,9681000000,152198000000,38517000000,30889000000,7628000000,3629000000,6855000000,80.08840360455173,0.02239845464460768,0.013216815480229056,0.01951744926420374,0.25307165665777476
2018-09-30,2018-11-08,CVX,4047000000,2.13,1900717000,42105000000,11751000000,153575000000,36110000000,26424000000,9686000000,5991000000,9569000000,80.79845658243705,0.02635194530359759,0.015771260219948093,0.023253074144849537,0.23512941559498615
2018-12-31,2019-02-22,CVX,3730000000,1.97,1893405000,40338000000,9042000000,154554000000,34459000000,25117000000,9342000000,5160000000,9151000000,81.62754402782289,0.024133959651642792,0.014692964315398464,0.021525010555396087,0.22295767175226783
2019-03-31,2019-05-02,CVX,2649000000,1.4,1888002000,34189000000,8362000000,155045000000,33087000000,24388000000,8699000000,2104000000,5057000000,82.12120538007905,0.017085362314166855,0.01031505905166875,0.015561393082844944,0.21340256054693799
2019-06-30,2019-08-07,CVX,4305000000,2.28,1889265000,36323000000,10504000000,156395000000,30649000000,22136000000,8513000000,5199000000,8783000000,82.78086980915859,0.02752645544934301,0.016824424139629042,0.024831096402179963,0.1959717382269254
2019-09-30,2019-11-07,CVX,2580000000,1.38,1880607000,34779000000,8621000000,155841000000,32851000000,21154000000,11697000000,4448000000,7817000000,82.86739334693533,0.016555335245538722,0.010057028810658892,0.015285896724139433,0.2107981853299196
2019-12-31,2020-02-21,CVX,-6610000000,-3.51,1872317000,34574000000,-3188000000,144213000000,26973000000,21287000000,5686000000,1447000000,5657000000,77.02381594569722,-0.04583498020289433,-0.027840018868878144,-0.0394308588435527,0.1870358428158349
2020-03-31,2020-05-06,CVX,3599000000,1.93,1862273000,29705000000,8645000000,143930000000,32351000000,23859000000,8492000000,1589000000,4722000000,77.28727205946711,0.025005210866393384,0.015206378313059571,0.022176406419341033,0.22476898492322656
