date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,C,4291000000,1.36,2993300000,21633000000,7052000000,220848000000,404716000000,245055000000,159661000000,22017000000,23018000000,73.78077706878696,0.01942965297399116,0.0023728734828761594,0.009242267167200039,1.8325545171339563
2015-12-31,2016-02-26,C,3335000000,1.04,2968300000,21357000000,5682000000,221857000000,368850000000,235753000000,133097000000,-2353000000,-1627000000,74.74210827746522,0.015032205429623587,0.0019263982994552943,0.007440833897860623,1.6625574131084437
2016-03-31,2016-05-02,C,3501000000,1.11,2943000000,20495000000,5895000000,227522000000,385936000000,227647000000,158289000000,-1240000000,-538000000,77.30954808019028,0.015387522964812194,0.001943955663818382,0.007707027499675945,1.6962579442867063
2016-06-30,2016-08-01,C,3998000000,1.25,2915800000,20668000000,6638000000,231888000000,383857000000,233724000000,150133000000,20930000000,21605000000,79.52808834625145,0.017241081901607672,0.0021981876772831765,0.008691786294167676,1.655355171462085
2016-09-30,2016-10-31,C,3840000000,1.24,2879900000,20934000000,6558000000,231575000000,391702000000,235712000000,155990000000,6552000000,7267000000,80.41077815201916,0.01658210083126417,0.002112075295484284,0.008318228412089358,1.691469286408291
2016-12-31,2017-02-24,C,3573000000,1.14,2813800000,20289000000,6106000000,225120000000,378700000000,218206000000,160494000000,24934000000,25598000000,80.00568626057289,0.015871535181236674,0.0019937759370830606,0.008100133987178735,1.6822139303482586
2017-03-31,2017-05-01,C,4090000000,1.35,2765300000,21932000000,6877000000,228132000000,382887000000,202842000000,180045000000,-3838000000,-3052000000,82.49810147181138,0.017928216997177074,0.002245235736028348,0.00955510077174029,1.6783572668455105
2017-06-30,2017-08-01,C,3872000000,1.28,2739100000,22303000000,6579000000,230019000000,416478000000,230396000000,186082000000,-19422000000,-18561000000,83.97612354422985,0.016833392024137136,0.002077183013664238,0.008433695687586198,1.8106243397284572
2017-09-30,2017-10-31,C,4133000000,1.42,2683600000,22798000000,6923000000,227634000000,432104000000,245995000000,186109000000,17351000000,18206000000,84.824116857952,0.01815633868402787,0.0021877760856435203,0.008734684742699455,1.8982401574457244
2017-12-31,2018-02-23,C,-18893000000,-7.33,2605680000,21791000000,6041000000,200740000000,437438000000,256922000000,180516000000,-6141000000,-5282000000,77.0393908691781,-0.09411676795855335,-0.010254197501716451,-0.04100187474599158,2.1791272292517685
2018-03-31,2018-05-01,C,4620000000,1.68,2561600000,24032000000,7016000000,201915000000,445791000000,243087000000,202704000000,5987000000,6956000000,78.82378201124297,0.022880915236609463,0.0024036160374256545,0.010447144057779516,2.2078151697496473
2018-06-30,2018-07-31,C,4490000000,1.63,2530900000,24354000000,6874000000,200094000000,451883000000,250981000000,200902000000,642000000,1363000000,79.06041329171441,0.02243945345687527,0.0023479162112894506,0.009978384969240148,2.2583535738203047
2018-09-30,2018-10-30,C,4622000000,1.74,2479800000,24757000000,7049000000,197004000000,444955000000,245669000000,199286000000,20755000000,21747000000,79.44350350834745,0.023461452559338895,0.0024008331753382177,0.010465964718878269,2.2586089622545735
2018-12-31,2019-02-22,C,4313000000,1.65,2401100000,23977000000,6260000000,196220000000,442113000000,254008000000,188105000000,5794000000,6886000000,81.72087793094832,0.02198043012944654,0.0022494201732256936,0.009561822010181508,2.2531495260421974
2019-03-31,2019-04-30,C,4710000000,1.88,2340400000,25893000000,6943000000,196252000000,473260000000,267367000000,205893000000,-38134000000,-37616000000,83.85404204409502,0.02399975541650531,0.0024050085451842894,0.010217441476729814,2.4114913478588753
2019-06-30,2019-08-01,C,4799000000,1.95,2286100000,26520000000,7117000000,197359000000,475764000000,272521000000,203243000000,-2971000000,-140000000,86.32999431345961,0.02431609402155463,0.0024137095078728475,0.010198348514514344,2.410652668487376
2019-09-30,2019-11-01,C,4913000000,2.09,2220800000,26112000000,7005000000,196373000000,472515000000,252072000000,220443000000,1387000000,2398000000,88.4244416426513,0.025018714385378844,0.002438453009278331,0.01102253342104383,2.406211648240848
2019-12-31,2020-02-21,C,4979000000,2.16,2149400000,24926000000,6741000000,193242000000,460148000000,266229000000,193919000000,21545000000,22521000000,89.90508979250023,0.025765620310284513,0.0025518179460607498,0.0108799031930198,2.3812007741588266
2020-03-31,2020-05-04,C,2536000000,1.06,2097900000,26646000000,4055000000,192331000000,543373000000,257453000000,285920000000,-25993000000,-25533000000,91.67786834453501,0.013185601905049108,0.001142460705388396,0.005664941394091386,2.8251971861010445
2020-06-30,2020-08-05,C,1056000000,0.38,2081700000,23244000000,2035000000,191622000000,535653000000,225880000000,309773000000,5467000000,6325000000,92.05072777057212,0.005510849484923443,0.0004729667691577295,0.002531724398925035,2.7953627454050163
2020-09-30,2020-11-04,C,3146000000,1.37,2081800000,20139000000,4987000000,193876000000,517920000000,194225000000,323695000000,-4028000000,-3046000000,93.12902296089922,0.01622686665703852,0.00140794706906683,0.008186013434647166,2.6713982132909693
2020-12-31,2021-02-26,C,3979000000,1.93,2081900000,19077000000,6049000000,199442000000,500725000000,191110000000,309615000000,487000000,1633000000,95.79806907152121,0.019950662347950784,0.001760549358653859,0.010229111616378869,2.510629656742311
2021-03-31,2021-05-06,C,7942000000,3.64,2082000000,21706000000,11271000000,202549000000,507590000000,182908000000,324682000000,22368000000,23198000000,97.28578290105668,0.03921026517040321,0.0034317576285526384,0.02069491538615202,2.506010891191761
2021-06-30,2021-08-04,C,6193000000,2.86,2056500000,19734000000,8330000000,202159000000,517854000000,218616000000,299238000000,-576000000,365000000,98.30245562849501,0.030634302702328364,0.002660374213658163,0.014718079733824491,2.5616173408059995
2021-09-30,2021-11-08,C,4644000000,2.17,2009300000,19416000000,6897000000,200875000000,497141000000,173333000000,323808000000,34582000000,35622000000,99.97262728313343,0.023118855009334163,0.0019662336210707083,0.01247701812895502,2.4748774113254512
2021-12-31,2022-02-28,C,3173000000,1.47,1984300000,18332000000,4935000000,201972000000,473632000000,211599000000,262033000000,756000000,2064000000,101.78501234692335,0.015710098429485276,0.0013847350957684188,0.007686709174482737,2.345037926049155
2022-03-31,2022-05-09,C,4306000000,2.03,1971700000,21468000000,6281000000,197709000000,488592000000,216505000000,272087000000,-10476000000,-9247000000,100.27336815945631,0.021779483989095086,0.0017985844396966716,0.010441462625599328,2.471268379284706
2022-06-30,2022-08-04,C,4547000000,2.2,1941500000,23236000000,7045000000,199014000000,495951000000,211921000000,284030000000,22255000000,23491000000,102.50527942312645,0.022847638859577718,0.0019097788067053523,0.011653911202501612,2.492040760951491
2022-09-30,2022-11-04,C,3479000000,1.64,1936800000,25240000000,5459000000,198560000000,503865000000,204258000000,299607000000,-3190000000,-1988000000,102.51961999173895,0.01752115229653505,0.001461111503092735,0.008726025152798534,2.537595688960516
2022-12-31,2023-02-27,C,2513000000,1.16,1936900000,30439000000,4284000000,201189000000,521146000000,179121000000,342025000000,27274000000,29239000000,103.87165057566214,0.012490742535625704,0.0010398580529620022,0.006668244326996398,2.590330485265099
2023-03-31,2023-05-05,C,4606000000,2.21,1943500000,36452000000,7294000000,208295000000,577552000000,248593000000,328959000000,-32119000000,-30485000000,107.17519938255724,0.022112868767853285,0.0018760847260390866,0.01018192642398137,2.7727597878009553
2023-06-30,2023-08-04,C,2915000000,1.34,1942800000,38187000000,5178000000,208719000000,574975000000,278067000000,296908000000,-55550000000,-54059000000,107.43205682520075,0.013966145870764042,0.00120271901141861,0.006064266433299232,2.7547803506149418
2023-09-30,2023-11-03,C,3546000000,1.64,1924400000,40748000000,5929000000,209503000000,575696000000,321709000000,253987000000,14101000000,15794000000,108.86665973810018,0.016925771945986455,0.0014971646336443209,0.006748718025948209,2.7479129177147823
2023-12-31,2024-02-23,C,-1839000000,-1.15,1909700000,41395000000,-931000000,205453000000,602183000000,341251000000,260932000000,-6431000000,-4666000000,107.5839137037231,-0.008950952285924275,-0.0007624902874741794,-0.003305262079662853,2.931001250894365
2024-03-31,2024-05-03,C,3371000000,1.59,1908700000,43722000000,5654000000,206585000000,616792000000,344062000000,272730000000,-12438000000,-10831000000,108.23335254361608,0.016317738461166107,0.0013858113635709618,0.006189083024151589,2.985657235520488
2024-06-30,2024-08-02,C,3217000000,1.54,1907700000,42638000000,5411000000,208310000000,624221000000,378087000000,246134000000,-18604000000,-16960000000,109.19431776484772,0.015443329652921127,0.001337248502090464,0.005564489586406479,2.9965964187989056
2024-09-30,2024-11-07,C,3238000000,1.53,1899900000,43359000000,5471000000,209083000000,618798000000,315704000000,303094000000,-18235000000,-16674000000,110.04947628822569,0.015486672756752104,0.0013321468257837471,0.006238721614674143,2.959580645007007
2024-12-31,2025-02-21,C,2856000000,1.36,1887600000,40900000000,4821000000,208598000000,590560000000,314028000000,276532000000,23108000000,24796000000,110.50964187327824,0.013691406437262103,0.0012137980275782052,0.0055297669844209816,2.831091381508931
2025-03-31,2025-05-08,C,4064000000,2.0,1879000000,41255000000,6498000000,212408000000,748782000000,440451000000,308331000000,-60225000000,-58708000000,113.04310803618947,0.01913298934126775,0.0015803919403122053,0.00629232345728557,3.5252062069225265
