date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-09-30,DD,1375000000,3.36,416866000,12036000000,2941000000,24333000000,19738000000,12115000000,7623000000,1587000000,2511000000,58.37127518195295,0.05650762339210126,0.01967546219449373,0.04384836389464953,0.8111617967369416
2015-12-31,2015-12-31,DD,3612000000,9.51,368466000,11462000000,4988000000,25374000000,17210000000,8633000000,8577000000,1394000000,2341000000,68.86388432039863,0.14235043745566328,0.053166122052459595,0.11294988645907861,0.6782533301804997
2016-03-31,2016-03-31,DD,254000000,0.45,367633000,10703000000,973000000,25599000000,16976000000,10366000000,6610000000,-848000000,139000000,69.63194272548982,0.009922262588382358,0.003711279953243717,0.0169609342416238,0.6631509043322005
2016-06-30,2016-06-30,DD,3208000000,8.37,370366000,11952000000,4245000000,28936000000,21346000000,14037000000,7309000000,1174000000,2228000000,78.12812191183856,0.11086535803151783,0.03935037534959031,0.07974647311467631,0.7376969864528615
2016-09-30,2016-09-30,DD,800000000,1.92,370800000,12476000000,2089000000,29035000000,21292000000,14260000000,7032000000,204000000,1345000000,78.30366774541532,0.027552953332185295,0.009922603691208573,0.02271053297730743,0.7333218529361116
2016-12-31,2016-12-31,DD,53000000,-0.09,368733332,13007000000,778000000,25987000000,21363000000,14756000000,6607000000,966000000,1863000000,70.47640596809404,0.002039481279101089,0.0006665744362415264,-0.0003227920170707889,0.8220648785931427
2017-03-31,2017-03-31,DD,884000000,2.22,400833000,13222000000,2125000000,27060000000,21470000000,15622000000,5848000000,-278000000,476000000,67.50941165023838,0.032668144863266815,0.010936804077794824,0.025599697216525576,0.7934220251293422
2017-06-30,2017-06-30,DD,1315000000,3.24,403933000,13834000000,2779000000,28421000000,21507000000,15289000000,6218000000,-1372000000,-577000000,70.36067862739613,0.04626860420111889,0.015988425109730448,0.03496483917127444,0.7567291791281094
2017-09-30,2017-11-06,DD,511000000,0.96,525933000,15354000000,2412000000,102946000000,36901000000,23753000000,13148000000,1900000000,2654000000,195.7397615285597,0.004963767412041264,0.0025739571947392547,0.005484172022755595,0.35845006119713246
2017-12-31,2018-02-15,DD,-1263000000,-1.62,775633000,20066000000,-1069000000,100330000000,34071000000,20633000000,13438000000,-6688000000,-5234000000,129.35241280347793,-0.012588458088308581,-0.006572510980204409,-0.008401264611409928,0.33958935512807736
2018-03-31,2018-05-04,DD,1098000000,1.41,772333000,21510000000,3377000000,101260000000,34461000000,24180000000,10281000000,-2913000000,-2137000000,131.10924950766056,0.010843373493975903,0.005705644846992065,0.01128390710613039,0.34032194351175193
2018-06-30,2018-08-03,DD,1762000000,2.28,769633000,5857000000,681000000,98262000000,34250000000,25006000000,9244000000,1335000000,2145000000,127.67383934940419,0.017931652113736745,0.009404003906771203,0.00025148457020475717,0.34855793694408826
2018-09-30,2018-11-02,DD,499000000,0.65,765399000,5683000000,710000000,98090000000,35168000000,28229000000,6939000000,-1350000000,-378000000,128.15538039636843,0.0050871648486084204,0.0027052962001160186,0.0010370569748018904,0.35852788255683554
2018-12-31,2019-02-11,DD,480000000,0.62,760699000,5457000000,891000000,94571000000,40464000000,26982000000,13482000000,3851000000,5156000000,124.32118354303081,0.0050755517018959305,0.0025527841301919907,0.003060924174056027,0.4278690084698269
2019-03-31,2019-05-03,DD,520000000,0.69,750033000,5414000000,1506000000,92444000000,45280000000,33737000000,11543000000,-1113000000,26000000,123.25324352395161,0.005625027043399247,0.002739942566588508,-4.9760168954025396e-05,0.4898100471636883
2019-06-30,2019-08-06,DD,-571000000,-0.76,749000000,5468000000,-276000000,42006000000,17767000000,16106000000,1661000000,-738000000,-77000000,56.082777036048064,-0.013593296195781555,-0.008060076507206075,-0.01567700564253053,0.4229633861829262
