date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-02,2015-10-22,DHR,1403300000,2.04,688500000,5023400000,616300000,23112700000,15012000000,13178500000,1833500000,854200000,952600000,33.56964415395788,0.06071553734526905,0.028230925064225202,0.010429265663238907,0.6495130382863101
2015-12-31,2016-02-24,DHR,688600000,1.0,687400000,5884800000,1293800000,23690300000,12870400000,12079600000,790800000,1070300000,1231600000,34.463631073610706,0.029066748838132064,0.014279730082824923,0.021874369633476925,0.5432772062827402
2016-04-01,2016-04-21,DHR,758400000,1.1,688600000,5387200000,880800000,24504700000,12391700000,11727400000,664300000,650200000,772800000,35.58626198083067,0.030949164854089217,0.015674084851691413,0.016774650128469407,0.5056866641909511
2016-07-01,2016-07-25,DHR,656700000,0.95,690900000,5785000000,1355300000,25045100000,14652200000,10554600000,4097600000,1130900000,1281800000,36.24996381531336,0.02622069786105865,0.012750540252447883,0.013530690827235351,0.5850326011874578
2016-09-30,2016-10-20,DHR,391600000,0.57,692200000,4132100000,712000000,23191600000,8312200000,7340800000,971400000,669600000,818200000,33.504189540595206,0.016885424032839477,0.009482414189720928,0.014394777724345673,0.3584142534365891
2016-12-31,2017-02-22,DHR,747000000,1.08,693000000,4584300000,1034300000,23002800000,12269000000,11305300000,963700000,481500000,649000000,33.19307359307359,0.03247430747561166,0.01649177729256678,0.022783159030499812,0.5333698506268802
2017-03-31,2017-04-20,DHR,506100000,0.73,694300000,4205700000,931100000,23785800000,11950300000,11146400000,803900000,401600000,560200000,34.258677804983435,0.02127740080215927,0.011185741660422896,0.014803449367593022,0.5024132045169807
2017-06-30,2017-07-20,DHR,557300000,0.8,695400000,4510100000,988700000,24590000000,11592000000,10865600000,726400000,862600000,1010500000,35.36094334196146,0.02266368442456283,0.012208960978644724,0.016710391859197916,0.4714111427409516
2017-09-29,2017-10-19,DHR,572100000,0.82,696200000,4528200000,1081100000,25375400000,10909000000,10260400000,648600000,933100000,1072400000,36.44843435794312,0.022545457411508783,0.012477290720219492,0.01693179736942,0.42990455322871757
2017-12-31,2018-02-21,DHR,856600000,1.23,697200000,5085700000,1338900000,26358200000,10522100000,9891800000,630300000,660900000,834700000,37.80579460699943,0.03249842553740392,0.01836282332160022,0.024639280898876403,0.39919645499313305
2018-03-30,2018-04-19,DHR,566600000,0.81,698600000,4695400000,1073000000,27189900000,10509400000,9463700000,1045700000,691000000,828900000,38.920555396507304,0.020838620222950435,0.012018190611133265,0.016305826866784424,0.3865185234223002
2018-06-29,2018-07-19,DHR,673800000,0.96,700200000,4981000000,1212900000,27212300000,11320700000,10416700000,904000000,882200000,1036000000,38.86361039702942,0.024760861816164013,0.014021200354587792,0.018832706090975194,0.41601408186739086
2018-09-28,2018-10-18,DHR,663700000,0.95,701400000,4853100000,1164100000,27673400000,10617800000,9841600000,776200000,769900000,919500000,39.45451953236385,0.023983319722188094,0.013908360313917791,0.01860343661528691,0.3836825254576597
2018-12-31,2019-02-21,DHR,746800000,1.06,702200000,4604500000,1077900000,28214400000,9740300000,8952500000,787800000,1094900000,1237600000,40.1800056963828,0.02646875354428944,0.015612815554277949,0.0190406671600641,0.3452244244073948
2019-03-29,2019-04-18,DHR,333800000,0.46,707600000,4220200000,1036600000,31556600000,10480900000,6570900000,3910000000,563200000,703300000,44.596664782362915,0.010577818903177149,0.006447201705862357,0.008963643549785441,0.33213020414113054
2019-06-28,2019-07-18,DHR,731300000,0.99,717600000,4444500000,1141200000,32201200000,11263400000,5829800000,5433600000,1017200000,1171500000,44.873467112597545,0.022710333776381004,0.013714789392745959,0.018211115381066425,0.3497819957020235
2019-09-27,2019-10-24,DHR,668000000,0.9,718800000,4378000000,1106000000,32502300000,18603800000,4351700000,14252100000,803500000,965600000,45.21744574290484,0.020552391676896712,0.01085629868473016,0.01763562505306258,0.5723841082015734
2019-12-31,2020-02-21,DHR,824100000,1.75,716100000,4868400000,1222500000,30270600000,22526000000,2613700000,19912300000,931700000,1111200000,42.27147046501885,0.027224435590969456,0.013274464575655266,0.025209262140463325,0.7441543940324936
2020-04-03,2020-05-06,DHR,595100000,0.83,697200000,4343100000,1056300000,31055100000,25971500000,21603800000,4367700000,686000000,819000000,44.542598967297764,0.0191627140147673,0.008633358624581642,0.012054329926824509,0.8363038599135085
2020-07-03,2020-07-23,DHR,927300000,1.27,705100000,5297400000,1775600000,36261700000,22387200000,16847900000,5539300000,1290000000,1445000000,51.427740745993475,0.02557243593102364,0.013011376711137054,0.018569879666825728,0.6173786667475601
2020-10-02,2020-10-22,DHR,883500000,1.18,710900000,5883200000,1588700000,37961000000,21825800000,16138100000,5687700000,1535700000,1722700000,53.39850893233929,0.023273886357050657,0.012120887849890315,0.01754138746478559,0.5749532414846816
2020-12-31,2021-02-25,DHR,1241000000,1.69,711600000,6760000000,2122600000,39766000000,22178000000,16143000000,6035000000,1905300000,2221300000,55.882518268690276,0.031207564250867577,0.016294428907183467,0.023233209774666492,0.5577126188200976
2021-04-02,2021-04-22,DHR,1702000000,2.33,713200000,6858000000,2643000000,40419000000,20277000000,13947000000,6330000000,1620000000,1871000000,56.67274256870443,0.04210890917637745,0.022565163206321428,0.032178038895670384,0.5016700066800267
2021-07-02,2021-07-22,DHR,1785000000,2.44,714500000,7218000000,2631000000,42756000000,20423000000,13101000000,7322000000,1815000000,2120000000,59.84044786564031,0.04174852652259332,0.02287669652812488,0.0313549254432673,0.47766395359715597
2021-10-01,2021-10-21,DHR,1158000000,1.56,715100000,7229000000,2004000000,43451000000,23598000000,21046000000,2552000000,1716000000,2034000000,60.76213117046567,0.02665070999516697,0.014036703920095032,0.01876984067232315,0.5430945202642057
2021-12-31,2022-02-23,DHR,1788000000,2.44,715600000,8148000000,2729000000,45167000000,23272000000,20686000000,2586000000,1913000000,2333000000,63.117663499161544,0.03958642371643014,0.021494518176572417,0.02789365063914428,0.5152434299377865
2022-04-01,2022-04-21,DHR,1725000000,2.35,716300000,7688000000,2718000000,46356000000,21778000000,18061000000,3717000000,1718000000,1968000000,64.71590115873238,0.037212011390111314,0.02068543745203377,0.027467567185203032,0.4697989472775908
2022-07-01,2022-07-21,DHR,1680000000,2.28,726700000,7751000000,2672000000,46594000000,20062000000,16078000000,3984000000,1704000000,2000000000,64.11724232833356,0.03605614456797013,0.020536390973767204,0.027466991795562664,0.43057045971584323
2022-09-30,2022-10-20,DHR,1572000000,2.13,728500000,7663000000,2513000000,46985000000,19247000000,14097000000,5150000000,1733000000,2010000000,64.4955387783116,0.03345748643183995,0.019400222139948166,0.026295661742648805,0.4096413749068852
2022-12-31,2023-02-22,DHR,2232000000,3.03,728900000,7134000000,2435000000,50082000000,20616000000,14621000000,5995000000,2212000000,2541000000,68.70901358211003,0.044566910267161856,0.026461173681090692,0.03216254567194933,0.4116449023601294
2023-03-31,2023-04-25,DHR,1450000000,1.96,729400000,5949000000,2124000000,51478000000,20932000000,13553000000,7379000000,1672000000,1947000000,70.57581573896353,0.028167372469792923,0.01705079962370649,0.019894143520399733,0.4066203038191072
2023-06-30,2023-07-25,DHR,1106000000,1.5,737300000,7157000000,2021000000,51716000000,20975000000,12400000000,8575000000,1585000000,1926000000,70.14241150142412,0.021386031402273957,0.013026783821346965,0.018080263824978147,0.4055804779952046
2023-09-29,2023-10-24,DHR,1129000000,1.53,739400000,5624000000,1706000000,52407000000,23160000000,10883000000,12277000000,1307000000,1672000000,70.87773870705978,0.021542923655236895,0.012868443248911482,0.015758682958821595,0.4419256969488809
2023-12-31,2024-02-21,DHR,1079000000,1.46,739800000,6405000000,1810000000,53486000000,19536000000,13672000000,5864000000,1217000000,1619000000,72.29791835631252,0.020173503346670157,0.01277104440867342,0.017843618344489425,0.36525445911079535
2024-03-29,2024-04-23,DHR,1088000000,1.47,740600000,5796000000,1922000000,53442000000,19263000000,12232000000,7031000000,1448000000,1739000000,72.16041047799082,0.020358519516485162,0.013045250713412148,0.017413911553735353,0.36044683956438756
2024-06-28,2024-07-23,DHR,907000000,1.23,737600000,5743000000,1728000000,49897000000,18210000000,15836000000,2374000000,1130000000,1417000000,67.6477765726681,0.018177445537807885,0.01154605053783973,0.014626393893008988,0.3649518007094615
2024-09-27,2024-10-22,DHR,818000000,1.13,723000000,5798000000,1655000000,51299000000,18824000000,16197000000,2627000000,1215000000,1513000000,70.95297372060857,0.015945729936256068,0.010146994976121069,0.013198431774841746,0.3669467241076824
2024-12-31,2025-02-20,DHR,1086000000,1.5,731000000,6538000000,1971000000,49543000000,17146000000,15068000000,2078000000,1503000000,2019000000,67.77428180574556,0.021920352017439398,0.01400531324959377,0.017587983258451147,0.3460832004521325
2025-03-28,2025-04-22,DHR,954000000,1.33,716300000,5741000000,1792000000,50849000000,17577000000,15584000000,1993000000,1054000000,1299000000,70.98841267625296,0.018761430903262603,0.012058243591688155,0.015276138080980035,0.3456705146610553
2025-06-27,2025-07-22,DHR,555000000,0.77,716500000,5936000000,1337000000,52334000000,18555000000,15598000000,2957000000,1090000000,1338000000,73.04117236566644,0.010604960446363741,0.00679980396961529,0.00905553060919024,0.35454962357167424
