date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-04,DVN,-3507000000,-8.64,406000004,3601000000,-4477000000,11548000000,11900000000,10113000000,1787000000,360000000,1553000000,28.443349473464536,-0.30368895046761346,-0.10209309772641262,-0.17629040828579995,1.0304814686525805
2015-12-31,2016-02-17,DVN,-4532000000,-10.99,412258985,2886000000,-3149000000,7049000000,13032000000,10722000000,2310000000,-575000000,1081000000,17.098475124805347,-0.6429280749042418,-0.15346065285114452,-0.2696224254515439,1.8487728755851893
2016-03-31,2016-05-04,DVN,-3056000000,-6.45,474000028,2126000000,-3143000000,6410000000,12545000000,10910000000,1635000000,-2227000000,149000000,13.523205952215681,-0.4767550702028081,-0.10671508887104096,-0.19159140263411056,1.9570982839313573
2016-06-30,2016-08-03,DVN,-1570000000,-3.0,522730044,2488000000,-1261000000,4847000000,12707000000,10984000000,1723000000,-165000000,335000000,9.272472580512323,-0.32391169795749947,-0.057627367493760094,-0.08967770065587105,2.6216216216216215
2016-09-30,2016-11-02,DVN,993000000,1.9,524000000,2804000000,1733000000,5840000000,11354000000,8969000000,2385000000,302000000,726000000,11.145038167938932,0.17003424657534247,0.03703427441912505,0.07729279710028121,1.944178082191781
2016-12-31,2017-02-15,DVN,331000000,0.63,524000000,2979000000,1081000000,5927000000,10154000000,8195000000,1959000000,-135000000,536000000,11.311068702290076,0.05584612788932006,0.012773511364951955,0.04284190152480762,1.713176986671166
2017-03-31,2017-05-03,DVN,565000000,1.08,525000000,3315000000,1123000000,6466000000,10381000000,8262000000,2119000000,67000000,834000000,12.316190476190476,0.08738014228270956,0.021619346445243742,0.04766192849967028,1.6054747912155893
2017-06-30,2017-08-02,DVN,425000000,0.81,526000000,2035000000,667000000,6899000000,10558000000,8189000000,2369000000,76000000,810000000,13.115969581749049,0.06160313088853457,0.01584992914149325,0.01853521928991836,1.530366719814466
2017-09-30,2017-11-01,DVN,228000000,0.43,526000000,2077000000,689000000,7129000000,10403000000,7622000000,2781000000,35000000,776000000,13.553231939163497,0.03198204516762519,0.008273159403461664,0.017544922178755577,1.4592509468368635
2017-12-31,2018-02-21,DVN,183000000,0.35,525000000,2540999896,667000000,9254000000,6864000000,4222000000,2642000000,-81000000,725000000,17.626666666666665,0.019775232331964557,0.006051387189577064,0.028198278195310178,0.7417333045169656
